site,lat,lon,veg_type,roi_id_number,MAP,MAT
acadia,44.3769444444,-68.2608333333,DB,1,1303,6.5
acadia,44.3769444444,-68.2608333333,DB,2,1303,6.5
aguatibiaeast,33.622,-116.867,XX,1,504,14.9
aguatibianorth,33.60222,-117.34368,XX,1,729,13.8
ahwahnee,37.7467,-119.5816,GR,1,886,11.8
ahwahnee,37.7467,-119.5816,GR,2,886,11.8
alligatorriver,35.7879,-75.9038,DB,1,1312,16.4
arbutuslake,43.98207,-74.23322,DB,1,1051,4.8
arbutuslake,43.98207,-74.23322,DB,2,1051,4.8
arizonagrass,31.5907,-110.5092,XX,1,446,15.3
armoklahoma,36.697,-97.487,AG,1,823,14.7
asa,57.16449,14.7825,DB,4,639,6.3
asa,57.16449,14.7825,GR,1,639,6.3
asa,57.16449,14.7825,DB,1,639,6.3
asa,57.16449,14.7825,DB,3,639,6.3
asa,57.16449,14.7825,DB,2,639,6.3
ashburnham,42.6029,-71.926,DB,2,1147,7.1
baldmountain1,36.01833,-118.25028,XX,1,661,4.5
barrocolorado,9.154,-79.848,DB,1,2635,25.9
barrocolorado,9.154,-79.848,EB,1,2635,25.9
barrocolorado,9.154,-79.848,EB,2,2635,25.9
barrocolorado,9.154,-79.848,DB,2,2635,25.9
barrocolorado2,9.154,-79.848,XX,1,2635,25.9
barrow,71.28007453,-156.60914915,GR,2,117,-12.3
barrow,71.28007453,-156.60914915,GR,1,117,-12.3
bartlett,44.0646,-71.2881,DB,3,1224,5.5
bartlett,44.0646,-71.2881,DB,2,1224,5.5
bartlett,44.0646,-71.2881,XX,4,1224,5.5
bartlett,44.0646,-71.2881,DB,1,1224,5.5
bartlettir,44.0646,-71.2881,DB,2,1224,5.5
bartlettir,44.0646,-71.2881,DB,1,1224,5.5
bitterootvalley,46.507,-114.091,XX,1,318,7.2
bitterootvalley,46.507,-114.091,DB,3,318,7.2
bitterootvalley,46.507,-114.091,DB,2,318,7.2
bitterootvalley,46.507,-114.091,DB,1,318,7.2
bostoncommon,42.355912,-71.064145,DB,1,1127,9.8
bostonu,42.35041,-71.10438,DB,2,1121,9.7
bostonu,42.35041,-71.10438,XX,1,1121,9.7
bostonu,42.35041,-71.10438,DB,1,1121,9.7
boundarywaters,47.946702,-91.495506,DB,1,719,2.8
boundarywaters,47.946702,-91.495506,DB,2,719,2.8
boundarywatersresized,47.946702,-91.495506,DB,1,719,2.8
boundarywatersresized,47.946702,-91.495506,DB,3,719,2.8
boundarywatersresized,47.946702,-91.495506,DB,4,719,2.8
boundarywatersresized,47.946702,-91.495506,DB,2,719,2.8
breckenridge,35.45083,-118.58278,XX,1,665,7.8
bridger,42.96805,-109.7472,XX,1,403,-0.4
bullshoals,36.562833,-93.06663,GR,1,1084,13.9
bullshoals,36.562833,-93.06663,DB,1,1084,13.9
burnssagebrush,43.4712,-119.6909,SH,1,269,7.2
butte,45.95304,-112.47964,GR,1,311,4.3
canaanvalley,39.0633,-79.4208,GR,1,1303,7.8
canadaOA,53.62889,-106.19779,DB,1,445,0.1
canadaOBS,53.98717,-105.11779,MX,1,486,-0.9
caryinstitute,41.7839,-73.7341,DB,1,1084,9
castlesprings,43.734,-71.324,XX,1,1285,5.2
castlesprings,43.734,-71.324,EN,1,1285,5.2
cedarcreek,45.4019,-93.2042,DB,1,750,6.3
chibougamau,49.6924,-74.342,EN,1,970,-0.3
coaloilpoint,34.413695,-119.880226,GR,1,405,15.4
columbiamissouri,38.7441,-92.1997,DB,1,974,12.4
contactcreek,58.2076,-155.9225,GR,1,674,1.3
contactcreek,58.2076,-155.9225,SH,1,674,1.3
coville,58.8025,-155.5629,TN,1,711,-0.1
coweeta,35.05959,-83.42798,RF,2,1722,12.5
coweeta,35.05959,-83.42798,RF,1,1722,12.5
coweeta,35.05959,-83.42798,RF,3,1722,12.5
coweeta,35.05959,-83.42798,RF,4,1722,12.5
coweeta,35.05959,-83.42798,DB,1,1722,12.5
csutest,40.5748,-105.081,GR,1,370,9.1
dollysods,39.099529,-79.427041,DB,2,1328,7.6
dollysods,39.099529,-79.427041,DB,1,1328,7.6
downerwoods,43.07938,-87.88076,DB,1,812,8.2
drippingsprings,33.46361,-116.9705,DB,1,375,17.1
drippingsprings,33.46361,-116.9705,XX,1,375,17.1
dukehw,35.973583,-79.100371,DB,1,1166,14.6
eastend,38.10273,-121.641318,WL,1,361,15.6
elverde,18.321,-65.8196,XX,1,2574,23
farewellgap,36.453,-118.59,SH,2,689,4.4
fernow,39.0542,-79.6875,UN,1,1293,8.7
fernow,39.0542,-79.6875,XX,1,1293,8.7
fernow,39.0542,-79.6875,DB,1,1293,8.7
freemangrass,29.93,-98.01,GR,1,865,19.6
freemansavanna,29.9495,-97.9962,SH,1,866,19.5
freemanwood,29.94,-97.99,DB,1,862,19.6
freemanwood,29.94,-97.99,DB,2,862,19.6
gatesofthemountains,46.8262,-111.7107,GR,1,577,1.1
gcesapelo,31.4440444,-81.283528,WL,1,1292,19.2
glacier,48.501384,-113.986352,XX,1,695,5.7
glacier,48.501384,-113.986352,XX,2,695,5.7
grandcanyon,36.06,-112.1175,NV,2,417,7.6
grandcanyon,36.06,-112.1175,NV,1,417,7.6
groundhog,48.2174,-82.1555,EN,1,761,1.2
groundhog,48.2174,-82.1555,XX,1,761,1.2
groundhog,48.2174,-82.1555,DB,1,761,1.2
hartprairie,35.3252,-111.7056,GR,1,735,3.1
harvard,42.5378,-72.1715,DB,1,1139,6.8
harvardbarn,42.53532,-72.1899,RF,2,1151,6.7
harvardbarn,42.53532,-72.1899,DB,1,1151,6.7
harvardbarn,42.53532,-72.1899,RF,1,1151,6.7
harvardbarn,42.53532,-72.1899,EN,1,1151,6.7
harvardbarn2,42.53532,-72.1899,DB,1,1151,6.7
harvardbarn2,42.53532,-72.1899,EN,1,1151,6.7
harvardblo,42.5378,-72.1715,DB,1,1139,6.8
harvardhemlock,42.539407,-72.177976,EN,2,1151,6.7
harvardhemlock,42.539407,-72.177976,EN,1,1151,6.7
harvardlph,42.542,-72.185,DB,3,1139,6.8
harvardlph,42.542,-72.185,DB,1,1139,6.8
harvardlph,42.542,-72.185,DB,2,1139,6.8
howland1,45.2041,-68.7403,EN,1,1056,5.4
howland1,45.2041,-68.7403,RF,2,1056,5.4
howland1,45.2041,-68.7403,RF,1,1056,5.4
howland1,45.2041,-68.7403,EN,2,1056,5.4
howland1,45.2041,-68.7403,EN,3,1056,5.4
howland2,45.2128,-68.7418,MX,2,1058,5.3
howland2,45.2128,-68.7418,DB,2,1058,5.3
howland2,45.2128,-68.7418,MX,1,1058,5.3
howland2,45.2128,-68.7418,XX,1,1058,5.3
howland2,45.2128,-68.7418,DB,1,1058,5.3
hubbardbrook,43.943943,-71.701859,DB,1,1060,5.6
hubbardbrook,43.943943,-71.701859,DB,2,1060,5.6
hubbardbrookml,43.943943,-71.701859,XX,1,1060,5.6
hubbardbrooknfws,43.943943,-71.701859,DB,1,1060,5.6
hubbardbrooksfws,43.943943,-71.701859,DB,1,1060,5.6
hubbardbrooksfws,43.943943,-71.701859,DB,2,1060,5.6
huyckpreserveny,42.5266,-74.1587,DB,1,1060,6.4
huyckpreserveny,42.5266,-74.1587,EN,1,1060,6.4
ibp,32.589,-106.847,SH,2,257,14.8
ibp,32.589,-106.847,GR,2,257,14.8
ibp,32.589,-106.847,GR,3,257,14.8
ibp,32.589,-106.847,SH,1,257,14.8
ibp,32.589,-106.847,GR,1,257,14.8
ibp,32.589,-106.847,GR,4,257,14.8
imcrkfen,68.60583,-149.31101,GR,1,226,-11.9
imcrkridge0,68.60681,-149.2958,GR,1,228,-12.2
imcrkridge1,68.60681,-149.2958,GR,1,228,-12.2
imcrktussock,68.60633,-149.30408,GR,1,226,-12.1
innsbruck,47.116171,11.320308,XX,1,873,7.1
ivotuk,68.482874,-155.751664,GR,1,240,-11.6
james1,33.8084,-116.7778,EN,1,685,11.1
james1,33.8084,-116.7778,DB,1,685,11.1
james2,33.8084,-116.7778,EN,1,685,11.1
james3,33.8084,-116.7778,UN,1,685,11.1
jasperridge,37.402028,-122.22104,GR,1,644,13.7
jerbajada,32.57992,-106.633793,SH,1,264,14.6
jernort,32.619,-106.788,SH,1,256,14.8
jersand,32.515,-106.798,SH,1,263,14.7
joycekilmer,35.257,-83.795,DB,1,1905,9.2
