#
# 3-day product summary time series for armoklahoma
#
# Site: armoklahoma
# Veg Type: AG
# ROI ID Number: 0001
# Lat: 36.697
# Lon: -97.487
# Elev: 314
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:20:51
# Update Date: 2016-01-25
# Update Time: 14:20:54
# Final Processing Date: 2016-06-13
# Final Processing Time: 17:48:45
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2003-03-18,2003,77,1,armoklahoma_2003_03_19_070446.jpg,88.90774,127.40433,59.58624,0.46178,0.32225,88.90774,0,127.40433,0,59.58624,0,0.46178,0,0.46178,0.46178,0.46178,0.32225,0,0.32225,0.32225,0.32225,5.19326,NA,0,0,0,0,0.46172,0.46191,0.46608,0.46858,0.33366,0.33627,0.33799,0.33903,0.01126,0.01157,0.01142,0.01175,0.01224,0.01269,0.01259,0.01299,NA
2003-03-21,2003,80,3,armoklahoma_2003_03_21_070446.jpg,98.21114,129.88153,63.52339,0.44539,0.33678,96.66098,4.89177,131.07785,4.27323,61.20953,2.97617,0.45358,0.00719,0.45245,0.45767,0.46081,0.33431,0.00925,0.33678,0.34049,0.34272,6.06408,NA,0,0,0,0,0.46636,0.46646,0.47081,0.47342,0.33443,0.33677,0.33877,0.33997,0.00944,0.00971,0.00958,0.00986,0.01027,0.01065,0.01057,0.0109,NA
2003-03-24,2003,83,3,armoklahoma_2003_03_24_070447.jpg,93.19873,131.81776,43.18327,0.49149,0.3475,100.83886,10.02357,138.11799,9.45291,52.80566,7.66594,0.47434,0.01268,0.4703,0.48089,0.48725,0.34537,0.00501,0.3475,0.34883,0.34963,6.94123,NA,0,0,0,0,0.47024,0.47025,0.47475,0.47745,0.33543,0.3375,0.33976,0.34111,0.00795,0.00817,0.00807,0.00831,0.00865,0.00897,0.0089,0.00918,NA
2003-03-27,2003,86,3,armoklahoma_2003_03_27_070447.jpg,90.44167,132.20087,42.15649,0.49925,0.34155,90.58645,2.78907,128.63416,4.50184,49.36837,6.84468,0.47899,0.0177,0.48161,0.49043,0.49572,0.33724,0.00846,0.34155,0.34315,0.34411,7.81673,NA,0,0,0,0,0.47336,0.47327,0.4779,0.48068,0.33665,0.33846,0.34094,0.34244,0.00681,0.007,0.00691,0.00711,0.0074,0.00768,0.00762,0.00786,NA
2003-03-30,2003,89,3,armoklahoma_2003_03_30_070448.jpg,91.71692,126.51696,47.93115,0.47533,0.34459,92.12209,3.24582,126.58196,1.95014,46.78954,1.62366,0.47677,0.00116,0.47681,0.4775,0.47791,0.34688,0.00742,0.34459,0.35074,0.35444,8.68299,NA,0,0,0,0,0.47572,0.47551,0.48024,0.48308,0.33809,0.33962,0.34232,0.34395,0.00601,0.00618,0.0061,0.00628,0.00654,0.00678,0.00673,0.00694,NA
2003-04-02,2003,92,3,armoklahoma_2003_04_02_070449.jpg,92.24121,132.09734,36.29563,0.50683,0.35391,90.27507,3.84893,129.24762,4.21881,40.68903,4.99272,0.49659,0.01068,0.50109,0.50396,0.50568,0.3468,0.0106,0.35391,0.35429,0.35452,9.47312,NA,0,0,0,0,0.47731,0.47699,0.48179,0.48467,0.33976,0.34102,0.34391,0.34565,0.00555,0.0057,0.00563,0.00579,0.00603,0.00625,0.0062,0.0064,NA
2003-04-05,2003,95,3,armoklahoma_2003_04_05_070429.jpg,95.60919,131.41061,52.08682,0.47083,0.34255,90.97346,3.39994,128.40757,2.17708,56.25698,4.66125,0.46587,0.00505,0.46784,0.46934,0.47023,0.33005,0.01132,0.33245,0.3375,0.34053,10.31919,NA,0,0,0,0,0.47816,0.47773,0.48257,0.48548,0.34167,0.34267,0.34574,0.34758,0.00534,0.00549,0.00542,0.00558,0.00581,0.00603,0.00598,0.00617,NA
2003-04-08,2003,98,3,armoklahoma_2003_04_08_070429.jpg,87.95341,128.06713,57.63685,0.46798,0.3214,91.02564,2.57813,127.95592,1.06736,50.04334,5.37037,0.4757,0.00701,0.47418,0.47956,0.48279,0.3385,0.01305,0.34103,0.34705,0.35066,11.14486,NA,0,0,0,0,0.47828,0.47775,0.48261,0.48552,0.34384,0.34458,0.34781,0.34975,0.00534,0.00548,0.00541,0.00557,0.0058,0.00602,0.00597,0.00616,NA
2003-04-11,2003,101,3,armoklahoma_2003_04_11_070430.jpg,98.35543,132.1996,47.73148,0.47505,0.35343,98.2481,2.61134,131.13529,1.88888,47.48411,1.76407,0.47373,0.00428,0.47505,0.47662,0.47755,0.35482,0.00188,0.35356,0.35552,0.3567,11.95336,NA,0,0,0,0,0.47769,0.47706,0.48191,0.48482,0.34627,0.34677,0.35014,0.35216,0.00544,0.00559,0.00552,0.00568,0.00592,0.00614,0.00609,0.00628,NA
2003-04-14,2003,104,3,armoklahoma_2003_04_14_070431.jpg,92.83793,131.77557,42.2846,0.49373,0.34784,95.7062,2.47628,133.7003,3.55287,44.47595,1.82879,0.4882,0.00435,0.48776,0.49074,0.49254,0.34946,0.00234,0.34784,0.35031,0.35179,12.738,NA,0,0,0,0,0.47638,0.47567,0.48051,0.48341,0.34897,0.34924,0.35274,0.35483,0.0056,0.00575,0.00568,0.00585,0.00609,0.00631,0.00626,0.00646,NA
