#
# 3-day product summary time series for asa
#
# Site: asa
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 57.16449
# Lon: 14.7825
# Elev: 180
# UTC Offset: 1
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:21:02
# Update Date: 2016-01-25
# Update Time: 14:21:03
# Final Processing Date: 2016-06-13
# Final Processing Time: 17:51:40
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-11-01,2010,305,10,asa_2010_11_01_150300.jpg,132.69169,121.00247,149.55496,0.30007,0.32906,144.4061,5.54654,123.05942,2.69251,138.13351,4.48892,0.30338,0.00209,0.3038,0.30524,0.30589,0.35597,0.01053,0.35783,0.36021,0.36596,18.02208,NA,0,0,0,0,0.30517,0.30533,0.30686,0.307,0.3602,0.36481,0.36705,0.36746,0.00247,0.0027,0.0027,0.00246,0.00609,0.00597,0.00652,0.00714,NA
2010-11-04,2010,308,21,asa_2010_11_04_120000.jpg,156.87616,134.37507,145.48059,0.30768,0.3592,147.0401,7.58756,126.32757,6.04309,140.16922,8.27349,0.3054,0.00249,0.30577,0.30666,0.30768,0.35567,0.01372,0.35831,0.36208,0.36682,17.7093,NA,0,0,0,0,0.30384,0.30403,0.30556,0.30602,0.35702,0.36103,0.36408,0.3656,0.00194,0.00212,0.00212,0.00213,0.00506,0.00521,0.00565,0.00618,NA
2010-11-07,2010,311,21,asa_2010_11_07_120000.jpg,145.49443,117.41248,128.88728,0.29968,0.37135,148.3136,8.53149,127.41402,8.3609,142.03321,11.13249,0.30486,0.00315,0.30418,0.30727,0.30921,0.35537,0.01534,0.35908,0.36694,0.37135,16.79689,NA,0,0,0,0,0.30257,0.30278,0.30434,0.30511,0.35397,0.35744,0.36125,0.36382,0.00155,0.0017,0.0017,0.00185,0.00423,0.00454,0.00489,0.00535,NA
2010-11-10,2010,314,21,asa_2010_11_10_120000.jpg,113.89297,94.21276,115.16458,0.29144,0.35231,117.0122,5.55707,100.57821,6.07936,123.54103,8.09559,0.2947,0.00336,0.29457,0.29668,0.29902,0.34324,0.01152,0.34688,0.35231,0.35473,15.92579,NA,0,0,0,0,0.30137,0.30158,0.30319,0.30426,0.35104,0.35403,0.35856,0.36213,0.00132,0.00144,0.00144,0.00161,0.00361,0.00398,0.00426,0.00466,NA
2010-11-13,2010,317,18,asa_2010_11_13_120000.jpg,148.19394,122.91958,132.78843,0.30433,0.36691,146.0224,3.82898,125.29434,2.37106,141.12806,5.75718,0.30378,0.00127,0.30397,0.30477,0.30504,0.35411,0.01013,0.35845,0.36145,0.36213,15.09864,NA,0,0,0,0,0.30023,0.30042,0.30211,0.30348,0.34824,0.35081,0.356,0.36054,0.00122,0.00134,0.00133,0.00142,0.0032,0.00352,0.00376,0.00412,NA
2010-11-16,2010,320,18,asa_2010_11_16_120000.jpg,136.30564,119.20037,138.93559,0.3022,0.34557,143.3822,6.50737,124.47654,4.19093,141.98907,6.66339,0.30367,0.00206,0.30405,0.30511,0.30599,0.34985,0.01258,0.35419,0.3595,0.36186,14.31832,NA,0,0,0,0,0.29918,0.29933,0.30112,0.30276,0.34559,0.34777,0.35359,0.35904,0.00121,0.00133,0.00133,0.00129,0.00299,0.00319,0.00341,0.00373,NA
2010-11-19,2010,323,18,asa_2010_11_19_120000.jpg,129.37319,110.20105,131.49797,0.29698,0.34865,131.5854,9.47275,111.58394,7.48955,130.14132,7.6818,0.29875,0.00307,0.29964,0.30098,0.30142,0.35236,0.01271,0.35381,0.35813,0.35992,13.58851,NA,0,0,0,0,0.29821,0.29833,0.30022,0.30211,0.34311,0.34491,0.35132,0.35765,0.00126,0.00138,0.00137,0.0012,0.00292,0.00296,0.00319,0.00349,NA
2010-11-22,2010,326,18,asa_2010_11_22_120000.jpg,141.22725,117.2076,130.13487,0.30164,0.36345,131.1866,12.07401,111.71522,10.74846,131.49111,10.10694,0.29806,0.00445,0.29936,0.30217,0.30284,0.35026,0.01026,0.35212,0.35944,0.36274,12.91121,NA,0,0,0,0,0.29731,0.29738,0.2994,0.30153,0.3408,0.34224,0.34919,0.35636,0.0013,0.00142,0.00142,0.00116,0.00295,0.00284,0.00308,0.00337,NA
2010-11-25,2010,329,15,asa_2010_11_25_120000.jpg,113.87856,98.53877,122.79367,0.29396,0.33972,110.4909,2.25442,95.48738,1.62947,120.99639,3.20124,0.29203,0.00173,0.29217,0.29273,0.29377,0.33794,0.00606,0.3391,0.34227,0.34356,12.28887,NA,0,0,0,0,0.29648,0.2965,0.29865,0.30103,0.33863,0.33975,0.3472,0.35517,0.00133,0.00145,0.00145,0.00115,0.003,0.0028,0.00306,0.00335,NA
2010-11-28,2010,332,15,asa_2010_11_28_120000.jpg,111.98442,98.23191,121.03074,0.29655,0.33807,111.0362,6.70419,97.84938,3.09356,123.5718,7.56635,0.29429,0.00323,0.29389,0.29664,0.29879,0.334,0.01793,0.33689,0.34259,0.35706,11.72381,NA,0,0,0,0,0.29574,0.29571,0.29801,0.30058,0.33663,0.33745,0.34535,0.35407,0.00135,0.00147,0.00147,0.00117,0.00305,0.00281,0.00309,0.00338,NA
