#
# 3-day product summary time series for asa
#
# Site: asa
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 57.16449
# Lon: 14.7825
# Elev: 180
# UTC Offset: 1
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-05-24
# Creation Time: 15:10:53
# Update Date: 2016-05-24
# Update Time: 15:10:54
# Final Processing Date: 2016-06-13
# Final Processing Time: 17:52:23
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-11-01,2010,305,10,asa_2010_11_01_150300.jpg,134.21989,111.23577,114.7294,0.30883,0.37264,139.8263,3.75474,107.22879,2.16322,96.839,6.20459,0.31181,0.00131,0.31185,0.31291,0.31313,0.40674,0.01255,0.40909,0.41352,0.41587,18.02208,NA,0,0,0,0,0.31097,0.31195,0.31287,0.31388,0.41379,0.42079,0.42658,0.42978,0.00238,0.00259,0.00259,0.00251,0.01735,0.01808,0.01884,0.01964,NA
2010-11-04,2010,308,21,asa_2010_11_04_120000.jpg,132.92606,103.36516,99.6322,0.3077,0.3957,129.8146,17.2182,99.34772,12.19798,92.27856,11.48056,0.30874,0.00329,0.31055,0.31116,0.31211,0.40333,0.02132,0.41043,0.41793,0.41978,17.7093,NA,0,0,0,0,0.30923,0.31005,0.31122,0.3123,0.40263,0.40876,0.41619,0.41985,0.00204,0.00222,0.00222,0.00212,0.0141,0.0147,0.01531,0.01611,NA
2010-11-07,2010,311,21,asa_2010_11_07_120000.jpg,152.0992,108.25921,90.1321,0.30888,0.43396,128.4737,23.07025,97.9437,13.97586,93.25986,11.74353,0.30594,0.00533,0.30762,0.30888,0.31083,0.39949,0.03176,0.41102,0.42019,0.42939,16.79689,NA,0,0,0,0,0.3076,0.30828,0.30966,0.31081,0.39199,0.3973,0.40614,0.41029,0.00175,0.0019,0.0019,0.0018,0.01156,0.01205,0.01255,0.01331,NA
2010-11-10,2010,314,21,asa_2010_11_10_120000.jpg,193.48906,171.4377,208.71601,0.29886,0.3373,179.5122,8.12304,162.36244,5.66821,195.54286,8.99743,0.30211,0.00424,0.30178,0.30484,0.30781,0.334,0.01032,0.33621,0.34282,0.34582,15.92579,NA,0,0,0,0,0.30607,0.30662,0.30821,0.30942,0.38179,0.38637,0.39634,0.40103,0.00152,0.00165,0.00165,0.00155,0.00979,0.0102,0.01063,0.01129,NA
2010-11-13,2010,317,18,asa_2010_11_13_120000.jpg,151.14289,111.16909,94.06309,0.31194,0.42411,136.6905,6.56531,104.5743,3.2692,97.28132,5.4716,0.30889,0.00108,0.30847,0.30943,0.30998,0.40373,0.01416,0.41034,0.41299,0.41516,15.09864,NA,0,0,0,0,0.30465,0.30508,0.30686,0.30812,0.37205,0.37596,0.38678,0.39207,0.00134,0.00146,0.00146,0.00137,0.00878,0.00915,0.00953,0.01007,NA
2010-11-16,2010,320,18,asa_2010_11_16_120000.jpg,137.44666,109.6572,114.24752,0.30346,0.38037,134.1588,10.82984,105.83286,7.929,107.20477,15.55549,0.30489,0.00399,0.30663,0.30791,0.3091,0.38699,0.02533,0.39633,0.40915,0.40983,14.31832,NA,0,0,0,0,0.30333,0.30366,0.30561,0.30691,0.36288,0.3662,0.37765,0.38356,0.00122,0.00133,0.00133,0.00126,0.00841,0.00876,0.00913,0.00955,NA
2010-11-19,2010,323,18,asa_2010_11_19_120000.jpg,154.90506,129.13172,145.75326,0.30045,0.36042,157.1376,15.95396,130.26462,19.64171,141.3153,32.68319,0.30411,0.00269,0.30472,0.30629,0.30716,0.36992,0.02458,0.36937,0.39151,0.40166,13.58851,NA,0,0,0,0,0.30213,0.30235,0.30445,0.3058,0.35439,0.35718,0.36908,0.37558,0.00115,0.00125,0.00125,0.0012,0.00848,0.00884,0.00921,0.00954,NA
2010-11-22,2010,326,18,asa_2010_11_22_120000.jpg,166.61491,134.16913,140.3891,0.30412,0.37766,159.6698,19.75934,132.2194,25.87969,144.29097,44.19288,0.30375,0.00348,0.30295,0.30731,0.30814,0.3728,0.03405,0.36734,0.40767,0.42134,12.91121,NA,0,0,0,0,0.30103,0.30117,0.3034,0.30479,0.34652,0.34882,0.36098,0.36809,0.00113,0.00122,0.00122,0.00119,0.00874,0.00911,0.00949,0.00978,NA
2010-11-25,2010,329,15,asa_2010_11_25_120000.jpg,175.7308,161.52998,205.13284,0.29781,0.32399,176.7928,5.87629,162.97998,4.42147,209.81025,7.01116,0.29656,0.00155,0.29689,0.29727,0.29786,0.32168,0.00556,0.32116,0.32488,0.32678,12.28887,NA,0,0,0,0,0.30004,0.30011,0.30246,0.30386,0.33923,0.34108,0.35329,0.36105,0.00113,0.00122,0.00122,0.0012,0.009,0.00938,0.00977,0.01007,NA
2010-11-28,2010,332,15,asa_2010_11_28_120000.jpg,173.25421,162.61804,204.6132,0.30087,0.32055,166.0616,10.41514,154.58717,8.30939,198.35077,16.76365,0.29788,0.00348,0.29744,0.30146,0.30245,0.32023,0.01723,0.31995,0.3285,0.34539,11.72381,NA,0,0,0,0,0.29916,0.29917,0.30161,0.30303,0.33269,0.33418,0.34629,0.35461,0.00114,0.00124,0.00124,0.00122,0.00922,0.00961,0.01001,0.01033,NA
