#
# 3-day product summary time series for ashburnham
#
# Site: ashburnham
# Veg Type: DB
# ROI ID Number: 0002
# Lat: 42.6029
# Lon: -71.926
# Elev: 292
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:21:38
# Update Date: 2016-06-13
# Update Time: 05:15:42
# Final Processing Date: 2016-06-13
# Final Processing Time: 17:53:06
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-02-13,2012,44,35,ashburnham_2012_02_13_120104.jpg,84.78287,69.49838,61.66062,0.32184,0.39262,83.22615,11.728,67.51315,7.85199,59.91173,6.05254,0.32047,0.00384,0.32169,0.32298,0.32382,0.39407,0.01559,0.39136,0.40558,0.41541,34.36572,NA,0,0,0,0,0.31943,0.32176,0.32297,0.32346,0.39758,0.39454,0.41022,0.41907,0.00301,0.00265,0.00294,0.00384,0.00898,0.01105,0.00992,0.00925,NA
2012-02-16,2012,47,24,ashburnham_2012_02_16_143102.jpg,73.31459,59.50876,52.55832,0.32101,0.39548,89.13979,10.15633,71.05218,7.13747,63.87056,7.48438,0.3171,0.00788,0.32081,0.32249,0.32302,0.39752,0.01836,0.3922,0.41501,0.42161,35.3995,NA,0,0,0,0,0.31941,0.3216,0.32291,0.32369,0.39598,0.39392,0.40829,0.41608,0.00235,0.00179,0.00212,0.00299,0.00722,0.00904,0.00797,0.0072,NA
2012-02-19,2012,50,54,ashburnham_2012_02_19_120103.jpg,92.68112,73.33003,61.33038,0.32255,0.40767,93.19048,8.64025,73.60509,6.74097,62.73466,5.89433,0.32051,0.00552,0.32229,0.32306,0.32378,0.40591,0.01202,0.40721,0.41234,0.41651,36.4622,NA,0,0,0,0,0.31942,0.32136,0.32286,0.3239,0.39475,0.39344,0.40675,0.41366,0.00187,0.00143,0.00165,0.00239,0.00588,0.00744,0.0065,0.00575,NA
2012-02-22,2012,53,49,ashburnham_2012_02_22_120104.jpg,101.5522,82.16262,69.95606,0.32389,0.40033,86.55623,10.12755,69.44956,7.42846,60.73443,6.02277,0.32029,0.0035,0.32124,0.32279,0.32367,0.39893,0.01363,0.40033,0.40967,0.41418,37.18504,NA,0,0,0,0,0.31946,0.32107,0.3228,0.32408,0.39385,0.3931,0.40557,0.41182,0.00159,0.00142,0.0015,0.00203,0.00498,0.0063,0.0055,0.00489,NA
2012-02-25,2012,56,58,ashburnham_2012_02_25_120104.jpg,75.45627,63.76395,59.83002,0.32034,0.37908,85.568,12.36511,69.47236,8.43965,62.73347,6.20006,0.31883,0.00699,0.32138,0.3231,0.32403,0.39175,0.0184,0.3909,0.40512,0.41306,38.6609,NA,0,0,0,0,0.31951,0.32079,0.32279,0.32425,0.39317,0.39291,0.40461,0.41037,0.00149,0.00151,0.00153,0.0019,0.0045,0.00563,0.00498,0.00458,NA
2012-02-28,2012,59,61,ashburnham_2012_02_28_120104.jpg,92.72546,73.59752,61.70507,0.32276,0.40664,83.60481,11.79597,68.18692,8.0566,60.98159,6.48464,0.3204,0.00546,0.32171,0.3231,0.32425,0.392,0.01767,0.39131,0.4067,0.41182,39.79041,NA,0,0,0,0,0.31959,0.32036,0.32279,0.32441,0.39272,0.39287,0.40389,0.40934,0.0015,0.00156,0.0016,0.00191,0.00437,0.00534,0.00482,0.0046,NA
2012-03-02,2012,62,57,ashburnham_2012_03_02_120104.jpg,59.76805,51.48752,49.27026,0.32074,0.37233,61.30915,5.8641,54.44361,7.08699,53.84655,6.6233,0.32047,0.00819,0.32074,0.326,0.3305,0.36228,0.01089,0.36092,0.37079,0.37882,40.93576,NA,0,0,0,0,0.3197,0.31999,0.32284,0.32456,0.3925,0.39296,0.40344,0.40878,0.00155,0.00165,0.00165,0.00197,0.00442,0.00532,0.00488,0.00474,NA
2012-03-05,2012,65,60,ashburnham_2012_03_05_120104.jpg,60.91906,48.90787,44.57424,0.31676,0.39455,61.55973,5.43256,50.29963,4.1971,47.15862,4.18394,0.31621,0.0037,0.31642,0.31874,0.321,0.38705,0.01442,0.39066,0.39627,0.40201,42.09387,NA,0,0,0,0,0.31981,0.31994,0.32292,0.3247,0.39245,0.39312,0.40317,0.40853,0.0016,0.00156,0.00164,0.00203,0.00455,0.00544,0.00503,0.0049,NA
2012-03-08,2012,68,57,ashburnham_2012_03_08_120104.jpg,95.47389,75.62419,62.53268,0.32369,0.40865,81.38728,15.63966,65.35225,12.08259,57.12511,9.53634,0.3202,0.00423,0.32108,0.32365,0.32447,0.39849,0.01411,0.39798,0.40865,0.41542,43.26181,NA,0,0,0,0,0.31992,0.32014,0.32304,0.32484,0.39249,0.39332,0.40299,0.40846,0.00163,0.00165,0.0017,0.00208,0.0047,0.00562,0.00519,0.00501,NA
2012-03-11,2012,71,57,ashburnham_2012_03_11_120102.jpg,94.00811,74.49795,61.70795,0.3236,0.40835,84.21197,12.1627,67.54418,8.64038,58.67059,5.30393,0.32064,0.00347,0.32164,0.32334,0.32378,0.399,0.01645,0.40377,0.40959,0.41502,44.43655,NA,0,0,0,0,0.32003,0.32106,0.32338,0.32493,0.39295,0.39375,0.40324,0.4092,0.00161,0.00156,0.00164,0.00205,0.00474,0.00574,0.00524,0.00493,NA
