#
# 3-day product summary time series for barrocolorado
#
# Site: barrocolorado
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 9.154
# Lon: -79.848
# Elev: 150
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:22:01
# Update Date: 2016-01-25
# Update Time: 14:22:03
# Final Processing Date: 2016-06-13
# Final Processing Time: 17:53:53
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-03-21,2013,80,126,barrocolorado_2013_03_21_124954.jpg,75.17786,68.39501,56.09858,0.34254,0.37651,88.50439,13.81588,81.82957,14.07143,65.5037,9.24354,0.34609,0.00781,0.34868,0.35109,0.35439,0.37552,0.01383,0.37295,0.37631,0.38787,81.65417,NA,0,0,0,0,0.34929,0.34987,0.35219,0.35527,0.38263,0.37874,0.3841,0.40319,0.00463,0.00365,0.00308,0.00393,0.00454,0.00381,0.00445,0.00643,NA
2013-03-24,2013,83,130,barrocolorado_2013_03_24_120102.jpg,86.28865,81.87364,62.5189,0.35492,0.37406,96.24088,13.24089,87.59542,12.5941,65.70022,7.62483,0.3503,0.00885,0.35305,0.35564,0.35677,0.38567,0.01586,0.38168,0.38915,0.40681,82.77769,NA,0,0,0,0,0.34669,0.35111,0.3538,0.35548,0.38218,0.37963,0.38515,0.40173,0.003,0.00231,0.00195,0.00248,0.00359,0.00282,0.00329,0.0057,NA
2013-03-27,2013,86,31,barrocolorado_2013_03_27_110102.jpg,109.15585,99.94356,71.47412,0.35621,0.38905,96.52491,11.40494,86.78812,11.56537,65.29406,6.56256,0.34822,0.00998,0.35228,0.35523,0.35638,0.38845,0.01711,0.38781,0.39546,0.41583,83.14494,NA,0,0,0,0,0.34472,0.35044,0.35369,0.35458,0.38163,0.38008,0.38577,0.40029,0.00297,0.00272,0.0023,0.00293,0.0029,0.00225,0.00263,0.00505,NA
2013-03-30,2013,89,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34343,0.34703,0.35119,0.35209,0.381,0.38002,0.38591,0.39887,0.00323,0.00265,0.00224,0.00286,0.00248,0.00207,0.00242,0.00448,NA
2013-04-02,2013,92,31,barrocolorado_2013_04_02_120103.jpg,121.42987,112.01673,87.23779,0.34931,0.37866,101.05741,15.61412,91.31876,14.8543,74.12158,8.5798,0.34135,0.01459,0.34472,0.34912,0.34999,0.37875,0.01403,0.37834,0.38364,0.39217,85.53709,NA,0,0,0,0,0.34345,0.3444,0.34926,0.35053,0.38031,0.37956,0.38566,0.39745,0.00332,0.00276,0.00233,0.00298,0.0023,0.00209,0.00244,0.004,NA
2013-04-05,2013,95,28,barrocolorado_2013_04_05_153102.jpg,88.92585,80.72511,65.17236,0.34377,0.37869,96.21565,15.21816,86.6415,15.19399,68.89125,9.06698,0.34304,0.0087,0.34442,0.35019,0.35205,0.38223,0.01121,0.38149,0.38514,0.39525,86.62782,NA,0,0,0,0,0.34628,0.34744,0.35192,0.35348,0.37956,0.37885,0.38515,0.39604,0.00308,0.00243,0.00205,0.00262,0.00229,0.00217,0.00253,0.00361,NA
2013-04-08,2013,98,61,barrocolorado_2013_04_08_120100.jpg,91.54058,86.94437,64.00669,0.35855,0.3775,88.56725,10.48404,83.4452,9.32414,63.01456,5.41557,0.35473,0.00569,0.35582,0.35843,0.36047,0.37645,0.01152,0.37665,0.38097,0.38827,87.15185,NA,0,0,0,0,0.35168,0.35367,0.35727,0.35914,0.3787,0.37757,0.3841,0.39462,0.00272,0.00212,0.00179,0.00228,0.00234,0.00215,0.00251,0.00331,NA
2013-04-11,2013,101,61,barrocolorado_2013_04_11_120101.jpg,100.40719,97.97969,69.47328,0.36579,0.37485,89.24621,13.91942,84.15072,14.46945,61.29229,8.0864,0.35738,0.01084,0.36157,0.36412,0.36579,0.3805,0.01645,0.37485,0.38727,0.4021,87.28289,NA,0,0,0,0,0.35768,0.36027,0.36295,0.36517,0.37775,0.37578,0.38258,0.39321,0.00301,0.00237,0.002,0.00255,0.00238,0.00213,0.00249,0.0031,NA
2013-04-14,2013,104,63,barrocolorado_2013_04_14_120100.jpg,80.47446,79.98425,58.00857,0.36612,0.36836,84.45479,14.72308,81.36693,13.08382,58.70166,7.06274,0.36194,0.0075,0.36355,0.36614,0.36865,0.37502,0.0127,0.37503,0.38068,0.3912,87.12694,NA,0,0,0,0,0.36134,0.36395,0.36634,0.36901,0.37679,0.37422,0.38132,0.39182,0.00291,0.00237,0.002,0.00255,0.00241,0.00218,0.00255,0.00297,NA
2013-04-17,2013,107,78,barrocolorado_2013_04_17_120100.jpg,82.67291,81.99055,61.72904,0.36216,0.36518,84.77143,11.51869,82.52194,11.46812,60.71913,5.56159,0.36109,0.00945,0.36397,0.36671,0.37052,0.3713,0.0148,0.372,0.3787,0.38178,86.81825,NA,0,0,0,0,0.36222,0.36504,0.36769,0.37043,0.37577,0.37327,0.38081,0.39046,0.00269,0.00237,0.002,0.00255,0.00244,0.00212,0.00248,0.0029,NA
2013-04-20,2013,110,76,barrocolorado_2013_04_20_120101.jpg,91.42674,90.99402,64.63002,0.36832,0.37007,88.4492,13.26476,86.42933,12.70177,61.4506,7.43128,0.36528,0.00545,0.36679,0.3692,0.37071,0.37389,0.0128,0.37196,0.37921,0.38823,86.16269,NA,0,0,0,0,0.36183,0.36492,0.36768,0.36988,0.37475,0.37248,0.3804,0.38913,0.00291,0.00237,0.002,0.00255,0.00255,0.00221,0.00258,0.00289,NA
