#
# 3-day product summary time series for barrocolorado
#
# Site: barrocolorado
# Veg Type: EB
# ROI ID Number: 0002
# Lat: 9.154
# Lon: -79.848
# Elev: 150
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-05-24
# Creation Time: 15:10:21
# Update Date: 2016-05-24
# Update Time: 15:10:23
# Final Processing Date: 2016-06-13
# Final Processing Time: 17:54:30
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2014-10-17,2014,290,115,barrocolorado_2014_10_17_120104.jpg,69.75425,73.59808,50.87734,0.37892,0.35913,71.069,7.5971,73.17327,7.20118,49.88854,4.95531,0.37651,0.0151,0.37906,0.38665,0.39173,0.36567,0.02075,0.36947,0.37461,0.38132,71.44883,NA,0,0,0,0,0.37429,0.37818,0.3839,0.38722,0.36397,0.36791,0.3746,0.3805,0.00349,0.0027,0.003,0.00381,0.0046,0.00414,0.0049,0.00543,NA
2014-10-20,2014,293,137,barrocolorado_2014_10_20_120106.jpg,80.69519,81.22395,50.44414,0.38248,0.37999,73.36386,8.84836,76.24496,7.43856,54.08114,8.11113,0.37418,0.01804,0.37939,0.38343,0.38674,0.35984,0.02809,0.36305,0.37309,0.37963,70.72539,NA,0,0,0,0,0.37405,0.37775,0.3827,0.38697,0.36425,0.36812,0.37474,0.38051,0.00277,0.00199,0.00213,0.00289,0.00397,0.00357,0.00423,0.00468,NA
2014-10-23,2014,296,135,barrocolorado_2014_10_23_120103.jpg,86.93978,87.17424,57.99993,0.37557,0.37456,75.33289,9.15821,76.98787,8.03314,55.52226,5.76707,0.37019,0.00957,0.37351,0.37531,0.37795,0.36186,0.01719,0.36578,0.37362,0.37639,69.65725,NA,0,0,0,0,0.37379,0.37737,0.38191,0.3867,0.36457,0.36836,0.37493,0.38059,0.00223,0.00155,0.00166,0.00227,0.00343,0.00308,0.00365,0.00404,NA
2014-10-26,2014,299,129,barrocolorado_2014_10_26_120104.jpg,64.14811,65.4145,56.38169,0.3518,0.34499,73.10419,9.4822,74.91103,8.40493,52.59763,7.72986,0.37325,0.01856,0.37841,0.38345,0.39092,0.36392,0.02449,0.36775,0.37654,0.38412,68.61308,NA,0,0,0,0,0.3735,0.37697,0.38133,0.38634,0.36492,0.36862,0.37514,0.38071,0.0019,0.00138,0.00155,0.00197,0.00299,0.00269,0.00318,0.00352,NA
2014-10-29,2014,302,66,barrocolorado_2014_10_29_120104.jpg,88.15107,87.64709,55.11162,0.37957,0.38176,75.88563,9.62049,76.88935,9.28468,52.33099,4.87507,0.37455,0.00881,0.37648,0.37918,0.38324,0.36945,0.00913,0.37103,0.37544,0.38043,67.59382,NA,0,0,0,0,0.37316,0.37658,0.38108,0.38592,0.36529,0.36889,0.37539,0.38089,0.00175,0.00139,0.00161,0.00192,0.00266,0.00239,0.00283,0.00313,NA
2014-11-01,2014,305,66,barrocolorado_2014_11_01_120103.jpg,71.14545,76.17404,58.17091,0.37069,0.34622,74.09144,9.73774,75.3841,9.5073,52.4342,4.96812,0.37286,0.01411,0.37502,0.38163,0.3878,0.36629,0.0152,0.36958,0.37424,0.37987,66.61118,NA,0,0,0,0,0.37278,0.37614,0.38094,0.38541,0.3657,0.36919,0.37567,0.38113,0.00174,0.00147,0.00169,0.00201,0.00243,0.00218,0.00258,0.00286,NA
2014-11-04,2014,308,66,barrocolorado_2014_11_04_120104.jpg,63.00862,67.09278,50.64284,0.3712,0.34861,74.9797,10.24658,74.02347,10.34211,52.97579,4.28409,0.36559,0.01495,0.37102,0.37501,0.37735,0.37049,0.01434,0.37571,0.38006,0.38353,65.66201,NA,0,0,0,0,0.37238,0.37573,0.38135,0.38487,0.36614,0.36952,0.37598,0.38142,0.0018,0.00154,0.00175,0.00211,0.00229,0.00206,0.00244,0.00271,NA
2014-11-07,2014,311,66,barrocolorado_2014_11_07_120103.jpg,78.2161,78.22586,51.28349,0.37658,0.37654,72.68657,8.06532,73.89316,6.80106,50.20902,5.18085,0.3752,0.01288,0.37789,0.3837,0.38677,0.3689,0.0225,0.37558,0.37964,0.38676,64.74997,NA,0,0,0,0,0.37198,0.37526,0.3817,0.38423,0.36663,0.3699,0.37634,0.38178,0.00189,0.00159,0.00188,0.00219,0.00224,0.00202,0.00239,0.00265,NA
2014-11-10,2014,314,66,barrocolorado_2014_11_10_120104.jpg,78.71588,83.82134,51.45115,0.39171,0.36785,72.70887,7.16012,74.17007,6.63368,49.87489,3.4092,0.37669,0.00965,0.37858,0.38391,0.38744,0.36906,0.01184,0.3705,0.3765,0.38328,63.87742,NA,0,0,0,0,0.37154,0.37468,0.38107,0.38353,0.36715,0.3703,0.37673,0.38219,0.00194,0.00162,0.00188,0.00226,0.00225,0.00202,0.0024,0.00265,NA
2014-11-13,2014,317,32,barrocolorado_2014_11_13_120105.jpg,86.42532,84.86196,55.21433,0.37466,0.38157,74.55854,10.85347,76.25028,8.66713,52.85692,7.90516,0.37483,0.01514,0.37464,0.38352,0.38864,0.36515,0.01792,0.3715,0.37609,0.37946,63.04719,NA,0,0,0,0,0.37104,0.37402,0.38006,0.38269,0.3677,0.37073,0.37715,0.38265,0.00198,0.00175,0.00202,0.0024,0.00228,0.00205,0.00243,0.00269,NA
2014-11-16,2014,320,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37054,0.37285,0.37776,0.38078,0.36828,0.37117,0.37761,0.38318,0.00206,0.00169,0.00193,0.00233,0.00232,0.00209,0.00247,0.00274,NA
2014-11-19,2014,323,10,barrocolorado_2014_11_20_124930.jpg,83.53182,83.61212,57.7752,0.37174,0.37139,80.03374,9.09091,81.56204,7.23144,59.11129,4.31469,0.36963,0.00964,0.36906,0.37093,0.37413,0.36175,0.01119,0.36058,0.37036,0.37414,59.07095,NA,0,0,0,0,0.37006,0.37167,0.37534,0.37895,0.3689,0.37166,0.37811,0.38376,0.00211,0.00175,0.00202,0.0024,0.00237,0.00213,0.00252,0.00279,NA
2014-11-22,2014,326,64,barrocolorado_2014_11_22_120105.jpg,75.11056,78.47251,64.17296,0.36037,0.34493,86.32732,11.7246,86.53884,10.45872,61.57309,7.38484,0.36895,0.00903,0.36951,0.37299,0.37636,0.36787,0.01989,0.37301,0.38046,0.3864,60.83879,NA,0,0,0,0,0.36964,0.37081,0.37404,0.37809,0.36957,0.37218,0.37865,0.38441,0.00203,0.00164,0.00185,0.00227,0.00241,0.00217,0.00257,0.00284,NA
2014-11-25,2014,329,66,barrocolorado_2014_11_25_120105.jpg,90.76375,90.07421,59.80405,0.37431,0.37717,87.41732,13.02888,86.10625,12.17351,59.71357,7.04375,0.36863,0.01153,0.37105,0.37426,0.37896,0.37431,0.02323,0.37504,0.38255,0.38877,60.20446,NA,0,0,0,0,0.36923,0.36996,0.37306,0.37735,0.37029,0.37277,0.37922,0.38511,0.002,0.00158,0.00176,0.00221,0.00245,0.0022,0.00261,0.00288,NA
2014-11-28,2014,332,66,barrocolorado_2014_11_28_120105.jpg,104.93304,102.21367,68.99687,0.37015,0.37999,91.70789,12.13052,88.17955,14.079,62.87974,7.2693,0.36172,0.01433,0.36889,0.37054,0.37133,0.37828,0.01895,0.37942,0.38321,0.39374,59.62537,NA,0,0,0,0,0.36879,0.36949,0.37277,0.37684,0.37107,0.37341,0.37984,0.38588,0.00204,0.00162,0.00182,0.00226,0.00247,0.00222,0.00263,0.00291,NA
2014-12-01,2014,335,66,barrocolorado_2014_12_01_120105.jpg,103.41375,98.43922,63.22003,0.37137,0.39013,86.31963,13.85995,84.17986,12.90651,58.79868,7.84284,0.36652,0.01039,0.36954,0.37218,0.37502,0.37597,0.02317,0.37916,0.38513,0.38959,59.10359,NA,0,0,0,0,0.36855,0.37002,0.37415,0.37748,0.37193,0.3741,0.38055,0.38677,0.00195,0.00155,0.00175,0.00217,0.00245,0.00221,0.00261,0.00289,NA
2014-12-04,2014,338,65,barrocolorado_2014_12_04_120108.jpg,90.09401,90.56365,60.90364,0.37491,0.37297,84.61287,10.22657,84.62282,9.72503,59.16846,5.76725,0.37014,0.00902,0.37023,0.37543,0.3791,0.37011,0.0149,0.37021,0.37739,0.38425,58.6403,NA,0,0,0,0,0.36857,0.37068,0.3756,0.37823,0.37286,0.37483,0.38134,0.3878,0.00186,0.00163,0.00185,0.00222,0.00245,0.0022,0.00261,0.00289,NA
2014-12-07,2014,341,66,barrocolorado_2014_12_07_120108.jpg,84.40727,88.58003,54.59342,0.38922,0.37089,85.33656,12.54425,85.51101,11.60448,58.60769,7.79654,0.37257,0.01248,0.37152,0.38188,0.38692,0.37139,0.01432,0.37341,0.37813,0.38762,58.23832,NA,0,0,0,0,0.36851,0.37093,0.3759,0.37848,0.37383,0.3756,0.38217,0.38888,0.00191,0.00157,0.00177,0.00217,0.00249,0.00224,0.00266,0.00294,NA
2014-12-10,2014,344,65,barrocolorado_2014_12_10_120106.jpg,115.8269,113.95112,80.7006,0.36702,0.37306,88.75493,12.09642,87.45136,10.91837,61.70832,5.37061,0.3672,0.00991,0.36998,0.37336,0.37679,0.37221,0.01305,0.37456,0.38158,0.38636,57.89736,NA,0,0,0,0,0.36803,0.37098,0.37579,0.3785,0.37482,0.37643,0.38298,0.38993,0.00199,0.0016,0.00182,0.00223,0.00252,0.00227,0.00269,0.00298,NA
2014-12-13,2014,347,64,barrocolorado_2014_12_13_120104.jpg,88.47574,87.01018,59.91636,0.36962,0.37585,86.37453,10.21632,86.91934,8.90887,60.21901,5.72162,0.37213,0.00629,0.37331,0.37571,0.37902,0.36937,0.01454,0.37365,0.3791,0.3811,57.61974,NA,0,0,0,0,0.367,0.37064,0.37461,0.37755,0.37605,0.37755,0.38391,0.39115,0.00193,0.00155,0.00174,0.00217,0.00247,0.00222,0.00263,0.00291,NA
2014-12-16,2014,350,45,barrocolorado_2014_12_16_123102.jpg,84.51445,82.77243,60.00981,0.36416,0.37182,89.83242,12.16774,88.00764,11.05265,62.32297,6.65275,0.36597,0.01139,0.3705,0.37314,0.37678,0.37356,0.0188,0.37423,0.38367,0.3921,57.407,NA,0,0,0,0,0.36562,0.37002,0.373,0.37626,0.37755,0.37896,0.38502,0.39263,0.00186,0.0016,0.00182,0.00222,0.00242,0.00218,0.00258,0.00286,NA
2014-12-19,2014,353,66,barrocolorado_2014_12_19_120106.jpg,108.6602,102.17552,66.9207,0.36786,0.39121,91.56216,13.9566,87.31248,14.07827,61.83818,7.53219,0.36158,0.01208,0.36706,0.36854,0.37006,0.38019,0.02023,0.38091,0.38651,0.39621,57.25701,NA,0,0,0,0,0.36404,0.36874,0.37108,0.37424,0.37904,0.38038,0.38612,0.3941,0.0019,0.00155,0.00175,0.00215,0.00245,0.00221,0.00261,0.00289,NA
2014-12-22,2014,356,66,barrocolorado_2014_12_22_120105.jpg,100.2564,96.99399,65.93032,0.36855,0.38094,88.00496,10.89396,84.98315,10.56206,59.37729,6.19594,0.36504,0.00937,0.36777,0.36939,0.37166,0.3787,0.02097,0.38286,0.38739,0.39214,57.28956,NA,0,0,0,0,0.3624,0.36718,0.36901,0.37196,0.38023,0.38151,0.38702,0.39527,0.00195,0.00159,0.00182,0.0022,0.0025,0.00224,0.00266,0.00294,NA
2014-12-25,2014,359,66,barrocolorado_2014_12_25_120105.jpg,76.57448,76.59477,57.70835,0.36322,0.36312,89.01819,11.17751,83.90169,12.39257,59.56915,6.29413,0.35968,0.01291,0.36548,0.36831,0.3714,0.38311,0.01532,0.38198,0.39122,0.40018,57.39815,NA,0,0,0,0,0.36033,0.36533,0.36748,0.36981,0.38122,0.38245,0.38779,0.39621,0.00188,0.00152,0.00172,0.00212,0.00246,0.00221,0.00262,0.0029,NA
2014-12-28,2014,362,66,barrocolorado_2014_12_28_120105.jpg,105.93637,100.78632,68.58888,0.36608,0.38479,92.77485,13.25546,85.85782,15.16965,61.04863,7.99822,0.35639,0.01409,0.36357,0.36579,0.3676,0.38793,0.01972,0.38605,0.39167,0.40106,57.5725,NA,0,0,0,0,0.35777,0.36336,0.36596,0.36762,0.38227,0.38346,0.38857,0.39716,0.00184,0.00156,0.00178,0.00217,0.00238,0.00214,0.00253,0.00281,NA
2014-12-31,2014,365,66,barrocolorado_2014_12_31_120106.jpg,82.53332,81.02282,59.05046,0.36397,0.37076,88.4183,12.74575,82.19112,13.86629,60.44744,7.38212,0.35412,0.01428,0.36085,0.36401,0.36516,0.38315,0.02231,0.38399,0.3892,0.40396,57.81208,NA,0,0,0,0,0.35535,0.36144,0.36432,0.36564,0.3833,0.38448,0.38935,0.39808,0.0019,0.00153,0.00172,0.00213,0.00232,0.00209,0.00247,0.00274,NA
2015-01-02,2015,2,44,barrocolorado_2015_01_02_120104.jpg,105.79263,98.2712,66.17408,0.36365,0.39148,91.53202,13.52397,84.27055,14.00055,60.71055,6.15163,0.35479,0.01253,0.36023,0.36359,0.36523,0.38679,0.01537,0.38981,0.39207,0.39791,58.00766,NA,0,0,0,0,0.35413,0.3602,0.36321,0.3644,0.38396,0.38513,0.38985,0.39866,0.00194,0.00156,0.00177,0.00216,0.00232,0.00209,0.00247,0.00274,NA
2015-01-05,2015,5,63,barrocolorado_2015_01_05_120106.jpg,109.88897,101.61205,68.37999,0.36305,0.39263,91.31849,13.64719,83.68044,14.7272,61.42723,7.86523,0.35228,0.01324,0.35849,0.36162,0.3628,0.38675,0.01967,0.38862,0.392,0.40182,58.35414,NA,0,0,0,0,0.35273,0.35844,0.3613,0.36262,0.38486,0.38601,0.39054,0.39946,0.00188,0.00148,0.00166,0.00208,0.00237,0.00213,0.00252,0.00279,NA
2015-01-08,2015,8,63,barrocolorado_2015_01_08_120105.jpg,92.75051,86.68157,60.40612,0.36142,0.38672,92.76667,14.86361,84.97021,15.17341,63.18962,7.62279,0.35111,0.01176,0.35681,0.35967,0.36108,0.38496,0.01605,0.38698,0.39006,0.39594,58.76338,NA,0,0,0,0,0.35151,0.3567,0.35926,0.36086,0.38559,0.38674,0.39114,0.40013,0.00189,0.0015,0.00168,0.00209,0.00245,0.0022,0.00261,0.00289,NA
2015-01-11,2015,11,63,barrocolorado_2015_01_11_120106.jpg,81.36392,81.36258,67.41854,0.35353,0.35353,94.64653,14.06354,85.24093,14.71684,63.1272,7.9986,0.34919,0.01205,0.35565,0.35733,0.35847,0.38978,0.01787,0.38924,0.39338,0.40727,59.23409,NA,0,0,0,0,0.35051,0.35531,0.35765,0.35943,0.38611,0.38724,0.39161,0.40065,0.00195,0.00159,0.00182,0.0022,0.00249,0.00224,0.00265,0.00293,NA
2015-01-14,2015,14,63,barrocolorado_2015_01_14_120106.jpg,107.89587,98.49144,70.83595,0.35528,0.3892,94.89241,12.60818,85.45023,13.33628,64.31293,7.25948,0.34797,0.01187,0.35356,0.35569,0.35749,0.38812,0.01498,0.38849,0.39199,0.40344,59.76473,NA,0,0,0,0,0.34992,0.35439,0.35657,0.35843,0.38626,0.38741,0.39187,0.40082,0.00189,0.00155,0.00175,0.00215,0.00245,0.0022,0.00261,0.00289,NA
2015-01-17,2015,17,63,barrocolorado_2015_01_17_120106.jpg,88.465,81.28972,56.72828,0.35892,0.3906,91.02415,12.58917,83.02509,11.37771,62.43907,6.55524,0.35051,0.00892,0.35315,0.3553,0.35706,0.38439,0.01297,0.38532,0.38918,0.39886,60.3535,NA,0,0,0,0,0.34972,0.35371,0.35579,0.35764,0.38608,0.38732,0.39192,0.40066,0.00184,0.0016,0.00182,0.00222,0.00242,0.00218,0.00258,0.00285,NA
2015-01-20,2015,20,63,barrocolorado_2015_01_20_120105.jpg,82.94851,79.15922,65.41319,0.34792,0.36458,92.23799,11.37684,84.19131,10.29255,64.06812,4.96706,0.34947,0.00708,0.35237,0.35471,0.35569,0.38298,0.01174,0.38473,0.38936,0.39351,60.99834,NA,0,0,0,0,0.34965,0.3534,0.35556,0.35723,0.3858,0.38713,0.39191,0.40042,0.00191,0.00155,0.00174,0.00216,0.00246,0.00221,0.00262,0.0029,NA
