#
# 3-day product summary time series for barrow
#
# Site: barrow
# Veg Type: TN
# ROI ID Number: 0002
# Lat: 71.28007453
# Lon: -156.60914915
# Elev: 5
# UTC Offset: -9
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-03-29
# Creation Time: 10:36:24
# Update Date: 2016-06-13
# Update Time: 05:15:58
# Final Processing Date: 2016-06-13
# Final Processing Time: 17:54:48
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2014-06-22,2014,173,65,barrow_2014_06_22_120004.jpg,100.45414,81.50308,73.34835,0.31924,0.39347,98.9426,7.89558,81.39804,7.90524,76.55776,8.48378,0.31667,0.00288,0.31696,0.31869,0.31997,0.38564,0.01306,0.38831,0.39313,0.40198,42.16921,NA,0,0,0,0,0.30881,0.31329,0.31031,0.31211,0.38285,0.38713,0.3951,0.40317,0.00338,0.00308,0.00347,0.00364,0.019,0.02098,0.01751,0.01863,NA
2014-06-25,2014,176,59,barrow_2014_06_25_143003.jpg,94.46246,76.03806,72.50636,0.3129,0.38872,97.19929,10.96107,79.86593,11.6162,77.42289,13.53273,0.31336,0.00442,0.31348,0.31512,0.31665,0.38335,0.02226,0.39088,0.39877,0.406,42.12849,NA,0,0,0,0,0.3134,0.31548,0.31507,0.31681,0.38709,0.39155,0.39929,0.40727,0.00279,0.00223,0.00288,0.00302,0.01566,0.01729,0.01453,0.01546,NA
2014-06-28,2014,179,83,barrow_2014_06_28_000003.jpg,92.7992,81.35186,83.12689,0.3162,0.3607,97.05723,8.6782,80.13407,6.82005,76.05165,9.02154,0.31625,0.00419,0.31563,0.31829,0.32177,0.3837,0.02494,0.38857,0.39861,0.4082,41.92333,NA,0,0,0,0,0.31774,0.31791,0.31956,0.32124,0.39126,0.39588,0.40341,0.41133,0.00231,0.00173,0.00241,0.00252,0.013,0.01436,0.01214,0.01291,NA
2014-07-01,2014,182,67,barrow_2014_07_01_000003.jpg,104.4393,82.51079,72.87674,0.31756,0.40196,97.94834,6.55388,80.1857,6.08024,73.20763,7.81138,0.31897,0.00281,0.31871,0.32118,0.32244,0.39019,0.01675,0.39469,0.39936,0.40497,41.71874,NA,0,0,0,0,0.32183,0.32059,0.32379,0.32542,0.39538,0.40013,0.40746,0.41534,0.00197,0.00157,0.00205,0.00215,0.01106,0.01221,0.01035,0.01101,NA
2014-07-04,2014,185,122,barrow_2014_07_04_120003.jpg,100.49041,81.7218,70.3073,0.32363,0.39795,97.15168,6.735,78.82168,4.66143,68.50081,8.22182,0.32238,0.00333,0.32263,0.3248,0.3259,0.39789,0.02484,0.4032,0.40964,0.41761,41.63713,NA,0,0,0,0,0.32559,0.32344,0.32766,0.32925,0.39948,0.40432,0.41149,0.41933,0.00175,0.0016,0.00182,0.0019,0.00983,0.01085,0.00917,0.00975,NA
2014-07-07,2014,188,121,barrow_2014_07_07_120003.jpg,105.0761,84.69377,69.8763,0.32619,0.40469,94.04057,8.36921,74.98001,6.81949,60.94047,9.85277,0.32598,0.00248,0.32613,0.32707,0.32896,0.40997,0.02878,0.41392,0.42916,0.43862,41.35255,NA,0,0,0,0,0.32901,0.32635,0.33117,0.33273,0.4036,0.40851,0.41553,0.42333,0.00165,0.00169,0.0017,0.00178,0.00925,0.01022,0.00856,0.00911,NA
2014-07-10,2014,191,124,barrow_2014_07_10_120003.jpg,105.52699,82.20413,62.59493,0.32839,0.42156,97.16141,7.90108,75.54696,6.2677,57.5455,7.7557,0.32806,0.00383,0.32882,0.33038,0.3316,0.42258,0.02142,0.42687,0.43571,0.44167,41.00922,NA,0,0,0,0,0.33214,0.32958,0.33438,0.33589,0.40778,0.41271,0.4196,0.42738,0.00163,0.0017,0.00166,0.00174,0.00915,0.0101,0.0084,0.00893,NA
2014-07-13,2014,194,120,barrow_2014_07_13_120003.jpg,100.95434,79.15455,57.35801,0.33333,0.42513,97.82539,5.03,76.98567,3.73686,56.63798,5.20816,0.33259,0.00278,0.33303,0.33398,0.33469,0.42289,0.01655,0.42675,0.43155,0.43829,40.60842,NA,0,0,0,0,0.33501,0.33307,0.33728,0.33877,0.41203,0.41693,0.42369,0.43146,0.00165,0.00173,0.00168,0.00176,0.00929,0.01026,0.00848,0.00902,NA
2014-07-16,2014,197,114,barrow_2014_07_16_120003.jpg,101.37112,78.97834,51.69255,0.34036,0.43687,97.30181,5.69915,77.24758,4.55507,54.97411,4.50372,0.33646,0.00483,0.33792,0.33921,0.34004,0.4241,0.01427,0.42558,0.43096,0.44096,40.15151,NA,0,0,0,0,0.33754,0.33621,0.33983,0.34129,0.4163,0.42114,0.42779,0.43556,0.0017,0.00179,0.00172,0.0018,0.00953,0.01052,0.00868,0.00924,NA
2014-07-19,2014,200,113,barrow_2014_07_19_120003.jpg,97.63502,79.31688,56.43762,0.33985,0.41834,96.0761,4.42665,77.81668,2.49352,55.12721,3.72002,0.33979,0.00209,0.33954,0.3408,0.34197,0.41953,0.01408,0.42287,0.42819,0.4322,39.63995,NA,0,0,0,0,0.33966,0.33904,0.34197,0.34341,0.42057,0.42531,0.43188,0.43965,0.00174,0.00173,0.00177,0.00185,0.00979,0.0108,0.00892,0.00949,NA
