#
# 3-day product summary time series for bitterootvalley
#
# Site: bitterootvalley
# Veg Type: DB
# ROI ID Number: 0002
# Lat: 46.507
# Lon: -114.091
# Elev: 1017
# UTC Offset: -7
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:23:17
# Update Date: 2016-06-13
# Update Time: 05:16:15
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:00:43
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2009-09-14,2009,257,14,bitterootvalley_2009_09_15_070000.jpg,49.52846,58.52513,33.79521,0.41259,0.34916,73.47596,21.1996,83.98665,21.31532,51.62961,14.65913,0.40385,0.00841,0.40668,0.41126,0.41256,0.34996,0.00957,0.34838,0.35158,0.36477,46.24105,NA,0,0,0,0,0.40231,0.40373,0.41003,0.41208,0.35118,0.34623,0.35481,0.36659,0.0033,0.00374,0.00355,0.00378,0.00741,0.00754,0.00755,0.00893,NA
2009-09-17,2009,260,30,bitterootvalley_2009_09_17_110000.jpg,86.34585,95.55624,58.2108,0.39796,0.35961,80.05095,24.97319,88.49379,25.23309,54.24172,17.78627,0.39974,0.00895,0.398,0.40832,0.41008,0.35823,0.0169,0.35317,0.36261,0.37287,45.40804,NA,0,0,0,0,0.39922,0.39974,0.40562,0.40809,0.35468,0.35107,0.3595,0.37033,0.00217,0.00246,0.00234,0.00249,0.00615,0.00607,0.00627,0.00741,NA
2009-09-20,2009,263,18,bitterootvalley_2009_09_19_170000.jpg,41.87173,48.46272,32.88583,0.3933,0.33981,82.8282,24.82565,90.51695,25.44,56.90929,17.19202,0.39437,0.0058,0.39409,0.39704,0.40273,0.35855,0.01868,0.35733,0.36099,0.37374,44.2394,NA,0,0,0,0,0.39714,0.39702,0.4026,0.40529,0.35778,0.35539,0.3637,0.37368,0.00178,0.00201,0.00191,0.00204,0.00513,0.00494,0.00523,0.00619,NA
2009-09-23,2009,266,19,bitterootvalley_2009_09_23_120000.jpg,100.84316,109.22406,76.30993,0.3814,0.35213,79.31852,27.09034,86.74255,26.87323,55.77008,17.72818,0.39259,0.00682,0.39242,0.39807,0.40143,0.35503,0.01604,0.35554,0.3611,0.36963,43.11431,NA,0,0,0,0,0.39564,0.3951,0.40044,0.40326,0.36047,0.35923,0.36737,0.37662,0.00184,0.00208,0.00198,0.00211,0.00438,0.00418,0.00446,0.00527,NA
2009-09-26,2009,269,18,bitterootvalley_2009_09_26_120000.jpg,100.21134,107.76612,69.28467,0.38868,0.36143,79.83055,22.89695,83.86177,22.51096,49.01532,14.25987,0.3949,0.00446,0.39569,0.39778,0.3994,0.37398,0.02198,0.36364,0.39272,0.40325,41.98441,NA,0,0,0,0,0.39519,0.39459,0.39968,0.4024,0.36272,0.36258,0.3705,0.37915,0.00193,0.00219,0.00208,0.00222,0.00388,0.00378,0.00395,0.00467,NA
2009-09-29,2009,272,17,bitterootvalley_2009_09_29_120100.jpg,97.74762,104.41391,66.24913,0.38901,0.36417,77.81574,28.51861,84.11145,27.93972,53.5327,16.66038,0.39114,0.00559,0.38943,0.39564,0.39698,0.35711,0.0156,0.3614,0.36813,0.37373,40.85228,NA,0,0,0,0,0.39509,0.39463,0.3995,0.40207,0.36457,0.3654,0.37313,0.38128,0.002,0.00227,0.00216,0.0023,0.00362,0.00366,0.00368,0.00436,NA
2009-10-02,2009,275,16,bitterootvalley_2009_10_02_090100.jpg,73.20241,78.71476,43.30221,0.40321,0.37498,81.07096,23.99171,88.38929,23.83322,53.59292,16.09372,0.39802,0.0072,0.39758,0.40414,0.40796,0.36234,0.00964,0.36623,0.36876,0.37168,39.72048,NA,0,0,0,0,0.39619,0.396,0.40083,0.40354,0.36603,0.36768,0.37528,0.38301,0.00189,0.00214,0.00204,0.00217,0.00354,0.00371,0.00361,0.00427,NA
2009-10-05,2009,278,21,bitterootvalley_2009_10_05_110000.jpg,53.31858,60.4603,35.65986,0.40458,0.35679,81.35024,21.05215,89.59993,21.02732,55.34905,14.30987,0.39702,0.00622,0.39623,0.40236,0.40458,0.35841,0.01562,0.35857,0.36825,0.37823,38.28679,NA,0,0,0,0,0.39567,0.39571,0.40055,0.40345,0.36712,0.36939,0.37698,0.38435,0.002,0.00227,0.00216,0.0023,0.0036,0.00384,0.00367,0.00433,NA
2009-10-08,2009,281,20,bitterootvalley_2009_10_08_120000.jpg,96.29275,100.01284,60.96848,0.38874,0.37428,65.61578,16.14898,70.85573,15.94722,43.8241,8.98424,0.39293,0.00527,0.39489,0.39611,0.39986,0.36238,0.01255,0.36421,0.37405,0.376,37.46783,NA,0,0,0,0,0.38952,0.38968,0.3943,0.3973,0.36778,0.37058,0.37813,0.38524,0.00189,0.00214,0.00204,0.00217,0.00369,0.00394,0.00376,0.00445,NA
2009-10-11,2009,284,20,bitterootvalley_2009_10_11_120000.jpg,77.85582,81.06827,49.57424,0.38882,0.37341,77.71407,22.62453,80.07718,20.89162,50.00424,13.94083,0.38661,0.00601,0.38753,0.3905,0.39371,0.3721,0.0156,0.37453,0.37731,0.37921,36.35207,NA,0,0,0,0,0.38124,0.38149,0.38572,0.38877,0.36798,0.37128,0.37871,0.38566,0.002,0.00227,0.00216,0.0023,0.00378,0.00401,0.00385,0.00455,NA
