#
# 3-day product summary time series for bostoncommon
#
# Site: bostoncommon
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 42.355912
# Lon: -71.064145
# Elev: 10
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:24:02
# Update Date: 2016-06-13
# Update Time: 05:16:34
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:02:23
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-05-05,2010,125,26,bostoncommon_2010_05_06_112648.jpg,72.69278,115.32083,66.70413,0.45274,0.28539,72.84933,5.86481,110.65452,5.28635,57.16302,5.2634,0.45994,0.0062,0.45885,0.4646,0.46654,0.30272,0.01864,0.2987,0.32078,0.32328,64.11303,NA,0,0,0,0,0.4529,0.45775,0.46408,0.4674,0.30451,0.30944,0.32194,0.32428,0.00485,0.00463,0.00417,0.00435,0.0111,0.01393,0.01271,0.01221,NA
2010-05-08,2010,128,153,bostoncommon_2010_05_08_115701.jpg,71.4503,112.40277,79.11003,0.42745,0.27171,71.56469,8.84229,108.44027,16.85174,64.12309,11.89409,0.44143,0.03585,0.45279,0.45893,0.46374,0.29485,0.02782,0.30386,0.31462,0.31851,65.10481,NA,0,0,0,0,0.44991,0.45603,0.46257,0.46619,0.30242,0.30705,0.31913,0.32199,0.00368,0.00351,0.00294,0.00307,0.00953,0.01215,0.01109,0.01065,NA
2010-05-11,2010,131,151,bostoncommon_2010_05_11_115720.jpg,80.56292,113.28006,59.47957,0.44718,0.31803,74.63449,7.95202,110.56002,12.69094,61.39192,11.04705,0.44755,0.02896,0.45471,0.46566,0.4694,0.30329,0.02053,0.30654,0.31558,0.32009,65.87556,NA,0,0,0,0,0.44716,0.4543,0.46097,0.46477,0.30044,0.30478,0.31649,0.31984,0.00289,0.00276,0.00229,0.00239,0.00818,0.0106,0.00967,0.00929,NA
2010-05-14,2010,134,151,bostoncommon_2010_05_14_115739.jpg,66.70377,107.8839,62.80486,0.45445,0.28099,74.55396,8.91875,109.75401,15.92326,62.06665,9.91271,0.44288,0.03425,0.45289,0.45759,0.46331,0.30355,0.0235,0.31253,0.31952,0.32252,66.60022,NA,0,0,0,0,0.44463,0.45255,0.45928,0.46316,0.29857,0.30263,0.314,0.31783,0.0025,0.00238,0.00213,0.00223,0.00709,0.00929,0.00848,0.00814,NA
2010-05-17,2010,137,154,bostoncommon_2010_05_17_115759.jpg,75.54687,111.31338,56.12288,0.45811,0.31091,73.70483,7.09645,109.27518,14.73903,60.46136,8.97995,0.4468,0.03292,0.45575,0.46163,0.46612,0.30378,0.01785,0.30514,0.31326,0.31833,67.27684,NA,0,0,0,0,0.44229,0.45082,0.45754,0.46144,0.2968,0.3006,0.31166,0.31596,0.00241,0.0023,0.00221,0.00231,0.00626,0.00825,0.00753,0.00723,NA
2010-05-20,2010,140,159,bostoncommon_2010_05_20_115818.jpg,78.21793,111.64677,58.21342,0.45005,0.3153,72.61138,9.07841,108.72605,15.13034,69.93746,13.03296,0.43081,0.03236,0.44302,0.4499,0.45267,0.28991,0.02799,0.29872,0.31231,0.31516,67.90353,NA,0,0,0,0,0.44011,0.44912,0.45581,0.45971,0.29513,0.29869,0.30949,0.31423,0.00249,0.00238,0.00233,0.00243,0.00569,0.00747,0.00682,0.00654,NA
2010-05-23,2010,143,143,bostoncommon_2010_05_23_115838.jpg,77.21311,113.01398,61.91266,0.44822,0.30623,73.38119,7.43365,109.40777,13.64928,63.90305,11.72233,0.44209,0.03175,0.45267,0.45788,0.4619,0.29837,0.02116,0.30433,0.31019,0.31437,68.47836,NA,0,0,0,0,0.43818,0.44744,0.45394,0.45774,0.29358,0.29689,0.30747,0.31264,0.00258,0.00246,0.00231,0.00241,0.00536,0.00694,0.00633,0.00608,NA
2010-05-26,2010,146,157,bostoncommon_2010_05_26_115858.jpg,77.18464,114.97322,63.19669,0.45025,0.30226,74.77452,7.15716,110.3958,13.80933,65.53794,10.44717,0.43863,0.02923,0.44883,0.45162,0.45424,0.2992,0.02128,0.30333,0.3102,0.31594,68.99979,NA,0,0,0,0,0.4365,0.44577,0.45196,0.4556,0.29213,0.29523,0.30562,0.31119,0.00265,0.00253,0.00238,0.00248,0.00522,0.00663,0.00605,0.00581,NA
2010-05-29,2010,149,150,bostoncommon_2010_05_29_115919.jpg,70.9921,108.77723,59.31889,0.45497,0.29693,73.65635,6.68984,110.47946,11.29021,67.15562,10.21486,0.43891,0.02375,0.44468,0.45136,0.45613,0.29372,0.01994,0.30034,0.30814,0.31121,69.46634,NA,0,0,0,0,0.43486,0.44417,0.45023,0.45386,0.29079,0.29368,0.30392,0.30988,0.0027,0.00257,0.00251,0.00262,0.00522,0.0065,0.00593,0.00569,NA
2010-06-01,2010,152,154,bostoncommon_2010_06_01_115939.jpg,69.24555,111.41877,66.99623,0.44989,0.2796,68.1384,6.71652,107.06887,12.96373,74.78224,11.35803,0.42718,0.02771,0.43083,0.4455,0.44949,0.27361,0.02165,0.27395,0.28836,0.29433,69.87647,NA,0,0,0,0,0.4331,0.44255,0.44891,0.45295,0.28956,0.29226,0.30237,0.3087,0.00263,0.00251,0.00235,0.00246,0.0053,0.00651,0.00594,0.0057,NA
