#
# 3-day product summary time series for bostonu
#
# Site: bostonu
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 42.35041
# Lon: -71.10438
# Elev: 10
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:24:17
# Update Date: 2016-01-25
# Update Time: 14:24:19
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-09-13,2012,257,8,bostonu_2012_09_14_144432.jpg,93.24457,92.15936,56.1522,0.38152,0.38602,94.97641,4.26611,93.11673,3.21759,58.40058,3.22631,0.37791,0.00382,0.37981,0.38095,0.38157,0.38528,0.00122,0.38575,0.3864,0.38647,33.13159,-9999,0,0,0,0,0.37791,NA,0.38095,0.38157,0.38528,0.38575,0.3864,0.38647,0,NA,0,0,0,0,0,0,NA
2012-09-14,2012,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37538,NA,0.38164,0.38277,0.38255,0.3825,0.38697,0.39011,0,NA,0,0,0,0,0,0,NA
2012-09-15,2012,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37201,NA,0.38255,0.38438,0.3789,0.37817,0.38773,0.39497,0,NA,0,0,0,0,0,0,NA
2012-09-16,2012,260,67,bostonu_2012_09_16_120105.jpg,85.97009,87.54678,54.43966,0.38405,0.37713,90.0067,9.34177,89.00036,12.3297,60.37368,9.6977,0.37032,0.02474,0.37647,0.38301,0.38518,0.37708,0.01559,0.37601,0.38811,0.3974,50.30446,-9999,0,0,0,0,0.37032,NA,0.38301,0.38518,0.37708,0.37601,0.38811,0.3974,0,NA,0,0,0,0,0,0,NA
2012-09-17,2012,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36748,NA,0.37994,0.38328,0.37945,0.38064,0.39148,0.40024,0,NA,0,0,0,0,0,0,NA
2012-09-18,2012,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3622,NA,0.37423,0.37977,0.38384,0.38924,0.39774,0.40553,0,NA,0,0,0,0,0,0,NA
2012-09-19,2012,263,67,bostonu_2012_09_19_120106.jpg,49.7027,45.33478,28.71358,0.36634,0.40163,60.19487,20.2069,56.83744,21.93012,39.99337,14.96958,0.35936,0.02349,0.36452,0.37116,0.37787,0.38621,0.0294,0.39387,0.40111,0.40837,49.15619,-9999,0,0,0,0,0.35936,NA,0.37116,0.37787,0.38621,0.39387,0.40111,0.40837,0,NA,0,0,0,0,0,0,NA
2012-09-20,2012,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35884,NA,0.36894,0.37469,0.38961,0.39605,0.40636,0.4136,0,NA,0,0,0,0,0,0,NA
2012-09-21,2012,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35789,NA,0.36483,0.3688,0.39594,0.40011,0.4161,0.42332,0,NA,0,0,0,0,0,0,NA
2012-09-22,2012,266,64,bostonu_2012_09_22_120105.jpg,46.89339,40.15992,23.76433,0.3624,0.42316,47.69546,3.4667,42.74067,2.15984,29.20797,4.98025,0.35737,0.00805,0.35914,0.36261,0.36562,0.39934,0.03024,0.40229,0.42135,0.42855,48.00064,-9999,0,0,0,0,0.35737,NA,0.36261,0.36562,0.39934,0.40229,0.42135,0.42855,0,NA,0,0,0,0,0,0,NA
