#
# 3-day product summary time series for bostonu
#
# Site: bostonu
# Veg Type: DB
# ROI ID Number: 0002
# Lat: 42.35041
# Lon: -71.10438
# Elev: 10
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:24:24
# Update Date: 2016-06-13
# Update Time: 05:16:46
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:03:53
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-04-05,2013,95,21,bostonu_2013_04_05_141226.jpg,60.88754,47.6851,39.76287,0.32147,0.41047,52.5425,4.04146,37.38013,4.30343,30.43168,4.13624,0.30994,0.00766,0.31097,0.31535,0.31849,0.43778,0.02533,0.43686,0.44579,0.46556,54.0073,NA,0,0,0,0,0.3093,0.3099,0.31528,0.31872,0.40766,0.40584,0.41886,0.44368,0.00631,0.00697,0.00762,0.00749,0.02176,0.02407,0.0255,0.02939,NA
2013-04-08,2013,98,35,bostonu_2013_04_08_120104.jpg,57.34603,40.97886,31.96846,0.31451,0.44013,46.62506,5.57326,34.65103,4.04119,31.85372,3.55892,0.30562,0.0084,0.30634,0.31352,0.31642,0.41182,0.0289,0.4075,0.4212,0.45794,55.31529,NA,0,0,0,0,0.30511,0.30523,0.31117,0.31494,0.41436,0.41169,0.4271,0.45351,0.00465,0.00513,0.0058,0.00569,0.01818,0.02011,0.0213,0.02455,NA
2013-04-11,2013,101,54,bostonu_2013_04_11_120103.jpg,40.1412,30.38403,32.78612,0.2941,0.38855,41.43588,3.05514,32.58978,3.15803,34.37646,2.34036,0.30016,0.00733,0.29844,0.30699,0.31077,0.38242,0.01188,0.38471,0.38909,0.39303,56.42852,NA,0,0,0,0,0.30231,0.30206,0.30848,0.31252,0.42042,0.41703,0.43446,0.46212,0.00363,0.00401,0.00457,0.00449,0.01525,0.01687,0.01787,0.02059,NA
2013-04-14,2013,104,37,bostonu_2013_04_14_120103.jpg,39.22167,29.89213,32.44942,0.29432,0.38618,43.36887,4.02998,31.81468,2.33018,30.82794,2.61312,0.29987,0.00572,0.29911,0.30361,0.3079,0.4087,0.02354,0.40592,0.42822,0.43661,57.51824,NA,0,0,0,0,0.3009,0.30037,0.30716,0.31145,0.4258,0.42183,0.44086,0.46934,0.00323,0.00357,0.00395,0.00388,0.01303,0.01442,0.01527,0.0176,NA
2013-04-17,2013,107,46,bostonu_2013_04_17_120104.jpg,58.15845,40.28799,31.22739,0.31069,0.4485,50.962,5.21571,35.07532,4.56307,29.08436,5.20436,0.30384,0.0096,0.30351,0.31157,0.31744,0.44415,0.03964,0.44326,0.45741,0.50821,58.58253,NA,0,0,0,0,0.30089,0.30019,0.30726,0.31176,0.43047,0.42607,0.44626,0.47518,0.00324,0.00358,0.00381,0.00374,0.01153,0.01275,0.01351,0.01556,NA
2013-04-20,2013,110,35,bostonu_2013_04_20_113101.jpg,42.54977,30.50609,29.22908,0.29825,0.41599,49.04811,7.04409,33.9313,4.53622,29.46571,5.81158,0.30095,0.00854,0.29986,0.3056,0.3144,0.43659,0.05008,0.42479,0.46138,0.5277,59.61781,NA,0,0,0,0,0.30226,0.3015,0.30877,0.31346,0.43451,0.4298,0.45084,0.47987,0.00337,0.00372,0.00391,0.00384,0.01069,0.01182,0.01252,0.01443,NA
2013-04-23,2013,113,52,bostonu_2013_04_23_120103.jpg,40.26911,31.17868,32.88458,0.29884,0.38597,46.19822,6.68523,34.15543,3.91507,31.44737,3.45799,0.30497,0.00675,0.30445,0.31016,0.31342,0.41209,0.03282,0.3993,0.43431,0.45844,60.62191,NA,0,0,0,0,0.30502,0.30426,0.31158,0.31646,0.43803,0.4331,0.45475,0.48366,0.0035,0.00387,0.00408,0.00401,0.0104,0.01151,0.01219,0.01405,NA
2013-04-26,2013,116,57,bostonu_2013_04_26_120104.jpg,55.89078,39.15958,28.85967,0.31603,0.45106,52.15742,5.14867,36.29147,4.47326,28.23197,5.32621,0.31031,0.00837,0.30919,0.31747,0.32239,0.44853,0.03987,0.44056,0.47751,0.50619,61.59247,NA,0,0,0,0,0.30931,0.30869,0.31597,0.32097,0.44093,0.43589,0.45784,0.4863,0.00347,0.00383,0.00417,0.00409,0.01047,0.01158,0.01227,0.01413,NA
2013-04-29,2013,119,65,bostonu_2013_04_29_120103.jpg,56.41758,41.57209,30.38421,0.32384,0.43948,54.54205,6.04533,37.82584,5.40145,27.80711,5.10245,0.31392,0.00789,0.31303,0.32017,0.32501,0.45518,0.03223,0.4447,0.47657,0.5117,62.52716,NA,0,0,0,0,0.31508,0.31472,0.32192,0.32697,0.44319,0.43816,0.46007,0.48776,0.00357,0.00395,0.00431,0.00423,0.01069,0.01182,0.01253,0.01443,NA
2013-05-02,2013,122,67,bostonu_2013_05_02_120102.jpg,61.63313,45.01296,29.05071,0.33172,0.4542,60.32666,7.52392,41.4793,5.50689,26.57871,3.95118,0.32252,0.00807,0.32284,0.3283,0.33377,0.46985,0.02704,0.47376,0.48831,0.50573,63.42354,NA,0,0,0,0,0.322,0.32185,0.32891,0.33408,0.44503,0.44009,0.46182,0.48856,0.00376,0.00415,0.00446,0.00438,0.01099,0.01216,0.01288,0.01484,NA
2013-05-05,2013,125,71,bostonu_2013_05_05_120104.jpg,58.99948,36.83339,20.57259,0.31642,0.50684,65.53549,8.9036,45.07085,6.39684,26.43075,3.91859,0.32819,0.00689,0.32834,0.33444,0.33615,0.47791,0.02527,0.4752,0.49585,0.51483,64.27916,NA,0,0,0,0,0.33161,0.33156,0.33877,0.34439,0.44643,0.44173,0.46284,0.48819,0.00356,0.00393,0.00427,0.00419,0.01122,0.01241,0.01315,0.01515,NA
2013-05-08,2013,128,65,bostonu_2013_05_08_120104.jpg,56.45062,43.66715,27.61897,0.34185,0.44193,60.30268,12.38762,43.87395,6.48276,26.18532,2.81535,0.33656,0.01134,0.33673,0.34196,0.34795,0.45917,0.0353,0.45431,0.48296,0.51051,65.09164,NA,0,0,0,0,0.34326,0.34329,0.3508,0.35702,0.44727,0.44298,0.46299,0.48647,0.00356,0.00393,0.00427,0.00419,0.01138,0.01259,0.01334,0.01537,NA
2013-05-11,2013,131,59,bostonu_2013_05_11_113921.jpg,50.80948,42.45608,24.60285,0.3602,0.43107,51.24176,8.74078,41.86277,5.29362,24.83501,2.40155,0.35489,0.00981,0.35571,0.3611,0.36582,0.43263,0.02157,0.42695,0.43076,0.4682,65.85869,NA,0,0,0,0,0.35331,0.35346,0.36071,0.36719,0.44765,0.44378,0.46275,0.4844,0.00376,0.00415,0.00446,0.00438,0.0115,0.01272,0.01348,0.01553,NA
