#
# 3-day product summary time series for bullshoals
#
# Site: bullshoals
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 36.562833
# Lon: -93.06663
# Elev: 260
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:26:06
# Update Date: 2016-06-13
# Update Time: 05:17:13
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:09:33
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-11-22,2013,326,28,bullshoals_2013_11_22_120001.jpg,99.9099,87.96078,85.5938,0.32165,0.36535,103.14509,6.83793,91.14124,4.80126,87.84999,10.85028,0.32304,0.00285,0.32342,0.32401,0.32534,0.36618,0.02553,0.369,0.37724,0.39261,33.18551,NA,0,0,0,0,0.32448,0.32461,0.32554,0.32655,0.38346,0.38493,0.39632,0.40724,0.00318,0.00325,0.00336,0.00397,0.01242,0.0135,0.01144,0.01072,NA
2013-11-25,2013,329,28,bullshoals_2013_11_25_110001.jpg,98.67982,88.32119,87.79053,0.32141,0.35911,103.64943,5.82621,86.68431,3.41112,77.28897,8.68334,0.3239,0.00236,0.32376,0.32601,0.32666,0.38777,0.02436,0.38982,0.40515,0.4165,32.77854,NA,0,0,0,0,0.32416,0.32426,0.32554,0.32634,0.38124,0.38253,0.39654,0.4071,0.0021,0.00214,0.00233,0.00291,0.00986,0.01071,0.00908,0.00821,NA
2013-11-28,2013,332,38,bullshoals_2013_11_28_120002.jpg,106.23602,84.46813,67.1417,0.32759,0.41201,108.54282,6.56102,86.68377,6.18973,70.00614,8.5194,0.32683,0.00107,0.32689,0.32755,0.32804,0.40978,0.01373,0.41139,0.41426,0.41654,32.21567,NA,0,0,0,0,0.32368,0.3238,0.32548,0.32618,0.37941,0.38063,0.39674,0.40703,0.00172,0.00176,0.00183,0.00226,0.00796,0.00865,0.00733,0.00649,NA
2013-12-01,2013,335,34,bullshoals_2013_12_01_120002.jpg,97.83399,84.48607,79.11431,0.32316,0.37422,105.49787,9.44856,89.32938,5.85762,80.61109,13.60298,0.32437,0.00238,0.32427,0.32645,0.32685,0.38387,0.03267,0.38255,0.41164,0.4199,31.71184,NA,0,0,0,0,0.32318,0.32336,0.32542,0.32606,0.378,0.37926,0.39693,0.40706,0.00177,0.0018,0.00176,0.00202,0.00675,0.00733,0.00621,0.00557,NA
2013-12-04,2013,338,32,bullshoals_2013_12_04_120002.jpg,110.52619,88.04039,70.1544,0.32763,0.4113,106.77713,6.47442,91.70081,7.28912,84.28642,15.59004,0.3244,0.00329,0.32486,0.32667,0.32724,0.37937,0.03077,0.37814,0.41038,0.41549,31.269,NA,0,0,0,0,0.32276,0.32302,0.32535,0.32598,0.37692,0.37826,0.3971,0.40711,0.00187,0.00191,0.00186,0.00204,0.00618,0.00671,0.00569,0.00533,NA
2013-12-07,2013,341,37,bullshoals_2013_12_07_120002.jpg,74.15694,61.9681,58.15092,0.31897,0.38171,71.06144,9.58038,68.47288,11.43601,75.67992,15.712,0.31786,0.00272,0.31722,0.32049,0.32125,0.33226,0.02565,0.32988,0.34708,0.37436,30.88883,NA,0,0,0,0,0.32241,0.32278,0.32515,0.32589,0.37609,0.37762,0.39717,0.4071,0.00184,0.00188,0.00193,0.00213,0.00608,0.0066,0.0056,0.00544,NA
2013-12-10,2013,344,30,bullshoals_2013_12_10_120001.jpg,76.04001,62.21266,53.50957,0.32443,0.39653,81.17874,15.41447,69.41701,14.1343,64.63884,16.88395,0.32235,0.00316,0.32393,0.32476,0.32532,0.37832,0.02795,0.39288,0.39936,0.40521,30.5731,NA,0,0,0,0,0.3222,0.32266,0.32494,0.32581,0.37554,0.37735,0.39716,0.40705,0.00193,0.00197,0.00199,0.0022,0.00621,0.00674,0.00571,0.00564,NA
2013-12-13,2013,347,29,bullshoals_2013_12_13_120001.jpg,87.8486,79.42509,80.63025,0.32039,0.35437,88.93722,12.11177,79.92086,11.29206,79.09268,16.4201,0.32211,0.0034,0.32253,0.32531,0.32592,0.35999,0.03341,0.35562,0.40282,0.40607,30.25432,NA,0,0,0,0,0.32278,0.32317,0.32491,0.32577,0.37529,0.37738,0.39714,0.407,0.00193,0.00197,0.00204,0.00225,0.00642,0.00698,0.00591,0.00581,NA
2013-12-16,2013,350,35,bullshoals_2013_12_16_120001.jpg,104.20951,83.68892,67.64128,0.3275,0.4078,107.0794,9.47721,86.53919,7.16225,71.21948,7.6358,0.32678,0.00171,0.32705,0.32781,0.32844,0.40443,0.01413,0.40697,0.4088,0.41213,30.13951,NA,0,0,0,0,0.32338,0.32359,0.32516,0.32603,0.37518,0.37769,0.39685,0.40703,0.00184,0.00187,0.00194,0.00223,0.00656,0.00713,0.00604,0.00591,NA
2013-12-19,2013,353,38,bullshoals_2013_12_19_120002.jpg,94.24502,82.3036,77.71596,0.32369,0.37066,99.3162,8.48773,85.96895,8.44453,79.48839,13.82022,0.32466,0.00213,0.32411,0.32657,0.32737,0.37632,0.02712,0.37215,0.40368,0.41086,30.00021,NA,0,0,0,0,0.32395,0.32396,0.32544,0.32632,0.37539,0.37834,0.39657,0.40715,0.00198,0.00202,0.00204,0.00234,0.00665,0.00722,0.00612,0.00609,NA
