#
# 3-day product summary time series for bullshoals
#
# Site: bullshoals
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 36.562833
# Lon: -93.06663
# Elev: 260
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:26:10
# Update Date: 2016-06-13
# Update Time: 05:17:11
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:10:03
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-11-22,2013,326,28,bullshoals_2013_11_22_120001.jpg,117.78142,89.45241,80.50231,0.31088,0.40934,114.63987,10.57742,84.03772,10.2677,73.51471,13.74457,0.30846,0.00513,0.31112,0.31208,0.31263,0.42323,0.02686,0.41997,0.44083,0.45514,33.18551,NA,0,0,0,0,0.31171,0.31264,0.31407,0.31479,0.41657,0.41645,0.43429,0.444,0.00455,0.00475,0.00469,0.00534,0.0127,0.01348,0.01296,0.01414,NA
2013-11-25,2013,329,28,bullshoals_2013_11_25_110001.jpg,117.89492,92.2365,84.94416,0.31259,0.39954,123.17883,8.27042,91.26847,4.58895,77.11792,9.19925,0.31303,0.00146,0.31283,0.31361,0.31451,0.42285,0.027,0.42168,0.44817,0.45395,32.77854,NA,0,0,0,0,0.31216,0.31311,0.31441,0.31512,0.41492,0.41507,0.43275,0.44227,0.00382,0.00394,0.00396,0.00457,0.01166,0.01237,0.01198,0.01306,NA
2013-11-28,2013,332,38,bullshoals_2013_11_28_120002.jpg,122.59783,85.90516,65.09696,0.31398,0.44809,117.05768,12.13151,81.35563,8.63553,61.58946,6.6149,0.31281,0.00191,0.31307,0.31397,0.31444,0.45022,0.00935,0.45023,0.45295,0.45751,32.21567,NA,0,0,0,0,0.31257,0.31354,0.31472,0.31543,0.41334,0.41375,0.43125,0.4406,0.00322,0.00328,0.00336,0.00392,0.01069,0.01135,0.01105,0.01205,NA
2013-12-01,2013,335,34,bullshoals_2013_12_01_120002.jpg,126.4826,96.80417,85.01099,0.314,0.41026,117.81091,13.81119,85.41788,11.68616,71.21757,13.99477,0.3109,0.00416,0.31219,0.31319,0.31349,0.43096,0.03002,0.43037,0.44891,0.45875,31.71184,NA,0,0,0,0,0.31294,0.31392,0.31501,0.31572,0.41182,0.41249,0.4298,0.43897,0.00276,0.00279,0.00288,0.00338,0.00981,0.01041,0.0102,0.01112,NA
2013-12-04,2013,338,32,bullshoals_2013_12_04_120002.jpg,133.71662,94.90707,72.85017,0.31481,0.44354,115.59542,16.88734,83.05117,12.07492,68.59699,11.52304,0.31031,0.0048,0.31114,0.31356,0.31462,0.43298,0.02589,0.43235,0.44657,0.46878,31.269,NA,0,0,0,0,0.31328,0.31424,0.31526,0.31598,0.41037,0.41127,0.42839,0.43741,0.00243,0.00248,0.00254,0.00299,0.009,0.00956,0.00941,0.01026,NA
2013-12-07,2013,341,37,bullshoals_2013_12_07_120002.jpg,157.97472,148.22174,155.66129,0.32093,0.34204,159.41266,20.83348,158.02289,20.08883,173.57048,19.85573,0.32162,0.00204,0.32253,0.32319,0.32341,0.32435,0.00925,0.32465,0.32904,0.33384,30.88883,NA,0,0,0,0,0.31357,0.31452,0.31549,0.31622,0.40897,0.4101,0.42703,0.43589,0.00224,0.00231,0.00233,0.00272,0.00829,0.0088,0.0087,0.00949,NA
2013-12-10,2013,344,30,bullshoals_2013_12_10_120001.jpg,146.0307,132.49094,134.41384,0.32085,0.35364,144.44652,29.1911,135.27767,30.23038,141.88609,33.11973,0.32024,0.00343,0.32099,0.32289,0.3238,0.34367,0.02166,0.34425,0.3569,0.37309,30.5731,NA,0,0,0,0,0.31383,0.31476,0.3157,0.31645,0.40764,0.40897,0.42571,0.43443,0.00216,0.00226,0.00223,0.00257,0.00766,0.00813,0.00808,0.00881,NA
2013-12-13,2013,347,29,bullshoals_2013_12_13_120001.jpg,131.15351,112.39666,117.4836,0.31132,0.36327,127.80631,21.89277,113.56706,23.88838,118.34474,31.16264,0.3155,0.00262,0.31532,0.31698,0.31909,0.35791,0.03038,0.35875,0.38449,0.39438,30.25432,NA,0,0,0,0,0.31407,0.31496,0.31588,0.31665,0.40638,0.4079,0.42445,0.43303,0.00216,0.00229,0.00221,0.00251,0.00714,0.00757,0.00753,0.00822,NA
2013-12-16,2013,350,35,bullshoals_2013_12_16_120001.jpg,125.17196,89.07802,68.17447,0.3154,0.44321,112.74478,16.82526,81.5902,10.53408,65.34137,9.7835,0.31415,0.00154,0.3145,0.31518,0.31573,0.43313,0.02802,0.44321,0.44633,0.4478,30.13951,NA,0,0,0,0,0.31428,0.31514,0.31606,0.31685,0.40517,0.40686,0.42322,0.43168,0.0022,0.00234,0.00225,0.00253,0.0067,0.00712,0.00708,0.00772,NA
2013-12-19,2013,353,38,bullshoals_2013_12_19_120002.jpg,134.82643,104.72615,92.33717,0.31555,0.40624,123.50931,16.57788,93.13015,14.17566,79.78838,15.82625,0.31386,0.00306,0.31502,0.31541,0.3157,0.41792,0.02941,0.40979,0.44186,0.45055,30.00021,NA,0,0,0,0,0.31447,0.31529,0.31622,0.31703,0.40402,0.40587,0.42204,0.43039,0.00226,0.00241,0.00231,0.00258,0.00637,0.00676,0.00671,0.00732,NA
2013-12-22,2013,356,26,bullshoals_2013_12_22_120001.jpg,125.37119,95.45392,85.55518,0.31155,0.4092,122.40701,5.12242,90.51887,7.95449,80.68032,11.89773,0.30791,0.00675,0.31162,0.31236,0.31334,0.41857,0.02838,0.40925,0.44665,0.4567,29.98198,NA,0,0,0,0,0.31459,0.31535,0.31632,0.31718,0.40294,0.40493,0.42091,0.42916,0.0023,0.00244,0.00236,0.00264,0.00612,0.0065,0.00642,0.00701,NA
