#
# 3-day product summary time series for burnssagebrush
#
# Site: burnssagebrush
# Veg Type: SH
# ROI ID Number: 0001
# Lat: 43.4712
# Lon: -119.6909
# Elev: 1398
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:26:20
# Update Date: 2016-06-13
# Update Time: 05:17:24
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:10:37
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-10-16,2012,290,36,burnssagebrush_2012_10_16_120232.jpg,102.71324,84.76095,66.9564,0.33314,0.4037,113.98482,5.91421,89.29921,3.30958,61.75336,5.28707,0.33695,0.00465,0.33624,0.34131,0.34243,0.43012,0.01715,0.43631,0.43901,0.44309,37.22593,NA,0,0,0,0,0.3374,0.33745,0.34018,0.34226,0.42091,0.42662,0.42967,0.43455,0.00175,0.00173,0.00166,0.0019,0.01203,0.01233,0.01192,0.01201,NA
2012-10-19,2012,293,56,burnssagebrush_2012_10_19_120140.jpg,122.5653,97.33321,65.48253,0.34106,0.42948,117.41633,5.28249,91.25841,4.29433,61.56751,4.16134,0.33764,0.0039,0.33818,0.34042,0.34229,0.43459,0.01192,0.43441,0.44012,0.44447,36.5032,NA,0,0,0,0,0.33727,0.33736,0.33998,0.34193,0.42457,0.43026,0.43412,0.43942,0.00162,0.00161,0.00154,0.00171,0.01028,0.01053,0.01018,0.01026,NA
2012-10-22,2012,296,54,burnssagebrush_2012_10_22_120141.jpg,120.36698,87.81834,60.31357,0.32707,0.4483,115.55228,7.58431,92.29398,5.18619,67.28416,14.19903,0.33545,0.00471,0.3357,0.33838,0.34226,0.42155,0.03787,0.43322,0.44014,0.45047,35.43519,NA,0,0,0,0,0.33716,0.33727,0.33979,0.34161,0.42767,0.43332,0.43796,0.44364,0.0015,0.00149,0.00143,0.00154,0.0088,0.00901,0.00871,0.00878,NA
2012-10-25,2012,299,53,burnssagebrush_2012_10_25_120146.jpg,111.05019,92.5203,69.2748,0.33909,0.40701,116.07328,4.96983,92.77955,4.50274,66.50911,9.56903,0.33695,0.00245,0.33659,0.33846,0.34047,0.42232,0.02341,0.43158,0.43499,0.44067,34.39549,NA,0,0,0,0,0.33705,0.33719,0.33961,0.34131,0.43025,0.43584,0.44122,0.44726,0.00139,0.00139,0.00133,0.00139,0.00761,0.0078,0.00754,0.00759,NA
2012-10-28,2012,302,52,burnssagebrush_2012_10_28_120149.jpg,123.16489,95.35355,61.59624,0.34041,0.43969,119.06547,4.38129,92.17468,2.83164,62.17876,3.86397,0.33709,0.00228,0.3374,0.33894,0.33979,0.43552,0.01315,0.4375,0.44511,0.44785,33.37981,NA,0,0,0,0,0.33694,0.33711,0.33944,0.34103,0.4323,0.43781,0.44389,0.45025,0.0013,0.00129,0.00123,0.00126,0.00672,0.00689,0.00665,0.00671,NA
2012-10-31,2012,305,50,burnssagebrush_2012_10_31_113141.jpg,121.1494,95.33868,63.50311,0.34051,0.43269,118.7064,4.43446,93.66618,3.31932,63.73251,4.28933,0.33922,0.00286,0.3405,0.34092,0.34196,0.43003,0.01183,0.43263,0.43474,0.4425,32.39993,NA,0,0,0,0,0.33684,0.33704,0.33928,0.34077,0.43376,0.43916,0.4459,0.45256,0.0012,0.0012,0.00115,0.00114,0.00612,0.00628,0.00607,0.00611,NA
2012-11-03,2012,308,52,burnssagebrush_2012_11_03_120226.jpg,120.57149,92.4044,57.93172,0.34109,0.44506,117.75952,3.28903,91.87798,2.62355,60.55671,3.52908,0.34004,0.00255,0.34061,0.34195,0.34241,0.43593,0.00986,0.43776,0.44286,0.44515,31.44306,NA,0,0,0,0,0.33675,0.33697,0.33912,0.34053,0.43459,0.43987,0.44724,0.45416,0.00112,0.00112,0.00107,0.00105,0.0058,0.00595,0.00575,0.00579,NA
2012-11-06,2012,311,51,burnssagebrush_2012_11_06_120308.jpg,114.39075,89.24389,56.13026,0.34356,0.44036,117.32804,4.50886,90.81647,3.0932,59.93095,5.05564,0.33877,0.00385,0.33811,0.34243,0.34343,0.43786,0.0158,0.43877,0.44463,0.45153,30.39423,NA,0,0,0,0,0.33667,0.33691,0.33898,0.34031,0.43481,0.43996,0.4479,0.45507,0.00105,0.00104,0.001,0.00098,0.00569,0.00583,0.00564,0.00568,NA
2012-11-09,2012,314,53,burnssagebrush_2012_11_09_120214.jpg,119.03352,92.09595,64.03341,0.3347,0.43259,115.44199,7.22754,93.11819,4.45126,69.33653,12.78743,0.33511,0.00285,0.33495,0.33729,0.33867,0.41661,0.0345,0.42921,0.43851,0.44892,29.65487,NA,0,0,0,0,0.33659,0.33685,0.33885,0.34011,0.43442,0.43941,0.44791,0.45529,0.00099,0.00098,0.00094,0.00093,0.00572,0.00586,0.00566,0.00571,NA
2012-11-12,2012,317,51,burnssagebrush_2012_11_12_120232.jpg,114.65818,104.80497,94.00672,0.33434,0.36577,116.37359,5.85027,94.14378,6.43592,70.74525,15.18947,0.33469,0.00303,0.33473,0.3375,0.33865,0.41588,0.03747,0.43189,0.44216,0.45033,28.81827,NA,0,0,0,0,0.33652,0.3368,0.33872,0.33992,0.43341,0.43823,0.44723,0.4548,0.00094,0.00093,0.00089,9e-04,0.00582,0.00597,0.00577,0.00581,NA
