#
# 3-day product summary time series for butte
#
# Site: butte
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 45.95304
# Lon: -112.47964
# Elev: 1682
# UTC Offset: -7
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:26:35
# Update Date: 2016-06-13
# Update Time: 05:17:33
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:11:34
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2009-01-08,2009,8,44,butte_2009_01_08_120533.jpg,193.9099,206.52814,196.3577,0.34606,0.32492,138.75689,30.8271,173.54882,28.29821,157.26299,24.86469,0.37051,0.0312,0.35002,0.41241,0.41531,0.29398,0.02807,0.29908,0.32246,0.32581,22.07362,NA,0,0,0,0,0.35575,0.34897,0.37312,0.37446,0.32096,0.32008,0.31923,0.32585,0.00263,0.00273,0.00339,0.00361,0.00977,0.0107,0.01042,0.01086,NA
2009-01-11,2009,11,44,butte_2009_01_11_120032.jpg,149.53522,169.59822,166.98941,0.34888,0.30761,134.77728,16.04614,154.57683,16.1718,153.9,15.94777,0.34874,0.00168,0.34903,0.34988,0.35043,0.30383,0.01076,0.30751,0.31066,0.31211,22.53685,NA,0,0,0,0,0.35458,0.34897,0.36856,0.36989,0.32241,0.32221,0.32276,0.32944,0.00223,0.00232,0.00281,0.00299,0.00911,0.00993,0.0094,0.0098,NA
2009-01-14,2009,14,16,butte_2009_01_15_090030.jpg,128.14613,128.06969,112.61793,0.34723,0.34744,146.08083,35.2908,153.64046,35.13497,140.56058,32.25886,0.34927,0.00216,0.3486,0.35121,0.35237,0.32962,0.02242,0.33123,0.33776,0.34522,23.06396,NA,0,0,0,0,0.35352,0.34897,0.36455,0.36589,0.32382,0.32426,0.32615,0.33288,0.0019,0.00197,0.00234,0.00249,0.00849,0.0092,0.00847,0.00883,NA
2009-01-17,2009,17,47,butte_2009_01_17_120033.jpg,168.58082,177.2857,165.21187,0.34689,0.32985,138.24569,31.99781,145.43333,31.82688,132.80357,29.61163,0.34954,0.00229,0.34912,0.35161,0.35244,0.33066,0.01759,0.33272,0.33724,0.3465,23.65172,NA,0,0,0,0,0.35261,0.34899,0.36113,0.36249,0.32517,0.32623,0.32937,0.33614,0.00164,0.0017,0.002,0.00213,0.00791,0.00853,0.00764,0.00797,NA
2009-01-20,2009,20,42,butte_2009_01_20_120032.jpg,166.97381,174.65659,161.54975,0.34711,0.33184,139.73951,33.22455,146.33702,32.33173,132.55756,28.72412,0.34971,0.00249,0.34928,0.35213,0.35334,0.33133,0.02297,0.3341,0.34254,0.35034,24.2971,NA,0,0,0,0,0.35183,0.34903,0.35826,0.35964,0.32646,0.32811,0.33244,0.33924,0.00145,0.0015,0.00177,0.00188,0.00737,0.00791,0.00692,0.00722,NA
2009-01-23,2009,23,44,butte_2009_01_23_120032.jpg,134.44815,141.78818,131.52055,0.34773,0.32973,108.95172,17.40904,117.9894,16.44259,111.85215,14.60695,0.34826,0.00149,0.34864,0.34914,0.34997,0.32089,0.01497,0.32257,0.32595,0.33626,24.99791,NA,0,0,0,0,0.35113,0.34907,0.35582,0.35724,0.32768,0.32989,0.33534,0.34216,0.00132,0.00137,0.00165,0.00176,0.00688,0.00735,0.00631,0.00658,NA
2009-01-26,2009,26,44,butte_2009_01_26_120032.jpg,184.03898,195.8838,190.38659,0.34347,0.3227,128.29787,29.01489,141.72989,28.89888,137.96998,26.60209,0.34748,0.00185,0.34746,0.34921,0.34982,0.31328,0.01147,0.31371,0.32165,0.32448,25.75156,NA,0,0,0,0,0.35052,0.34912,0.35376,0.35521,0.32882,0.33157,0.33808,0.3449,0.00126,0.00131,0.00162,0.00172,0.00644,0.00685,0.00581,0.00605,NA
2009-01-29,2009,29,31,butte_2009_01_28_163032.jpg,92.76853,122.86804,143.21878,0.34239,0.25851,130.11832,28.18831,140.19424,27.19727,132.93814,25.60361,0.34786,0.00234,0.34814,0.3488,0.35115,0.32196,0.01704,0.32537,0.32986,0.3365,26.5553,NA,0,0,0,0,0.34999,0.34918,0.35205,0.35353,0.32989,0.33313,0.34064,0.34746,0.00125,0.00129,0.00164,0.00175,0.00604,0.0064,0.00541,0.00564,NA
2009-02-01,2009,32,49,butte_2009_02_01_120032.jpg,141.95415,151.30406,139.79532,0.34939,0.3278,124.21307,20.77975,133.64033,19.38806,124.77533,17.00033,0.34921,0.00247,0.34983,0.35074,0.352,0.32387,0.01733,0.32565,0.33129,0.34268,27.40625,NA,0,0,0,0,0.34957,0.34924,0.35092,0.35245,0.33088,0.3346,0.34304,0.34984,0.00126,0.00131,0.00169,0.00179,0.00568,0.00602,0.00513,0.00534,NA
2009-02-04,2009,35,54,butte_2009_02_04_120033.jpg,130.0392,133.71074,118.50543,0.34979,0.34019,114.1828,21.71611,116.99591,20.82583,103.62675,17.6623,0.34943,0.00349,0.34924,0.35197,0.35369,0.34002,0.01564,0.34018,0.34515,0.35713,28.30162,NA,0,0,0,0,0.34928,0.34931,0.35044,0.35203,0.33183,0.336,0.34526,0.35203,0.00128,0.00133,0.00172,0.00183,0.00538,0.0057,0.00493,0.00514,NA
2009-02-07,2009,38,54,butte_2009_02_07_120033.jpg,117.28305,118.57427,103.09324,0.34983,0.34602,107.25776,23.42171,107.91172,21.00657,93.69184,15.9239,0.34934,0.00346,0.34947,0.35145,0.35286,0.34535,0.01851,0.34618,0.35332,0.36294,29.23783,NA,0,0,0,0,0.34906,0.34939,0.35029,0.35195,0.33274,0.33732,0.34732,0.35405,0.00131,0.00136,0.00176,0.00187,0.00512,0.00543,0.00482,0.00503,NA
2009-02-10,2009,41,54,butte_2009_02_10_120032.jpg,124.08771,123.8338,105.1488,0.35073,0.35145,106.35255,25.16016,106.76407,23.01861,91.78697,16.60264,0.34986,0.00277,0.34968,0.35209,0.35399,0.34688,0.01372,0.35008,0.3534,0.36092,30.21256,NA,0,0,0,0,0.34886,0.34947,0.35014,0.35185,0.3336,0.33857,0.34923,0.35592,0.00134,0.00139,0.00178,0.0019,0.00491,0.00522,0.00478,0.00499,NA
2009-02-13,2009,44,54,butte_2009_02_13_120032.jpg,109.09418,108.51301,93.1672,0.34917,0.35104,99.64591,13.93071,98.8241,13.05442,85.31922,10.67448,0.34813,0.00311,0.3485,0.34931,0.35133,0.35071,0.01149,0.35375,0.35633,0.36012,31.22298,NA,0,0,0,0,0.34887,0.34957,0.35056,0.35232,0.33442,0.33975,0.351,0.35765,0.00136,0.00141,0.00178,0.0019,0.00474,0.00507,0.00479,0.005,NA
2009-02-16,2009,47,53,butte_2009_02_16_115854.jpg,127.95112,126.00744,105.6778,0.35037,0.35578,107.71917,24.27897,106.98734,22.05049,90.99802,15.62524,0.34953,0.00507,0.35037,0.35347,0.3546,0.35076,0.01671,0.35481,0.35831,0.36659,32.26608,NA,0,0,0,0,0.34907,0.34969,0.35162,0.35346,0.3352,0.34088,0.35264,0.35924,0.00138,0.00143,0.00181,0.00193,0.00461,0.00496,0.00484,0.00505,NA
