#
# 3-day product summary time series for canadaOA
#
# Site: canadaOA
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 53.62889
# Lon: -106.19779
# Elev: 601
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:26:52
# Update Date: 2016-06-13
# Update Time: 05:17:41
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:13:28
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-09-02,2011,245,23,canadaOA_2011_09_03_070131.jpg,100.76534,87.91565,59.40852,0.35437,0.40617,96.58003,3.30241,87.46008,2.24468,53.02072,5.36165,0.36912,0.00834,0.37089,0.3756,0.37837,0.40757,0.01184,0.41032,0.41558,0.42121,43.84633,NA,0,0,0,0,0.3668,0.36862,0.37297,0.37499,0.41322,0.4019,0.41904,0.42357,0.00502,0.00505,0.0051,0.00513,0.02234,0.02118,0.02335,0.02374,NA
2011-09-05,2011,248,64,canadaOA_2011_09_05_120134.jpg,100.86386,89.32502,51.62755,0.36939,0.41711,100.82505,3.4446,88.70299,2.87377,53.23325,2.68455,0.36539,0.00561,0.36718,0.36965,0.37055,0.4153,0.00713,0.41673,0.41863,0.42092,43.47916,NA,0,0,0,0,0.3679,0.36945,0.37284,0.37465,0.411,0.40991,0.4161,0.4203,0.00325,0.00327,0.0033,0.00331,0.01506,0.01678,0.01573,0.016,NA
2011-09-08,2011,251,58,canadaOA_2011_09_08_120305.jpg,102.8895,90.6594,51.04259,0.37066,0.42066,101.60873,2.67883,89.06433,2.76172,51.98013,2.22919,0.36702,0.00503,0.36799,0.37093,0.37207,0.41875,0.00404,0.4185,0.42069,0.42329,42.00008,NA,0,0,0,0,0.36881,0.37005,0.37278,0.37457,0.41119,0.41731,0.4159,0.41998,0.00276,0.00278,0.0028,0.00281,0.0123,0.01337,0.01286,0.01308,NA
2011-09-11,2011,254,60,canadaOA_2011_09_11_120131.jpg,83.83188,76.63387,43.20482,0.37626,0.41161,93.85427,10.19294,84.53109,7.94109,49.01955,5.51235,0.37189,0.00641,0.3727,0.37602,0.37843,0.41243,0.0134,0.41452,0.41734,0.42602,40.85419,NA,0,0,0,0,0.36955,0.37047,0.37282,0.37478,0.41376,0.42412,0.41841,0.42255,0.00296,0.00298,0.00301,0.00302,0.01248,0.01136,0.01304,0.01326,NA
2011-09-14,2011,257,48,canadaOA_2011_09_14_120134.jpg,99.00756,87.3103,51.15168,0.36767,0.41693,99.59548,5.90672,87.87422,3.5062,53.06097,4.19002,0.36534,0.00453,0.36603,0.36799,0.37061,0.41392,0.01633,0.41773,0.41985,0.42138,40.09459,NA,0,0,0,0,0.36989,0.37048,0.37275,0.37503,0.41869,0.43035,0.42359,0.42798,0.0031,0.00312,0.00315,0.00317,0.01299,0.011,0.01357,0.0138,NA
2011-09-17,2011,260,47,canadaOA_2011_09_17_120140.jpg,104.37484,90.78381,50.85048,0.36903,0.42427,99.37755,7.26012,87.1213,4.69951,49.63909,4.02307,0.36902,0.00454,0.36951,0.3718,0.37422,0.42064,0.01507,0.42401,0.42718,0.43227,38.55499,NA,0,0,0,0,0.37013,0.37037,0.37281,0.3756,0.42581,0.43599,0.43129,0.43611,0.003,0.00302,0.00305,0.00306,0.01284,0.01205,0.01341,0.01364,NA
2011-09-20,2011,263,22,canadaOA_2011_09_20_073128.jpg,55.63597,64.38749,47.90116,0.38343,0.33132,97.36335,9.8239,85.04015,5.25572,44.78739,2.60682,0.37445,0.00389,0.37437,0.37628,0.37988,0.42735,0.0221,0.43109,0.43549,0.44249,37.77958,NA,0,0,0,0,0.36995,0.36982,0.37272,0.37616,0.43494,0.44105,0.44126,0.44667,0.00297,0.00298,0.00301,0.00303,0.01268,0.01386,0.01325,0.01347,NA
2011-09-23,2011,266,39,canadaOA_2011_09_23_120131.jpg,98.78913,81.56617,37.26221,0.37481,0.45396,104.31401,5.0193,86.47719,3.50542,42.40442,3.74584,0.37101,0.00617,0.37003,0.37514,0.37956,0.44736,0.00682,0.44828,0.45111,0.45403,36.22174,NA,0,0,0,0,0.36808,0.36756,0.37127,0.37532,0.44596,0.4455,0.45336,0.45952,0.00327,0.00329,0.00333,0.00334,0.01444,0.01594,0.01509,0.01535,NA
2011-09-26,2011,269,55,canadaOA_2011_09_26_120137.jpg,111.32205,82.84246,32.66189,0.36522,0.49078,111.72898,7.40936,85.64157,4.06638,39.53073,4.71129,0.36153,0.0054,0.36081,0.36523,0.36967,0.47153,0.02045,0.4752,0.48228,0.49148,35.44046,NA,0,0,0,0,0.36247,0.36162,0.36636,0.37088,0.45876,0.44932,0.46745,0.4745,0.00535,0.00539,0.00544,0.00546,0.01981,0.01801,0.0207,0.02105,NA
2011-09-29,2011,272,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35223,0.35123,0.35701,0.36186,0.47323,0.45251,0.48339,0.49146,0,0,0,0,0,0,0,0,1
