#
# 3-day product summary time series for canadaOBS
#
# Site: canadaOBS
# Veg Type: MX
# ROI ID Number: 0001
# Lat: 53.98717
# Lon: -105.11779
# Elev: 628
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:27:05
# Update Date: 2016-06-13
# Update Time: 05:17:48
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:14:31
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-07-04,2011,185,11,canadaOBS_2011_07_05_153133.jpg,102.91219,92.78104,64.44438,0.35666,0.39561,95.10693,7.8576,90.27571,4.96627,56.38076,5.61564,0.37359,0.00723,0.37268,0.37683,0.38195,0.39326,0.01876,0.39561,0.40195,0.41728,48.43327,NA,0,0,0,0,0.37073,0.37299,0.37722,0.38078,0.4023,0.40366,0.41224,0.42393,0.00364,0.00365,0.0038,0.00384,0.01413,0.01401,0.01455,0.01493,NA
2011-07-07,2011,188,83,canadaOBS_2011_07_07_120140.jpg,91.52797,82.6491,43.7027,0.37933,0.42008,98.61885,11.76763,87.38727,7.92995,52.75538,7.21449,0.36648,0.01732,0.37142,0.37515,0.37903,0.41258,0.02215,0.41356,0.42194,0.42919,58.56915,NA,0,0,0,0,0.37041,0.37288,0.37694,0.38029,0.40211,0.4034,0.41227,0.42338,0.00306,0.003,0.00313,0.00316,0.01207,0.01227,0.01243,0.01275,NA
2011-07-10,2011,191,79,canadaOBS_2011_07_10_120136.jpg,115.62262,101.35013,54.19164,0.37376,0.42639,97.47746,9.63277,88.61751,7.34922,53.99508,6.12959,0.36918,0.01294,0.37216,0.37541,0.37743,0.40577,0.019,0.40428,0.41644,0.42741,58.33783,NA,0,0,0,0,0.37008,0.37272,0.37662,0.37978,0.40199,0.40323,0.41236,0.42289,0.00258,0.00249,0.0026,0.00262,0.01032,0.01074,0.01063,0.01091,NA
2011-07-13,2011,194,80,canadaOBS_2011_07_13_120303.jpg,115.50829,100.36012,51.38939,0.37552,0.4322,95.31664,10.5091,87.9215,8.17186,52.54107,6.99599,0.37308,0.01092,0.37434,0.37921,0.3811,0.40414,0.02103,0.40648,0.41778,0.42847,57.94617,NA,0,0,0,0,0.36974,0.3725,0.37625,0.37925,0.40194,0.40313,0.41249,0.42248,0.00221,0.00211,0.0022,0.00223,0.00892,0.00945,0.00919,0.00942,NA
2011-07-16,2011,197,84,canadaOBS_2011_07_16_120132.jpg,104.42108,96.17423,56.89086,0.37351,0.40554,94.65283,11.11125,86.61362,8.28298,55.32845,8.30318,0.36605,0.01309,0.36974,0.37307,0.37466,0.39994,0.02887,0.40413,0.41618,0.42146,57.49322,NA,0,0,0,0,0.3694,0.37223,0.37583,0.37871,0.40196,0.40311,0.41267,0.42215,0.00195,0.00188,0.00196,0.00198,0.00788,0.00841,0.00811,0.00832,NA
2011-07-19,2011,200,54,canadaOBS_2011_07_18_203129.jpg,86.52097,70.22593,62.4665,0.32035,0.39469,95.46608,6.60397,88.4662,7.33636,55.61146,8.94128,0.36958,0.01749,0.37628,0.38064,0.38193,0.39921,0.01782,0.39824,0.40853,0.41912,56.62125,NA,0,0,0,0,0.36906,0.37191,0.37536,0.37817,0.40205,0.40316,0.4129,0.42189,0.0018,0.00177,0.00184,0.00186,0.00718,0.00761,0.00739,0.00759,NA
2011-07-22,2011,203,78,canadaOBS_2011_07_22_123135.jpg,109.49487,100.88534,60.78223,0.37205,0.4038,96.96324,6.52133,90.75035,5.7946,56.22233,5.60167,0.37216,0.00925,0.37437,0.37703,0.37976,0.39761,0.01156,0.39613,0.40319,0.41389,56.42935,NA,0,0,0,0,0.36873,0.37154,0.37486,0.37761,0.4022,0.40329,0.41317,0.4217,0.00173,0.00174,0.00182,0.00184,0.00679,0.00705,0.007,0.00718,NA
2011-07-25,2011,206,83,canadaOBS_2011_07_25_120136.jpg,106.21198,97.36786,57.61964,0.37277,0.40663,94.70454,9.36566,87.49746,7.40979,55.80868,8.83692,0.36791,0.01079,0.36962,0.37329,0.37934,0.39827,0.0217,0.39949,0.41196,0.42149,55.82066,NA,0,0,0,0,0.36838,0.37113,0.37432,0.37706,0.40242,0.40351,0.41349,0.42157,0.00173,0.00177,0.00185,0.00187,0.00665,0.00671,0.00685,0.00703,NA
2011-07-28,2011,209,81,canadaOBS_2011_07_28_120305.jpg,99.86847,92.41973,54.3155,0.37477,0.40498,96.13812,8.7412,88.63252,6.89709,54.68616,5.64372,0.37032,0.01188,0.37171,0.37602,0.37991,0.40138,0.01615,0.40296,0.40985,0.41622,55.16299,NA,0,0,0,0,0.36802,0.37068,0.37376,0.37649,0.40271,0.40382,0.41385,0.42152,0.00176,0.00182,0.0019,0.00192,0.0067,0.00656,0.0069,0.00708,NA
2011-07-31,2011,212,77,canadaOBS_2011_07_31_113131.jpg,100.67393,91.62811,54.71503,0.37094,0.40756,99.30089,11.48152,89.15352,8.58056,56.6725,5.15226,0.36381,0.01475,0.36844,0.37021,0.37171,0.40448,0.01856,0.40541,0.41306,0.41599,54.45814,NA,0,0,0,0,0.36764,0.37019,0.37317,0.37591,0.40308,0.40422,0.41425,0.42153,0.00181,0.00188,0.00196,0.00198,0.00684,0.00655,0.00705,0.00723,NA
