#
# 3-day product summary time series for caryinstitute
#
# Site: caryinstitute
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 41.7839
# Lon: -73.7341
# Elev: 127
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-04-12
# Creation Time: 16:24:24
# Update Date: 2016-06-13
# Update Time: 05:17:59
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:15:51
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-04-16,2008,107,25,caryinstitute_2008_04_17_060034.jpg,126.74782,117.88676,115.63084,0.32722,0.35182,94.49024,14.39991,98.24515,11.25791,108.77971,7.29849,0.32563,0.00249,0.32436,0.3267,0.32991,0.31202,0.01397,0.30955,0.318,0.33113,58.97686,NA,0,0,0,0,0.32485,0.32383,0.32612,0.32907,0.31345,0.31064,0.32051,0.33155,0.0056,0.00556,0.00463,0.00427,0.01059,0.01159,0.01121,0.01138,NA
2008-04-19,2008,110,75,caryinstitute_2008_04_19_120035.jpg,89.36781,92.84776,103.14241,0.32537,0.31318,98.24767,12.25162,98.53514,10.04878,105.85986,8.30304,0.32545,0.00223,0.32511,0.32649,0.32865,0.32395,0.01306,0.32031,0.3314,0.33926,60.00236,NA,0,0,0,0,0.32689,0.3265,0.32867,0.33123,0.32326,0.32119,0.33019,0.33984,0.0043,0.00426,0.00328,0.00303,0.00812,0.00888,0.0086,0.00873,NA
2008-04-22,2008,113,76,caryinstitute_2008_04_22_120042.jpg,90.84137,92.09934,98.76023,0.32694,0.32247,98.13002,12.71449,98.07879,10.25301,102.71669,8.13063,0.32799,0.00232,0.32741,0.32904,0.33164,0.32747,0.01248,0.32662,0.33425,0.34358,60.92865,NA,0,0,0,0,0.32911,0.32927,0.33123,0.33354,0.33178,0.33037,0.33856,0.347,0.00339,0.00336,0.00256,0.00236,0.00641,0.00701,0.00679,0.00689,NA
2008-04-25,2008,116,78,caryinstitute_2008_04_25_121133.jpg,81.18747,81.12321,79.16437,0.33595,0.33621,99.7704,12.46702,97.93372,10.67396,93.99626,9.7315,0.33574,0.00421,0.33579,0.33851,0.34102,0.34157,0.00967,0.34163,0.34811,0.35494,61.91074,NA,0,0,0,0,0.33149,0.33213,0.33392,0.33608,0.33898,0.33815,0.3456,0.353,0.00291,0.00288,0.00239,0.00221,0.00549,0.00601,0.00582,0.0059,NA
2008-04-28,2008,119,77,caryinstitute_2008_04_28_121140.jpg,93.07229,91.09566,86.56195,0.33648,0.34378,98.59992,18.897,95.00374,18.18556,89.29527,13.50884,0.33439,0.01017,0.33803,0.3404,0.34132,0.34736,0.01211,0.34883,0.35594,0.35912,62.85753,NA,0,0,0,0,0.33407,0.33512,0.33676,0.33889,0.34487,0.34453,0.35131,0.35783,0.00276,0.00273,0.00248,0.00229,0.00521,0.0057,0.00552,0.0056,NA
2008-05-01,2008,122,74,caryinstitute_2008_05_01_115557.jpg,83.24405,80.6219,73.9469,0.33901,0.35004,100.4499,14.8873,94.63723,13.31228,86.24807,9.38049,0.33579,0.00742,0.33817,0.33994,0.34225,0.35625,0.01087,0.35468,0.36362,0.36806,63.74273,NA,0,0,0,0,0.33683,0.33823,0.33975,0.34194,0.34949,0.34957,0.35578,0.36157,0.00279,0.00277,0.0026,0.0024,0.00528,0.00578,0.00559,0.00568,NA
2008-05-04,2008,125,78,caryinstitute_2008_05_04_121039.jpg,76.52189,72.97448,69.07973,0.33386,0.35009,97.58598,16.24475,92.79224,15.26394,86.2601,11.14783,0.33439,0.00937,0.33623,0.33926,0.34181,0.35193,0.00908,0.35175,0.357,0.36418,64.61176,NA,0,0,0,0,0.33969,0.34139,0.34263,0.34503,0.35297,0.35338,0.3591,0.3643,0.0029,0.00288,0.00266,0.00246,0.00549,0.006,0.00581,0.0059,NA
2008-05-07,2008,128,78,caryinstitute_2008_05_07_121046.jpg,98.20474,92.1883,78.18258,0.34325,0.36565,99.21639,11.39737,94.12475,10.35001,82.50911,9.30659,0.34107,0.00551,0.3423,0.34369,0.3453,0.35946,0.01011,0.36111,0.36552,0.3715,65.43801,NA,0,0,0,0,0.3426,0.34457,0.34565,0.34835,0.35541,0.35607,0.36139,0.36609,0.003,0.00298,0.00281,0.00259,0.00568,0.00621,0.00601,0.0061,NA
2008-05-10,2008,131,78,caryinstitute_2008_05_10_121052.jpg,99.56415,93.24847,76.44648,0.34632,0.36977,97.48234,9.59987,94.06068,9.00701,80.73937,7.56709,0.3453,0.00638,0.34596,0.3485,0.35282,0.35786,0.00785,0.3575,0.36284,0.3679,66.2188,NA,0,0,0,0,0.34596,0.34812,0.34936,0.35249,0.35637,0.35717,0.36222,0.36661,0.00298,0.00295,0.00269,0.00248,0.00563,0.00616,0.00596,0.00605,NA
2008-05-13,2008,134,81,caryinstitute_2008_05_13_121059.jpg,86.87704,87.38444,69.33662,0.35872,0.35664,95.02395,11.4716,93.54571,10.9744,77.2961,9.03831,0.35159,0.01021,0.35344,0.35724,0.36003,0.35717,0.00654,0.3578,0.3604,0.36356,66.95253,NA,0,0,0,0,0.34982,0.35208,0.35339,0.3569,0.35578,0.35659,0.36152,0.36578,0.00294,0.00291,0.00281,0.00259,0.00555,0.00607,0.00588,0.00597,NA
2008-05-16,2008,137,80,caryinstitute_2008_05_16_121106.jpg,92.37955,95.188,80.5883,0.35497,0.3445,88.14235,16.70886,89.40313,18.66966,76.94163,16.39931,0.3493,0.01619,0.3542,0.35774,0.36289,0.34669,0.01333,0.34865,0.3533,0.35603,67.63684,NA,0,0,0,0,0.35361,0.35594,0.35828,0.36184,0.35424,0.35501,0.35988,0.36409,0.00304,0.00302,0.00269,0.00248,0.00575,0.00629,0.00609,0.00618,NA
2008-05-19,2008,140,76,caryinstitute_2008_05_19_121113.jpg,105.47562,106.30363,88.57542,0.35393,0.35117,92.40235,10.30715,93.61662,9.33634,75.83633,8.38929,0.35762,0.00668,0.35946,0.3624,0.36405,0.35271,0.0098,0.35357,0.35833,0.363,68.26982,NA,0,0,0,0,0.35675,0.3592,0.36312,0.36663,0.35239,0.35314,0.35795,0.36204,0.00314,0.00312,0.00281,0.00259,0.00594,0.0065,0.00629,0.00639,NA
2008-05-22,2008,143,83,caryinstitute_2008_05_22_120850.jpg,93.15677,93.20656,70.03658,0.36352,0.36333,90.45272,10.05787,92.77714,10.76283,75.87757,9.2153,0.35777,0.01013,0.36016,0.36492,0.36992,0.34907,0.01025,0.35154,0.3559,0.36047,68.78826,NA,0,0,0,0,0.35937,0.36205,0.36742,0.37062,0.34984,0.35055,0.3553,0.35921,0.00302,0.00299,0.00269,0.00248,0.00571,0.00624,0.00604,0.00613,NA
2008-05-25,2008,146,84,caryinstitute_2008_05_25_120856.jpg,80.90044,88.259,65.89338,0.37549,0.34418,94.22721,9.94274,97.98295,8.66459,76.13937,8.9196,0.36554,0.00795,0.36633,0.3719,0.3748,0.35103,0.00861,0.35019,0.35742,0.36134,69.31073,NA,0,0,0,0,0.36179,0.36477,0.37101,0.37393,0.34626,0.34688,0.35165,0.35536,0.00291,0.00288,0.00281,0.00259,0.0055,0.00601,0.00582,0.0059,NA
2008-05-28,2008,149,84,caryinstitute_2008_05_28_120903.jpg,85.81756,94.6257,71.27396,0.37592,0.34093,88.91475,8.13985,95.2987,7.46023,75.32881,8.13095,0.36748,0.01054,0.37212,0.37525,0.37695,0.34251,0.00796,0.34135,0.34686,0.35074,69.776,NA,0,0,0,0,0.36365,0.3669,0.37341,0.37637,0.34243,0.34295,0.34775,0.35131,0.00302,0.00299,0.00269,0.00248,0.00571,0.00624,0.00604,0.00613,NA
2008-05-31,2008,152,83,caryinstitute_2008_05_31_120911.jpg,91.3893,102.5539,90.56139,0.36046,0.32122,85.56005,11.07821,92.36521,13.21463,73.00863,9.9273,0.36708,0.015,0.37112,0.37625,0.37832,0.34135,0.01001,0.34283,0.34798,0.35159,70.18246,NA,0,0,0,0,0.3646,0.36801,0.37487,0.37792,0.33911,0.33958,0.34438,0.34787,0.00314,0.00312,0.00281,0.00259,0.00594,0.0065,0.00629,0.00639,NA
2008-06-03,2008,155,78,caryinstitute_2008_06_03_120917.jpg,81.91887,91.50082,66.69497,0.38107,0.34117,81.65928,11.78961,89.22242,13.90288,72.56402,9.10382,0.36527,0.01453,0.36759,0.37634,0.3804,0.33513,0.00628,0.3351,0.33987,0.3419,70.52831,NA,0,0,0,0,0.36421,0.36764,0.37442,0.37763,0.33601,0.3365,0.34123,0.34471,0.00302,0.00299,0.00269,0.00248,0.00571,0.00624,0.00604,0.00613,NA
2008-06-06,2008,158,78,caryinstitute_2008_06_06_120924.jpg,86.70553,96.25155,79.73791,0.3664,0.33006,78.98885,15.16541,85.96571,18.22334,73.08943,13.53137,0.35873,0.01833,0.36449,0.37023,0.37407,0.33213,0.00781,0.33243,0.33599,0.34088,70.72554,NA,0,0,0,0,0.36273,0.3661,0.37307,0.37648,0.33264,0.3332,0.33781,0.34131,0.00291,0.00288,0.00281,0.00259,0.0055,0.00601,0.00582,0.0059,NA
2008-06-09,2008,161,76,caryinstitute_2008_06_09_115811.jpg,62.7238,71.07648,58.12034,0.37034,0.32682,77.99769,9.74895,86.86665,10.59768,75.13194,9.97429,0.3619,0.0134,0.3645,0.37064,0.37566,0.32482,0.00795,0.32598,0.32981,0.33158,71.26112,NA,0,0,0,0,0.36084,0.36411,0.37072,0.37427,0.32949,0.33013,0.33463,0.33816,0.00302,0.00299,0.00269,0.00248,0.00571,0.00624,0.00604,0.00613,NA
2008-06-12,2008,164,84,caryinstitute_2008_06_12_114600.jpg,77.27521,88.36008,71.48374,0.37264,0.32589,83.85674,6.64385,93.57884,6.42601,81.19243,9.92004,0.36242,0.00953,0.3646,0.37013,0.3723,0.32447,0.0065,0.32611,0.32819,0.33085,71.38086,NA,0,0,0,0,0.35922,0.36239,0.36803,0.37173,0.32703,0.32774,0.33219,0.33578,0.00314,0.00312,0.00281,0.00259,0.00594,0.0065,0.00629,0.00639,NA
2008-06-15,2008,167,81,caryinstitute_2008_06_15_120626.jpg,88.94648,97.58078,78.75958,0.36783,0.33528,77.23134,11.54612,84.61764,14.03919,76.85668,14.01697,0.35379,0.01311,0.35818,0.36318,0.36672,0.3243,0.01068,0.32404,0.32999,0.33685,71.52896,NA,0,0,0,0,0.35761,0.36064,0.36589,0.36976,0.3254,0.32616,0.33071,0.33443,0.00302,0.00299,0.00269,0.00248,0.00571,0.00624,0.00604,0.00613,NA
2008-06-18,2008,170,83,caryinstitute_2008_06_18_121113.jpg,76.82499,83.28767,70.38262,0.36134,0.3333,81.00642,10.80783,87.64807,12.29027,78.59694,10.64193,0.35385,0.01355,0.35697,0.36334,0.36752,0.32765,0.01024,0.32912,0.33451,0.33774,71.39503,NA,0,0,0,0,0.35561,0.35846,0.36392,0.36791,0.32433,0.32513,0.32989,0.33384,0.00291,0.00288,0.00281,0.00259,0.0055,0.00601,0.00582,0.0059,NA
2008-06-21,2008,173,79,caryinstitute_2008_06_21_121120.jpg,85.2789,92.84844,74.01224,0.36824,0.33822,81.4873,7.03263,88.93199,7.81126,80.90927,10.66822,0.35422,0.01125,0.35509,0.36359,0.36698,0.32459,0.00931,0.32505,0.33084,0.33569,71.41151,NA,0,0,0,0,0.35373,0.35641,0.36255,0.36673,0.32364,0.32448,0.32946,0.33362,0.00302,0.00299,0.00269,0.00248,0.00571,0.00624,0.00604,0.00613,NA
2008-06-24,2008,176,84,caryinstitute_2008_06_24_121127.jpg,80.01374,85.98541,70.72851,0.36323,0.338,80.35526,10.18152,87.27383,11.31095,79.68823,9.55605,0.35212,0.01526,0.35425,0.36216,0.36715,0.32462,0.00944,0.3264,0.33109,0.33349,71.39984,NA,0,0,0,0,0.35248,0.35503,0.36145,0.36579,0.32317,0.32408,0.32915,0.33341,0.00314,0.00312,0.00281,0.00259,0.00594,0.0065,0.00629,0.00639,NA
2008-06-27,2008,179,84,caryinstitute_2008_06_27_115614.jpg,86.19722,95.10334,85.66146,0.35624,0.32288,77.57085,8.70306,84.95276,10.18238,79.52046,8.75177,0.35056,0.01141,0.35281,0.35841,0.36465,0.32047,0.00811,0.32013,0.32538,0.32932,71.50223,NA,0,0,0,0,0.35203,0.35453,0.36066,0.36499,0.3231,0.32408,0.32906,0.33328,0.00302,0.00299,0.00269,0.00248,0.00571,0.00624,0.00604,0.00613,NA
2008-06-30,2008,182,84,caryinstitute_2008_06_30_115621.jpg,86.84931,94.25472,77.33917,0.3647,0.33605,81.09796,8.79019,88.58882,9.58467,80.1659,10.04676,0.35459,0.01058,0.35579,0.36285,0.36575,0.32467,0.01078,0.3257,0.3311,0.33602,71.3951,NA,0,0,0,0,0.35203,0.35451,0.36024,0.36449,0.32349,0.32456,0.32932,0.33343,0.00291,0.00288,0.00281,0.00259,0.0055,0.00601,0.00582,0.0059,NA
2008-07-03,2008,185,72,caryinstitute_2008_07_03_115628.jpg,81.08695,88.22462,73.62892,0.36315,0.33377,76.30985,11.89382,82.53089,13.80961,76.70768,12.15678,0.34936,0.01552,0.35505,0.36055,0.36402,0.32388,0.01031,0.32556,0.32997,0.33507,71.18325,NA,0,0,0,0,0.35222,0.35469,0.36053,0.36437,0.324,0.32517,0.32969,0.33366,0.00302,0.00299,0.00269,0.00248,0.00571,0.00624,0.00604,0.00613,NA
2008-07-06,2008,188,83,caryinstitute_2008_07_06_114855.jpg,70.70706,77.8418,68.80241,0.35814,0.32531,77.58457,9.34332,84.21377,9.99437,79.1825,8.9491,0.34913,0.0111,0.35163,0.35702,0.36022,0.32173,0.0098,0.32204,0.32693,0.33169,70.79046,NA,0,0,0,0,0.35231,0.35476,0.36101,0.36442,0.32431,0.32556,0.32993,0.33378,0.00314,0.00312,0.00281,0.00259,0.00594,0.0065,0.00629,0.00639,NA
2008-07-09,2008,191,84,caryinstitute_2008_07_09_115621.jpg,68.17691,75.09538,65.40717,0.35986,0.32671,78.02719,9.18864,85.65248,10.21365,78.1844,9.75079,0.35387,0.01223,0.35623,0.36238,0.36695,0.32268,0.00957,0.32558,0.32833,0.33017,70.45512,NA,0,0,0,0,0.35238,0.3548,0.3616,0.36481,0.32452,0.32584,0.33011,0.33385,0.00302,0.00299,0.00269,0.00248,0.00571,0.00624,0.00604,0.00613,NA
2008-07-12,2008,194,81,caryinstitute_2008_07_12_115628.jpg,81.65493,90.14884,76.3669,0.36325,0.32903,80.11913,7.75667,86.58618,8.48249,76.56761,7.59831,0.35576,0.01044,0.3584,0.36376,0.36586,0.32932,0.00978,0.33109,0.33588,0.34015,70.18923,NA,0,0,0,0,0.35261,0.35497,0.36217,0.36528,0.32485,0.32625,0.33044,0.33402,0.00291,0.00288,0.00281,0.00259,0.0055,0.00601,0.00582,0.0059,NA
2008-07-15,2008,197,81,caryinstitute_2008_07_15_115635.jpg,79.12608,88.44848,72.67819,0.36815,0.32935,80.31596,9.54785,87.20897,10.02286,77.86485,10.09687,0.35542,0.01108,0.35683,0.3649,0.36751,0.32729,0.00696,0.32888,0.33059,0.33324,69.74482,NA,0,0,0,0,0.35286,0.35518,0.36228,0.3656,0.32514,0.32663,0.33077,0.33421,0.00302,0.00299,0.00269,0.00248,0.00571,0.00624,0.00604,0.00613,NA
2008-07-18,2008,200,75,caryinstitute_2008_07_18_120817.jpg,69.0248,76.38003,63.762,0.36516,0.33,77.52544,8.8062,84.18687,9.05407,76.30684,10.22309,0.35396,0.00993,0.35505,0.36201,0.36526,0.32584,0.00957,0.32654,0.33182,0.3343,69.22684,NA,0,0,0,0,0.35301,0.35532,0.36234,0.36587,0.32518,0.32683,0.33101,0.33439,0.00314,0.00312,0.00281,0.00259,0.00594,0.0065,0.00629,0.00639,NA
2008-07-21,2008,203,79,caryinstitute_2008_07_21_115446.jpg,75.65512,87.81217,92.95422,0.34245,0.29504,74.82839,9.81836,81.43699,10.86983,75.48442,9.96924,0.3509,0.01223,0.35252,0.35992,0.36448,0.32278,0.01175,0.32365,0.3304,0.33636,68.70471,NA,0,0,0,0,0.35294,0.35527,0.36206,0.36566,0.32478,0.32668,0.33106,0.33452,0.00302,0.00299,0.00269,0.00248,0.00571,0.00624,0.00604,0.00613,NA
2008-07-24,2008,206,79,caryinstitute_2008_07_24_115137.jpg,74.89931,82.44368,69.6681,0.36317,0.32994,76.31495,12.20482,82.92804,15.0992,76.16883,12.57458,0.35044,0.01769,0.3555,0.36122,0.36568,0.32467,0.00959,0.32698,0.32949,0.33142,68.01669,NA,0,0,0,0,0.35269,0.35509,0.36174,0.36537,0.32407,0.32626,0.33099,0.33464,0.00291,0.00288,0.00281,0.00259,0.0055,0.00601,0.00582,0.0059,NA
2008-07-27,2008,209,81,caryinstitute_2008_07_27_115144.jpg,74.38637,80.71203,75.77709,0.34959,0.32219,79.1693,8.2015,85.86409,8.50241,79.22334,9.48166,0.35157,0.0116,0.35341,0.3611,0.36486,0.32413,0.01115,0.32605,0.33106,0.33538,67.3693,NA,0,0,0,0,0.35245,0.35494,0.36187,0.36528,0.32333,0.32583,0.33089,0.33476,0.00302,0.00299,0.00269,0.00248,0.00571,0.00624,0.00604,0.00613,NA
2008-07-30,2008,212,81,caryinstitute_2008_07_30_115151.jpg,70.9059,78.67739,65.20673,0.3663,0.33012,77.28829,7.39012,84.83218,8.10317,76.95672,10.03496,0.35501,0.01109,0.357,0.36428,0.36598,0.32357,0.01161,0.32624,0.33124,0.33312,66.67486,NA,0,0,0,0,0.35238,0.35497,0.36206,0.36526,0.32288,0.32563,0.33087,0.33487,0.00314,0.00312,0.00281,0.00259,0.00594,0.0065,0.00629,0.00639,NA
2008-08-02,2008,215,77,caryinstitute_2008_08_02_115215.jpg,89.02745,95.9522,98.90184,0.338,0.31361,78.04152,10.46646,85.84847,12.38352,80.71221,17.01552,0.35131,0.01257,0.35414,0.36113,0.36501,0.32012,0.0166,0.32542,0.33114,0.33679,65.94151,NA,0,0,0,0,0.35257,0.35525,0.3622,0.36545,0.32265,0.32569,0.33089,0.33493,0.00302,0.00299,0.00269,0.00248,0.00571,0.00624,0.00604,0.00613,NA
2008-08-05,2008,218,75,caryinstitute_2008_08_05_115222.jpg,77.15968,85.60084,69.21528,0.36901,0.33262,76.82863,9.87331,85.12091,11.40703,77.19858,11.73766,0.35556,0.01296,0.35847,0.3641,0.36658,0.3215,0.01214,0.32375,0.33076,0.33502,65.16037,NA,0,0,0,0,0.35294,0.35569,0.36243,0.36574,0.32249,0.32586,0.33091,0.33495,0.00291,0.00288,0.00281,0.00259,0.0055,0.00601,0.00582,0.0059,NA
2008-08-08,2008,221,72,caryinstitute_2008_08_08_115229.jpg,68.53098,74.17715,62.07322,0.36223,0.33465,77.69026,8.35542,85.1388,9.146,78.07847,10.93633,0.35356,0.01145,0.35701,0.36271,0.36518,0.32276,0.01215,0.32765,0.33158,0.33558,64.33893,NA,0,0,0,0,0.35337,0.35621,0.3627,0.36619,0.32252,0.32615,0.33103,0.33503,0.00302,0.00299,0.00269,0.00248,0.00571,0.00624,0.00604,0.00613,NA
2008-08-11,2008,224,78,caryinstitute_2008_08_11_115103.jpg,33.57558,32.34461,42.17482,0.29922,0.31061,74.1541,12.40474,80.50018,13.81873,74.9648,12.41256,0.34964,0.01455,0.35228,0.36093,0.36571,0.32264,0.01326,0.32489,0.33116,0.33641,63.45666,NA,0,0,0,0,0.35379,0.35675,0.36301,0.36665,0.32285,0.32656,0.33134,0.33532,0.00314,0.00312,0.00281,0.00259,0.00594,0.0065,0.00629,0.00639,NA
2008-08-14,2008,227,77,caryinstitute_2008_08_14_115323.jpg,66.90965,78.19024,69.01403,0.36518,0.3125,73.89968,9.2084,80.29289,10.24158,73.21581,9.54655,0.35272,0.01361,0.3548,0.36161,0.36788,0.32492,0.01233,0.32776,0.3318,0.33704,62.59064,NA,0,0,0,0,0.35429,0.35743,0.36352,0.36701,0.32372,0.32721,0.33198,0.33588,0.00302,0.00299,0.00269,0.00248,0.00571,0.00624,0.00604,0.00613,NA
2008-08-17,2008,230,75,caryinstitute_2008_08_17_115330.jpg,74.29316,83.27103,69.00014,0.36754,0.32791,77.65751,9.8401,85.83519,10.31094,77.10038,12.43041,0.35708,0.01248,0.36125,0.36706,0.36825,0.32292,0.0139,0.3288,0.33104,0.33247,61.65923,NA,0,0,0,0,0.35493,0.35829,0.36405,0.3673,0.32503,0.3281,0.33285,0.3366,0.00291,0.00288,0.00281,0.00259,0.0055,0.00601,0.00582,0.0059,NA
