#
# 3-day product summary time series for cedarcreek
#
# Site: cedarcreek
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 45.4019
# Lon: -93.2042
# Elev: 276
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:27:34
# Update Date: 2016-06-13
# Update Time: 05:18:00
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2009-12-01,2009,335,11,cedarcreek_2009_12_01_120800.jpg,92.89973,104.59035,83.70267,0.37195,0.33038,95.1158,2.84895,107.5249,2.64529,87.72516,2.50961,0.37032,0.00101,0.37073,0.37106,0.3712,0.32756,0.00437,0.3272,0.33032,0.33337,22.71744,-9999,0,0,0,0,0.37032,NA,NA,NA,0.32756,0.3272,0.33032,0.33337,0,NA,NA,NA,0,0,0,0,NA
2009-12-02,2009,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37044,NA,NA,NA,0.32368,0.3224,0.3269,0.3314,0,NA,NA,NA,0,0,0,0,NA
2009-12-03,2009,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37061,NA,NA,NA,0.31851,0.31599,0.32235,0.32877,0,NA,NA,NA,0,0,0,0,NA
2009-12-04,2009,338,20,cedarcreek_2009_12_04_120800.jpg,96.24926,113.80755,97.5077,0.37003,0.31294,91.96791,6.31046,107.9377,7.33097,91.31001,7.24537,0.37069,0.00166,0.37019,0.37188,0.37347,0.31593,0.00782,0.31279,0.32007,0.32745,22.43378,-9999,0,0,0,0,0.37069,NA,NA,NA,0.31593,0.31279,0.32007,0.32745,0,NA,NA,NA,0,0,0,0,NA
2009-12-05,2009,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37061,NA,NA,NA,0.31536,0.31327,0.31983,0.32601,0,NA,NA,NA,0,0,0,0,NA
2009-12-06,2009,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37048,NA,NA,NA,0.3143,0.31417,0.31938,0.32332,0,NA,NA,NA,0,0,0,0,NA
2009-12-07,2009,341,20,cedarcreek_2009_12_07_121000.jpg,94.99187,112.91579,94.79911,0.37302,0.31381,92.10223,6.82837,108.6591,6.21478,92.53569,3.83578,0.3704,0.00313,0.37069,0.37282,0.37366,0.31373,0.01038,0.31465,0.31914,0.32188,22.06589,-9999,0,0,0,0,0.3704,NA,NA,NA,0.31373,0.31465,0.31914,0.32188,0,NA,NA,NA,0,0,0,0,NA
2009-12-08,2009,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3699,NA,NA,NA,0.31002,0.31072,0.31463,0.31713,0,NA,NA,NA,0,0,0,0,NA
2009-12-09,2009,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36899,NA,NA,NA,0.30312,0.30343,0.30624,0.30829,0,NA,NA,NA,0,0,0,0,NA
2009-12-10,2009,344,19,cedarcreek_2009_12_10_120700.jpg,100.50043,124.38601,110.67235,0.37068,0.2995,95.05875,4.9685,116.981,5.7395,105.39238,4.48378,0.36849,0.00276,0.36996,0.3703,0.37102,0.29941,0.0035,0.2995,0.30173,0.30354,21.72032,-9999,0,0,0,0,0.36849,NA,NA,NA,0.29941,0.2995,0.30173,0.30354,0,NA,NA,NA,0,0,0,0,NA
