#
# 3-day product summary time series for chibougamau
#
# Site: chibougamau
# Veg Type: EN
# ROI ID Number: 0001
# Lat: 49.6924
# Lon: -74.342
# Elev: 380
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:27:39
# Update Date: 2016-06-13
# Update Time: 05:18:04
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:18:02
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-05-22,2008,143,63,chibougamau_2008_05_22_120139.jpg,98.39866,103.72101,82.3587,0.3646,0.34589,94.64286,10.85293,102.36223,9.53591,85.63328,7.65898,0.36208,0.00432,0.36309,0.36536,0.36645,0.33384,0.0171,0.33562,0.34601,0.3509,61.02128,NA,0,0,0,0,0.36183,0.36351,0.36564,0.36735,0.33895,0.34125,0.34797,0.35141,0.00263,0.00268,0.00262,0.00278,0.00898,0.00917,0.00904,0.01013,NA
2008-05-25,2008,146,87,chibougamau_2008_05_25_120138.jpg,97.65845,105.67601,83.16201,0.36886,0.34087,92.71424,10.92141,100.47894,10.23081,82.55571,6.8442,0.36406,0.00736,0.3663,0.36757,0.36926,0.33557,0.01299,0.33635,0.34566,0.34807,61.55453,NA,0,0,0,0,0.36272,0.36438,0.36652,0.36823,0.33757,0.33974,0.34651,0.3502,0.00245,0.00251,0.00245,0.00261,0.00829,0.00844,0.00835,0.00941,NA
2008-05-28,2008,149,82,chibougamau_2008_05_28_120138.jpg,98.28223,105.72841,87.18975,0.36308,0.33751,93.88834,10.63429,100.24383,10.29739,83.57118,8.74891,0.36089,0.0055,0.36181,0.36398,0.36629,0.33771,0.01223,0.33899,0.34461,0.34977,62.03424,NA,0,0,0,0,0.36356,0.36521,0.36736,0.36908,0.33624,0.33829,0.34511,0.34904,0.00229,0.00234,0.00229,0.00244,0.00764,0.00776,0.00771,0.00873,NA
2008-05-31,2008,152,84,chibougamau_2008_05_31_120139.jpg,92.34215,100.00865,78.60265,0.3691,0.3408,93.44015,10.46238,100.45537,10.01596,82.59772,7.21029,0.36319,0.00539,0.36486,0.36617,0.36682,0.33739,0.01092,0.33755,0.34421,0.34902,62.4572,NA,0,0,0,0,0.36437,0.36599,0.36815,0.36988,0.33496,0.3369,0.34376,0.34793,0.00213,0.00218,0.00214,0.00228,0.00705,0.00713,0.00712,0.00809,NA
2008-06-03,2008,155,72,chibougamau_2008_06_03_120139.jpg,101.78781,105.47077,79.73083,0.36751,0.35467,96.64637,6.31063,103.90772,5.37435,84.85379,6.95582,0.36412,0.00552,0.36566,0.36809,0.3688,0.33864,0.01328,0.33951,0.34568,0.35132,62.82262,NA,0,0,0,0,0.36513,0.36673,0.3689,0.37064,0.33374,0.33556,0.34247,0.34686,0.00199,0.00203,0.002,0.00213,0.0065,0.00656,0.00657,0.00751,NA
2008-06-06,2008,158,82,chibougamau_2008_06_06_120136.jpg,93.78392,102.27284,82.09824,0.36768,0.33716,92.42402,11.29605,100.91264,10.64394,81.40693,7.42344,0.36706,0.00595,0.36872,0.37045,0.3721,0.33564,0.0146,0.33895,0.34561,0.35033,63.12867,NA,0,0,0,0,0.36585,0.36743,0.36961,0.37135,0.33258,0.33429,0.34123,0.34584,0.00186,0.0019,0.00187,0.00199,0.00601,0.00605,0.00608,0.00697,NA
2008-06-09,2008,161,71,chibougamau_2008_06_09_120138.jpg,95.92038,105.72938,84.38547,0.36964,0.33534,90.88138,11.9226,101.95954,11.75341,83.67962,8.251,0.36843,0.00431,0.36905,0.37062,0.37248,0.32765,0.01394,0.3305,0.33654,0.34017,63.29967,NA,0,0,0,0,0.36653,0.36809,0.37028,0.37203,0.33147,0.33307,0.34005,0.34488,0.00174,0.00177,0.00175,0.00187,0.00557,0.00561,0.00565,0.00649,NA
2008-06-12,2008,164,81,chibougamau_2008_06_12_120138.jpg,96.63717,105.63989,83.11792,0.37015,0.33861,94.02781,6.5528,103.0346,6.74078,82.76008,5.26988,0.36815,0.00676,0.36952,0.37104,0.37376,0.33596,0.00975,0.33597,0.33939,0.34416,63.55948,NA,0,0,0,0,0.36716,0.36871,0.3709,0.37266,0.33041,0.33192,0.33893,0.34397,0.00163,0.00166,0.00165,0.00175,0.0052,0.00522,0.00527,0.00607,NA
2008-06-15,2008,167,54,chibougamau_2008_06_15_120140.jpg,77.90973,89.29102,79.13189,0.36248,0.31628,89.28109,8.44937,101.75418,5.55419,87.08632,14.58014,0.36617,0.01264,0.37007,0.37234,0.37473,0.32152,0.02865,0.32806,0.33772,0.34506,63.6482,NA,0,0,0,0,0.36776,0.36929,0.37148,0.37324,0.32941,0.33082,0.33787,0.34312,0.00153,0.00157,0.00155,0.00165,0.00488,0.00491,0.00495,0.0057,NA
2008-06-18,2008,170,26,chibougamau_2008_06_19_050127.jpg,102.61138,96.19563,84.54865,0.33949,0.36213,87.42303,15.08424,96.25476,15.86936,78.62887,13.11472,0.36696,0.00806,0.36883,0.37237,0.37372,0.33272,0.01253,0.33361,0.33634,0.3459,63.74368,NA,0,0,0,0,0.36831,0.36983,0.37202,0.37379,0.32847,0.32978,0.33686,0.34232,0.00145,0.00148,0.00147,0.00156,0.00462,0.00465,0.00468,0.0054,NA
