#
# 3-day product summary time series for coaloilpoint
#
# Site: coaloilpoint
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 34.413695
# Lon: -119.880226
# Elev: 6
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:27:45
# Update Date: 2016-06-13
# Update Time: 05:18:05
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:18:42
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-05-13,2008,134,7,coaloilpoint_2008_05_13_120000.jpg,163.5121,149.4258,132.99456,0.33509,0.36667,158.98678,8.13262,144.74915,7.71222,128.32561,7.14632,0.335,0.00117,0.33509,0.33605,0.3364,0.36801,0.00399,0.36681,0.37108,0.37314,74.43004,NA,0,0,0,0,0.33487,0.33426,0.33342,0.333,0.36996,0.36935,0.37447,0.37719,0.00132,0.00143,0.00142,0.00168,0.00213,0.00225,0.00257,0.00267,NA
2008-05-16,2008,137,9,coaloilpoint_2008_05_16_120000.jpg,165.3532,149.4092,130.91661,0.33524,0.37101,164.3451,6.18422,148.12702,7.22459,131.35971,9.22878,0.33378,0.00126,0.3337,0.33491,0.33531,0.37055,0.00607,0.36903,0.37757,0.37838,75.11344,NA,0,0,0,0,0.33287,0.33275,0.33313,0.33295,0.36954,0.36898,0.37404,0.37672,0.00097,0.00105,0.00126,0.00153,0.00205,0.00216,0.00245,0.00254,NA
2008-05-19,2008,140,9,coaloilpoint_2008_05_19_120000.jpg,167.5711,152.649,136.29398,0.33438,0.36707,164.33131,6.89391,148.39383,8.28222,133.3295,10.16736,0.33268,0.00127,0.33258,0.33402,0.33411,0.36875,0.00743,0.36707,0.37774,0.37874,75.7482,NA,0,0,0,0,0.33127,0.3316,0.33286,0.3329,0.36912,0.36862,0.37361,0.37626,0.00075,0.00082,0.00111,0.00138,0.00197,0.00207,0.00233,0.00242,NA
2008-05-22,2008,143,8,coaloilpoint_2008_05_22_120000.jpg,167.6514,154.3371,143.07312,0.33186,0.36049,156.80615,14.48104,141.18069,16.27898,131.75803,15.11182,0.32821,0.00374,0.32725,0.33202,0.33283,0.36543,0.00885,0.36487,0.37228,0.37579,76.3325,NA,0,0,0,0,0.33007,0.33078,0.33262,0.33286,0.3687,0.36826,0.37319,0.3758,0.00067,0.00073,0.00099,0.00126,0.0019,0.00199,0.00222,0.0023,NA
2008-05-25,2008,146,9,coaloilpoint_2008_05_25_120000.jpg,163.0443,143.0578,129.09928,0.32872,0.37464,159.99768,7.83901,142.45923,8.84998,132.89174,7.9797,0.3271,0.00311,0.32766,0.32872,0.3305,0.36767,0.00595,0.36585,0.37069,0.37572,76.86445,NA,0,0,0,0,0.32917,0.33021,0.33242,0.33282,0.3683,0.36791,0.37278,0.37535,0.00067,0.00073,0.00088,0.00114,0.00183,0.00191,0.00211,0.00218,NA
2008-05-28,2008,149,9,coaloilpoint_2008_05_28_120000.jpg,166.5356,146.4435,130.49082,0.33022,0.37553,163.91925,8.92861,144.29417,10.81184,133.07168,8.63713,0.32674,0.00439,0.32932,0.33016,0.33026,0.37168,0.00482,0.3735,0.37553,0.37625,77.34208,NA,0,0,0,0,0.3286,0.32991,0.33225,0.33279,0.3679,0.36756,0.37237,0.37491,7e-04,0.00076,8e-04,0.00104,0.00176,0.00183,0.00201,0.00207,NA
2008-05-31,2008,152,9,coaloilpoint_2008_05_31_120000.jpg,146.8974,124.7608,112.46866,0.32479,0.38242,163.35868,8.75253,144.59078,12.44301,133.73304,11.87234,0.32708,0.0045,0.3296,0.3309,0.33123,0.37046,0.00862,0.37102,0.37815,0.37928,77.76343,NA,0,0,0,0,0.32831,0.32982,0.3321,0.33278,0.3675,0.36722,0.37198,0.37447,0.00073,0.00079,0.00074,0.00096,0.00169,0.00176,0.00191,0.00197,NA
2008-06-03,2008,155,9,coaloilpoint_2008_06_03_120000.jpg,168.6801,153.1101,140.31932,0.33133,0.36502,166.42722,6.54229,148.84866,9.33252,137.59365,8.23266,0.3285,0.00352,0.3305,0.33129,0.33148,0.36778,0.00602,0.36502,0.36944,0.37786,78.12668,NA,0,0,0,0,0.32857,0.33028,0.33197,0.33277,0.36711,0.36688,0.37158,0.37405,0.00074,8e-04,7e-04,9e-04,0.00162,0.00168,0.00182,0.00187,NA
2008-06-06,2008,158,9,coaloilpoint_2008_06_06_120000.jpg,175.0842,156.9346,140.63499,0.33203,0.37043,167.43933,7.48609,151.57318,9.70142,138.85478,9.25051,0.33091,0.00244,0.33248,0.3327,0.33279,0.36598,0.00571,0.3629,0.37235,0.3727,78.43015,NA,0,0,0,0,0.32908,0.3309,0.33186,0.33277,0.36673,0.36655,0.3712,0.37363,0.00078,0.00085,0.00067,0.00085,0.00156,0.00162,0.00174,0.00178,NA
2008-06-09,2008,161,9,coaloilpoint_2008_06_09_120000.jpg,163.0735,146.1494,133.60726,0.33003,0.36825,161.58624,8.96788,144.97976,11.1339,132.32994,12.07459,0.33024,0.00205,0.33129,0.33141,0.33231,0.36864,0.00701,0.36887,0.37452,0.37748,78.67235,NA,0,0,0,0,0.32942,0.33115,0.33178,0.33279,0.36636,0.36622,0.37082,0.37322,0.00074,8e-04,0.00066,0.00081,0.0015,0.00155,0.00166,0.0017,NA
2008-06-12,2008,164,9,coaloilpoint_2008_06_12_120000.jpg,172.0573,154.6502,140.61309,0.33093,0.36818,164.39308,9.75156,147.89281,11.10686,135.99447,10.29011,0.32978,0.00249,0.33093,0.33112,0.33219,0.36699,0.00442,0.36728,0.36969,0.37216,78.85216,NA,0,0,0,0,0.32984,0.33134,0.33173,0.33281,0.36599,0.3659,0.37045,0.37282,0.00074,8e-04,0.00066,0.00079,0.00145,0.00149,0.00158,0.00162,NA
2008-06-15,2008,167,9,coaloilpoint_2008_06_15_120000.jpg,170.8917,154.4428,138.69569,0.33283,0.36828,164.91756,9.77494,148.93724,11.2143,135.6681,9.88296,0.33115,0.0029,0.33275,0.33286,0.33314,0.36712,0.00493,0.36828,0.36992,0.37272,78.96886,NA,0,0,0,0,0.33012,0.33141,0.33171,0.33285,0.36562,0.36559,0.37008,0.37242,0.00078,0.00085,0.00067,0.00077,0.00139,0.00143,0.00151,0.00155,NA
