#
# 3-day product summary time series for columbiamissouri
#
# Site: columbiamissouri
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 38.7441
# Lon: -92.1997
# Elev: 232
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:27:48
# Update Date: 2016-06-13
# Update Time: 05:18:06
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:19:33
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2006-11-19,2006,323,1,columbiamissouri_2006_11_18_144900.jpg,100.46404,103.16408,107.34508,0.33175,0.32306,100.46404,0,103.16408,0,107.34508,0,0.33175,0,0.33175,0.33175,0.33175,0.32306,0,0.32306,0.32306,0.32306,18.97013,NA,0,0,0,0,0.33221,0.33231,0.33236,0.33243,0.32367,0.32357,0.32382,0.3239,0.00435,0.00462,0.00466,0.00554,0.01146,0.01208,0.00972,0.00911,NA
2006-11-22,2006,326,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33158,0.33187,0.33195,0.33204,0.32311,0.3218,0.32371,0.32535,0.00313,0.00332,0.00335,0.00403,0.00812,0.00856,0.00689,0.00646,NA
2006-11-25,2006,329,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33097,0.33137,0.33149,0.33165,0.32252,0.32058,0.32344,0.32605,0.00247,0.00262,0.00264,0.00314,0.0072,0.0076,0.00611,0.00573,NA
2006-11-28,2006,332,3,columbiamissouri_2006_11_28_122000.jpg,115.41293,113.03814,114.3881,0.32971,0.33664,106.34427,6.77475,107.50823,4.39562,110.02841,3.5205,0.332,0.00163,0.33297,0.33315,0.33325,0.32808,0.00612,0.32488,0.33076,0.33429,29.6617,NA,0,0,0,0,0.33044,0.33088,0.33105,0.3313,0.32229,0.32022,0.32352,0.32654,0.00223,0.00237,0.00239,0.00276,0.00707,0.00746,0.006,0.00562,NA
2006-12-01,2006,335,5,columbiamissouri_2006_12_01_122000.jpg,99.24825,105.00992,114.03413,0.32992,0.31181,89.39364,5.71121,93.33949,6.60257,99.573,8.51939,0.33071,0.00146,0.33082,0.33143,0.33229,0.31688,0.0034,0.31684,0.31722,0.32037,29.34509,NA,0,0,0,0,0.33001,0.33042,0.33066,0.331,0.32222,0.32058,0.32373,0.32664,0.00219,0.00232,0.00234,0.00267,0.00662,0.00698,0.00561,0.00526,NA
2006-12-04,2006,338,3,columbiamissouri_2006_12_04_122000.jpg,94.99616,97.50657,105.3827,0.32733,0.3189,93.09474,2.3887,95.26707,1.76703,101.66113,2.64191,0.3285,0.00084,0.32888,0.32908,0.3292,0.32098,0.00432,0.3189,0.32295,0.32538,28.92235,NA,0,0,0,0,0.3295,0.32976,0.33009,0.33067,0.323,0.32256,0.32478,0.32682,0.00214,0.00227,0.00229,0.00262,0.00577,0.00609,0.00489,0.00459,NA
2006-12-07,2006,341,3,columbiamissouri_2006_12_07_122000.jpg,91.2485,91.29269,95.0018,0.32893,0.32877,85.34829,5.75643,85.79227,5.20692,89.68962,4.66854,0.3289,0.00042,0.32893,0.32917,0.32931,0.32706,0.0028,0.32877,0.32904,0.3292,28.56348,NA,0,0,0,0,0.32906,0.3291,0.32951,0.33035,0.3243,0.32521,0.32654,0.32763,0.00232,0.00247,0.00249,0.00266,0.00639,0.00674,0.00542,0.00508,NA
2006-12-10,2006,344,3,columbiamissouri_2006_12_10_122000.jpg,86.93983,86.47279,89.45636,0.32896,0.33073,79.15395,14.62385,79.7892,13.92196,83.79917,13.40907,0.32859,0.00067,0.32896,0.32905,0.32911,0.32528,0.00524,0.3269,0.32882,0.32997,28.26984,NA,0,0,0,0,0.32931,0.32918,0.32977,0.33037,0.32575,0.32761,0.32912,0.33006,0.0022,0.00234,0.00235,0.00262,0.00587,0.00619,0.00498,0.00467,NA
2006-12-13,2006,347,3,columbiamissouri_2006_12_13_122000.jpg,100.60236,99.78771,102.61681,0.32932,0.33201,96.10352,13.98003,96.97127,15.99382,100.63124,17.95275,0.33006,9e-04,0.32952,0.33042,0.33097,0.32818,0.00694,0.33201,0.33305,0.33367,28.04268,NA,0,0,0,0,0.32973,0.32949,0.33022,0.3305,0.32671,0.3293,0.33122,0.33226,0.0022,0.00234,0.00236,0.00272,0.00617,0.00651,0.00523,0.0049,NA
2006-12-16,2006,350,3,columbiamissouri_2006_12_16_122000.jpg,101.50986,100.82599,102.5527,0.3307,0.33294,96.97553,7.31392,98.11277,8.13116,100.72266,7.71166,0.33154,0.00206,0.3307,0.33254,0.33364,0.32791,0.00413,0.32796,0.33045,0.33194,27.883,NA,0,0,0,0,0.3299,0.32967,0.33037,0.33061,0.32584,0.32876,0.33085,0.33203,0.00207,0.0022,0.00222,0.00258,0.00578,0.0061,0.0049,0.0046,NA
2006-12-19,2006,353,3,columbiamissouri_2006_12_19_122000.jpg,75.08991,76.16571,79.84456,0.32958,0.32492,82.552,13.1367,85.21182,10.75885,90.39873,9.27622,0.33005,0.00033,0.33028,0.33028,0.33028,0.31869,0.01454,0.32492,0.32873,0.33102,27.79147,NA,0,0,0,0,0.33004,0.32985,0.33048,0.33073,0.32464,0.32754,0.32976,0.3311,0.0022,0.00234,0.00235,0.0027,0.00638,0.00673,0.00541,0.00507,NA
2006-12-22,2006,356,2,columbiamissouri_2006_12_22_122000.jpg,67.52517,68.28259,72.36873,0.328,0.32437,83.14833,15.62316,83.36512,15.08253,87.0051,14.63637,0.32871,7e-04,0.32871,0.32906,0.32927,0.32743,0.00306,0.32743,0.32896,0.32988,27.79124,NA,0,0,0,0,0.32978,0.32974,0.33014,0.33042,0.32417,0.3265,0.3287,0.33003,0.00208,0.00221,0.00223,0.00259,0.00585,0.00617,0.00496,0.00465,NA
2006-12-25,2006,359,3,columbiamissouri_2006_12_25_122000.jpg,51.85902,54.03527,58.08586,0.32952,0.31625,76.6707,19.0292,77.72227,18.32554,81.54318,18.24556,0.32942,0.00022,0.32952,0.32957,0.3296,0.3238,0.00534,0.32745,0.32758,0.32766,27.88248,NA,0,0,0,0,0.3295,0.3296,0.32979,0.3301,0.32395,0.3255,0.32767,0.32897,0.00219,0.00232,0.00234,0.00271,0.00636,0.00671,0.0054,0.00506,NA
2006-12-28,2006,362,3,columbiamissouri_2006_12_28_122000.jpg,96.45477,96.22152,98.46117,0.3305,0.3313,69.62468,18.97258,70.65551,18.08583,73.74683,17.50865,0.33004,0.00044,0.33019,0.33034,0.33044,0.32401,0.00562,0.32312,0.32721,0.32967,28.04184,NA,0,0,0,0,0.32954,0.32958,0.32985,0.33016,0.32363,0.32437,0.32685,0.32834,0.00215,0.00228,0.0023,0.00257,0.00587,0.00619,0.00498,0.00466,NA
2006-12-31,2006,365,2,columbiamissouri_2006_12_30_122000.jpg,65.76613,68.69801,74.66848,0.32849,0.31447,81.60601,15.83987,83.23297,14.53496,87.82786,13.15938,0.32928,0.00079,0.32928,0.32967,0.32991,0.32173,0.00726,0.32173,0.32536,0.32753,28.26859,NA,0,0,0,0,0.3297,0.32963,0.33005,0.33032,0.32342,0.32356,0.32628,0.32791,0.00222,0.00236,0.00238,0.00263,0.00632,0.00667,0.00536,0.00503,NA
2007-01-02,2007,2,2,columbiamissouri_2007_01_02_122000.jpg,98.43402,98.96348,102.20102,0.33032,0.32855,94.72616,3.70787,95.42019,3.5433,99.16291,3.03811,0.3298,0.00052,0.3298,0.33006,0.33022,0.32738,0.00117,0.32738,0.32797,0.32832,28.45674,NA,0,0,0,0,0.32992,0.32975,0.33027,0.33053,0.32392,0.32403,0.32645,0.32789,0.0021,0.00223,0.00225,0.00262,0.00585,0.00617,0.00496,0.00465,NA
