#
# 3-day product summary time series for contactcreek
#
# Site: contactcreek
# Veg Type: SH
# ROI ID Number: 0001
# Lat: 58.2076
# Lon: -155.9225
# Elev: 200
# UTC Offset: -9
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:27:50
# Update Date: 2016-01-25
# Update Time: 14:27:51
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:20:40
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-09-14,2010,257,5,contactcreek_2010_09_14_150200.jpg,115.01218,118.94555,111.14227,0.34467,0.33327,142.0828,31.46922,145.52528,31.40754,141.88827,36.2101,0.33992,0.00487,0.34224,0.34454,0.34462,0.33148,0.00322,0.33263,0.33327,0.33487,34.48675,NA,0,0,0,0,0.34196,0.34303,0.3449,0.34509,0.33293,0.34332,0.34848,0.35105,0.00328,0.00357,0.00322,0.00318,0.01057,0.01091,0.01081,0.0112,NA
2010-09-17,2010,260,12,contactcreek_2010_09_17_120000.jpg,126.8838,125.67758,115.6417,0.34133,0.3446,129.91439,13.71733,130.43788,15.40793,123.18052,21.06865,0.34051,0.00373,0.34237,0.34281,0.34315,0.33973,0.01145,0.34435,0.34754,0.34958,34.10658,NA,0,0,0,0,0.34006,0.34107,0.34269,0.34315,0.3343,0.34247,0.34828,0.35143,0.00272,0.00303,0.00267,0.00264,0.0094,0.01007,0.00997,0.01034,NA
2010-09-20,2010,263,12,contactcreek_2010_09_20_120000.jpg,118.82777,127.41437,132.53565,0.33638,0.31371,122.12852,11.58191,125.70051,8.85457,122.47993,8.69976,0.33936,0.00386,0.34071,0.34171,0.3422,0.32941,0.01642,0.33012,0.34423,0.34772,32.9611,NA,0,0,0,0,0.33828,0.33924,0.34066,0.34136,0.33553,0.34165,0.34808,0.35177,0.00227,0.00259,0.00223,0.0022,0.00835,0.00928,0.0092,0.00954,NA
2010-09-23,2010,266,12,contactcreek_2010_09_23_120000.jpg,127.4525,136.32151,141.04713,0.33675,0.31484,126.11322,7.71531,130.20851,5.1373,126.99378,9.89158,0.33975,0.0027,0.33872,0.34149,0.34188,0.3291,0.01649,0.3214,0.34691,0.34932,31.80996,NA,0,0,0,0,0.33665,0.33755,0.33881,0.33972,0.3366,0.34083,0.34787,0.35208,0.00193,0.00223,0.0019,0.00188,0.00744,0.00856,0.00848,0.00879,NA
2010-09-26,2010,269,12,contactcreek_2010_09_26_120000.jpg,141.41973,137.47982,128.31713,0.33761,0.34728,141.40863,20.67174,139.13921,19.91076,132.28492,18.19418,0.33695,0.00222,0.33754,0.33807,0.33889,0.34234,0.00793,0.34298,0.34566,0.35005,30.65547,NA,0,0,0,0,0.33517,0.336,0.33714,0.33823,0.33751,0.34,0.34763,0.35235,0.00171,0.00197,0.00168,0.00166,0.00667,0.00791,0.00783,0.00812,NA
2010-09-29,2010,272,12,contactcreek_2010_09_29_120000.jpg,130.54894,133.81718,140.89441,0.3302,0.32214,138.07076,16.22116,141.57101,17.75874,148.21458,19.7249,0.3308,0.00175,0.33078,0.33157,0.33353,0.32302,0.00865,0.31976,0.32997,0.33397,29.50002,NA,0,0,0,0,0.33381,0.33458,0.33563,0.33688,0.33824,0.33917,0.34735,0.35256,0.0016,0.0018,0.00157,0.00155,0.00604,0.00732,0.00725,0.00751,NA
2010-10-02,2010,275,12,contactcreek_2010_10_02_120000.jpg,119.89565,125.05199,137.84795,0.32668,0.31321,139.62971,14.21945,142.08323,15.29426,148.24895,19.08334,0.33048,0.00315,0.32956,0.3312,0.33585,0.32529,0.01453,0.31861,0.32756,0.35085,28.34612,NA,0,0,0,0,0.33258,0.33328,0.33428,0.33566,0.33879,0.33832,0.34704,0.3527,0.00157,0.00171,0.00154,0.00152,0.00557,0.0068,0.00673,0.00698,NA
2010-10-05,2010,278,12,contactcreek_2010_10_05_120000.jpg,151.16522,141.84574,132.22901,0.33357,0.35548,147.99561,19.37329,143.35716,17.31984,140.83065,17.17586,0.33159,0.00289,0.33326,0.33394,0.33454,0.34221,0.01623,0.35194,0.35552,0.35928,27.19652,NA,0,0,0,0,0.33149,0.3321,0.3331,0.33459,0.33915,0.33746,0.34669,0.35279,0.00159,0.00169,0.00156,0.00154,0.00523,0.00634,0.00628,0.00652,NA
2010-10-08,2010,281,12,contactcreek_2010_10_08_120001.jpg,155.42245,143.28621,132.10796,0.33259,0.36076,154.44827,13.28336,143.88162,13.67429,135.45115,15.98849,0.33173,0.00129,0.33203,0.33245,0.33288,0.35642,0.00854,0.36,0.36084,0.36149,26.05424,NA,0,0,0,0,0.33053,0.33106,0.33209,0.33366,0.33933,0.33661,0.34632,0.35285,0.00163,0.00171,0.0016,0.00158,0.00502,0.00596,0.0059,0.00612,NA
2010-10-11,2010,284,12,contactcreek_2010_10_11_120001.jpg,158.92836,143.65868,132.40243,0.33026,0.36536,153.45694,15.05145,143.90126,16.07662,139.26201,18.61858,0.32936,0.00237,0.32985,0.33038,0.33061,0.35206,0.01677,0.35971,0.36424,0.36535,24.92203,NA,0,0,0,0,0.32968,0.33015,0.33121,0.33284,0.33936,0.33578,0.34595,0.35287,0.00167,0.00174,0.00164,0.00162,0.00491,0.00565,0.00559,0.0058,NA
