#
# 3-day product summary time series for contactcreek
#
# Site: contactcreek
# Veg Type: TN
# ROI ID Number: 0001
# Lat: 58.2076
# Lon: -155.9225
# Elev: 200
# UTC Offset: -9
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:27:55
# Update Date: 2016-06-13
# Update Time: 05:18:07
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:20:01
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-09-14,2010,257,5,contactcreek_2010_09_14_150200.jpg,154.94781,144.24669,113.73207,0.34933,0.37524,143.77634,16.14352,130.92355,18.31364,98.36244,20.38257,0.35133,0.00268,0.34933,0.35411,0.35468,0.38755,0.01492,0.37604,0.40581,0.40581,34.48675,NA,0,0,0,0,0.34928,0.34828,0.35157,0.3525,0.39149,0.39306,0.4046,0.40751,0.0018,0.00198,0.0021,0.00234,0.01168,0.01158,0.01172,0.01345,NA
2010-09-17,2010,260,12,contactcreek_2010_09_17_120000.jpg,157.27187,143.03511,113.95101,0.34528,0.37965,150.42699,13.68066,136.49634,12.85283,107.33616,12.71394,0.34641,0.00233,0.3452,0.34707,0.35072,0.38194,0.00622,0.37964,0.38326,0.3927,34.10658,NA,0,0,0,0,0.3473,0.34665,0.34924,0.35018,0.38746,0.38849,0.3996,0.40279,0.00142,0.00156,0.00177,0.00201,0.01049,0.01057,0.01073,0.01231,NA
2010-09-20,2010,263,12,contactcreek_2010_09_20_120000.jpg,138.77752,133.29385,118.25027,0.3415,0.35555,149.36925,11.11574,139.54825,7.21826,118.25367,3.74003,0.34263,0.0024,0.3437,0.34429,0.34457,0.36641,0.01252,0.36923,0.37732,0.37955,32.9611,NA,0,0,0,0,0.3454,0.34505,0.34703,0.34799,0.3835,0.38405,0.39476,0.39822,0.00114,0.00125,0.00149,0.00173,0.00942,0.00963,0.00981,0.01125,NA
2010-09-23,2010,266,12,contactcreek_2010_09_23_120000.jpg,136.00306,131.20489,119.8746,0.33896,0.35135,147.86715,8.73887,138.09012,5.14617,118.45128,5.50174,0.34143,0.002,0.34157,0.34295,0.34312,0.36545,0.0129,0.36137,0.37842,0.38089,31.80996,NA,0,0,0,0,0.34355,0.34345,0.34495,0.34595,0.37959,0.37973,0.39006,0.39378,0.00096,0.00106,0.00128,0.0015,0.00846,0.00878,0.00897,0.01029,NA
2010-09-26,2010,269,12,contactcreek_2010_09_26_120000.jpg,154.75627,141.22344,115.77118,0.34298,0.37585,146.51624,20.95401,135.52296,16.93928,114.11389,9.79848,0.34171,0.00343,0.34303,0.34318,0.34358,0.36826,0.01492,0.37399,0.37561,0.37612,30.65547,NA,0,0,0,0,0.34176,0.34184,0.343,0.34403,0.37571,0.3755,0.3855,0.38947,0.00089,0.00098,0.00113,0.00133,0.00763,0.00802,0.00822,0.00943,NA
2010-09-29,2010,272,12,contactcreek_2010_09_29_120000.jpg,144.71779,136.17689,116.56005,0.34262,0.36411,138.54934,12.90501,129.36981,13.86716,108.9749,15.18807,0.34336,0.00168,0.34355,0.34453,0.3449,0.36839,0.00989,0.36564,0.3769,0.38343,29.50002,NA,0,0,0,0,0.34005,0.34027,0.34119,0.34225,0.37184,0.37136,0.38105,0.38527,0.00088,0.00097,0.00104,0.00121,0.00694,0.00736,0.00756,0.00867,NA
2010-10-02,2010,275,12,contactcreek_2010_10_02_120000.jpg,134.27712,123.47495,103.26992,0.34202,0.37194,135.27175,13.18449,125.01636,11.23689,106.19943,8.57321,0.34103,0.00211,0.34097,0.34234,0.34388,0.36891,0.00909,0.37096,0.37541,0.37979,28.34612,NA,0,0,0,0,0.33844,0.33877,0.33951,0.34059,0.36795,0.36728,0.3767,0.38117,0.00091,0.001,0.001,0.00114,0.00639,0.0068,0.00699,0.00802,NA
2010-10-05,2010,278,12,contactcreek_2010_10_05_120000.jpg,146.52188,131.66162,109.61571,0.33951,0.37783,138.96586,12.57916,127.57733,9.66786,110.71963,7.56126,0.33812,0.00115,0.33845,0.33896,0.33946,0.36804,0.01122,0.37164,0.37675,0.3786,27.19652,NA,0,0,0,0,0.33693,0.33729,0.33797,0.33907,0.36406,0.36329,0.37248,0.37717,0.00094,0.00103,0.001,0.00111,0.00597,0.00633,0.00651,0.00747,NA
2010-10-08,2010,281,12,contactcreek_2010_10_08_120001.jpg,149.14165,132.60791,111.63577,0.33709,0.37912,148.31897,7.8913,131.76116,6.85434,111.31113,5.76808,0.33665,0.00121,0.33679,0.33756,0.33796,0.37893,0.00276,0.37827,0.38072,0.38222,26.05424,NA,0,0,0,0,0.3355,0.33583,0.33657,0.3377,0.3602,0.35941,0.3684,0.37331,0.00096,0.00106,0.00102,0.00111,0.00567,0.00596,0.00612,0.00702,NA
2010-10-11,2010,284,12,contactcreek_2010_10_11_120001.jpg,148.0283,128.85749,107.98619,0.33481,0.38462,143.76471,12.05439,129.92699,7.8013,116.59612,10.07848,0.33292,0.0016,0.33352,0.334,0.33446,0.36823,0.01905,0.37715,0.3817,0.3837,24.92203,NA,0,0,0,0,0.3342,0.33449,0.3353,0.33646,0.3564,0.35565,0.36447,0.3696,0.00098,0.00107,0.00104,0.00112,0.00549,0.00568,0.00582,0.00668,NA
2010-10-14,2010,287,12,contactcreek_2010_10_14_120001.jpg,144.27632,130.63189,122.2662,0.3289,0.36326,149.81901,6.02548,130.51018,4.09709,111.91832,7.74306,0.33274,0.00221,0.33349,0.33427,0.33509,0.38207,0.01304,0.38407,0.38891,0.39694,23.80301,NA,0,0,0,0,0.33284,0.33307,0.33417,0.33535,0.35267,0.35202,0.3607,0.36603,0.00096,0.00105,0.00107,0.00115,0.0054,0.00548,0.0056,0.00643,NA
2010-10-17,2010,290,12,contactcreek_2010_10_17_120001.jpg,134.46531,122.02304,115.21957,0.32828,0.36175,133.47736,12.67091,117.01602,11.53168,103.73905,12.71716,0.33025,0.00287,0.32919,0.33147,0.33494,0.37722,0.0166,0.37922,0.38837,0.39793,22.70017,NA,0,0,0,0,0.33146,0.33158,0.33317,0.33435,0.34905,0.34852,0.35708,0.36261,0.00097,0.00107,0.00109,0.00117,0.00539,0.00537,0.00547,0.00627,NA
2010-10-20,2010,293,12,contactcreek_2010_10_20_120001.jpg,147.11748,125.37149,104.76845,0.33232,0.38997,144.26276,12.13289,125.02675,11.83147,108.76146,16.29482,0.33068,0.00282,0.33149,0.33221,0.33279,0.38253,0.02165,0.38521,0.39003,0.40981,21.61639,NA,0,0,0,0,0.33036,0.33041,0.3323,0.33347,0.34556,0.34518,0.35363,0.35936,0.00101,0.0011,0.0011,0.0012,0.00544,0.00532,0.00539,0.00619,NA
2010-10-23,2010,296,12,contactcreek_2010_10_23_120001.jpg,124.80054,107.75908,93.74775,0.33024,0.38246,129.17542,15.59524,113.38421,12.01051,103.47294,9.50675,0.32759,0.0024,0.32732,0.32941,0.33101,0.37283,0.01214,0.37135,0.38133,0.38744,20.55453,NA,0,0,0,0,0.32976,0.32976,0.33158,0.33273,0.34209,0.34194,0.35032,0.35624,0.00097,0.00107,0.0011,0.00121,0.00552,0.00532,0.00537,0.00617,NA
2010-10-26,2010,299,12,contactcreek_2010_10_26_120001.jpg,128.10545,136.29356,150.08636,0.32883,0.30907,145.41615,9.71069,149.50839,12.11622,159.00293,16.03074,0.32935,0.00052,0.32914,0.32959,0.33008,0.32092,0.01233,0.31662,0.3218,0.32461,19.51745,NA,0,0,0,0,0.32948,0.32944,0.33102,0.33214,0.33855,0.33878,0.34714,0.35324,0.00094,0.00103,0.00109,0.00122,0.0056,0.00535,0.00539,0.00618,NA
2010-10-29,2010,302,12,contactcreek_2010_10_29_120001.jpg,136.5328,146.43076,164.31118,0.32738,0.30525,140.76895,17.52314,144.47108,23.43746,153.92786,31.27662,0.32895,0.00087,0.32878,0.32932,0.33,0.32311,0.01986,0.31432,0.34605,0.35179,18.50806,NA,0,0,0,0,0.32937,0.3293,0.33059,0.33167,0.33502,0.33572,0.3441,0.35037,0.00097,0.00107,0.00112,0.00125,0.00568,0.0054,0.00542,0.00622,NA
2010-11-01,2010,305,12,contactcreek_2010_11_01_120002.jpg,147.52466,161.12142,180.9371,0.3291,0.30133,162.40193,14.72249,169.71885,12.05872,182.63776,10.59338,0.32966,0.00136,0.32967,0.33063,0.33134,0.31512,0.01051,0.3186,0.3229,0.32617,17.52948,NA,0,0,0,0,0.32926,0.32915,0.33022,0.33129,0.33156,0.3328,0.34121,0.34765,0.00101,0.0011,0.00115,0.00127,0.00575,0.00547,0.00548,0.00629,NA
2010-11-04,2010,308,12,contactcreek_2010_11_04_120002.jpg,151.41778,158.3992,170.55479,0.32974,0.31521,154.7456,15.85086,161.84956,13.12118,174.11791,11.25763,0.32976,0.00146,0.32966,0.33097,0.33127,0.31486,0.01117,0.31421,0.32533,0.32634,16.58477,NA,0,0,0,0,0.32929,0.3292,0.33016,0.33119,0.32823,0.33002,0.33849,0.34509,0.00097,0.00107,0.00113,0.00125,0.00582,0.00554,0.00555,0.00637,NA
2010-11-07,2010,311,12,contactcreek_2010_11_07_120002.jpg,164.9485,167.14942,172.39781,0.33132,0.32696,162.83127,17.71961,165.92706,16.89453,172.33126,15.89538,0.33109,0.00078,0.33131,0.33147,0.33148,0.32466,0.00441,0.32642,0.32707,0.32766,15.67715,NA,0,0,0,0,0.32954,0.32948,0.33039,0.33135,0.32511,0.32741,0.33596,0.34271,0.00097,0.00107,0.00113,0.00125,0.00588,0.00561,0.00562,0.00645,NA
2010-11-10,2010,314,12,contactcreek_2010_11_10_120102.jpg,155.03724,165.16839,182.16173,0.32878,0.30861,146.28383,17.31735,159.68481,9.69908,179.25882,9.06968,0.32904,0.00197,0.32881,0.32992,0.33166,0.30067,0.02233,0.30795,0.31095,0.32456,14.81283,NA,0,0,0,0,0.3297,0.32964,0.33048,0.3314,0.32225,0.32501,0.33361,0.34052,0.00101,0.0011,0.00115,0.00127,0.00593,0.00569,0.0057,0.00654,NA
2010-11-13,2010,317,12,contactcreek_2010_11_13_120102.jpg,161.29619,163.51349,168.48412,0.33147,0.32698,157.04015,16.68975,164.45112,12.41952,176.35518,7.68954,0.33024,0.00151,0.32948,0.33127,0.3325,0.31472,0.01209,0.31386,0.32604,0.33092,13.98829,NA,0,0,0,0,0.32978,0.32965,0.33044,0.33139,0.31917,0.32258,0.33134,0.33839,0.00097,0.00107,0.00112,0.00125,0.00594,0.00574,0.00576,0.00661,NA
2010-11-16,2010,320,12,contactcreek_2010_11_16_120102.jpg,151.74722,153.76695,157.3291,0.33222,0.32786,146.91598,22.11742,154.48804,12.8812,166.38712,9.63744,0.33013,0.0019,0.33032,0.33173,0.33181,0.31244,0.02963,0.32421,0.32719,0.32848,13.21032,NA,0,0,0,0,0.3299,0.32968,0.33049,0.33156,0.31556,0.32001,0.32904,0.33623,0.00097,0.00107,0.00108,0.00121,0.00592,0.00578,0.00581,0.00666,NA
2010-11-19,2010,323,12,contactcreek_2010_11_19_120102.jpg,145.33982,149.39272,157.36322,0.33044,0.32148,153.71104,13.10727,159.29901,10.32924,168.89929,8.67182,0.33049,0.00176,0.33081,0.33186,0.33208,0.31859,0.01119,0.32242,0.32935,0.32979,12.48135,NA,0,0,0,0,0.32994,0.32964,0.33059,0.33182,0.31178,0.31744,0.32683,0.33414,0.00101,0.0011,0.00106,0.00119,0.00594,0.00582,0.00584,0.0067,NA
2010-11-22,2010,326,12,contactcreek_2010_11_22_120102.jpg,113.15679,102.69498,98.36696,0.32683,0.36012,125.50959,16.39922,119.55464,21.76046,119.137,27.42254,0.32804,0.00255,0.32791,0.32989,0.33161,0.3474,0.01864,0.35728,0.36005,0.36035,11.80397,NA,0,0,0,0,0.32984,0.32944,0.3307,0.3321,0.30818,0.31502,0.32478,0.33221,0.00097,0.00107,0.00108,0.00121,0.00604,0.00586,0.00588,0.00675,NA
2010-11-25,2010,329,12,contactcreek_2010_11_25_120102.jpg,126.35866,149.19821,180.00859,0.3275,0.27737,113.51358,27.26957,122.56444,38.37884,137.09325,52.87796,0.32813,0.00337,0.32768,0.32922,0.33024,0.3163,0.04828,0.30548,0.34103,0.39913,11.18064,NA,0,0,0,0,0.32967,0.32915,0.33078,0.33231,0.30512,0.31291,0.323,0.33054,0.00097,0.00107,0.00113,0.00126,0.00616,0.0059,0.00592,0.00679,NA
2010-11-28,2010,332,12,contactcreek_2010_11_28_120103.jpg,123.85294,131.33652,144.5973,0.32852,0.3098,137.7804,15.50976,149.6754,8.49466,163.90825,11.30213,0.33164,0.00304,0.33113,0.33286,0.33521,0.30479,0.02418,0.31127,0.3255,0.32872,10.61384,NA,0,0,0,0,0.32953,0.32894,0.33077,0.33238,0.30295,0.31125,0.32157,0.32922,0.00101,0.0011,0.00116,0.00128,0.00622,0.00593,0.00594,0.00682,NA
2010-12-01,2010,335,12,contactcreek_2010_12_01_120103.jpg,147.10183,156.2739,171.19738,0.32929,0.30997,133.29335,13.18331,147.93122,5.76308,165.36286,13.05119,0.33128,0.00326,0.32993,0.33435,0.3354,0.29848,0.02695,0.30784,0.31966,0.32486,10.10572,NA,0,0,0,0,0.32946,0.32886,0.33066,0.33231,0.30169,0.31,0.32044,0.32823,0.00097,0.00107,0.00113,0.00126,0.00615,0.00589,0.00592,0.00679,NA
