#
# 3-day product summary time series for coville
#
# Site: coville
# Veg Type: TN
# ROI ID Number: 0001
# Lat: 58.8025
# Lon: -155.5629
# Elev: 478
# UTC Offset: -9
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:28:01
# Update Date: 2016-06-13
# Update Time: 05:18:08
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:21:24
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-09-17,2010,260,12,coville_2010_09_17_120000.jpg,113.21976,102.97386,85.4508,0.34137,0.37534,113.3036,5.75867,100.97918,5.87406,79.55057,7.23728,0.34375,0.00321,0.34179,0.34762,0.34813,0.38595,0.00876,0.38734,0.39079,0.39542,33.5321,NA,0,0,0,0,0.34493,0.3441,0.34691,0.34719,0.40031,0.39901,0.40684,0.41282,0.00174,0.00184,0.0018,0.00192,0.0135,0.01386,0.01546,0.01688,NA
2010-09-20,2010,263,12,coville_2010_09_20_120000.jpg,109.23388,98.74736,79.8883,0.34303,0.37946,113.31501,6.39335,101.17038,4.96318,81.47916,5.99263,0.34183,0.00136,0.34118,0.343,0.34323,0.38293,0.01343,0.37939,0.39033,0.40173,32.38504,NA,0,0,0,0,0.34335,0.34268,0.34519,0.3456,0.39432,0.39324,0.4012,0.40746,0.0015,0.00162,0.00156,0.00166,0.01249,0.01283,0.01431,0.01565,NA
2010-09-23,2010,266,12,coville_2010_09_23_120000.jpg,115.68576,102.83244,81.01715,0.34331,0.38622,112.45131,9.81488,100.28332,5.97935,80.74875,4.26278,0.34166,0.00184,0.34162,0.34337,0.34376,0.38261,0.0153,0.37835,0.39754,0.40305,31.23239,NA,0,0,0,0,0.34184,0.34132,0.34354,0.34408,0.3885,0.38764,0.39571,0.40225,0.0013,0.00143,0.00135,0.00144,0.01155,0.01186,0.01323,0.01451,NA
2010-09-26,2010,269,12,coville_2010_09_26_120000.jpg,109.14199,101.16073,87.14541,0.3401,0.36693,112.29999,4.2655,102.1956,3.91789,86.14047,3.87305,0.33992,0.00069,0.33998,0.34025,0.34074,0.37358,0.00604,0.37212,0.37456,0.38318,30.07649,NA,0,0,0,0,0.34039,0.34002,0.34198,0.34264,0.38285,0.3822,0.39039,0.39718,0.00114,0.00126,0.00118,0.00126,0.01068,0.01097,0.01223,0.01345,NA
2010-09-29,2010,272,12,coville_2010_09_29_120000.jpg,111.41767,98.49,76.16227,0.34429,0.38948,114.67009,7.65726,101.70042,5.36106,80.73561,3.80214,0.3423,0.00208,0.34225,0.34411,0.34496,0.38574,0.00847,0.38411,0.39274,0.39656,28.91971,NA,0,0,0,0,0.33901,0.33877,0.3405,0.34126,0.37738,0.37694,0.38524,0.39227,0.00101,0.00113,0.00104,0.00112,0.00988,0.01015,0.01132,0.01247,NA
2010-10-02,2010,275,12,coville_2010_10_02_120001.jpg,87.02377,74.93929,60.47135,0.33691,0.39123,101.80379,13.44306,89.23523,11.34599,71.62227,8.94834,0.33964,0.00189,0.34018,0.34107,0.34167,0.38741,0.01117,0.38903,0.39323,0.40399,27.76458,NA,0,0,0,0,0.3377,0.33758,0.3391,0.33996,0.37209,0.37185,0.38025,0.38751,0.00091,0.00102,0.00095,0.00101,0.00916,0.00941,0.01049,0.01158,NA
2010-10-05,2010,278,12,coville_2010_10_05_120001.jpg,105.60308,94.55581,80.87281,0.33646,0.37577,110.61663,8.37507,97.32868,5.46242,80.25156,5.42438,0.33772,0.00169,0.33718,0.33789,0.34079,0.38362,0.01426,0.37739,0.39463,0.40633,26.61397,NA,0,0,0,0,0.33646,0.33645,0.33777,0.33873,0.36698,0.36694,0.37543,0.3829,0.00085,0.00094,0.00088,0.00094,0.00852,0.00875,0.00976,0.01079,NA
2010-10-08,2010,281,12,coville_2010_10_08_120001.jpg,105.05681,94.95607,83.60488,0.3348,0.37042,111.64647,8.25375,99.31929,5.62251,86.22661,3.14299,0.33418,0.00072,0.33403,0.33479,0.33487,0.37533,0.00701,0.37405,0.37567,0.38566,25.47056,NA,0,0,0,0,0.33529,0.33537,0.33653,0.33756,0.36206,0.36222,0.3708,0.37847,0.00082,0.00089,0.00085,0.00091,0.00796,0.00818,0.00912,0.01009,NA
2010-10-11,2010,284,12,coville_2010_10_11_120001.jpg,108.84482,113.13445,125.61906,0.32547,0.31313,112.07367,3.4458,108.80476,6.68025,107.04918,14.57724,0.33194,0.00327,0.33288,0.33372,0.33416,0.34302,0.02072,0.34565,0.35567,0.37147,24.33745,NA,0,0,0,0,0.33418,0.33436,0.33537,0.33647,0.35733,0.35768,0.36634,0.37419,0.00082,0.00086,0.00085,9e-04,0.00748,0.00769,0.00857,0.00949,NA
2010-10-14,2010,287,12,coville_2010_10_14_120001.jpg,105.90955,98.92587,90.92543,0.33448,0.35809,112.50712,4.35466,99.63151,2.01411,85.78586,3.78986,0.33441,0.00088,0.33468,0.33476,0.33516,0.37761,0.01208,0.3796,0.38262,0.3852,23.21765,NA,0,0,0,0,0.33314,0.33341,0.33429,0.33545,0.35278,0.35331,0.36205,0.37007,0.00082,0.00086,0.00085,0.00091,0.00708,0.00727,0.00811,0.00898,NA
