#
# 3-day product summary time series for coweeta
#
# Site: coweeta
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 35.05959
# Lon: -83.42798
# Elev: 680
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-05-02
# Creation Time: 11:36:25
# Update Date: 2016-06-13
# Update Time: 05:18:14
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:22:16
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-04-14,2011,104,40,coweeta_2011_04_14_120136.jpg,85.67173,75.03478,36.48126,0.38052,0.43447,72.00192,17.10966,62.97071,13.6368,33.77214,9.24575,0.3744,0.02386,0.37872,0.38193,0.38634,0.42613,0.02966,0.43096,0.43861,0.45276,64.76784,NA,0,0,0,0,0.36878,0.37037,0.37558,0.37545,0.43731,0.43717,0.44649,0.4582,0.00778,0.00841,0.00835,0.00728,0.01321,0.01272,0.01478,0.01621,NA
2011-04-17,2011,107,66,coweeta_2011_04_17_120133.jpg,112.6879,101.9723,53.63785,0.38007,0.42001,89.99765,18.78122,79.55866,17.40167,41.44487,10.2364,0.37712,0.00747,0.37816,0.38322,0.3846,0.42749,0.01129,0.42281,0.43166,0.44179,65.82807,NA,0,0,0,0,0.38715,0.38815,0.39387,0.39724,0.43027,0.43006,0.43898,0.44924,0.0061,0.00659,0.00655,0.00545,0.01035,0.00997,0.01158,0.0127,NA
2011-04-20,2011,110,65,coweeta_2011_04_20_120134.jpg,84.32358,73.80026,30.44453,0.39137,0.44718,78.77026,12.82832,71.10218,10.99439,30.16256,5.87577,0.39548,0.01046,0.39388,0.40216,0.40916,0.43747,0.0145,0.43781,0.44354,0.45291,66.86057,NA,0,0,0,0,0.40336,0.4039,0.41004,0.41645,0.42357,0.42337,0.43184,0.44086,0.00489,0.00529,0.00525,0.00426,0.00831,0.008,0.0093,0.0102,NA
2011-04-23,2011,113,63,coweeta_2011_04_23_120135.jpg,96.37234,94.41668,36.50412,0.4154,0.424,79.42262,14.87565,77.16755,14.24985,30.0773,7.17704,0.41428,0.011,0.41375,0.41957,0.43004,0.42578,0.01398,0.42536,0.43705,0.44303,67.86315,NA,0,0,0,0,0.41741,0.41764,0.42411,0.43307,0.41725,0.41712,0.42512,0.43309,0.00416,0.0045,0.00447,0.00373,0.00707,0.00681,0.00791,0.00868,NA
2011-04-26,2011,116,59,coweeta_2011_04_26_120134.jpg,68.52951,71.63306,19.78048,0.44787,0.42846,60.91888,12.22038,64.72805,10.92935,20.6162,4.3878,0.44377,0.01351,0.44005,0.45239,0.46118,0.41544,0.01219,0.41298,0.4257,0.42939,68.83327,NA,0,0,0,0,0.42954,0.42955,0.43629,0.4472,0.41143,0.4114,0.41894,0.426,0.00386,0.00417,0.00414,0.00369,0.00655,0.00631,0.00733,0.00804,NA
2011-04-29,2011,119,22,coweeta_2011_04_30_063134.jpg,45.97551,49.19277,16.55042,0.44033,0.41153,74.07468,7.85184,81.92307,10.48184,29.55005,3.47341,0.4409,0.01023,0.44351,0.44875,0.45296,0.39974,0.00544,0.39754,0.40116,0.40791,69.76865,NA,0,0,0,0,0.4397,0.4396,0.44653,0.45891,0.40604,0.40615,0.41325,0.41956,0.00383,0.00414,0.00411,0.00385,0.0065,0.00626,0.00727,0.00798,NA
2011-05-02,2011,122,63,coweeta_2011_05_02_120134.jpg,90.27694,102.83688,31.9421,0.45694,0.40113,54.90838,9.14138,63.67673,9.8225,17.19469,3.33217,0.46946,0.0127,0.46794,0.47583,0.48502,0.40406,0.01294,0.40515,0.41463,0.41775,70.66712,NA,0,0,0,0,0.44788,0.44777,0.45483,0.46815,0.40112,0.4014,0.40806,0.41377,0.00392,0.00424,0.00421,0.00399,0.00665,0.0064,0.00744,0.00816,NA
2011-05-05,2011,125,64,coweeta_2011_05_05_120134.jpg,82.73303,97.07991,35.07075,0.45178,0.38501,68.26035,10.5549,78.22132,12.1112,28.21709,6.1582,0.44883,0.01508,0.4491,0.45326,0.47104,0.39128,0.00897,0.3901,0.39853,0.40201,71.52628,NA,0,0,0,0,0.45439,0.45433,0.46147,0.47497,0.39679,0.39721,0.4035,0.40873,0.00405,0.00438,0.00435,0.00407,0.00688,0.00662,0.0077,0.00844,NA
2011-05-08,2011,128,59,coweeta_2011_05_08_120134.jpg,72.93409,84.27004,25.77502,0.46054,0.39859,58.95404,11.41286,67.87284,12.04906,21.43071,4.68808,0.45882,0.0148,0.45846,0.46534,0.47625,0.397,0.01565,0.39961,0.40349,0.4107,72.34406,NA,0,0,0,0,0.45879,0.45894,0.46603,0.47855,0.3927,0.39336,0.39923,0.4042,0.00414,0.00448,0.00444,0.00412,0.00703,0.00677,0.00786,0.00862,NA
2011-05-11,2011,131,48,coweeta_2011_05_11_120134.jpg,58.9721,71.1214,20.64225,0.47183,0.39123,55.40042,7.64034,65.02889,9.4439,21.24598,3.51243,0.45894,0.01396,0.45909,0.46563,0.47386,0.39136,0.01123,0.39124,0.39428,0.40383,73.11824,NA,0,0,0,0,0.46145,0.46187,0.46887,0.47968,0.38919,0.39006,0.39557,0.40041,0.00422,0.00457,0.00453,0.00428,0.00717,0.0069,0.00802,0.0088,NA
2011-05-14,2011,134,56,coweeta_2011_05_14_120135.jpg,48.31093,59.15856,18.13763,0.47098,0.38462,50.96959,10.13644,61.79305,10.93943,20.93533,4.99931,0.46319,0.01603,0.4632,0.47119,0.48115,0.38098,0.02059,0.38262,0.3889,0.39583,73.84678,NA,0,0,0,0,0.46138,0.46208,0.46896,0.47824,0.38694,0.3879,0.39317,0.39802,0.00424,0.00459,0.00455,0.00403,0.0072,0.00693,0.00805,0.00883,NA
