#
# 3-day product summary time series for dollysods
#
# Site: dollysods
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 39.099529
# Lon: -79.427041
# Elev: 1133
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:28:45
# Update Date: 2016-01-25
# Update Time: 14:28:49
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:23:57
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2003-11-22,2003,326,4,dollysods_2003_11_22_090000.jpg,49.11199,50.63192,52.24432,0.33313,0.32313,47.83979,1.46303,49.79339,1.03282,51.86543,1.77746,0.33306,0.00353,0.33441,0.3358,0.336,0.31999,0.00774,0.32334,0.32428,0.32561,30.99162,NA,0,0,0,0,0.33037,0.32972,0.33263,0.33441,0.31314,0.31404,0.32122,0.32356,0.00727,0.00705,0.00686,0.00692,0.01241,0.01315,0.01295,0.01326,NA
2003-11-25,2003,329,7,dollysods_2003_11_25_120000.jpg,52.86805,58.95275,67.01878,0.32964,0.29562,55.81343,19.65996,59.39141,20.77126,64.78718,26.13177,0.33178,0.0057,0.33059,0.33538,0.33817,0.31179,0.01174,0.3094,0.32376,0.3255,30.15614,NA,0,0,0,0,0.33016,0.32952,0.33235,0.33424,0.31239,0.3133,0.32016,0.32268,0.00634,0.00615,0.00573,0.00579,0.01119,0.01185,0.01154,0.01182,NA
2003-11-28,2003,332,9,dollysods_2003_11_28_120000.jpg,83.72533,86.38192,98.27767,0.32186,0.31196,75.5581,26.61312,78.9817,29.2754,88.81697,35.35981,0.32531,0.00365,0.32337,0.32644,0.33084,0.31336,0.01219,0.31196,0.32126,0.32623,29.77593,NA,0,0,0,0,0.32995,0.32931,0.33208,0.33407,0.31169,0.31261,0.31918,0.32186,0.00554,0.00537,0.00482,0.00487,0.01007,0.01067,0.01028,0.01053,NA
2003-12-01,2003,335,7,dollysods_2003_12_01_090000.jpg,79.73923,78.74929,78.93356,0.33168,0.33585,55.62533,12.03027,57.53168,10.7345,59.57019,9.77064,0.33307,0.0024,0.332,0.33464,0.33645,0.32037,0.01137,0.32206,0.32809,0.33343,29.25454,NA,0,0,0,0,0.32974,0.3291,0.33182,0.33391,0.31106,0.31197,0.31829,0.32112,0.00488,0.00473,0.00414,0.00418,0.00908,0.00962,0.00918,0.0094,NA
2003-12-04,2003,338,9,dollysods_2003_12_04_120000.jpg,76.39434,79.87428,89.57562,0.3249,0.31074,47.93627,11.10278,50.07093,11.5389,54.47801,13.80314,0.32895,0.00322,0.32832,0.33128,0.33346,0.3148,0.00306,0.31379,0.31597,0.31756,28.79368,NA,0,0,0,0,0.32952,0.3289,0.33158,0.33375,0.31048,0.31139,0.31749,0.32045,0.00436,0.00423,0.00369,0.00372,0.0082,0.00869,0.00824,0.00844,NA
2003-12-07,2003,341,5,dollysods_2003_12_07_120000.jpg,56.36332,64.05136,77.15506,0.3242,0.28528,86.18217,33.97039,94.53425,36.87428,110.33083,43.05807,0.32506,0.00147,0.32497,0.32575,0.32673,0.29575,0.0057,0.29956,0.29995,0.29995,28.39511,NA,0,0,0,0,0.3293,0.32869,0.33136,0.3336,0.30996,0.31086,0.31678,0.31986,0.00396,0.00385,0.00346,0.00349,0.00747,0.00791,0.00747,0.00766,NA
2003-12-10,2003,344,7,dollysods_2003_12_10_090000.jpg,48.39568,49.28983,54.04742,0.32485,0.31895,76.30706,33.58937,81.02282,37.93551,90.771,44.96222,0.32688,0.00239,0.32616,0.32859,0.33041,0.31116,0.00947,0.31087,0.31861,0.32135,28.0603,NA,0,0,0,0,0.32907,0.32847,0.33113,0.33344,0.3095,0.31039,0.31613,0.31932,0.00369,0.00358,0.00339,0.00343,0.00687,0.00728,0.00689,0.00705,NA
2003-12-13,2003,347,9,dollysods_2003_12_13_120000.jpg,107.8825,114.50603,127.25583,0.32749,0.30855,86.20591,21.81183,93.86483,23.22968,107.65485,26.94912,0.32637,0.00151,0.32656,0.32749,0.32855,0.2997,0.01066,0.29825,0.30855,0.31046,27.79056,NA,0,0,0,0,0.32884,0.32825,0.33091,0.33326,0.30911,0.30997,0.31556,0.31885,0.00353,0.00342,0.00344,0.00347,0.00643,0.00681,0.00648,0.00663,NA
2003-12-16,2003,350,7,dollysods_2003_12_16_120000.jpg,38.67264,42.83725,47.08344,0.33312,0.30074,81.88199,47.41297,88.71122,49.90457,100.56741,57.92108,0.32939,0.00664,0.32595,0.33349,0.33705,0.30121,0.01666,0.30456,0.30811,0.31572,27.58702,NA,0,0,0,0,0.32861,0.32804,0.33067,0.33305,0.30877,0.30962,0.31505,0.31843,0.00346,0.00336,0.00353,0.00357,0.00612,0.00649,0.00623,0.00639,NA
2003-12-19,2003,353,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32839,0.32782,0.33041,0.33281,0.30851,0.30932,0.31461,0.31806,0.00346,0.00336,0.00364,0.00368,0.00595,0.0063,0.00614,0.00629,NA
