#
# 3-day product summary time series for downerwoods
#
# Site: downerwoods
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 43.07938
# Lon: -87.88076
# Elev: 213
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:29:01
# Update Date: 2016-06-13
# Update Time: 05:18:34
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:26:56
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-03-27,2013,86,62,downerwoods_2013_03_27_113814.jpg,117.70432,115.1121,109.70845,0.33607,0.34364,104.34783,9.09006,105.29506,8.08319,104.40243,10.68334,0.33525,0.00184,0.33576,0.33632,0.33681,0.33249,0.01889,0.34008,0.34531,0.34988,50.10501,NA,0,0,0,0,0.33521,0.33573,0.33623,0.3363,0.3456,0.35112,0.35995,0.36769,0.00576,0.00588,0.00561,0.00591,0.01292,0.01283,0.01159,0.01173,NA
2013-03-30,2013,89,69,downerwoods_2013_03_30_120826.jpg,103.97798,96.3148,84.50634,0.33819,0.36509,94.54523,11.06825,89.68995,10.72837,83.00362,10.76539,0.33546,0.00195,0.33581,0.33697,0.3375,0.35407,0.01533,0.35229,0.36149,0.37308,51.24983,NA,0,0,0,0,0.33526,0.33553,0.33646,0.33728,0.34993,0.35524,0.36369,0.3709,0.00399,0.00408,0.00389,0.0041,0.011,0.01082,0.00966,0.00978,NA
2013-04-02,2013,92,66,downerwoods_2013_04_02_120837.jpg,103.6307,89.74241,74.036,0.3356,0.38754,98.24988,7.75527,88.09934,5.17593,76.91998,5.96828,0.33461,0.00112,0.33465,0.33551,0.336,0.37308,0.0179,0.37863,0.38266,0.38496,52.38027,NA,0,0,0,0,0.33532,0.3354,0.33667,0.33806,0.35402,0.35915,0.36722,0.37393,0.00314,0.00321,0.00305,0.00322,0.00939,0.00915,0.00809,0.00819,NA
2013-04-05,2013,95,68,downerwoods_2013_04_05_113848.jpg,109.60952,95.92945,79.64995,0.33637,0.38434,96.604,6.79011,87.03454,4.36583,75.52365,5.0793,0.33583,0.00165,0.33575,0.33714,0.33803,0.37264,0.01553,0.37523,0.38114,0.38777,53.49424,NA,0,0,0,0,0.33538,0.33533,0.33685,0.33864,0.35789,0.36287,0.37055,0.37678,0.00303,0.00309,0.00295,0.00311,0.00811,0.00785,0.0069,0.00699,NA
2013-04-08,2013,98,72,downerwoods_2013_04_08_120905.jpg,74.5159,64.83475,57.12073,0.33,0.37927,81.1124,15.18421,77.7547,8.90132,72.23604,8.36408,0.33651,0.00454,0.33632,0.33746,0.34294,0.34908,0.03737,0.36384,0.37899,0.38419,54.62808,NA,0,0,0,0,0.33544,0.33532,0.337,0.33903,0.36154,0.3664,0.37369,0.37946,0.00318,0.00325,0.00309,0.00326,0.00717,0.00694,0.00611,0.00618,NA
2013-04-11,2013,101,69,downerwoods_2013_04_11_120918.jpg,59.4682,56.89942,55.34657,0.33136,0.34632,79.27024,12.02356,72.63007,9.81314,66.00279,7.57227,0.33306,0.00402,0.33286,0.33632,0.33773,0.36297,0.01881,0.36485,0.37313,0.38278,55.74404,NA,0,0,0,0,0.3355,0.33537,0.33711,0.33923,0.36493,0.36971,0.37663,0.38198,0.00331,0.00338,0.00322,0.00339,0.00656,0.00639,0.00568,0.00575,NA
2013-04-14,2013,104,67,downerwoods_2013_04_14_120929.jpg,94.43335,85.04649,72.76465,0.33716,0.37437,93.91284,5.10327,86.95684,2.74384,77.08848,5.64327,0.3371,0.00144,0.33721,0.33783,0.33839,0.36414,0.01754,0.36681,0.3747,0.38162,56.83568,NA,0,0,0,0,0.33555,0.33547,0.3372,0.33924,0.36804,0.37277,0.37935,0.38432,0.00341,0.00349,0.00332,0.0035,0.00625,0.00617,0.00557,0.00564,NA
2013-04-17,2013,107,70,downerwoods_2013_04_17_120939.jpg,85.38388,76.16463,64.49026,0.33695,0.37774,84.62973,16.03742,78.29111,10.91201,69.83691,8.73836,0.33641,0.00353,0.33591,0.33808,0.34105,0.36169,0.02912,0.3711,0.38211,0.38812,57.90131,NA,0,0,0,0,0.33554,0.33561,0.33713,0.33874,0.37088,0.37558,0.38186,0.38649,0.00327,0.00334,0.00318,0.00335,0.00618,0.00617,0.00564,0.00571,NA
2013-04-20,2013,110,70,downerwoods_2013_04_20_120951.jpg,75.06675,70.77448,67.71107,0.33142,0.35151,94.83035,9.0782,86.98568,5.92259,77.41435,5.8974,0.33551,0.00173,0.33593,0.33694,0.33729,0.36538,0.01895,0.3719,0.37811,0.38411,58.93832,NA,0,0,0,0,0.33563,0.33585,0.33712,0.33824,0.37345,0.37818,0.38416,0.38849,0.00341,0.00349,0.00332,0.0035,0.00625,0.00629,0.00579,0.00587,NA
2013-04-23,2013,113,71,downerwoods_2013_04_23_121002.jpg,84.00831,71.98304,60.51112,0.33248,0.38802,95.50916,8.61719,85.02501,7.23393,73.29513,7.51627,0.33484,0.00248,0.33556,0.33643,0.33742,0.37644,0.0179,0.38157,0.38811,0.39049,59.94375,NA,0,0,0,0,0.33602,0.33635,0.33735,0.33813,0.37575,0.38055,0.38623,0.3903,0.00347,0.00354,0.00338,0.00356,0.00639,0.00646,0.00599,0.00606,NA
