#
# 3-day product summary time series for drippingsprings
#
# Site: drippingsprings
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 33.46361
# Lon: -116.9705
# Elev: 539
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:29:10
# Update Date: 2016-01-25
# Update Time: 14:29:12
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:27:52
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2001-04-05,2001,95,1,drippingsprings_2001_04_06_150000.jpg,147.93608,169.85621,105.34039,0.40143,0.34962,147.93608,0,169.85621,0,105.34039,0,0.40143,0,0.40143,0.40143,0.40143,0.34962,0,0.34962,0.34962,0.34962,38.61379,NA,0,0,0,0,0.39025,0.38948,0.39494,0.39965,0.3518,0.35133,0.35288,0.3581,0.00482,0.00493,0.00556,0.00565,0.00582,0.00523,0.00612,0.00767,NA
2001-04-08,2001,98,9,drippingsprings_2001_04_08_120000.jpg,170.00406,185.57746,126.55778,0.3849,0.3526,162.58151,19.90895,176.46944,19.60879,127.57061,13.87235,0.37798,0.01233,0.37653,0.3849,0.39556,0.34778,0.0118,0.35086,0.3526,0.36045,64.39889,NA,0,0,0,0,0.39036,0.38983,0.39568,0.40037,0.35012,0.3498,0.35145,0.35641,0.00391,0.00399,0.0045,0.00457,0.00519,0.00472,0.00557,0.00699,NA
2001-04-11,2001,101,9,drippingsprings_2001_04_11_120000.jpg,161.83608,177.12567,128.45161,0.37895,0.34624,167.14191,21.65573,181.71827,19.08367,125.82223,22.79937,0.384,0.01225,0.38171,0.39409,0.39901,0.35223,0.00811,0.35047,0.35262,0.36447,65.47367,NA,0,0,0,0,0.39038,0.39004,0.39623,0.40091,0.34853,0.34834,0.35009,0.3548,0.0032,0.00327,0.00368,0.00374,0.00462,0.00425,0.00507,0.00636,NA
2001-04-14,2001,104,9,drippingsprings_2001_04_14_120000.jpg,164.59652,183.77578,115.66228,0.39604,0.35471,171.20099,10.6489,188.3638,8.94533,123.83509,14.80435,0.3903,0.01038,0.39105,0.39604,0.3992,0.35435,0.00359,0.35471,0.35616,0.35769,66.52448,NA,0,0,0,0,0.39031,0.3901,0.39657,0.40124,0.34703,0.34696,0.34881,0.35328,0.00271,0.00277,0.00312,0.00317,0.00412,0.00384,0.00462,0.00579,NA
2001-04-17,2001,107,9,drippingsprings_2001_04_17_120000.jpg,165.89856,188.1852,117.36424,0.39916,0.35189,162.67019,13.86703,184.41002,12.35837,122.80431,13.41534,0.39288,0.01068,0.39326,0.39916,0.40724,0.34599,0.00719,0.34614,0.35057,0.35301,67.54914,NA,0,0,0,0,0.39015,0.39002,0.39672,0.40139,0.34562,0.34567,0.34759,0.35183,0.00243,0.00249,0.0028,0.00284,0.0037,0.00347,0.00421,0.00528,NA
2001-04-20,2001,110,9,drippingsprings_2001_04_20_120000.jpg,158.46461,181.27436,127.86127,0.38767,0.33889,143.72776,15.83125,165.38473,17.00902,113.87758,15.2177,0.39138,0.00684,0.39005,0.39351,0.39732,0.33985,0.00561,0.33822,0.34104,0.34664,68.54549,NA,0,0,0,0,0.38992,0.38981,0.3967,0.40138,0.3443,0.34446,0.34645,0.35048,0.00233,0.00238,0.00268,0.00272,0.00336,0.00317,0.00386,0.00484,NA
2001-04-23,2001,113,9,drippingsprings_2001_04_23_120000.jpg,162.7993,182.93287,114.56276,0.39743,0.35368,165.7719,7.40677,186.49548,5.69467,120.73953,17.329,0.39508,0.01446,0.39743,0.40915,0.41297,0.35085,0.00768,0.35088,0.35536,0.36184,69.5114,NA,0,0,0,0,0.38963,0.38951,0.39655,0.40124,0.34308,0.34333,0.34539,0.34921,0.00234,0.00239,0.0027,0.00274,0.00309,0.00291,0.00356,0.00447,NA
2001-04-26,2001,116,9,drippingsprings_2001_04_26_120000.jpg,152.743,178.677,119.47266,0.39627,0.33876,158.17339,9.91042,183.20267,6.64098,124.65703,14.09317,0.39383,0.01206,0.39627,0.40641,0.40694,0.33944,0.00366,0.33876,0.34023,0.34492,70.44475,NA,0,0,0,0,0.38929,0.38914,0.39632,0.401,0.34194,0.34229,0.34441,0.34804,0.00241,0.00247,0.00278,0.00282,0.0029,0.00272,0.00332,0.00416,NA
2001-04-29,2001,119,9,drippingsprings_2001_04_29_120000.jpg,152.67994,176.33023,120.91654,0.39191,0.33934,149.42931,11.22275,173.66895,9.98628,121.30277,10.36146,0.39108,0.00836,0.39131,0.39704,0.40137,0.33608,0.00521,0.33725,0.33934,0.34092,71.34347,NA,0,0,0,0,0.38888,0.38863,0.3959,0.40057,0.3409,0.34133,0.3435,0.34695,0.00248,0.00254,0.00286,0.0029,0.00277,0.00257,0.00312,0.00392,NA
2001-05-02,2001,122,9,drippingsprings_2001_05_02_120000.jpg,139.38556,155.94206,124.66106,0.3713,0.33188,158.7133,9.96509,179.68607,10.60264,131.19743,9.00141,0.38264,0.00922,0.37927,0.38558,0.39439,0.33786,0.00533,0.33835,0.34081,0.34423,72.20562,NA,0,0,0,0,0.38839,0.38798,0.39526,0.39993,0.33995,0.34046,0.34267,0.34595,0.00253,0.00259,0.00292,0.00296,0.0027,0.00248,0.00298,0.00374,NA
