#
# 3-day product summary time series for dukehw
#
# Site: dukehw
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 35.973583
# Lon: -79.100371
# Elev: 400
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:30:02
# Update Date: 2016-06-13
# Update Time: 05:18:45
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:29:47
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-06-01,2013,152,52,dukehw_2013_06_01_120111.jpg,89.88787,96.3063,47.02351,0.41295,0.38542,86.5616,5.10854,90.98287,5.45222,46.14454,3.58949,0.40672,0.00935,0.4075,0.41229,0.41547,0.38705,0.01132,0.38653,0.39257,0.39652,75.99634,NA,0,0,0,0,0.41346,0.416,0.42044,0.42392,0.38287,0.3836,0.38977,0.39306,0.00459,0.00446,0.00457,0.00499,0.01195,0.01146,0.01098,0.01229,NA
2013-06-04,2013,155,78,dukehw_2013_06_04_120119.jpg,76.74743,85.17054,35.68802,0.43101,0.38839,79.86349,5.27881,86.72736,4.31987,39.9157,3.11628,0.42008,0.00934,0.42337,0.42646,0.42959,0.38651,0.01077,0.388,0.39392,0.39717,76.3121,NA,0,0,0,0,0.41315,0.41552,0.42018,0.42358,0.38123,0.38237,0.38861,0.39228,0.00339,0.00329,0.00328,0.00368,0.00991,0.00951,0.00867,0.01038,NA
2013-06-07,2013,158,79,dukehw_2013_06_07_120112.jpg,65.76341,77.91416,43.45151,0.41637,0.35143,73.8031,7.718,84.84334,5.8564,43.14662,4.42367,0.42072,0.01188,0.4241,0.42832,0.43134,0.36507,0.01577,0.36865,0.37592,0.37981,76.56521,NA,0,0,0,0,0.41277,0.41496,0.41976,0.42311,0.37979,0.38129,0.3876,0.3916,0.00268,0.0026,0.00256,0.00291,0.00839,0.00805,0.00711,0.00887,NA
2013-06-10,2013,161,81,dukehw_2013_06_10_120108.jpg,76.48641,82.08807,38.78311,0.41594,0.38755,80.19336,7.55734,87.24091,6.55075,45.09755,5.40438,0.41055,0.0144,0.41345,0.41966,0.42374,0.37696,0.01744,0.38071,0.38602,0.38986,76.75881,NA,0,0,0,0,0.41232,0.41432,0.41913,0.42249,0.37853,0.38036,0.38671,0.39101,0.00247,0.0024,0.00244,0.00269,0.00737,0.00708,0.0063,0.00779,NA
2013-06-13,2013,164,83,dukehw_2013_06_13_120112.jpg,87.36415,93.96655,50.58918,0.40517,0.3767,83.52335,5.33618,88.75805,6.00247,47.68061,4.09898,0.40337,0.01232,0.40456,0.41316,0.41773,0.3798,0.01535,0.38027,0.3845,0.38886,76.94218,NA,0,0,0,0,0.41178,0.41359,0.41834,0.42176,0.37744,0.37957,0.38596,0.39051,0.00262,0.00254,0.00268,0.00284,0.00684,0.00656,0.00614,0.00714,NA
2013-06-16,2013,167,83,dukehw_2013_06_16_120110.jpg,87.58411,93.77488,48.62811,0.40774,0.38082,83.41778,5.51204,88.05333,4.76834,45.60782,4.2649,0.4057,0.01024,0.40835,0.41207,0.41614,0.3843,0.01696,0.3852,0.39188,0.39687,77.07864,NA,0,0,0,0,0.41115,0.4128,0.41745,0.42095,0.37651,0.3789,0.38532,0.3901,0.00289,0.00281,0.00302,0.00314,0.00671,0.00644,0.00638,0.00686,NA
2013-06-19,2013,170,21,dukehw_2013_06_18_160108.jpg,61.78383,77.27098,47.82794,0.41347,0.3306,75.02931,4.82075,84.35246,3.39271,42.13668,2.46388,0.41851,0.0043,0.41886,0.42151,0.42271,0.37204,0.01486,0.37307,0.38332,0.38959,77.10859,NA,0,0,0,0,0.41035,0.41179,0.41601,0.41983,0.37579,0.37839,0.38484,0.3898,0.00312,0.00303,0.00326,0.00338,0.00681,0.00654,0.00674,0.00683,NA
2013-06-22,2013,173,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40941,0.41059,0.41406,0.41842,0.37525,0.37802,0.38451,0.38962,0.00326,0.00317,0.00352,0.00354,0.00701,0.00672,0.00704,0.00693,1
2013-06-25,2013,176,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40846,0.40948,0.41252,0.41716,0.37485,0.37777,0.38427,0.38954,0.00336,0.00326,0.00373,0.00365,0.00725,0.00696,0.00731,0.00708,1
2013-06-28,2013,179,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40775,0.40876,0.41204,0.41629,0.37466,0.37767,0.3842,0.38954,0.00322,0.00313,0.00344,0.00349,0.00742,0.00712,0.00739,0.00724,1
