#
# 3-day product summary time series for farewellgap
#
# Site: farewellgap
# Veg Type: SH
# ROI ID Number: 0002
# Lat: 36.453
# Lon: -118.59
# Elev: 6500
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:30:34
# Update Date: 2016-06-13
# Update Time: 05:19:01
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:30:51
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-05-14,2013,134,2,farewellgap_2013_05_14_110230.jpg,97.93728,74.73808,57.57412,0.3246,0.42535,89.64297,8.29431,69.99111,4.74697,54.67061,2.90351,0.32676,0.00216,0.32676,0.32784,0.32849,0.41773,0.00762,0.41773,0.42154,0.42383,69.42171,NA,0,0,0,0,0.32323,0.32386,0.32392,0.32511,0.41878,0.4186,0.42143,0.42371,0.00612,0.00636,0.00664,0.00703,0.01621,0.01845,0.01658,0.01626,NA
2013-05-17,2013,137,1,farewellgap_2013_05_18_100104.jpg,80.5952,65.70577,51.34952,0.33243,0.40777,80.5952,0,65.70577,0,51.34952,0,0.33243,0,0.33243,0.33243,0.33243,0.40777,0,0.40777,0.40777,0.40777,60.74889,NA,0,0,0,0,0.33013,0.33058,0.33096,0.33194,0.41547,0.41562,0.41854,0.42085,0.00515,0.00541,0.00565,0.00603,0.01483,0.01688,0.0151,0.01481,NA
2013-05-20,2013,140,2,farewellgap_2013_05_21_100331.jpg,114.86109,90.63165,63.81151,0.33654,0.42651,101.94765,12.91344,80.82205,9.8096,58.66215,5.14936,0.33453,0.00201,0.33453,0.33554,0.33614,0.42171,0.0048,0.42171,0.42411,0.42555,61.55965,NA,0,0,0,0,0.33658,0.33688,0.33754,0.33835,0.41231,0.41278,0.41578,0.41813,0.00434,0.00461,0.00481,0.00518,0.01356,0.01543,0.01374,0.01348,NA
2013-05-23,2013,143,3,farewellgap_2013_05_23_100149.jpg,94.86921,76.97996,54.61938,0.33991,0.41891,93.33132,1.47708,75.9799,0.92933,54.22696,0.43253,0.3399,0.00025,0.33991,0.34005,0.34013,0.4175,0.00132,0.41787,0.41839,0.4187,61.67506,NA,0,0,0,0,0.34256,0.34274,0.34367,0.34433,0.40929,0.41006,0.41316,0.41555,0.00371,0.00397,0.00414,0.00448,0.0124,0.01411,0.01251,0.01227,NA
2013-05-26,2013,146,3,farewellgap_2013_05_26_100131.jpg,90.47789,74.62975,53.28697,0.34172,0.41429,92.1377,1.23029,75.9131,1.17848,53.7003,0.52534,0.34232,0.00106,0.34172,0.34277,0.3434,0.4155,0.00152,0.41458,0.41611,0.41702,61.71417,NA,0,0,0,0,0.34808,0.34815,0.34933,0.34985,0.40642,0.40745,0.41067,0.41309,0.00328,0.0035,0.00365,0.00396,0.01137,0.01293,0.01141,0.0112,NA
2013-05-29,2013,149,2,farewellgap_2013_05_30_100308.jpg,77.63234,68.02246,48.97115,0.3495,0.39888,68.87707,8.75527,63.73859,4.28386,49.70171,0.73056,0.34961,0.00011,0.34961,0.34967,0.3497,0.37626,0.02262,0.37626,0.38757,0.39436,62.28844,NA,0,0,0,0,0.35312,0.35309,0.3545,0.35491,0.40367,0.40495,0.40829,0.41074,0.00302,0.0032,0.00334,0.0036,0.01045,0.01189,0.01046,0.01026,NA
2013-06-01,2013,152,3,farewellgap_2013_06_01_100126.jpg,81.04941,78.35003,59.93469,0.35722,0.36952,89.30563,9.10746,79.55603,3.70714,55.51912,3.52269,0.35476,0.0036,0.35722,0.3573,0.35736,0.39723,0.02141,0.40048,0.41108,0.41743,62.17896,NA,0,0,0,0,0.35766,0.35756,0.35918,0.3595,0.40106,0.40256,0.40603,0.40852,0.00292,0.00305,0.00318,0.0034,0.00966,0.011,0.00965,0.00947,NA
2013-06-04,2013,155,3,farewellgap_2013_06_04_100202.jpg,85.07896,76.78645,51.93487,0.35915,0.39794,85.1741,0.82784,77.52327,1.66069,53.21188,0.92334,0.35902,0.00298,0.35915,0.36088,0.36191,0.39452,0.00258,0.3939,0.39592,0.39713,62.44803,NA,0,0,0,0,0.36171,0.36155,0.36336,0.36362,0.39859,0.4003,0.40391,0.40643,0.00291,0.00301,0.00314,0.00332,0.009,0.01024,0.00899,0.00882,NA
2013-06-07,2013,158,2,farewellgap_2013_06_07_100158.jpg,101.21234,96.60332,56.04527,0.38054,0.39869,92.07999,9.13235,88.03447,8.56885,54.30917,1.7361,0.37509,0.00545,0.37509,0.37781,0.37945,0.39226,0.00643,0.39226,0.39548,0.39741,62.38928,NA,0,0,0,0,0.36529,0.36511,0.36709,0.36732,0.39628,0.39818,0.40193,0.40448,0.00296,0.00303,0.00317,0.00332,0.00846,0.00963,0.00846,0.0083,NA
2013-06-10,2013,161,4,farewellgap_2013_06_10_100238.jpg,64.18193,62.70802,46.33621,0.362,0.37051,75.91966,7.02557,75.60254,8.35795,52.38074,3.83602,0.37017,0.00958,0.36836,0.37696,0.38099,0.37242,0.01046,0.36856,0.37536,0.38408,62.59749,NA,0,0,0,0,0.36844,0.36827,0.37039,0.37062,0.39412,0.39618,0.40008,0.40267,0.00303,0.0031,0.00323,0.00338,0.00805,0.00916,0.00808,0.00793,NA
