#
# 3-day product summary time series for freemangrass
#
# Site: freemangrass
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 29.93
# Lon: -98.01
# Elev: 230
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:30:42
# Update Date: 2016-06-13
# Update Time: 05:19:10
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:31:28
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-03-14,2012,74,64,freemangrass_2012_03_14_120113.jpg,57.61419,49.84666,16.22158,0.40302,0.46582,59.42303,12.50341,53.26752,9.83495,21.4995,8.20098,0.39853,0.01701,0.4009,0.40737,0.41778,0.44285,0.03026,0.44975,0.45707,0.46513,57.84019,NA,0,0,0,0,0.40147,0.40318,0.41021,0.41888,0.44781,0.4516,0.45936,0.46605,0.00507,0.00502,0.0053,0.00604,0.01062,0.01039,0.01081,0.01213,NA
2012-03-17,2012,77,50,freemangrass_2012_03_17_120923.jpg,68.44793,60.91664,19.82403,0.40832,0.4588,57.21338,8.45372,52.93693,7.48324,18.25081,3.13394,0.41242,0.00857,0.41129,0.41843,0.4244,0.44546,0.00967,0.4473,0.45385,0.45653,59.43698,NA,0,0,0,0,0.40343,0.40454,0.41129,0.4189,0.44137,0.44455,0.45203,0.4586,0.00385,0.00382,0.00403,0.00459,0.00828,0.0081,0.00821,0.00946,NA
2012-03-20,2012,80,41,freemangrass_2012_03_20_123921.jpg,63.25515,58.23284,19.90373,0.41185,0.44738,60.40022,10.81703,55.68867,8.88563,20.46821,5.29213,0.40912,0.01605,0.41185,0.4185,0.4275,0.44219,0.01296,0.44303,0.45107,0.45979,60.29923,NA,0,0,0,0,0.40491,0.40552,0.41196,0.4187,0.43595,0.43859,0.44587,0.45229,0.00304,0.00301,0.00318,0.00362,0.0066,0.00646,0.00647,0.00753,NA
2012-03-23,2012,83,62,freemangrass_2012_03_23_120200.jpg,109.06475,98.52798,44.32702,0.39111,0.43293,86.10901,15.19551,78.15779,14.87673,34.65866,6.90012,0.39189,0.01169,0.39352,0.39855,0.40126,0.4332,0.01422,0.43244,0.44071,0.45155,61.83146,NA,0,0,0,0,0.4058,0.40598,0.41213,0.41812,0.43157,0.43373,0.44085,0.44716,0.00263,0.0026,0.00275,0.00313,0.00562,0.0055,0.0056,0.00642,NA
2012-03-26,2012,86,64,freemangrass_2012_03_26_120120.jpg,109.74634,101.42522,45.56997,0.39505,0.42746,97.54969,12.08897,92.46717,9.8124,40.2117,5.30114,0.402,0.00692,0.40036,0.40781,0.41166,0.42326,0.01438,0.4264,0.43354,0.43724,63.01285,NA,0,0,0,0,0.40612,0.40597,0.4118,0.41721,0.42823,0.42999,0.43698,0.44321,0.00253,0.00251,0.00265,0.00302,0.00525,0.00514,0.0054,0.00599,NA
2012-03-29,2012,89,68,freemangrass_2012_03_29_120118.jpg,95.34106,93.92197,38.67437,0.41205,0.41828,97.2463,8.74092,95.5455,6.92515,39.47704,5.05523,0.41186,0.00829,0.40976,0.41696,0.42352,0.41869,0.01206,0.41863,0.42704,0.43212,64.18946,NA,0,0,0,0,0.40583,0.40541,0.41093,0.41588,0.42592,0.42734,0.43423,0.44043,0.00261,0.00259,0.00273,0.00311,0.00526,0.00515,0.00557,0.00601,NA
2012-04-01,2012,92,67,freemangrass_2012_04_01_120120.jpg,110.80758,103.65199,44.73224,0.3999,0.42751,103.67668,9.95518,98.43746,7.76725,42.01305,5.11832,0.40346,0.00536,0.4024,0.40588,0.41059,0.42458,0.01767,0.42755,0.4332,0.43605,65.35251,NA,0,0,0,0,0.40497,0.40436,0.40956,0.4142,0.42462,0.42577,0.43257,0.43875,0.00271,0.00269,0.00284,0.00323,0.00545,0.00533,0.00578,0.00622,NA
2012-04-04,2012,95,62,freemangrass_2012_04_04_120156.jpg,102.35526,100.66008,46.00095,0.40423,0.41104,104.36439,8.06658,98.39583,7.18888,41.76806,5.36909,0.40271,0.00762,0.4029,0.40768,0.41031,0.42702,0.00885,0.42831,0.4339,0.43847,66.48729,NA,0,0,0,0,0.40347,0.40274,0.40762,0.41206,0.4243,0.42523,0.43202,0.43814,0.00278,0.00276,0.00291,0.00331,0.00565,0.00553,0.00593,0.00645,NA
2012-04-07,2012,98,64,freemangrass_2012_04_07_120118.jpg,117.37746,107.24741,46.37061,0.39575,0.43313,106.82487,7.30126,100.17141,5.46572,42.82802,5.13388,0.40119,0.00568,0.40011,0.40449,0.40921,0.42774,0.01605,0.43013,0.43751,0.44365,67.62994,NA,0,0,0,0,0.40181,0.40108,0.40558,0.41006,0.42545,0.42623,0.4329,0.43914,0.00283,0.00281,0.00296,0.00337,0.00568,0.00556,0.00604,0.00649,NA
2012-04-10,2012,101,68,freemangrass_2012_04_10_120119.jpg,113.08617,101.53662,44.69283,0.39156,0.43609,108.0282,9.83614,98.98532,7.89613,43.28167,5.71236,0.39583,0.0065,0.39598,0.39797,0.40101,0.4316,0.01303,0.4336,0.43913,0.44529,68.73934,NA,0,0,0,0,0.39949,0.39882,0.40295,0.40756,0.42815,0.42882,0.43492,0.44185,0.00297,0.00294,0.0031,0.00354,0.0057,0.00557,0.00632,0.00651,NA
