#
# 3-day product summary time series for freemanwood
#
# Site: freemanwood
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 29.94
# Lon: -97.99
# Elev: 232
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:30:51
# Update Date: 2016-01-25
# Update Time: 14:30:53
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:31:50
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-10-01,2012,275,30,freemanwood_2012_10_01_120110.jpg,66.87029,71.47287,39.53296,0.40181,0.37594,61.17508,10.42171,64.28012,8.86851,40.56606,3.15173,0.38648,0.01267,0.38985,0.39512,0.40188,0.3664,0.02225,0.37022,0.38467,0.38835,56.42979,NA,0,0,0,0,0.39039,0.39296,0.39773,0.40304,0.3657,0.37063,0.38157,0.39074,0.00449,0.00447,0.00451,0.00527,0.00585,0.006,0.00526,0.00682,NA
2012-10-04,2012,278,60,freemanwood_2012_10_04_120109.jpg,72.87513,75.24903,38.3604,0.40351,0.39078,67.78267,10.44485,70.05795,9.24796,41.8146,3.98146,0.38954,0.01135,0.39166,0.40041,0.40296,0.37581,0.01945,0.38269,0.38572,0.39103,55.64227,NA,0,0,0,0,0.38959,0.39189,0.39747,0.40257,0.36674,0.37154,0.38247,0.39025,0.00391,0.00398,0.00376,0.00439,0.00541,0.00557,0.00488,0.0056,NA
2012-10-07,2012,281,64,freemanwood_2012_10_07_120105.jpg,55.23122,60.18209,36.68165,0.39569,0.36314,57.42931,9.20562,60.82666,7.30346,37.44181,3.98656,0.39074,0.00865,0.39216,0.39626,0.39971,0.36748,0.02003,0.36754,0.382,0.39069,54.48313,NA,0,0,0,0,0.38879,0.39085,0.39715,0.40205,0.36776,0.37242,0.38336,0.38989,0.0034,0.00355,0.00316,0.00368,0.005,0.00516,0.00453,0.00464,NA
2012-10-10,2012,284,59,freemanwood_2012_10_10_120109.jpg,54.77761,59.77299,39.36253,0.38836,0.3559,57.08672,12.15478,61.12221,9.28667,39.02445,4.73619,0.38836,0.01178,0.38836,0.39714,0.40377,0.36009,0.03259,0.36552,0.38606,0.39168,53.32869,NA,0,0,0,0,0.38799,0.38984,0.39677,0.4015,0.36875,0.37329,0.38422,0.38967,0.00297,0.00316,0.0027,0.00315,0.00462,0.00479,0.0042,0.00394,NA
2012-10-13,2012,287,64,freemanwood_2012_10_13_120925.jpg,60.59433,66.87114,37.85117,0.4045,0.36653,61.56944,12.55996,65.27017,10.16507,41.06682,4.92196,0.38807,0.01188,0.39004,0.39707,0.4038,0.36388,0.0325,0.37716,0.38535,0.39166,52.19002,NA,0,0,0,0,0.3872,0.38885,0.39633,0.40089,0.36972,0.37414,0.38507,0.38958,0.00263,0.00284,0.00239,0.00279,0.00427,0.00444,0.0039,0.00351,NA
2012-10-16,2012,290,59,freemanwood_2012_10_16_120109.jpg,51.07217,56.49681,36.91018,0.39104,0.35349,57.42631,10.13645,60.64863,8.97321,37.57916,4.59306,0.38956,0.00916,0.39129,0.39594,0.40023,0.36762,0.01772,0.36805,0.3826,0.38506,51.06571,NA,0,0,0,0,0.3864,0.38787,0.39584,0.40024,0.37067,0.37497,0.3859,0.38964,0.00239,0.00258,0.00222,0.00259,0.00396,0.00413,0.00362,0.00332,NA
2012-10-19,2012,293,57,freemanwood_2012_10_19_120111.jpg,70.38206,73.2872,41.08126,0.39668,0.38096,65.87334,9.10293,67.35358,8.08108,42.20281,4.13993,0.38375,0.01129,0.38531,0.39395,0.39698,0.37445,0.01278,0.37826,0.38301,0.38918,49.96496,NA,0,0,0,0,0.3856,0.38692,0.39529,0.39955,0.3716,0.37579,0.3867,0.38984,0.00222,0.00237,0.00216,0.00253,0.00368,0.00385,0.00337,0.0033,NA
2012-10-22,2012,296,55,freemanwood_2012_10_22_120116.jpg,80.88957,83.04074,42.48824,0.40229,0.39187,64.64709,12.64416,67.18491,10.31753,41.77602,6.53401,0.38732,0.01216,0.38799,0.39674,0.40212,0.37041,0.02027,0.37198,0.38568,0.3967,48.88624,NA,0,0,0,0,0.38479,0.38599,0.39468,0.39882,0.3725,0.37658,0.38749,0.39018,0.00213,0.00223,0.00217,0.00254,0.00344,0.0036,0.00316,0.00336,NA
2012-10-25,2012,299,55,freemanwood_2012_10_25_120112.jpg,70.74341,73.66652,39.65188,0.40023,0.38435,60.66369,12.57302,63.60427,10.3799,40.34406,4.40118,0.38597,0.01044,0.38567,0.39599,0.39973,0.36577,0.02413,0.3691,0.38658,0.39174,47.84779,NA,0,0,0,0,0.38399,0.38508,0.39402,0.39805,0.37337,0.37736,0.38826,0.39065,0.00211,0.00214,0.00222,0.00259,0.00324,0.00339,0.00297,0.00345,NA
2012-10-28,2012,302,58,freemanwood_2012_10_28_120109.jpg,70.28016,73.06658,42.16157,0.39387,0.37885,66.23956,9.24379,67.54431,8.32149,43.62842,3.35223,0.38017,0.01178,0.38189,0.39187,0.39428,0.37193,0.01655,0.37893,0.38303,0.38464,46.83446,NA,0,0,0,0,0.38319,0.38421,0.3933,0.39722,0.37422,0.37812,0.38901,0.39127,0.00212,0.00209,0.00227,0.00266,0.00307,0.00321,0.00282,0.00353,NA
