#
# 3-day product summary time series for gatesofthemountains
#
# Site: gatesofthemountains
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 46.8262
# Lon: -111.7107
# Elev: 2387
# UTC Offset: -7
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:31:02
# Update Date: 2016-06-13
# Update Time: 05:19:17
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:32:18
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-08-12,2011,224,35,gatesofthemountains_2011_08_12_120000.jpg,88.75912,80.91062,61.24003,0.3504,0.38439,86.78067,19.04339,78.13561,15.59254,58.74428,8.85683,0.34878,0.00331,0.34919,0.35152,0.35184,0.38508,0.01794,0.392,0.39468,0.39696,57.79686,NA,0,0,0,0,0.3525,0.35277,0.35427,0.35489,0.39352,0.395,0.39499,0.39857,0.00268,0.00295,0.00259,0.0025,0.01294,0.01332,0.01375,0.01426,NA
2011-08-15,2011,227,35,gatesofthemountains_2011_08_15_120000.jpg,88.05253,78.8137,59.28303,0.3485,0.38936,91.9969,14.17446,81.82038,11.34205,61.07901,6.459,0.34805,0.00293,0.34827,0.35004,0.35099,0.39046,0.01396,0.39277,0.39554,0.40143,56.87828,NA,0,0,0,0,0.34902,0.34941,0.35085,0.35154,0.39635,0.39783,0.39887,0.40312,0.00215,0.00236,0.00208,0.00201,0.01187,0.01222,0.01255,0.01302,NA
2011-08-18,2011,230,33,gatesofthemountains_2011_08_18_120200.jpg,91.37373,81.17997,62.23104,0.34576,0.38918,93.14026,13.50524,82.07117,10.956,61.63971,6.42509,0.34631,0.00232,0.34667,0.34758,0.34885,0.39237,0.00878,0.39361,0.39487,0.40156,55.96131,NA,0,0,0,0,0.34571,0.3462,0.34761,0.34838,0.39896,0.40044,0.40247,0.40737,0.00175,0.00193,0.00169,0.00163,0.01088,0.0112,0.01145,0.01187,NA
2011-08-21,2011,233,33,gatesofthemountains_2011_08_21_120000.jpg,83.57321,73.17681,55.23687,0.34519,0.39424,88.83839,13.7017,77.49132,10.70708,57.72604,6.38,0.34573,0.00183,0.34621,0.34715,0.34751,0.39533,0.0133,0.39554,0.40047,0.40588,54.97148,NA,0,0,0,0,0.34258,0.34316,0.34456,0.34539,0.40135,0.40282,0.4058,0.41131,0.00149,0.00163,0.00143,0.00139,0.00998,0.01027,0.01045,0.01084,NA
2011-08-24,2011,236,33,gatesofthemountains_2011_08_24_120000.jpg,81.70581,71.46766,54.38208,0.34433,0.39366,90.32751,9.7102,77.22655,7.40726,57.14259,4.68074,0.34363,0.00221,0.34455,0.3452,0.34567,0.40157,0.01041,0.40048,0.4075,0.41442,54.00348,NA,0,0,0,0,0.33967,0.34031,0.34173,0.34262,0.40351,0.40498,0.40884,0.41494,0.00135,0.00148,0.0013,0.00125,0.00917,0.00944,0.00956,0.00992,NA
2011-08-27,2011,239,24,gatesofthemountains_2011_08_27_120000.jpg,72.85166,64.5966,50.78655,0.34317,0.38703,88.17891,14.96965,74.80609,11.46276,55.80295,6.68595,0.3417,0.00255,0.34252,0.34299,0.34435,0.40162,0.01286,0.40273,0.40864,0.41616,53.01166,NA,0,0,0,0,0.33699,0.33768,0.33912,0.34006,0.40544,0.4069,0.41159,0.41824,0.0013,0.00143,0.00126,0.00121,0.00846,0.00871,0.00879,0.00911,NA
2011-08-30,2011,242,31,gatesofthemountains_2011_08_30_120000.jpg,84.11028,66.98276,51.35955,0.33086,0.41546,88.24125,17.98957,71.81847,12.87129,55.28835,7.83239,0.33342,0.0029,0.33351,0.33566,0.33656,0.40767,0.01709,0.41243,0.41606,0.42211,51.99489,NA,0,0,0,0,0.33453,0.33524,0.33672,0.33772,0.40712,0.40858,0.41406,0.42121,0.00132,0.00145,0.00127,0.00123,0.00784,0.00808,0.00814,0.00844,NA
2011-09-02,2011,245,30,gatesofthemountains_2011_09_02_120100.jpg,42.29497,39.79028,38.26395,0.33062,0.35144,97.646,21.92488,78.68544,16.95688,61.15256,10.62268,0.33068,0.00416,0.33158,0.33364,0.33534,0.40919,0.01743,0.40967,0.41696,0.41972,50.98598,NA,0,0,0,0,0.3323,0.33303,0.33455,0.33559,0.40855,0.41001,0.41622,0.42385,0.00136,0.00149,0.00131,0.00127,0.00733,0.00755,0.00761,0.00789,NA
2011-09-05,2011,248,33,gatesofthemountains_2011_09_05_120000.jpg,77.27273,62.81356,51.15499,0.32845,0.40406,94.40246,16.65962,74.71204,12.94557,57.72304,8.49879,0.32898,0.0034,0.33014,0.33105,0.33214,0.41552,0.00922,0.41332,0.41855,0.42619,49.89535,NA,0,0,0,0,0.33025,0.33098,0.33256,0.33365,0.40973,0.41118,0.41808,0.42616,0.0014,0.00154,0.00135,0.0013,0.00692,0.00713,0.0072,0.00746,NA
2011-09-08,2011,251,33,gatesofthemountains_2011_09_08_120100.jpg,83.97359,67.08831,53.72024,0.32761,0.41006,89.24826,17.90812,69.59346,12.20033,54.61121,6.87497,0.32584,0.00393,0.32732,0.32837,0.32895,0.41597,0.01666,0.4147,0.42398,0.43461,48.84408,NA,0,0,0,0,0.32843,0.32914,0.3308,0.33192,0.41064,0.41209,0.41964,0.42812,0.00143,0.00157,0.00138,0.00133,0.00661,0.0068,0.0069,0.00715,NA
