#
# 3-day product summary time series for gcesapelo
#
# Site: gcesapelo
# Veg Type: WL
# ROI ID Number: 0001
# Lat: 31.4440444
# Lon: -81.283528
# Elev: 0
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:31:08
# Update Date: 2016-06-13
# Update Time: 05:19:21
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:33:15
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-09-17,2013,260,44,gcesapelo_2013_09_17_120004.jpg,112.51232,99.92098,34.55088,0.40456,0.45554,109.07208,8.16065,103.20999,5.43978,54.00815,22.67692,0.3893,0.01867,0.39129,0.40369,0.40864,0.41304,0.04553,0.43872,0.44536,0.45529,60.45067,NA,0,0,0,0,0.39074,0.39413,0.40249,0.40841,0.40697,0.42612,0.44005,0.4481,0.00359,0.0037,0.00425,0.00461,0.0088,0.00798,0.0069,0.0071,NA
2013-09-20,2013,263,33,gcesapelo_2013_09_20_120004.jpg,102.60894,101.38564,60.9489,0.38267,0.38729,109.7934,9.67331,104.52081,6.48604,61.20704,25.38884,0.38125,0.02123,0.38468,0.3966,0.40779,0.40256,0.05102,0.41143,0.44713,0.45433,59.66423,NA,0,0,0,0,0.38814,0.39133,0.39937,0.40507,0.40936,0.42744,0.44055,0.44797,0.00338,0.00348,0.004,0.00434,0.00826,0.0072,0.00612,0.0062,NA
2013-09-23,2013,266,38,gcesapelo_2013_09_23_120002.jpg,103.41593,108.64606,88.11389,0.36194,0.34452,105.83605,10.0545,100.16647,11.69417,54.22932,21.33256,0.38525,0.02276,0.39564,0.40092,0.40336,0.41028,0.03978,0.4288,0.44355,0.44813,58.08582,NA,0,0,0,0,0.38559,0.3886,0.39632,0.4018,0.41168,0.42873,0.44109,0.44796,0.00318,0.00327,0.00376,0.00409,0.00774,0.00649,0.00542,0.0054,NA
2013-09-26,2013,269,65,gcesapelo_2013_09_26_120002.jpg,110.70632,101.39036,35.6636,0.40923,0.44683,107.03213,10.75123,100.47931,8.21116,45.64768,9.82861,0.39698,0.01901,0.39582,0.40892,0.41613,0.42277,0.02656,0.43415,0.44166,0.4449,57.29477,NA,0,0,0,0,0.38311,0.38593,0.39334,0.39862,0.41393,0.43002,0.44169,0.4481,0.00299,0.00307,0.00354,0.00384,0.00726,0.00585,0.00481,0.00473,NA
2013-09-29,2013,272,66,gcesapelo_2013_09_29_120004.jpg,113.60063,98.68769,40.63351,0.39019,0.44915,113.44607,6.55487,100.84732,5.42795,47.11281,6.62918,0.38587,0.01103,0.38751,0.39091,0.39446,0.43408,0.01546,0.43856,0.44278,0.44601,56.10796,NA,0,0,0,0,0.38069,0.38334,0.39045,0.39551,0.41611,0.43129,0.44238,0.4484,0.00281,0.00288,0.00333,0.00362,0.00681,0.0053,0.00431,0.0042,NA
2013-10-02,2013,275,66,gcesapelo_2013_10_02_120002.jpg,109.55636,94.3551,40.57808,0.38593,0.4481,113.97796,8.77629,97.37129,8.03169,44.90283,3.17915,0.37951,0.01314,0.3828,0.38526,0.38667,0.44443,0.01026,0.44428,0.44785,0.45491,54.95342,NA,0,0,0,0,0.37834,0.38081,0.38762,0.39249,0.41821,0.43258,0.44317,0.44891,0.00265,0.00271,0.00313,0.0034,0.00639,0.00483,0.0039,0.0038,NA
2013-10-05,2013,278,66,gcesapelo_2013_10_05_120004.jpg,124.99563,106.37871,47.76348,0.3811,0.44779,107.69705,15.07277,97.37581,10.7142,54.77176,15.70008,0.37401,0.01949,0.37782,0.3808,0.39071,0.41448,0.04627,0.43897,0.44305,0.44713,53.81973,NA,0,0,0,0,0.37604,0.37836,0.38488,0.38955,0.42024,0.43386,0.44406,0.44962,0.00249,0.00255,0.00295,0.00321,0.006,0.00445,0.0036,0.00354,NA
2013-10-08,2013,281,61,gcesapelo_2013_10_08_120002.jpg,105.72129,107.32942,91.78713,0.35209,0.34681,108.65692,8.08599,101.04979,4.10177,56.32292,20.80341,0.3809,0.01532,0.38436,0.39291,0.39885,0.41136,0.04725,0.43709,0.44706,0.45195,52.69141,NA,0,0,0,0,0.37382,0.37598,0.38222,0.3867,0.4222,0.43513,0.44501,0.45049,0.00235,0.0024,0.00278,0.00302,0.00565,0.00415,0.00339,0.00338,NA
2013-10-11,2013,284,62,gcesapelo_2013_10_11_120004.jpg,113.00961,96.39413,50.49572,0.37089,0.43482,109.52338,9.32642,98.57104,4.3788,61.68585,17.26505,0.36563,0.00642,0.36653,0.36945,0.37151,0.40792,0.04578,0.42981,0.4328,0.43821,51.57147,NA,0,0,0,0,0.37166,0.37367,0.37963,0.38394,0.42409,0.43638,0.44601,0.4515,0.00223,0.00227,0.00263,0.00286,0.00533,0.00393,0.00326,0.00332,NA
2013-10-14,2013,287,60,gcesapelo_2013_10_14_120002.jpg,114.3519,96.59194,46.03406,0.37588,0.44499,111.34131,7.78138,98.37467,5.28838,52.91789,19.05469,0.37516,0.00895,0.37649,0.38128,0.38373,0.42666,0.0431,0.43953,0.44766,0.45293,50.46141,NA,0,0,0,0,0.36957,0.37143,0.37714,0.38126,0.42589,0.43759,0.44702,0.45257,0.00211,0.00215,0.00249,0.00271,0.00505,0.00378,0.00321,0.00333,NA
2013-10-17,2013,290,61,gcesapelo_2013_10_17_120004.jpg,108.33424,92.70474,53.94371,0.36357,0.42487,108.86129,12.02128,99.11289,11.32173,65.82021,19.75554,0.36155,0.01535,0.36401,0.36791,0.37191,0.4003,0.04329,0.42111,0.43128,0.43539,49.36614,NA,0,0,0,0,0.36755,0.36927,0.37472,0.37868,0.42763,0.43878,0.44804,0.45368,0.00201,0.00205,0.00237,0.00258,0.00481,0.00371,0.00321,0.00339,NA
