#
# 3-day product summary time series for groundhog
#
# Site: groundhog
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 48.2174
# Lon: -82.1555
# Elev: 350
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-03-29
# Creation Time: 15:36:26
# Update Date: 2016-03-29
# Update Time: 15:36:28
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:37:32
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-10-22,2008,296,24,groundhog_2008_10_22_123136.jpg,116.18761,125.68994,128.42265,0.33943,0.31377,136.20504,18.56461,147.39485,15.90569,149.89502,14.05928,0.33998,0.00208,0.34022,0.34103,0.34221,0.31353,0.0136,0.31456,0.32105,0.32667,30.30367,NA,0,0,0,0,0.34206,0.34238,0.34394,0.34201,0.29965,0.29925,0.3077,0.31738,0.00435,0.0044,0.00446,0.00423,0.01075,0.01122,0.01126,0.01156,NA
2008-10-25,2008,299,43,groundhog_2008_10_25_113139.jpg,126.29439,150.21253,172.00424,0.33491,0.28159,130.06386,20.31706,145.24166,18.19738,153.14377,17.71131,0.33874,0.00384,0.33943,0.34137,0.34219,0.30248,0.01935,0.30201,0.31665,0.32576,29.60568,NA,0,0,0,0,0.34036,0.34059,0.34245,0.34206,0.29745,0.29695,0.30598,0.31565,0.00353,0.00357,0.00362,0.00316,0.00993,0.01036,0.0104,0.01068,NA
2008-10-28,2008,302,34,groundhog_2008_10_28_120138.jpg,126.80859,144.51627,157.7846,0.33678,0.29552,124.76434,15.3226,143.50969,12.56502,158.32827,14.74596,0.33637,0.00322,0.33671,0.33859,0.33966,0.29203,0.01892,0.29375,0.30416,0.31035,28.58307,NA,0,0,0,0,0.33872,0.33888,0.34098,0.34191,0.29535,0.29476,0.30433,0.31399,0.00289,0.00292,0.00297,0.00247,0.00917,0.00957,0.00961,0.00986,NA
2008-10-31,2008,305,33,groundhog_2008_10_31_120136.jpg,124.99913,135.09019,135.65976,0.34135,0.31585,145.86787,21.40067,154.83932,18.10287,152.89021,14.79795,0.34135,0.0021,0.34157,0.34244,0.34291,0.32061,0.01288,0.32018,0.32784,0.33404,27.70375,NA,0,0,0,0,0.33712,0.33723,0.33951,0.34157,0.29335,0.29268,0.30278,0.31242,0.00245,0.00248,0.00252,0.00217,0.00847,0.00884,0.00888,0.00911,NA
2008-11-03,2008,308,32,groundhog_2008_11_03_130136.jpg,130.10193,150.17606,164.93967,0.33731,0.29222,132.90702,14.53733,150.53079,10.64988,162.03333,14.92494,0.33795,0.00331,0.33782,0.34086,0.34198,0.2982,0.02047,0.29447,0.31299,0.32714,26.63876,NA,0,0,0,0,0.33557,0.33562,0.33804,0.34103,0.29147,0.29072,0.30132,0.31093,0.0022,0.00222,0.00226,0.00214,0.00784,0.00818,0.00821,0.00843,NA
2008-11-06,2008,311,31,groundhog_2008_11_06_113136.jpg,132.99451,140.84837,135.59281,0.34401,0.32482,130.03734,17.48965,145.07304,11.32526,152.64098,11.76936,0.33907,0.00387,0.33784,0.34289,0.34401,0.3031,0.02404,0.29317,0.32143,0.32808,25.42766,NA,0,0,0,0,0.33409,0.33411,0.33662,0.3403,0.28973,0.28892,0.29998,0.30956,0.0021,0.00212,0.00216,0.00222,0.00727,0.00759,0.00762,0.00782,NA
2008-11-09,2008,314,31,groundhog_2008_11_09_110140.jpg,89.14319,110.26801,136.83647,0.32794,0.26511,98.6194,15.61111,118.11378,17.81749,139.31435,19.49635,0.33141,0.0037,0.33146,0.33469,0.33556,0.27661,0.01421,0.27551,0.27934,0.29571,24.84899,NA,0,0,0,0,0.33275,0.33273,0.33531,0.3394,0.28813,0.28727,0.29876,0.3083,0.00212,0.00214,0.00217,0.00232,0.00677,0.00707,0.0071,0.00728,NA
2008-11-12,2008,317,26,groundhog_2008_11_12_113139.jpg,79.77498,92.74566,108.17382,0.33042,0.28421,88.39945,12.39347,106.02931,13.84394,126.59256,13.04026,0.3299,0.00421,0.32953,0.33386,0.33516,0.27483,0.0092,0.27402,0.28244,0.28503,24.01974,NA,0,0,0,0,0.33147,0.33143,0.33403,0.33816,0.28666,0.28576,0.29765,0.30716,0.00218,0.0022,0.00224,0.00234,0.00634,0.00662,0.00665,0.00682,NA
2008-11-15,2008,320,28,groundhog_2008_11_15_120137.jpg,119.93282,128.85743,130.50497,0.33973,0.3162,112.92702,16.89223,133.72268,14.52826,155.78109,21.82682,0.33221,0.00636,0.33292,0.3357,0.33934,0.28042,0.02961,0.28541,0.29695,0.31059,23.06661,NA,0,0,0,0,0.33026,0.33021,0.33278,0.33661,0.28529,0.28436,0.29663,0.30609,0.00225,0.00227,0.00231,0.00241,0.00598,0.00624,0.00626,0.00643,NA
2008-11-18,2008,323,36,groundhog_2008_11_18_113137.jpg,126.41852,140.59478,149.42806,0.33761,0.30357,117.39605,14.90775,138.22086,11.81129,160.16673,12.87851,0.33234,0.00386,0.33177,0.33378,0.33746,0.28176,0.01807,0.27819,0.28771,0.30902,22.57442,NA,0,0,0,0,0.32922,0.32916,0.33172,0.33509,0.28403,0.28307,0.29569,0.30511,0.00232,0.00234,0.00238,0.00248,0.00568,0.00593,0.00595,0.00611,NA
2008-11-21,2008,326,23,groundhog_2008_11_21_123136.jpg,85.2569,100.9899,121.1321,0.32855,0.27737,90.83774,12.32844,108.63517,9.70042,130.40459,9.34422,0.3291,0.00501,0.32909,0.33095,0.33734,0.27464,0.02005,0.27737,0.28213,0.30489,21.61049,NA,0,0,0,0,0.32814,0.3281,0.33052,0.33342,0.28286,0.28189,0.29483,0.30419,0.00237,0.00239,0.00243,0.00233,0.00545,0.00569,0.00571,0.00586,NA
2008-11-24,2008,329,23,groundhog_2008_11_24_110139.jpg,81.14111,99.22595,122.75052,0.32735,0.26769,83.12276,8.61997,103.95561,7.22879,132.04829,6.30673,0.32561,0.00339,0.32628,0.32916,0.32939,0.25992,0.01374,0.26323,0.27234,0.27532,20.81485,NA,0,0,0,0,0.327,0.327,0.32917,0.3316,0.28179,0.28081,0.29404,0.30335,0.00248,0.00251,0.00255,0.00232,0.00528,0.00551,0.00554,0.00568,NA
2008-11-27,2008,332,17,groundhog_2008_11_27_113140.jpg,71.73587,87.52538,109.85895,0.32523,0.26656,74.21786,6.88734,93.28041,8.23505,120.23564,10.27656,0.32408,0.00309,0.32442,0.32539,0.32668,0.25793,0.01033,0.26034,0.26269,0.26469,20.63305,NA,0,0,0,0,0.32621,0.32624,0.32824,0.33035,0.28081,0.27982,0.29331,0.30257,0.00259,0.00262,0.00266,0.00247,0.00517,0.0054,0.00542,0.00556,NA
