#
# 3-day product summary time series for groundhog
#
# Site: groundhog
# Veg Type: EN
# ROI ID Number: 0001
# Lat: 48.2174
# Lon: -82.1555
# Elev: 350
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:32:20
# Update Date: 2016-06-13
# Update Time: 05:19:50
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:38:43
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-10-22,2008,296,24,groundhog_2008_10_22_123136.jpg,102.65252,108.67904,98.19645,0.35111,0.33164,87.69366,8.0362,93.57438,7.72888,84.76008,6.79307,0.3517,0.00245,0.35213,0.3536,0.35416,0.3295,0.01087,0.33298,0.33559,0.33799,30.30367,NA,0,0,0,0,0.35341,0.35504,0.35824,0.3606,0.31675,0.3176,0.32438,0.33339,0.00438,0.00457,0.00452,0.00457,0.0098,0.01044,0.00985,0.00985,NA
2008-10-25,2008,299,43,groundhog_2008_10_25_113139.jpg,79.32164,92.02836,91.39517,0.35026,0.3019,84.81171,13.21573,92.99384,12.13839,85.99568,8.91147,0.35202,0.00527,0.35309,0.35444,0.35514,0.32015,0.01811,0.3206,0.33392,0.34232,29.60568,NA,0,0,0,0,0.35028,0.3514,0.35488,0.35721,0.31335,0.31405,0.32162,0.33059,0.00388,0.00397,0.00393,0.00391,0.00914,0.00974,0.00923,0.00924,NA
2008-10-28,2008,302,34,groundhog_2008_10_28_120138.jpg,81.61562,89.01606,84.50154,0.3489,0.31989,79.59599,7.5972,88.8311,5.85703,88.7979,8.0767,0.34524,0.00642,0.34698,0.34876,0.35206,0.30928,0.02139,0.31426,0.32365,0.33075,28.58307,NA,0,0,0,0,0.34731,0.34796,0.3517,0.35399,0.31008,0.31065,0.31897,0.32789,0.00344,0.00345,0.00341,0.00334,0.00852,0.00908,0.00866,0.00866,NA
2008-10-31,2008,305,33,groundhog_2008_10_31_120136.jpg,105.91416,110.1655,99.75386,0.34881,0.33535,93.41497,11.65399,96.72427,11.79741,88.1229,10.17105,0.34746,0.00248,0.34867,0.34929,0.34974,0.33554,0.011,0.33732,0.34003,0.34476,27.70375,NA,0,0,0,0,0.34449,0.34472,0.3487,0.35094,0.30695,0.30738,0.31643,0.3253,0.00306,0.00302,0.00298,0.00288,0.00795,0.00847,0.00811,0.00812,NA
2008-11-03,2008,308,32,groundhog_2008_11_03_130136.jpg,81.79574,90.31611,87.04851,0.3485,0.31562,86.54654,9.40472,94.0543,6.31208,90.44751,6.68556,0.34697,0.00324,0.34848,0.3488,0.34936,0.31881,0.02005,0.31743,0.3338,0.34408,26.63876,NA,0,0,0,0,0.34185,0.3417,0.34588,0.34806,0.30397,0.30427,0.314,0.32281,0.00275,0.00268,0.00265,0.00255,0.00741,0.0079,0.00761,0.00761,NA
2008-11-06,2008,311,31,groundhog_2008_11_06_113136.jpg,102.40505,103.83826,90.1024,0.3504,0.34556,85.39774,12.49275,92.23838,9.12064,86.40355,6.36299,0.34917,0.00308,0.34966,0.35151,0.35224,0.32212,0.02271,0.31318,0.3421,0.34781,25.42766,NA,0,0,0,0,0.33938,0.33889,0.34325,0.34534,0.30113,0.30132,0.31168,0.32044,0.0025,0.00243,0.00241,0.00233,0.00692,0.00737,0.00714,0.00714,NA
2008-11-09,2008,314,31,groundhog_2008_11_09_110140.jpg,78.5804,94.11292,121.79357,0.31958,0.26684,81.42492,4.88599,96.21368,6.23514,112.41874,17.11778,0.33254,0.01262,0.32449,0.3433,0.35284,0.28183,0.01757,0.28062,0.29208,0.3104,24.84899,NA,0,0,0,0,0.33708,0.3363,0.34083,0.3428,0.29844,0.29853,0.30949,0.31819,0.00232,0.00228,0.00225,0.00221,0.00648,0.0069,0.00671,0.00671,NA
2008-11-12,2008,317,26,groundhog_2008_11_12_113139.jpg,85.91396,98.50207,117.57661,0.32617,0.28449,78.50869,5.76687,92.25066,7.58743,107.57541,19.71966,0.33275,0.01231,0.32556,0.34677,0.3476,0.2837,0.01756,0.27759,0.30083,0.30556,24.01974,NA,0,0,0,0,0.33494,0.33392,0.33859,0.34046,0.2959,0.2959,0.30742,0.31606,0.00219,0.0022,0.00218,0.00218,0.00609,0.00648,0.00632,0.00633,NA
2008-11-15,2008,320,28,groundhog_2008_11_15_120137.jpg,106.94284,109.28385,99.70581,0.34591,0.3385,77.25497,14.33705,87.26158,12.2783,94.92535,19.02687,0.33611,0.01226,0.33559,0.34449,0.35026,0.29752,0.03589,0.3055,0.31748,0.33241,23.06661,NA,0,0,0,0,0.33294,0.33173,0.33654,0.3383,0.29352,0.29344,0.30548,0.31405,0.00212,0.00219,0.00216,0.00221,0.00574,0.00612,0.00598,0.00598,NA
2008-11-18,2008,323,36,groundhog_2008_11_18_113137.jpg,87.59423,92.8721,94.0032,0.33837,0.31914,75.29969,8.86175,84.39091,8.39159,95.30912,12.07952,0.33106,0.00493,0.33172,0.33424,0.33672,0.29542,0.01867,0.29328,0.30523,0.3185,22.57442,NA,0,0,0,0,0.33109,0.32971,0.33463,0.33632,0.29131,0.29116,0.30367,0.31217,0.0021,0.00221,0.00219,0.00227,0.00545,0.0058,0.00567,0.00567,NA
2008-11-21,2008,326,23,groundhog_2008_11_21_123136.jpg,77.63789,90.4331,112.82827,0.32194,0.27639,80.54059,7.29662,94.86667,4.57221,119.23674,8.63196,0.32192,0.00576,0.32194,0.32429,0.33066,0.27325,0.02022,0.27559,0.28021,0.30491,21.61049,NA,0,0,0,0,0.32936,0.32785,0.33287,0.3345,0.28926,0.28905,0.302,0.31043,0.00211,0.00227,0.00224,0.00235,0.0052,0.00554,0.00541,0.00541,NA
2008-11-24,2008,329,23,groundhog_2008_11_24_110139.jpg,83.73346,100.41743,126.73946,0.323,0.26933,77.19937,5.53373,94.28924,7.04127,122.86828,12.88869,0.32044,0.00407,0.32186,0.32386,0.32555,0.26281,0.01442,0.26512,0.27545,0.28014,20.81485,NA,0,0,0,0,0.32778,0.32617,0.33125,0.33279,0.28738,0.28712,0.30046,0.30882,0.00214,0.00233,0.0023,0.00241,0.005,0.00533,0.00518,0.00518,NA
2008-11-27,2008,332,17,groundhog_2008_11_27_113140.jpg,87.70407,106.05962,137.74459,0.31993,0.26456,83.16985,4.01293,102.716,2.84175,137.15659,5.83448,0.31798,0.00301,0.31858,0.31904,0.3201,0.25746,0.00995,0.25942,0.26182,0.26391,20.63305,NA,0,0,0,0,0.32635,0.32473,0.32982,0.33118,0.28566,0.28537,0.29905,0.30732,0.00218,0.00238,0.00235,0.00245,0.00484,0.00516,0.005,0.005,NA
2008-11-30,2008,335,18,groundhog_2008_11_30_113139.jpg,85.87174,104.34719,136.9112,0.31898,0.2625,85.57827,3.33424,105.99137,2.98377,142.03529,6.0534,0.31772,0.00241,0.3176,0.319,0.3199,0.25659,0.00875,0.25711,0.2624,0.26605,20.12529,NA,0,0,0,0,0.32508,0.32349,0.32855,0.3297,0.2841,0.28378,0.29775,0.30595,0.00222,0.00243,0.0024,0.0025,0.00472,0.00503,0.00485,0.00485,NA
2008-12-03,2008,338,15,groundhog_2008_12_03_123136.jpg,82.64721,98.28571,122.27558,0.32415,0.27258,84.8721,6.92555,101.81007,6.30179,130.43634,9.35573,0.32106,0.00375,0.32139,0.32409,0.32441,0.26759,0.01291,0.26751,0.27313,0.28523,19.54484,NA,0,0,0,0,0.32394,0.32241,0.32744,0.3284,0.28268,0.28235,0.29657,0.30468,0.00226,0.00246,0.00244,0.00257,0.00464,0.00494,0.00473,0.00473,NA
2008-12-06,2008,341,4,groundhog_2008_12_05_123134.jpg,91.86744,106.25533,128.42934,0.32539,0.28133,84.51073,5.27568,101.5502,3.15651,131.98129,3.6351,0.31923,0.00452,0.3191,0.32228,0.32415,0.26554,0.01237,0.26625,0.27432,0.27852,19.29736,NA,0,0,0,0,0.32292,0.32147,0.32646,0.32732,0.2814,0.28106,0.2955,0.30353,0.00229,0.0025,0.00247,0.00263,0.00459,0.00489,0.00465,0.00465,NA
2008-12-09,2008,344,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32201,0.32064,0.3256,0.32651,0.28025,0.27992,0.29454,0.30247,0.00233,0.00252,0.00249,0.00266,0.00457,0.00487,0.00459,0.0046,NA
2008-12-12,2008,347,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32131,0.32011,0.32506,0.32626,0.27923,0.27891,0.29367,0.30151,0.00235,0.0025,0.00247,0.00261,0.00457,0.00487,0.00456,0.00457,NA
2008-12-15,2008,350,18,groundhog_2008_12_15_122603.jpg,80.48193,94.90516,121.17365,0.32002,0.27138,71.67501,6.72787,80.3867,7.041,93.22131,10.60585,0.32785,0.00351,0.32823,0.3291,0.33162,0.2924,0.01314,0.29309,0.29634,0.30657,18.51721,NA,0,0,0,0,0.32089,0.31998,0.32492,0.32665,0.27833,0.27803,0.2929,0.30065,0.00236,0.00247,0.00244,0.00253,0.00458,0.00488,0.00455,0.00456,NA
2008-12-18,2008,353,21,groundhog_2008_12_18_113139.jpg,104.28976,113.83179,126.44523,0.33036,0.30267,87.11965,9.0118,100.204,6.50757,122.75316,3.593,0.32298,0.00402,0.32162,0.32627,0.33021,0.28032,0.01507,0.27483,0.29511,0.30267,18.42888,NA,0,0,0,0,0.32064,0.32007,0.325,0.32733,0.27754,0.27727,0.29221,0.29987,0.00239,0.00248,0.00245,0.00251,0.00462,0.00492,0.00456,0.00457,NA
2008-12-21,2008,356,28,groundhog_2008_12_21_113139.jpg,76.67064,89.47257,114.6548,0.31864,0.27305,88.1742,9.97965,98.66883,8.00314,117.73145,5.05117,0.32369,0.00452,0.32378,0.32788,0.32856,0.2887,0.01537,0.29639,0.30082,0.30563,18.38178,NA,0,0,0,0,0.32048,0.32021,0.32513,0.32797,0.27686,0.27661,0.29162,0.29917,0.00243,0.00254,0.00251,0.00255,0.00466,0.00496,0.00459,0.00459,NA
