#
# 3-day product summary time series for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 42.5378
# Lon: -72.1715
# Elev: 340
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:35:38
# Update Date: 2016-06-13
# Update Time: 05:20:11
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:40:10
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-04-04,2008,95,38,harvard_2008_04_04_113141.jpg,37.06868,38.74338,38.82854,0.33796,0.32335,43.55332,9.75943,49.11308,11.38307,48.86335,9.31307,0.34532,0.01417,0.34988,0.35505,0.35929,0.30765,0.02056,0.31311,0.32334,0.32833,53.80319,NA,0,0,0,0,0.35153,0.35457,0.35963,0.36606,0.30913,0.31294,0.32358,0.32967,0.00541,0.00518,0.00566,0.00679,0.01404,0.01521,0.01297,0.01294,NA
2008-04-07,2008,98,72,harvard_2008_04_07_120137.jpg,69.68547,79.124,68.93867,0.36337,0.32003,57.04802,11.26456,64.26565,12.15847,57.77915,8.96377,0.35807,0.00618,0.35931,0.3629,0.36484,0.31749,0.01471,0.31789,0.32305,0.33219,54.91438,NA,0,0,0,0,0.35417,0.35678,0.36096,0.36429,0.31155,0.31416,0.32285,0.33101,0.00391,0.00375,0.00409,0.00527,0.01091,0.01181,0.00939,0.00936,NA
2008-04-10,2008,101,71,harvard_2008_04_10_120137.jpg,69.3182,78.85928,67.55104,0.36555,0.32132,52.21172,10.85639,59.31073,11.91502,53.08067,8.75027,0.3595,0.00728,0.362,0.36472,0.3658,0.31624,0.01326,0.31728,0.32194,0.33222,56.00602,NA,0,0,0,0,0.35632,0.35863,0.36207,0.36325,0.31435,0.31596,0.32294,0.33277,0.00305,0.00292,0.00319,0.00419,0.00867,0.0094,0.00731,0.00729,NA
2008-04-13,2008,104,71,harvard_2008_04_13_120136.jpg,49.50341,50.0149,44.17429,0.34807,0.34451,54.83511,10.73108,62.27991,10.04102,57.45463,7.67625,0.35611,0.00905,0.3578,0.36291,0.3644,0.3127,0.02649,0.31805,0.32812,0.34083,57.0737,NA,0,0,0,0,0.35832,0.36041,0.36326,0.36292,0.31755,0.31836,0.32383,0.33492,0.00277,0.00266,0.0029,0.00357,0.00739,0.008,0.00665,0.00664,NA
2008-04-16,2008,107,71,harvard_2008_04_16_120137.jpg,68.55002,79.69462,68.30048,0.36803,0.31656,63.16193,8.00852,72.2266,8.86012,62.24703,6.43239,0.36507,0.00389,0.36567,0.36799,0.36948,0.31919,0.01194,0.31656,0.32229,0.33408,58.11718,NA,0,0,0,0,0.35993,0.36192,0.36435,0.36332,0.3212,0.32141,0.32555,0.3375,0.00283,0.00271,0.00296,0.00334,0.0069,0.00748,0.0068,0.00678,NA
2008-04-19,2008,110,75,harvard_2008_04_19_120137.jpg,69.05444,80.19491,66.65341,0.37144,0.31984,61.07577,9.6981,69.35936,10.93675,58.34817,7.99089,0.36682,0.00452,0.36823,0.37018,0.37083,0.32304,0.01262,0.32093,0.32753,0.33702,59.13328,NA,0,0,0,0,0.36154,0.36347,0.36565,0.36454,0.32521,0.32502,0.32805,0.34046,0.00297,0.00285,0.00311,0.00334,0.00692,0.00749,0.00713,0.00711,NA
2008-04-22,2008,113,76,harvard_2008_04_22_120137.jpg,66.31346,75.62768,62.03714,0.37076,0.3251,60.26282,9.35594,67.91637,9.67793,56.82153,6.7395,0.36673,0.00459,0.36847,0.36983,0.37052,0.325,0.01526,0.32425,0.32998,0.34021,60.12036,NA,0,0,0,0,0.36249,0.36453,0.36657,0.36665,0.32944,0.329,0.33134,0.34373,0.00305,0.00293,0.00319,0.00346,0.00716,0.00775,0.00732,0.0073,NA
2008-04-25,2008,116,78,harvard_2008_04_25_120137.jpg,71.78025,82.19709,66.62479,0.3726,0.32538,62.12168,9.86838,69.0191,10.4577,56.11224,7.82454,0.36824,0.00401,0.3696,0.37095,0.37201,0.33123,0.01692,0.32876,0.33348,0.34866,61.08104,NA,0,0,0,0,0.36362,0.3658,0.36786,0.36971,0.33376,0.33318,0.3354,0.34737,0.00315,0.00302,0.00329,0.00359,0.00743,0.00804,0.00755,0.00753,NA
2008-04-28,2008,119,77,harvard_2008_04_28_120137.jpg,35.63502,37.01244,31.1274,0.35666,0.34339,45.92484,7.84967,49.35733,9.07446,41.21446,7.68771,0.36116,0.01018,0.36501,0.36761,0.37083,0.33697,0.01617,0.33548,0.34356,0.35701,62.02627,NA,0,0,0,0,0.36508,0.36719,0.36962,0.37363,0.33906,0.33861,0.34078,0.35178,0.00304,0.00291,0.00318,0.00361,0.00747,0.00809,0.00729,0.00727,NA
2008-05-01,2008,122,73,harvard_2008_05_01_120137.jpg,51.23805,59.36086,51.54794,0.36609,0.316,57.32253,13.40648,60.87816,13.84742,48.84,9.60613,0.36355,0.00955,0.36619,0.36886,0.37009,0.34217,0.01699,0.34333,0.34731,0.3586,62.93304,NA,0,0,0,0,0.36777,0.36974,0.37262,0.3784,0.34552,0.3455,0.3467,0.35653,0.00315,0.00302,0.00329,0.00362,0.00749,0.00811,0.00755,0.00753,NA
