#
# 3-day product summary time series for harvardbarn2
#
# Site: harvardbarn2
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 42.53532
# Lon: -72.1899
# Elev: 350
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-03-11
# Creation Time: 20:38:47
# Update Date: 2016-06-13
# Update Time: 05:21:26
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:44:04
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-03-29,2012,89,137,harvardbarn2_2012_03_29_120108.jpg,116.85419,78.79978,61.38012,0.30657,0.45463,110.1505,10.5732,74.95748,8.05626,60.36501,8.20277,0.30516,0.00517,0.30569,0.30813,0.31197,0.44925,0.01945,0.44897,0.46073,0.46859,51.55637,NA,0,0,0,0,0.30526,0.30636,0.30841,0.3119,0.43697,0.43511,0.44457,0.45316,0.00528,0.00547,0.00575,0.00619,0.01685,0.01818,0.0173,0.01762,NA
2012-04-01,2012,92,128,harvardbarn2_2012_04_01_120108.jpg,120.05726,81.71456,64.1863,0.30725,0.45141,112.42704,9.812,75.9638,7.77331,61.03895,8.11342,0.30431,0.00618,0.30585,0.30709,0.31001,0.45134,0.01974,0.45159,0.45985,0.47082,52.71862,NA,0,0,0,0,0.3053,0.30612,0.30841,0.31136,0.4426,0.44155,0.45094,0.45983,0.00373,0.0037,0.00406,0.00437,0.01377,0.01508,0.01414,0.01441,NA
2012-04-04,2012,95,138,harvardbarn2_2012_04_04_120109.jpg,130.22508,92.96832,73.11189,0.31376,0.4395,107.41376,15.05868,75.09498,10.94288,61.10591,8.07942,0.3078,0.00484,0.30859,0.31176,0.31334,0.44079,0.0162,0.43969,0.4495,0.45829,53.86577,NA,0,0,0,0,0.30566,0.30626,0.30871,0.31121,0.44749,0.44718,0.45654,0.46567,0.00291,0.00295,0.00317,0.00341,0.01134,0.01257,0.01164,0.01187,NA
2012-04-07,2012,98,139,harvardbarn2_2012_04_07_120110.jpg,131.14646,93.60359,73.78652,0.31354,0.4393,110.26919,13.87524,76.762,9.55589,62.61319,7.53855,0.3072,0.0044,0.30727,0.31028,0.31278,0.44139,0.01749,0.44275,0.45128,0.458,54.99565,NA,0,0,0,0,0.30637,0.30683,0.30932,0.31143,0.45166,0.452,0.46139,0.47071,0.00271,0.00294,0.00295,0.00318,0.00961,0.0107,0.00987,0.01005,NA
2012-04-10,2012,101,143,harvardbarn2_2012_04_10_120109.jpg,131.98034,90.4443,67.78637,0.31165,0.45477,111.64995,8.5491,75.83914,6.49959,60.54319,7.10082,0.30563,0.00355,0.30639,0.30757,0.30897,0.45056,0.01581,0.45263,0.45913,0.46678,56.10592,NA,0,0,0,0,0.30738,0.30779,0.31025,0.31204,0.45514,0.45602,0.46555,0.47498,0.00283,0.00312,0.00308,0.00331,0.00858,0.00949,0.00881,0.00898,NA
2012-04-13,2012,104,134,harvardbarn2_2012_04_13_120109.jpg,127.01992,89.08398,68.86677,0.31261,0.44573,106.27812,11.95778,72.3569,8.97777,57.39302,7.14511,0.30617,0.00507,0.30639,0.30999,0.31238,0.45049,0.0173,0.44657,0.45998,0.47536,57.19361,NA,0,0,0,0,0.30865,0.30912,0.31142,0.31296,0.45792,0.45921,0.46901,0.47847,0.00295,0.00321,0.00321,0.00345,0.00814,0.00886,0.00836,0.00852,NA
2012-04-16,2012,107,142,harvardbarn2_2012_04_16_120107.jpg,123.16151,84.79359,62.08874,0.314,0.45608,106.25129,12.53535,73.4798,8.7524,56.34319,6.59254,0.31103,0.00362,0.31111,0.31405,0.31556,0.44996,0.01507,0.45099,0.45886,0.46538,58.25649,NA,0,0,0,0,0.31023,0.31082,0.3129,0.31427,0.45993,0.46152,0.47166,0.4811,0.00302,0.00341,0.00329,0.00354,0.00811,0.00867,0.00832,0.00848,NA
2012-04-19,2012,110,144,harvardbarn2_2012_04_19_120108.jpg,128.54284,91.67051,68.82568,0.31716,0.44472,106.84032,12.51214,74.52812,8.95651,56.34759,6.50363,0.31329,0.00367,0.31461,0.31614,0.31697,0.44938,0.01219,0.44882,0.45525,0.46487,59.29386,NA,0,0,0,0,0.31176,0.31295,0.31419,0.31533,0.46111,0.46296,0.47341,0.48277,0.00299,0.00322,0.00326,0.00351,0.00829,0.00877,0.00851,0.00868,NA
2012-04-22,2012,113,146,harvardbarn2_2012_04_22_120105.jpg,108.41366,72.60579,46.4402,0.3192,0.47663,107.07515,9.31964,72.79315,6.75023,50.13341,7.0499,0.3164,0.00406,0.31715,0.31876,0.32022,0.46596,0.01808,0.46842,0.4759,0.48674,60.2978,NA,0,0,0,0,0.31377,0.31536,0.31609,0.31709,0.46138,0.46355,0.47414,0.48336,0.00319,0.00341,0.00347,0.00374,0.00857,0.00903,0.0088,0.00896,NA
2012-04-25,2012,116,145,harvardbarn2_2012_04_25_120109.jpg,113.88377,76.3083,49.91873,0.3178,0.4743,109.0168,11.56855,75.57927,7.58426,53.72094,6.03226,0.31698,0.00386,0.31748,0.31949,0.32063,0.45716,0.01764,0.46044,0.46986,0.47704,61.2713,NA,0,0,0,0,0.31536,0.3164,0.31788,0.31893,0.46109,0.46336,0.47433,0.48334,0.00305,0.00322,0.00333,0.00358,0.00875,0.00926,0.00899,0.00916,NA
2012-04-28,2012,119,149,harvardbarn2_2012_04_28_120109.jpg,128.33367,89.88888,61.71525,0.3211,0.45844,109.30324,12.62734,75.51065,8.8199,52.58462,6.3977,0.31787,0.00267,0.31808,0.32025,0.32097,0.46036,0.01571,0.45966,0.47266,0.48068,62.21021,NA,0,0,0,0,0.31821,0.31848,0.32124,0.32252,0.46032,0.46239,0.47413,0.48286,0.00319,0.00341,0.00347,0.00374,0.0089,0.00942,0.00913,0.00931,NA
2012-05-01,2012,122,139,harvardbarn2_2012_05_01_120111.jpg,111.60521,70.5897,36.38744,0.32294,0.51059,110.90524,8.93023,75.0996,5.95171,48.00384,7.68561,0.32093,0.00388,0.32186,0.32356,0.32473,0.47432,0.02229,0.48036,0.48705,0.49809,63.10797,NA,0,0,0,0,0.32385,0.32298,0.32853,0.33062,0.45868,0.46057,0.47296,0.48133,0.00305,0.00322,0.00333,0.00358,0.00911,0.00958,0.00936,0.00954,NA
2012-05-04,2012,125,150,harvardbarn2_2012_05_04_120107.jpg,84.55264,69.15456,62.96542,0.31917,0.39023,104.46118,11.14882,74.58259,5.03097,49.73583,12.66444,0.32597,0.0079,0.32686,0.33244,0.33537,0.45707,0.04438,0.47596,0.48502,0.49701,63.97507,NA,0,0,0,0,0.33144,0.32993,0.3379,0.3409,0.45573,0.45781,0.47021,0.47822,0.00319,0.00341,0.00347,0.00374,0.00926,0.00968,0.00951,0.00969,NA
2012-05-07,2012,128,152,harvardbarn2_2012_05_07_120108.jpg,132.00079,94.31821,51.35616,0.33967,0.47538,107.67008,10.63864,78.55646,7.00268,42.78302,7.02826,0.34327,0.00921,0.33952,0.35289,0.35769,0.47023,0.01755,0.47572,0.48214,0.48705,64.79688,NA,0,0,0,0,0.34416,0.34284,0.35221,0.35609,0.45013,0.4529,0.46439,0.47191,0.00305,0.00322,0.00333,0.00358,0.00902,0.00952,0.00926,0.00944,NA
2012-05-10,2012,131,150,harvardbarn2_2012_05_10_114608.jpg,127.03531,94.28812,44.55689,0.35463,0.47779,98.95746,10.06786,78.84584,6.62654,45.13185,10.10401,0.35377,0.01185,0.35769,0.36126,0.36501,0.44404,0.0292,0.45579,0.46447,0.47009,65.57547,NA,0,0,0,0,0.35796,0.35745,0.36736,0.37203,0.44207,0.4458,0.45579,0.46269,0.00319,0.00341,0.00347,0.00374,0.00881,0.00943,0.00904,0.00921,NA
2012-05-13,2012,134,147,harvardbarn2_2012_05_13_120109.jpg,116.35026,95.12763,43.41958,0.3732,0.45646,101.0191,11.17397,85.50718,7.53653,41.71431,5.69903,0.37491,0.01684,0.37278,0.39123,0.39835,0.44201,0.01854,0.44501,0.45713,0.46082,66.30874,NA,0,0,0,0,0.37273,0.37378,0.38242,0.38738,0.43347,0.43812,0.44654,0.45281,0.00305,0.00322,0.00333,0.00358,0.00902,0.00969,0.00926,0.00944,NA
2012-05-16,2012,137,157,harvardbarn2_2012_05_16_120109.jpg,92.56861,89.03814,40.18247,0.40145,0.41737,91.48708,8.077,85.93115,7.11204,40.68264,5.07681,0.39383,0.01137,0.39554,0.40105,0.40697,0.41919,0.01529,0.42018,0.42794,0.43599,66.99442,NA,0,0,0,0,0.38623,0.38877,0.39586,0.40094,0.42625,0.43149,0.43874,0.44453,0.00319,0.00341,0.00347,0.00374,0.00926,0.00994,0.00951,0.00969,NA
2012-05-19,2012,140,106,harvardbarn2_2012_05_20_050107.jpg,79.49542,77.79651,41.44172,0.39146,0.40001,90.51482,7.82974,85.37583,6.80746,41.4266,2.17538,0.3926,0.00802,0.39405,0.39926,0.40176,0.41602,0.00962,0.41665,0.42264,0.42883,67.62411,NA,0,0,0,0,0.39418,0.39748,0.40306,0.40796,0.41899,0.42429,0.43063,0.43605,0.00305,0.00322,0.00333,0.00358,0.00902,0.00971,0.00926,0.00944,NA
2012-05-22,2012,143,160,harvardbarn2_2012_05_22_120108.jpg,77.86913,76.64148,36.73665,0.40075,0.40716,84.87664,6.2181,86.34205,6.38763,40.91434,3.96755,0.40681,0.01077,0.40941,0.41408,0.41807,0.39998,0.0112,0.40192,0.40667,0.41081,68.21496,NA,0,0,0,0,0.3994,0.40274,0.40738,0.41198,0.41022,0.41521,0.42058,0.42565,0.00319,0.00341,0.00347,0.00374,0.00881,0.00951,0.00904,0.00921,NA
2012-05-25,2012,146,157,harvardbarn2_2012_05_25_120107.jpg,84.01868,85.97063,42.30247,0.40496,0.39577,81.70491,6.29466,84.12112,6.83143,44.3841,7.89879,0.40016,0.01609,0.40444,0.40926,0.41518,0.38893,0.01816,0.39247,0.39905,0.40266,68.57494,NA,0,0,0,0,0.39919,0.40215,0.40671,0.41112,0.4018,0.40634,0.41087,0.41563,0.00305,0.00322,0.00333,0.00358,0.00902,0.00971,0.00926,0.00944,NA
2012-05-28,2012,149,162,harvardbarn2_2012_05_28_120109.jpg,76.8836,82.73292,42.70605,0.40892,0.38001,80.85438,6.51192,80.55408,7.16363,44.18596,3.65834,0.39127,0.01531,0.39396,0.39805,0.40177,0.39314,0.01336,0.39724,0.39979,0.40496,69.22126,NA,0,0,0,0,0.39675,0.39912,0.40396,0.40818,0.39558,0.3998,0.40378,0.4083,0.00319,0.00341,0.00347,0.00374,0.00926,0.00994,0.00951,0.00969,NA
2012-05-31,2012,152,91,harvardbarn2_2012_05_31_120109.jpg,84.10062,83.06399,43.90812,0.39353,0.39844,79.05108,6.19366,80.3276,6.57111,45.78016,5.20508,0.39141,0.01172,0.39245,0.39921,0.40401,0.38532,0.01182,0.38631,0.39334,0.39707,69.36712,NA,0,0,0,0,0.39309,0.39539,0.40068,0.40487,0.39196,0.39572,0.39975,0.40414,0.00305,0.00322,0.00333,0.00358,0.00902,0.00971,0.00926,0.00944,NA
2012-06-03,2012,155,81,harvardbarn2_2012_06_03_093107.jpg,87.74957,86.08065,48.2334,0.38764,0.39516,79.28642,6.19798,80.48851,5.82858,46.15928,5.78659,0.39084,0.01111,0.39305,0.39658,0.39967,0.38498,0.01491,0.38964,0.39329,0.3967,69.99938,NA,0,0,0,0,0.38877,0.3911,0.39678,0.40095,0.38967,0.39265,0.39724,0.40163,0.00319,0.00341,0.00347,0.00374,0.00881,0.00951,0.00904,0.00921,NA
