#
# 3-day product summary time series for harvardbarn2
#
# Site: harvardbarn2
# Veg Type: EN
# ROI ID Number: 0001
# Lat: 42.53532
# Lon: -72.1899
# Elev: 350
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-03-11
# Creation Time: 18:12:14
# Update Date: 2016-06-13
# Update Time: 05:21:12
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:44:57
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-03-29,2012,89,137,harvardbarn2_2012_03_29_120108.jpg,77.53564,70.11152,30.46275,0.39364,0.43532,86.05028,12.25294,77.08045,9.91444,39.98519,7.942,0.38012,0.01106,0.38286,0.38978,0.39259,0.42388,0.01581,0.42469,0.43148,0.4399,51.55637,NA,0,0,0,0,0.3764,0.37752,0.38183,0.38643,0.43869,0.43887,0.44324,0.44241,0.006,0.00673,0.00635,0.00594,0.01137,0.01143,0.01164,0.01236,NA
2012-04-01,2012,92,128,harvardbarn2_2012_04_01_120108.jpg,91.48965,82.32904,40.19959,0.38468,0.42749,86.41612,10.89282,77.22933,9.8794,39.80592,9.93961,0.38036,0.01142,0.38511,0.38701,0.38894,0.42606,0.01798,0.42847,0.43837,0.44495,52.71862,NA,0,0,0,0,0.37637,0.3773,0.38205,0.38622,0.43553,0.43592,0.44151,0.44369,0.00491,0.0055,0.00519,0.00473,0.01042,0.01049,0.01026,0.01026,NA
2012-04-04,2012,95,138,harvardbarn2_2012_04_04_120109.jpg,88.98018,77.75306,43.69492,0.3695,0.42285,89.80727,13.95702,78.50483,12.37956,43.81233,8.34416,0.37016,0.00721,0.36918,0.37211,0.38139,0.42386,0.01307,0.4229,0.42909,0.44027,53.86577,NA,0,0,0,0,0.37647,0.37727,0.38241,0.3863,0.43245,0.43305,0.43972,0.44458,0.00404,0.00453,0.00427,0.00382,0.00955,0.00961,0.00904,0.00855,NA
2012-04-07,2012,98,139,harvardbarn2_2012_04_07_120110.jpg,89.36262,76.96833,42.79349,0.36805,0.42732,87.58516,13.27945,75.97052,12.04179,40.69029,9.59714,0.37236,0.00776,0.37051,0.38045,0.38196,0.43008,0.01607,0.42988,0.44046,0.44893,54.99565,NA,0,0,0,0,0.37671,0.37745,0.38294,0.38663,0.42945,0.43025,0.43783,0.44506,0.00342,0.00384,0.00362,0.00324,0.00875,0.00881,0.008,0.00728,NA
2012-04-10,2012,101,143,harvardbarn2_2012_04_10_120109.jpg,96.26477,81.44222,41.06052,0.37228,0.44003,86.09335,9.70426,74.95546,8.65595,37.19012,6.61564,0.37828,0.00521,0.37964,0.38184,0.38316,0.43503,0.01589,0.43731,0.44515,0.4532,56.10592,NA,0,0,0,0,0.37708,0.37783,0.38364,0.38716,0.42653,0.42751,0.4358,0.44514,0.00306,0.00343,0.00323,0.00296,0.00803,0.00808,0.00714,0.00645,NA
2012-04-13,2012,104,134,harvardbarn2_2012_04_13_120109.jpg,88.46939,75.57086,40.36298,0.36971,0.43282,89.40547,13.05601,77.14696,11.36567,40.2883,7.52252,0.3731,0.00713,0.37054,0.38012,0.38271,0.43267,0.01222,0.4313,0.44014,0.44735,57.19361,NA,0,0,0,0,0.37762,0.37845,0.38454,0.38791,0.42369,0.42485,0.43365,0.44479,0.0029,0.00325,0.00307,0.0029,0.00739,0.00744,0.00646,0.00602,NA
2012-04-16,2012,107,142,harvardbarn2_2012_04_16_120107.jpg,91.58059,80.38668,40.69717,0.378,0.43063,89.30898,13.80576,79.52771,12.46463,41.36573,7.95004,0.37845,0.00551,0.37712,0.3806,0.38761,0.42538,0.01294,0.42407,0.43151,0.44487,58.25649,NA,0,0,0,0,0.37829,0.37927,0.38561,0.3889,0.42093,0.42225,0.43146,0.44403,0.00289,0.00324,0.00305,0.00296,0.00684,0.00688,0.00597,0.0059,NA
2012-04-19,2012,110,144,harvardbarn2_2012_04_19_120108.jpg,90.3449,81.22174,43.99672,0.37679,0.41911,88.43498,13.29749,79.70077,11.73756,42.09692,7.91566,0.37943,0.00738,0.37706,0.38379,0.39237,0.42099,0.011,0.41888,0.4294,0.43571,59.29386,NA,0,0,0,0,0.37908,0.38023,0.38677,0.39006,0.41824,0.41972,0.42924,0.44288,0.00296,0.00331,0.00312,0.00305,0.00637,0.00641,0.00564,0.00597,NA
2012-04-22,2012,113,146,harvardbarn2_2012_04_22_120105.jpg,89.92153,86.32677,43.82267,0.39227,0.4086,88.16144,8.09134,82.42478,7.48393,42.49549,7.97679,0.38732,0.01249,0.39005,0.39671,0.3989,0.41433,0.01518,0.41746,0.4237,0.43,60.2978,NA,0,0,0,0,0.37993,0.38125,0.38795,0.39132,0.41563,0.41725,0.42701,0.44138,0.00305,0.00342,0.00323,0.00315,0.00599,0.00603,0.00548,0.00614,NA
2012-04-25,2012,116,145,harvardbarn2_2012_04_25_120109.jpg,90.62162,83.09012,39.36409,0.38996,0.4253,86.63862,10.41018,79.44394,9.96587,41.59133,8.77036,0.38292,0.01131,0.38571,0.39164,0.39519,0.41803,0.01478,0.41889,0.42582,0.43667,61.2713,NA,0,0,0,0,0.38102,0.38263,0.38944,0.39297,0.4131,0.41485,0.42472,0.43939,0.00312,0.0035,0.0033,0.00316,0.00569,0.00572,0.00543,0.0063,NA
