#
# 3-day product summary time series for harvardbarn
#
# Site: harvardbarn
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 42.53532
# Lon: -72.1899
# Elev: 350
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-03-11
# Creation Time: 13:07:15
# Update Date: 2016-06-13
# Update Time: 05:20:34
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:42:14
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-03-23,2012,83,58,harvardbarn_2012_03_23_140107.jpg,99.01744,67.49481,54.18691,0.30582,0.44865,78.25038,14.3722,51.97631,9.65417,43.84258,6.40015,0.29798,0.00528,0.29658,0.30041,0.30686,0.44855,0.01599,0.44891,0.46379,0.46795,49.22404,NA,0,0,0,0,0.29769,0.29675,0.30007,0.30602,0.43937,0.43558,0.45898,0.46451,0.00492,0.00488,0.00516,0.00536,0.01325,0.01289,0.01042,0.0106,NA
2012-03-26,2012,86,125,harvardbarn_2012_03_26_120108.jpg,92.11246,59.8316,50.93293,0.29492,0.45403,79.27438,15.48475,53.55206,10.65781,47.33951,7.83245,0.29655,0.00534,0.29681,0.29884,0.30361,0.43938,0.01308,0.44055,0.4482,0.45261,50.39156,NA,0,0,0,0,0.29667,0.29632,0.29923,0.30423,0.43967,0.43803,0.45452,0.46117,0.00333,0.0033,0.00364,0.00379,0.01055,0.01054,0.00736,0.00748,NA
2012-03-29,2012,89,127,harvardbarn_2012_03_29_120108.jpg,75.39627,50.01254,45.0836,0.29334,0.44223,75.16333,14.67488,50.33559,9.49478,44.44718,6.84563,0.2957,0.00469,0.29542,0.29832,0.30219,0.44109,0.01917,0.44045,0.44912,0.46219,51.55622,NA,0,0,0,0,0.29606,0.29615,0.29877,0.30299,0.44038,0.44037,0.45122,0.45871,0.00266,0.00264,0.00284,0.00295,0.00853,0.00868,0.00574,0.00584,NA
2012-04-01,2012,92,128,harvardbarn_2012_04_01_120107.jpg,68.91978,45.91691,40.14143,0.29628,0.44471,71.17329,14.33761,47.50981,9.57668,42.45233,6.85744,0.29413,0.00645,0.29544,0.29783,0.30094,0.4408,0.01755,0.44052,0.45251,0.46349,52.71848,NA,0,0,0,0,0.29586,0.29625,0.29869,0.30231,0.44144,0.44266,0.44909,0.45714,0.00264,0.00262,0.00265,0.00275,0.00723,0.00735,0.00535,0.00544,NA
2012-04-04,2012,95,137,harvardbarn_2012_04_04_120109.jpg,90.43929,60.22505,51.01169,0.29862,0.44844,80.84844,15.46494,55.38214,10.39518,48.70141,7.33606,0.29885,0.00479,0.29936,0.3015,0.30487,0.43618,0.01569,0.43721,0.44744,0.4531,53.86577,NA,0,0,0,0,0.29609,0.29666,0.29899,0.30215,0.44259,0.44495,0.44801,0.45643,0.00281,0.00278,0.00276,0.00287,0.0066,0.00657,0.00558,0.00567,NA
2012-04-07,2012,98,133,harvardbarn_2012_04_07_120108.jpg,91.55396,61.14295,52.02909,0.29866,0.4472,79.04536,15.59956,54.19597,10.29818,48.03414,7.26346,0.29848,0.00405,0.29858,0.30097,0.30365,0.43481,0.01605,0.43747,0.44586,0.45107,54.99565,NA,0,0,0,0,0.29679,0.29736,0.29972,0.30261,0.44395,0.44731,0.44818,0.45662,0.00289,0.00287,0.00288,0.00299,0.00647,0.00623,0.00581,0.00591,NA
2012-04-10,2012,101,142,harvardbarn_2012_04_10_120108.jpg,90.5751,58.13954,47.28966,0.29662,0.46211,69.8425,12.02391,46.75639,7.00333,41.76138,4.91749,0.29512,0.00363,0.29548,0.2972,0.29892,0.43958,0.01781,0.43956,0.45055,0.46204,56.10574,NA,0,0,0,0,0.29792,0.29839,0.30083,0.30354,0.44557,0.44962,0.44934,0.4576,0.00307,0.00304,0.00295,0.00306,0.00659,0.0062,0.00596,0.00606,NA
2012-04-13,2012,104,142,harvardbarn_2012_04_13_120108.jpg,92.19243,61.38353,51.60741,0.29916,0.44932,77.95772,15.62623,53.00521,10.54644,46.15248,7.62035,0.2986,0.00508,0.29955,0.30136,0.30435,0.43937,0.01555,0.44232,0.44937,0.4556,57.19354,NA,0,0,0,0,0.29951,0.29984,0.30224,0.30495,0.44717,0.45163,0.45149,0.45959,0.0029,0.00287,0.00292,0.00304,0.00681,0.00635,0.00591,0.00601,NA
2012-04-16,2012,107,139,harvardbarn_2012_04_16_120107.jpg,91.78003,60.51649,47.88828,0.3023,0.45848,78.93782,14.40408,53.97633,9.3217,45.28916,6.15419,0.30246,0.0041,0.30254,0.30527,0.30793,0.44174,0.01664,0.43966,0.45716,0.46408,58.25649,NA,0,0,0,0,0.30144,0.30165,0.30398,0.30672,0.44847,0.45313,0.45439,0.46226,0.00307,0.00304,0.00311,0.00324,0.00702,0.00655,0.0063,0.0064,NA
2012-04-19,2012,110,142,harvardbarn_2012_04_19_120108.jpg,94.44597,63.86571,51.07022,0.30502,0.45107,83.06383,14.88874,56.87719,10.33725,46.55026,6.98051,0.30439,0.00443,0.30423,0.30687,0.31083,0.44481,0.01392,0.44593,0.45402,0.46408,59.29205,NA,0,0,0,0,0.30359,0.30383,0.30548,0.30799,0.45054,0.45489,0.45851,0.46595,0.0029,0.00287,0.00298,0.0031,0.00704,0.0067,0.00603,0.00613,NA
