#
# 3-day product summary time series for harvardbarn
#
# Site: harvardbarn
# Veg Type: EN
# ROI ID Number: 0001
# Lat: 42.53532
# Lon: -72.1899
# Elev: 350
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-03-11
# Creation Time: 15:29:04
# Update Date: 2016-06-13
# Update Time: 05:20:49
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:43:07
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-03-23,2012,83,58,harvardbarn_2012_03_23_140107.jpg,78.18411,60.67605,35.77621,0.34744,0.4477,62.32836,8.46822,48.17138,6.09189,26.9424,4.79323,0.35063,0.00782,0.34895,0.35651,0.36178,0.45326,0.01777,0.44869,0.47056,0.47688,49.22404,NA,0,0,0,0,0.34619,0.34484,0.35255,0.35765,0.46596,0.46244,0.47399,0.4863,0.00511,0.00507,0.00465,0.0046,0.00838,0.00837,0.00806,0.00871,NA
2012-03-26,2012,86,122,harvardbarn_2012_03_26_120108.jpg,75.22752,56.50577,33.5702,0.34183,0.45509,62.84892,9.83803,47.99843,6.92659,29.27783,5.28561,0.34309,0.00895,0.34084,0.35083,0.35606,0.44839,0.01154,0.44844,0.45505,0.45956,50.39156,NA,0,0,0,0,0.34488,0.34378,0.35034,0.35488,0.46341,0.46054,0.47198,0.48407,0.00418,0.00414,0.0037,0.00366,0.00759,0.00754,0.00721,0.00779,NA
2012-03-29,2012,89,122,harvardbarn_2012_03_29_120108.jpg,56.6829,41.95552,22.65599,0.3459,0.46732,59.60346,10.69818,44.78147,7.45306,25.97735,4.94991,0.34365,0.00623,0.34334,0.34807,0.35248,0.45673,0.01661,0.45481,0.46651,0.47965,51.55622,NA,0,0,0,0,0.34385,0.34299,0.34862,0.35268,0.46089,0.45863,0.46994,0.48181,0.00344,0.00341,0.003,0.00296,0.00687,0.00679,0.00645,0.00697,NA
2012-04-01,2012,92,124,harvardbarn_2012_04_01_120107.jpg,53.47072,40.37751,21.24104,0.35084,0.4646,57.06019,9.55111,42.6901,7.01781,24.75127,4.81028,0.34281,0.00708,0.34313,0.34685,0.34989,0.45817,0.01815,0.45683,0.46646,0.48697,52.71848,NA,0,0,0,0,0.34309,0.34248,0.34736,0.35104,0.4584,0.45671,0.46786,0.47951,0.00292,0.00289,0.00254,0.00251,0.00623,0.00611,0.00577,0.00623,NA
2012-04-04,2012,95,134,harvardbarn_2012_04_04_120109.jpg,73.76193,55.11974,32.61979,0.3413,0.45673,64.71812,8.70747,48.60167,6.61533,29.91265,4.43358,0.33913,0.00478,0.33959,0.34185,0.34448,0.4519,0.01487,0.45141,0.4589,0.47027,53.86577,NA,0,0,0,0,0.34262,0.34225,0.3465,0.34988,0.45593,0.45477,0.46576,0.47716,0.0026,0.00258,0.00232,0.00229,0.00566,0.00553,0.00519,0.00561,NA
2012-04-07,2012,98,132,harvardbarn_2012_04_07_120108.jpg,74.87173,55.3967,32.74891,0.33982,0.45929,62.18464,10.07135,46.139,7.45644,27.89957,4.98108,0.33857,0.00502,0.33909,0.34082,0.34385,0.45653,0.01659,0.45668,0.46738,0.47683,54.99565,NA,0,0,0,0,0.34242,0.34231,0.34606,0.34922,0.45348,0.45282,0.46361,0.47476,0.00247,0.00245,0.00227,0.00225,0.00517,0.00503,0.00471,0.00509,NA
2012-04-10,2012,101,126,harvardbarn_2012_04_10_120108.jpg,76.04492,54.75167,29.73809,0.34106,0.4737,57.44429,7.91091,41.99885,5.11784,23.74992,2.66902,0.3408,0.0051,0.34104,0.34464,0.3474,0.46546,0.01645,0.46587,0.4774,0.48599,56.10574,NA,0,0,0,0,0.3425,0.34264,0.34603,0.34906,0.45105,0.45083,0.46142,0.4723,0.00246,0.00244,0.00232,0.00229,0.00476,0.00463,0.00433,0.00468,NA
2012-04-13,2012,104,135,harvardbarn_2012_04_13_120108.jpg,76.19607,56.30799,32.26493,0.34174,0.46244,63.57782,9.44418,47.14418,6.90418,27.77558,4.2798,0.34014,0.00528,0.34063,0.3429,0.34535,0.45883,0.01624,0.45805,0.46617,0.48701,57.19354,NA,0,0,0,0,0.34286,0.34324,0.3464,0.34936,0.44863,0.44881,0.45917,0.46977,0.00252,0.00249,0.00239,0.00237,0.00443,0.00432,0.00405,0.00438,NA
2012-04-16,2012,107,135,harvardbarn_2012_04_16_120107.jpg,78.46763,60.24534,32.23874,0.35241,0.459,64.43061,9.10266,49.73239,7.1693,28.8602,4.20545,0.34733,0.00455,0.34689,0.35047,0.35305,0.45042,0.0155,0.44883,0.45916,0.47281,58.25649,NA,0,0,0,0,0.34348,0.34411,0.34714,0.35006,0.44621,0.44676,0.45687,0.46718,0.0026,0.00258,0.00247,0.00244,0.00419,0.0041,0.00387,0.00418,NA
2012-04-19,2012,110,138,harvardbarn_2012_04_19_120108.jpg,76.31116,59.77944,34.28286,0.35087,0.44791,64.91168,8.52218,50.81634,6.91118,29.81129,4.67057,0.34907,0.0044,0.34907,0.35228,0.35368,0.44633,0.01353,0.44422,0.45348,0.46396,59.29205,NA,0,0,0,0,0.34447,0.34533,0.3484,0.35142,0.44379,0.44466,0.4545,0.46449,0.00266,0.00263,0.00247,0.00245,0.00401,0.00395,0.00377,0.00407,NA
2012-04-22,2012,113,139,harvardbarn_2012_04_22_114607.jpg,51.02559,39.03735,20.65817,0.35257,0.46085,55.79636,9.45222,44.06535,7.09834,24.96782,3.79075,0.35274,0.00768,0.35346,0.3579,0.36055,0.44627,0.01525,0.44762,0.45496,0.46564,60.2978,NA,0,0,0,0,0.34583,0.34692,0.35021,0.35349,0.44139,0.44252,0.45205,0.46171,0.0027,0.00268,0.00248,0.00245,0.00391,0.00388,0.00373,0.00403,NA
2012-04-25,2012,116,139,harvardbarn_2012_04_25_120109.jpg,51.11533,40.32048,23.0581,0.35216,0.44645,58.33589,7.88057,45.65507,5.77744,26.68186,4.16045,0.34938,0.00769,0.34994,0.35397,0.35852,0.44612,0.01597,0.44645,0.45735,0.4668,61.2713,NA,0,0,0,0,0.34746,0.34877,0.35235,0.35592,0.43901,0.44036,0.44956,0.45887,0.00277,0.00274,0.00258,0.00255,0.00385,0.00385,0.00373,0.00403,NA
2012-04-28,2012,119,142,harvardbarn_2012_04_28_120109.jpg,71.62141,54.49979,30.60095,0.34775,0.457,62.66024,8.50956,47.9682,6.47642,28.10538,3.91133,0.34558,0.00697,0.34655,0.34995,0.35472,0.45149,0.01206,0.45124,0.46166,0.46801,62.21021,NA,0,0,0,0,0.34923,0.35077,0.35463,0.35841,0.43667,0.43819,0.44705,0.45599,0.00281,0.00278,0.00265,0.00262,0.00384,0.00386,0.00376,0.00407,NA
2012-05-01,2012,122,141,harvardbarn_2012_05_01_120108.jpg,52.45368,39.80297,20.3259,0.35354,0.46591,53.88606,6.05645,41.67723,4.11726,23.73322,3.3583,0.34949,0.00682,0.34981,0.35432,0.35787,0.45151,0.016,0.45343,0.46215,0.4732,63.11218,NA,0,0,0,0,0.35152,0.35333,0.35736,0.36126,0.43437,0.43604,0.44454,0.45312,0.00274,0.00271,0.00256,0.00253,0.00386,0.00391,0.00382,0.00412,NA
2012-05-04,2012,125,151,harvardbarn_2012_05_04_120106.jpg,60.80726,48.12148,44.11464,0.31443,0.39732,54.13716,5.66241,43.07422,4.50239,29.22527,10.72402,0.34272,0.01878,0.34917,0.35684,0.36073,0.43136,0.03266,0.44255,0.45095,0.46521,63.9751,NA,0,0,0,0,0.35439,0.35651,0.36065,0.36466,0.43212,0.43391,0.44205,0.45028,0.00267,0.00265,0.00248,0.00245,0.00391,0.00396,0.00388,0.00419,NA
