#
# 3-day product summary time series for harvardblo
#
# Site: harvardblo
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 42.5378
# Lon: -72.1715
# Elev: 340
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:35:13
# Update Date: 2016-06-13
# Update Time: 05:21:34
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:46:08
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2009-04-08,2009,98,2,harvardblo_2009_04_09_170419.jpg,93.51831,102.17092,102.01172,0.3432,0.31414,90.54988,2.96843,101.89426,0.27666,103.16419,1.15246,0.34471,0.00151,0.34471,0.34546,0.34591,0.30626,0.00787,0.30626,0.3102,0.31256,13.80904,NA,0,0,0,0,0.34652,0.34698,0.34736,0.34838,0.34368,0.34864,0.35348,0.35727,0.00485,0.00482,0.00606,0.00662,0.01518,0.01536,0.01592,0.0164,NA
2009-04-11,2009,101,71,harvardblo_2009_04_11_120141.jpg,119.08111,103.42531,80.72376,0.34108,0.39271,109.15624,7.63537,100.01902,6.16397,82.7202,5.77664,0.34258,0.00407,0.34371,0.34481,0.3456,0.37392,0.01475,0.37722,0.38219,0.39131,56.27359,NA,0,0,0,0,0.34389,0.34422,0.34449,0.34521,0.34941,0.3544,0.35944,0.36304,0.00336,0.00334,0.00454,0.00496,0.01249,0.01264,0.0131,0.01349,NA
2009-04-14,2009,104,67,harvardblo_2009_04_14_120143.jpg,115.38968,105.96893,85.04824,0.34584,0.37659,109.57741,5.44048,103.96977,3.05015,88.11556,7.27738,0.34465,0.00101,0.34447,0.34546,0.34588,0.36346,0.01905,0.3719,0.3771,0.37845,57.33617,NA,0,0,0,0,0.34218,0.34239,0.34307,0.34356,0.3542,0.35915,0.36438,0.36782,0.00264,0.00263,0.00356,0.00389,0.01036,0.01048,0.01086,0.01119,NA
2009-04-17,2009,107,73,harvardblo_2009_04_17_120142.jpg,116.44815,106.47244,85.09637,0.34567,0.37806,107.46249,8.18954,101.90355,5.74639,85.68414,6.76857,0.34536,0.0016,0.34553,0.34624,0.3469,0.36413,0.018,0.36921,0.37665,0.37866,58.37282,NA,0,0,0,0,0.34169,0.3418,0.34304,0.34344,0.35799,0.36284,0.36821,0.37154,0.00255,0.00253,0.00311,0.0034,0.0088,0.00891,0.00923,0.00951,NA
2009-04-20,2009,110,38,harvardblo_2009_04_20_120142.jpg,114.64909,104.89245,84.5391,0.34495,0.37704,109.0177,9.9477,102.36038,6.71581,85.73268,6.41303,0.34448,0.00128,0.34487,0.3451,0.34558,0.36638,0.01956,0.37372,0.37803,0.3802,59.04913,NA,0,0,0,0,0.34229,0.34232,0.34452,0.34492,0.36082,0.36552,0.37101,0.37426,0.00267,0.00266,0.00306,0.00335,0.00783,0.00792,0.00821,0.00845,NA
2009-04-23,2009,113,44,harvardblo_2009_04_23_113142.jpg,104.78037,97.44376,80.54056,0.34461,0.37056,107.32041,10.14819,102.16644,6.62169,86.7765,7.59766,0.34483,0.00134,0.34488,0.34519,0.34669,0.36195,0.02285,0.3707,0.37886,0.38074,60.36233,NA,0,0,0,0,0.34423,0.3442,0.34746,0.34798,0.36286,0.36737,0.37297,0.37616,0.00278,0.00277,0.00317,0.00346,0.00736,0.00745,0.00772,0.00795,NA
2009-04-26,2009,116,63,harvardblo_2009_04_26_120144.jpg,118.01411,106.12696,82.66464,0.34591,0.38465,110.1155,6.85893,104.05873,3.36439,85.70633,5.35609,0.34701,0.00166,0.34639,0.34764,0.34992,0.36709,0.01801,0.37563,0.38102,0.38402,61.32464,NA,0,0,0,0,0.34696,0.34688,0.35162,0.35242,0.36421,0.36852,0.3742,0.37736,0.00287,0.00286,0.0033,0.00361,0.00729,0.00738,0.00764,0.00787,NA
2009-04-29,2009,119,72,harvardblo_2009_04_29_120142.jpg,113.30938,105.58032,82.44471,0.35038,0.37603,108.25884,8.08035,103.45177,5.11762,83.47158,4.82678,0.35048,0.00195,0.35039,0.3515,0.35365,0.36642,0.0159,0.37287,0.37629,0.37957,62.26081,NA,0,0,0,0,0.35238,0.35242,0.35737,0.35851,0.36464,0.3687,0.37444,0.37759,0.00275,0.00274,0.00337,0.00369,0.00742,0.00751,0.00778,0.00802,NA
2009-05-02,2009,122,72,harvardblo_2009_05_02_120142.jpg,111.56591,103.81354,78.04129,0.3538,0.38023,104.89142,10.21034,100.33387,9.15364,76.89659,6.8433,0.35555,0.00411,0.35565,0.35904,0.35984,0.37161,0.01074,0.373,0.37792,0.38195,63.15719,NA,0,0,0,0,0.35947,0.35962,0.36438,0.36603,0.36406,0.36782,0.37358,0.37676,0.00287,0.00286,0.00347,0.0038,0.00761,0.0077,0.00798,0.00822,NA
2009-05-05,2009,125,71,harvardblo_2009_05_05_120142.jpg,102.29461,103.09583,72.58845,0.37088,0.36799,104.00949,10.09911,102.67744,9.85752,73.95266,7.17533,0.36575,0.0047,0.36642,0.36941,0.37102,0.37049,0.00735,0.37156,0.37581,0.37849,64.01299,NA,0,0,0,0,0.36999,0.37023,0.37418,0.3768,0.36282,0.36626,0.37203,0.37526,0.00275,0.00274,0.00338,0.00369,0.0078,0.00789,0.00818,0.00842,NA
