#
# 3-day product summary time series for harvardhemlock
#
# Site: harvardhemlock
# Veg Type: EN
# ROI ID Number: 0002
# Lat: 42.539407
# Lon: -72.177976
# Elev: 355
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:36:09
# Update Date: 2016-06-13
# Update Time: 05:21:48
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:48:13
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-08-08,2012,221,14,harvardhemlock_2012_08_09_110141.jpg,51.63207,64.29973,43.17314,0.40413,0.32452,49.11026,6.87856,60.85085,8.54702,42.3215,4.06597,0.39885,0.00634,0.39822,0.40319,0.40742,0.32197,0.00663,0.32146,0.32739,0.3298,63.00628,NA,0,0,0,0,0.3973,0.39983,0.40831,0.4141,0.32164,0.32144,0.33094,0.33833,0.00268,0.00308,0.00323,0.00338,0.00488,0.00514,0.00522,0.00493,NA
2012-08-11,2012,224,72,harvardhemlock_2012_08_11_120145.jpg,56.6043,69.66291,44.94536,0.40688,0.33061,45.8455,9.33108,57.47364,10.56674,41.1606,4.77913,0.3969,0.01399,0.39575,0.40352,0.41141,0.31551,0.01503,0.31631,0.32181,0.33536,62.7114,NA,0,0,0,0,0.39672,0.39914,0.40771,0.41325,0.32191,0.32176,0.3311,0.3383,0.00247,0.0027,0.00299,0.00318,0.00457,0.00481,0.00489,0.00463,NA
2012-08-14,2012,227,49,harvardhemlock_2012_08_14_120144.jpg,49.19147,61.04033,41.99285,0.40099,0.32315,50.29629,18.39278,61.77536,23.23714,46.18271,21.069,0.39012,0.01719,0.39495,0.40277,0.40657,0.3183,0.00878,0.31747,0.32437,0.33038,61.48719,NA,0,0,0,0,0.39614,0.39844,0.40709,0.41241,0.32217,0.32207,0.33126,0.33828,0.00229,0.00236,0.00276,0.00298,0.00428,0.0045,0.00458,0.00435,NA
2012-08-17,2012,230,70,harvardhemlock_2012_08_17_113145.jpg,55.07224,68.69691,45.31954,0.40628,0.3257,50.17453,9.65721,61.99391,11.36287,43.24275,4.2852,0.39753,0.016,0.40099,0.40953,0.41227,0.32119,0.01475,0.32291,0.33335,0.33674,60.85208,NA,0,0,0,0,0.39556,0.39773,0.40646,0.41157,0.32242,0.32237,0.33142,0.33827,0.00212,0.00209,0.00256,0.0028,0.00401,0.00422,0.00429,0.00408,NA
2012-08-20,2012,233,68,harvardhemlock_2012_08_20_120143.jpg,54.18609,66.92556,44.88278,0.40318,0.32643,50.61244,8.63585,62.07997,10.13019,44.3472,3.11471,0.3938,0.01389,0.39508,0.40387,0.40956,0.32066,0.01715,0.32152,0.32977,0.33678,59.8711,NA,0,0,0,0,0.39497,0.39701,0.40581,0.41073,0.32265,0.32266,0.33157,0.33825,0.00197,0.00187,0.00238,0.00264,0.00377,0.00396,0.00403,0.00384,NA
2012-08-23,2012,236,70,harvardhemlock_2012_08_23_120143.jpg,50.56131,62.1107,41.80698,0.40207,0.3273,52.0504,8.99308,62.62471,11.31494,44.12863,3.59862,0.39244,0.01707,0.39812,0.40568,0.41011,0.32659,0.01259,0.3253,0.33775,0.34231,58.86031,NA,0,0,0,0,0.39437,0.39628,0.40516,0.40988,0.32288,0.32293,0.33173,0.33824,0.00184,0.00172,0.00222,0.00248,0.00354,0.00373,0.00379,0.00362,NA
2012-08-26,2012,239,63,harvardhemlock_2012_08_26_120144.jpg,63.99509,78.89609,48.90958,0.41134,0.33365,53.00821,10.46996,64.14058,13.11827,44.41416,4.05433,0.39462,0.01666,0.39732,0.40828,0.41172,0.32658,0.01258,0.32594,0.33598,0.34124,57.82034,NA,0,0,0,0,0.39377,0.39554,0.40449,0.40904,0.32309,0.3232,0.33187,0.33824,0.00173,0.00164,0.00209,0.00235,0.00335,0.00352,0.00358,0.00342,NA
2012-08-29,2012,242,69,harvardhemlock_2012_08_29_120143.jpg,61.09883,75.59456,47.97298,0.40936,0.33086,51.87371,9.64787,62.48116,11.60494,43.50064,4.57318,0.3943,0.01666,0.39845,0.40755,0.40992,0.32723,0.01313,0.32688,0.33703,0.3436,56.75437,NA,0,0,0,0,0.39317,0.39478,0.4038,0.4082,0.32329,0.32344,0.33202,0.33824,0.00164,0.00161,0.00198,0.00222,0.00317,0.00334,0.0034,0.00324,NA
2012-09-01,2012,245,72,harvardhemlock_2012_09_01_120144.jpg,66.39438,80.59091,49.18437,0.41082,0.33845,50.80183,9.50636,60.81417,11.08491,43.37069,3.64273,0.39076,0.01683,0.39253,0.40508,0.4088,0.32631,0.01846,0.32568,0.33974,0.34854,55.66532,NA,0,0,0,0,0.39257,0.39401,0.40309,0.40736,0.32347,0.32368,0.33215,0.33825,0.00157,0.00162,0.00189,0.00212,0.00302,0.00318,0.00324,0.00309,NA
2012-09-04,2012,248,67,harvardhemlock_2012_09_04_120144.jpg,46.66197,62.44786,39.87128,0.41917,0.31321,48.1018,10.65368,59.85003,11.30916,41.38704,5.67355,0.4005,0.0167,0.39827,0.40681,0.41508,0.31997,0.01643,0.31982,0.33002,0.34285,54.51562,NA,0,0,0,0,0.39196,0.39323,0.40237,0.40652,0.32364,0.3239,0.33229,0.33826,0.00151,0.00166,0.00183,0.00203,0.0029,0.00305,0.0031,0.00295,NA
