#
# 3-day product summary time series for harvardlph
#
# Site: harvardlph
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 42.542
# Lon: -72.185
# Elev: 380
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:36:22
# Update Date: 2016-01-25
# Update Time: 14:36:24
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:48:52
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-06-16,2010,167,50,harvardlph_2010_06_16_083142.jpg,54.11531,66.31112,45.11372,0.40057,0.3269,52.58691,7.0148,64.85636,8.91986,45.71366,7.4755,0.39763,0.01196,0.39894,0.40334,0.40758,0.32256,0.01191,0.32351,0.32573,0.33139,70.6901,NA,0,0,0,0,0.39702,0.39867,0.40282,0.40646,0.32412,0.32407,0.32705,0.33309,0.00376,0.00438,0.00324,0.00307,0.00898,0.01042,0.00812,0.00725,NA
2010-06-19,2010,170,79,harvardlph_2010_06_19_120143.jpg,62.91917,78.45194,52.56957,0.40452,0.32442,53.49911,8.34997,65.07117,11.19813,45.4015,6.29743,0.3958,0.00986,0.39857,0.40294,0.40505,0.32639,0.01094,0.32574,0.32924,0.33447,70.75327,NA,0,0,0,0,0.39622,0.39779,0.40216,0.40544,0.3235,0.32366,0.32668,0.33234,0.00286,0.00342,0.00246,0.00226,0.00662,0.00792,0.00598,0.00514,NA
2010-06-22,2010,173,81,harvardlph_2010_06_22_120143.jpg,51.06415,62.94133,44.36828,0.39742,0.32243,51.51601,6.55298,63.10576,8.41137,45.30795,6.87975,0.39446,0.01076,0.3966,0.40104,0.40364,0.32233,0.01124,0.32284,0.32663,0.33178,70.76134,NA,0,0,0,0,0.39544,0.39697,0.40153,0.40454,0.32301,0.32337,0.32645,0.33169,0.00225,0.00273,0.00194,0.00176,0.00516,0.00624,0.00467,0.00401,NA
2010-06-25,2010,176,69,harvardlph_2010_06_25_120143.jpg,62.8898,78.90688,53.34842,0.40435,0.32227,52.34731,7.2981,64.17117,9.432,45.45635,5.89538,0.39572,0.00929,0.396,0.39971,0.40437,0.32313,0.00815,0.32296,0.32609,0.33296,70.74073,NA,0,0,0,0,0.39469,0.3962,0.40092,0.40372,0.32263,0.32317,0.32632,0.33117,0.00195,0.00232,0.00168,0.00157,0.0046,0.0054,0.00416,0.00375,NA
2010-06-28,2010,179,82,harvardlph_2010_06_28_120143.jpg,45.69447,56.12285,41.43184,0.39178,0.31899,48.59046,7.02375,59.66151,8.88327,43.63674,4.5526,0.392,0.00769,0.3929,0.3981,0.40097,0.31952,0.00866,0.3198,0.32378,0.32716,70.65853,NA,0,0,0,0,0.39395,0.39548,0.40031,0.40298,0.32236,0.32308,0.3263,0.33074,0.00188,0.00217,0.00162,0.00157,0.00461,0.00521,0.00417,0.00389,NA
2010-07-01,2010,182,81,harvardlph_2010_07_01_120144.jpg,54.55676,66.53588,47.12527,0.39553,0.32432,53.2679,7.78088,64.91128,9.47049,46.27439,5.48045,0.39422,0.00773,0.39564,0.40006,0.40146,0.32346,0.01365,0.32432,0.32659,0.33242,70.51337,NA,0,0,0,0,0.39325,0.39482,0.39973,0.40233,0.32221,0.32307,0.32637,0.33044,0.00194,0.00218,0.00167,0.00165,0.00483,0.00537,0.00436,0.00408,NA
2010-07-04,2010,185,80,harvardlph_2010_07_04_120143.jpg,45.19729,55.4721,40.85559,0.39196,0.31936,52.62766,8.56888,64.30034,10.93115,45.65029,6.47178,0.39479,0.009,0.39538,0.40112,0.40242,0.32363,0.01422,0.32437,0.32627,0.32937,70.306,NA,0,0,0,0,0.39259,0.3942,0.39917,0.40178,0.32218,0.32317,0.32653,0.33026,0.00201,0.00225,0.00173,0.0017,0.00498,0.00557,0.0045,0.00417,NA
2010-07-07,2010,188,77,harvardlph_2010_07_07_120142.jpg,51.05712,64.37382,46.00066,0.39877,0.31628,51.15536,8.79472,62.58978,11.40424,45.33535,5.47913,0.39204,0.00965,0.39319,0.40059,0.40349,0.32104,0.00915,0.32348,0.32661,0.33089,70.03708,NA,0,0,0,0,0.39196,0.39362,0.39863,0.40131,0.32226,0.32337,0.32679,0.33025,0.00206,0.00233,0.00178,0.00173,0.00508,0.00572,0.00459,0.0044,NA
2010-07-10,2010,191,77,harvardlph_2010_07_10_120143.jpg,48.47796,58.94635,43.42423,0.39077,0.32137,49.96101,8.4777,60.59406,10.75759,43.95262,6.05943,0.39123,0.00864,0.39306,0.39712,0.40055,0.32303,0.00986,0.32358,0.32881,0.33112,69.70759,NA,0,0,0,0,0.39133,0.39311,0.39816,0.40091,0.32256,0.32373,0.32724,0.33052,0.0021,0.00235,0.00181,0.00173,0.00506,0.00582,0.00457,0.00422,NA
2010-07-13,2010,194,79,harvardlph_2010_07_13_120143.jpg,53.57829,65.0614,46.04452,0.39507,0.32534,50.03163,8.24281,60.73349,10.02709,45.45792,8.97734,0.3889,0.01276,0.39314,0.39758,0.40025,0.32036,0.00966,0.3223,0.3262,0.32854,69.31861,NA,0,0,0,0,0.39073,0.39267,0.3977,0.40052,0.32297,0.32419,0.32777,0.33091,0.0022,0.00235,0.0019,0.00182,0.00535,0.0061,0.00483,0.0044,NA
2010-07-16,2010,197,60,harvardlph_2010_07_16_120144.jpg,59.21277,71.61893,49.99208,0.39607,0.32746,53.04459,8.63929,63.81504,10.96671,46.13146,6.20691,0.39034,0.00974,0.39312,0.3975,0.39993,0.32518,0.01525,0.32749,0.3299,0.33273,68.87242,NA,0,0,0,0,0.39018,0.39226,0.39705,0.39998,0.32333,0.32455,0.32803,0.33122,0.00214,0.00245,0.00184,0.00176,0.00517,0.00594,0.00467,0.00422,NA
2010-07-19,2010,200,80,harvardlph_2010_07_19_120143.jpg,43.2104,51.38819,39.44142,0.38338,0.32237,51.91493,6.84253,62.27405,8.90937,44.9416,5.0745,0.39066,0.00627,0.39141,0.39534,0.39796,0.32622,0.00855,0.32528,0.32919,0.33376,68.36995,NA,0,0,0,0,0.38967,0.39185,0.3964,0.39943,0.32376,0.325,0.32836,0.33168,0.0022,0.00253,0.0019,0.00182,0.00535,0.0061,0.00483,0.0044,NA
2010-07-22,2010,203,77,harvardlph_2010_07_22_120143.jpg,62.30039,76.03293,52.49092,0.39844,0.32648,49.75246,8.23892,60.01481,10.35168,44.40949,5.67335,0.38819,0.01014,0.38992,0.39464,0.39993,0.32228,0.0107,0.32355,0.32696,0.33012,67.81308,NA,0,0,0,0,0.38929,0.39144,0.39596,0.39901,0.32431,0.32568,0.32893,0.33247,0.00211,0.00244,0.00181,0.00173,0.00507,0.00584,0.00458,0.00412,NA
2010-07-25,2010,206,75,harvardlph_2010_07_25_120144.jpg,64.77602,79.318,54.18216,0.40004,0.3267,52.16356,8.62647,62.77637,10.59777,46.03236,6.45177,0.38913,0.00919,0.39063,0.39566,0.39862,0.32357,0.01351,0.32575,0.32822,0.33234,67.20418,NA,0,0,0,0,0.38902,0.39106,0.3956,0.39867,0.32494,0.3265,0.32959,0.33343,0.00211,0.00244,0.00181,0.00173,0.00507,0.00584,0.00458,0.00412,NA
