#
# 3-day product summary time series for howland1
#
# Site: howland1
# Veg Type: EN
# ROI ID Number: 0003
# Lat: 45.2041
# Lon: -68.7403
# Elev: 80
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 120
# ROI Brightness Max: 665
# Creation Date: 2016-04-01
# Creation Time: 10:40:37
# Update Date: 2016-06-13
# Update Time: 05:22:11
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:50:42
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-03-27,2010,86,1301,howland1_2010_03_27_120003.jpg,73.68774,70.03328,49.9061,0.36169,0.38057,65.7245,6.92327,62.07514,6.72067,46.17313,5.05745,0.35645,0.01266,0.35829,0.36157,0.36268,0.37762,0.01303,0.38039,0.3832,0.38542,47.94022,NA,0,0,0,0,0.35884,0.36347,0.36456,0.37232,0.37272,0.37819,0.38411,0.38732,0.00316,0.00253,0.00339,0.00264,0.00691,0.00758,0.00648,0.00632,NA
2010-03-30,2010,89,316,howland1_2010_03_29_171047.jpg,60.62644,63.1113,51.99805,0.35913,0.34499,58.37788,4.49047,58.43337,6.01122,49.66525,4.24532,0.35042,0.0199,0.35598,0.35823,0.36226,0.35069,0.00827,0.3523,0.35494,0.3585,48.23358,NA,0,0,0,0,0.3606,0.36459,0.36644,0.37346,0.37132,0.37667,0.38249,0.38576,0.00276,0.0024,0.00291,0.0025,0.00648,0.00712,0.00608,0.00591,NA
2010-04-02,2010,92,58,howland1_2010_04_02_120143.jpg,74.58051,71.23619,46.15676,0.37107,0.38849,71.4288,6.05529,70.79718,6.37545,52.4487,11.60598,0.36385,0.01528,0.37021,0.37138,0.37418,0.36826,0.02953,0.38308,0.38692,0.38764,50.23087,NA,0,0,0,0,0.36226,0.36568,0.36824,0.37458,0.36995,0.37519,0.38091,0.38424,0.00241,0.00227,0.0025,0.00236,0.00608,0.00668,0.00571,0.00553,NA
2010-04-05,2010,95,68,howland1_2010_04_05_120143.jpg,72.61225,71.80554,46.46151,0.37618,0.38041,66.16657,6.54634,65.71142,5.90843,45.45754,7.82642,0.37112,0.01552,0.37269,0.37596,0.38614,0.37329,0.01377,0.37662,0.38222,0.3851,51.37591,NA,0,0,0,0,0.36384,0.36674,0.36994,0.37566,0.36863,0.37375,0.37937,0.38275,0.00211,0.00214,0.00216,0.00223,0.0057,0.00626,0.00535,0.00517,NA
2010-04-08,2010,98,70,howland1_2010_04_08_120143.jpg,63.19188,63.37106,43.90567,0.37175,0.3707,59.39975,8.434,61.19456,8.89841,44.30019,6.35471,0.37063,0.01704,0.37182,0.37812,0.38188,0.36025,0.01656,0.36312,0.37129,0.38101,52.50365,NA,0,0,0,0,0.36532,0.36777,0.37155,0.37671,0.36733,0.37235,0.37787,0.3813,0.00187,0.00202,0.00191,0.00211,0.00534,0.00587,0.00502,0.00483,NA
2010-04-11,2010,101,21,howland1_2010_04_10_160144.jpg,57.79858,58.56874,43.97844,0.36527,0.36046,61.08284,5.27417,62.76315,4.66641,45.70789,6.927,0.37058,0.01289,0.37141,0.37538,0.38209,0.36062,0.01878,0.36799,0.37035,0.37364,52.87516,NA,0,0,0,0,0.36671,0.36877,0.37306,0.37773,0.36607,0.37099,0.37641,0.37989,0.00169,0.00191,0.00174,0.00199,0.00502,0.00551,0.00471,0.00452,NA
2010-04-14,2010,104,69,howland1_2010_04_14_120144.jpg,63.68868,63.63601,44.57346,0.3702,0.3705,65.2235,7.36338,65.39558,7.04559,45.4256,4.05221,0.37094,0.01388,0.37326,0.3764,0.37704,0.37003,0.01623,0.37432,0.37723,0.3806,54.69562,NA,0,0,0,0,0.368,0.36973,0.37448,0.37872,0.36485,0.36966,0.37499,0.37851,0.00157,0.00181,0.00164,0.00188,0.00471,0.00517,0.00442,0.00423,NA
2010-04-17,2010,107,68,howland1_2010_04_17_120144.jpg,64.97985,64.43851,45.91718,0.36752,0.3706,61.28567,7.99809,61.25277,7.54503,43.31968,4.93792,0.36904,0.01451,0.36827,0.37362,0.38414,0.36904,0.01544,0.37088,0.37835,0.38259,55.75477,NA,0,0,0,0,0.36921,0.37067,0.3758,0.37967,0.36365,0.36837,0.37361,0.37716,0.0015,0.00171,0.0016,0.00178,0.00443,0.00487,0.00416,0.00397,NA
2010-04-20,2010,110,65,howland1_2010_04_20_120145.jpg,55.95006,56.12203,43.61493,0.36048,0.35938,65.52487,8.46598,65.76379,8.37152,47.36004,6.5826,0.36761,0.01788,0.3718,0.3767,0.37954,0.36639,0.01811,0.37254,0.37761,0.38177,56.78595,NA,0,0,0,0,0.37032,0.37158,0.37703,0.38059,0.36249,0.36711,0.37226,0.37585,0.00147,0.00162,0.00159,0.00169,0.00419,0.0046,0.00393,0.00374,NA
2010-04-23,2010,113,56,howland1_2010_04_23_120144.jpg,64.2823,66.64038,44.77049,0.3793,0.36588,62.00385,8.92403,63.10261,8.07061,44.95334,6.51159,0.37102,0.01283,0.3715,0.3781,0.38118,0.36407,0.01823,0.36737,0.3779,0.38123,57.78668,NA,0,0,0,0,0.37136,0.37245,0.37817,0.38147,0.36136,0.36589,0.37095,0.37456,0.00148,0.00154,0.00162,0.00161,0.00396,0.00435,0.00372,0.00354,NA
