#
# 3-day product summary time series for howland2
#
# Site: howland2
# Veg Type: DB
# ROI ID Number: 0002
# Lat: 45.2128
# Lon: -68.7418
# Elev: 79
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:37:41
# Update Date: 2016-06-13
# Update Time: 05:22:15
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:52:44
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2014-03-21,2014,80,12,howland2_2014_03_21_134503.jpg,148.61117,132.58833,107.79079,0.34085,0.38204,123.25248,12.33116,113.24251,11.33383,94.61844,11.11488,0.34209,0.00119,0.34221,0.34318,0.34342,0.37241,0.00849,0.37536,0.3783,0.38023,45.58168,NA,0,0,0,0,0.34101,0.34077,0.34213,0.34296,0.37683,0.37643,0.38559,0.38672,0.00944,0.00978,0.01047,0.0111,0.01729,0.01795,0.01822,0.0187,NA
2014-03-24,2014,83,23,howland2_2014_03_24_120002.jpg,148.06092,132.00991,107.10602,0.34096,0.38241,121.15146,28.69768,107.39042,25.76182,85.79821,22.00037,0.34197,0.00149,0.34159,0.3431,0.3443,0.38608,0.00526,0.3847,0.38899,0.39252,46.75851,NA,0,0,0,0,0.34215,0.34181,0.34344,0.34416,0.38044,0.37928,0.38948,0.39146,0.00727,0.00753,0.00806,0.00875,0.01332,0.01382,0.01403,0.0144,NA
2014-03-27,2014,86,24,howland2_2014_03_27_120003.jpg,98.39097,86.19673,66.30417,0.34356,0.39216,78.48577,13.20582,69.44543,11.0326,53.98155,8.27419,0.34404,0.00138,0.34353,0.34542,0.34625,0.3883,0.00496,0.38965,0.39195,0.39431,47.92796,NA,0,0,0,0,0.34323,0.34281,0.34467,0.3453,0.38373,0.38196,0.39288,0.39563,0.00575,0.00596,0.00638,0.00702,0.01053,0.01093,0.0111,0.01139,NA
2014-03-30,2014,89,24,howland2_2014_03_30_120003.jpg,54.93473,52.04904,45.7858,0.3407,0.35959,71.91325,15.6962,66.71269,12.87252,56.48002,11.61178,0.34188,0.00207,0.34096,0.34426,0.34473,0.36731,0.02589,0.35492,0.40301,0.40358,49.08723,NA,0,0,0,0,0.34428,0.3438,0.34582,0.34636,0.38668,0.38449,0.39573,0.3992,0.00493,0.00511,0.00546,0.00596,0.00902,0.00937,0.00951,0.00976,NA
2014-04-02,2014,92,24,howland2_2014_04_02_120003.jpg,98.15399,85.24189,64.29513,0.34415,0.39628,96.87035,8.2045,84.27312,6.80745,63.84791,5.04581,0.344,0.00039,0.34398,0.34423,0.34443,0.39525,0.00435,0.39565,0.39771,0.39924,50.23361,NA,0,0,0,0,0.34528,0.34478,0.34689,0.34735,0.38928,0.38685,0.39798,0.40212,0.00467,0.00484,0.00518,0.00549,0.00856,0.00889,0.00902,0.00925,NA
2014-04-05,2014,95,17,howland2_2014_04_05_120004.jpg,48.77858,40.00397,25.92299,0.34875,0.42525,77.6177,26.09894,66.40235,23.89608,48.33587,20.02573,0.34581,0.00209,0.34458,0.34818,0.34908,0.40844,0.01516,0.39771,0.42382,0.43181,51.08979,NA,0,0,0,0,0.34624,0.34573,0.34788,0.34826,0.39157,0.38906,0.39973,0.40448,0.00474,0.00491,0.00526,0.00544,0.00868,0.00901,0.00915,0.00939,NA
2014-04-08,2014,98,15,howland2_2014_04_08_120002.jpg,60.42726,52.56384,36.71007,0.35113,0.40365,77.8008,19.91061,68.06439,17.69574,49.74914,14.44594,0.34854,0.00229,0.34741,0.35082,0.35122,0.39894,0.00718,0.39783,0.40323,0.40743,52.49266,NA,0,0,0,0,0.34715,0.34664,0.34878,0.34911,0.39362,0.39114,0.40114,0.40641,0.00492,0.0051,0.00546,0.0056,0.00901,0.00936,0.0095,0.00975,NA
2014-04-11,2014,101,24,howland2_2014_04_11_120003.jpg,96.66103,84.37857,62.00182,0.34718,0.39771,90.31621,14.49201,79.18817,11.92163,58.7313,8.35122,0.34706,0.00109,0.34699,0.34741,0.34827,0.39493,0.00695,0.39661,0.39847,0.39888,53.60058,NA,0,0,0,0,0.34797,0.34747,0.34959,0.34993,0.39548,0.39309,0.40234,0.40803,0.00509,0.00528,0.00565,0.00582,0.00932,0.00968,0.00983,0.01008,NA
2014-04-14,2014,104,21,howland2_2014_04_14_120003.jpg,95.76706,82.95706,58.74161,0.34934,0.40329,64.6927,15.34563,58.84792,11.94122,43.59222,7.29682,0.35222,0.00394,0.35113,0.35667,0.35721,0.38507,0.01221,0.38373,0.38773,0.40319,54.68551,NA,0,0,0,0,0.34866,0.34819,0.35019,0.35055,0.397,0.39488,0.403,0.40902,0.00505,0.00523,0.0056,0.00589,0.00925,0.0096,0.00975,0.01,NA
2014-04-17,2014,107,23,howland2_2014_04_17_120003.jpg,92.79394,80.27288,57.99165,0.34741,0.4016,91.78148,5.66495,80.41248,6.13231,59.69051,6.76518,0.34687,0.00129,0.34741,0.34772,0.34829,0.39637,0.0074,0.39808,0.40241,0.40441,55.745,NA,0,0,0,0,0.34921,0.34879,0.35055,0.35094,0.39813,0.39646,0.403,0.4093,0.00498,0.00516,0.00552,0.00591,0.00912,0.00947,0.00961,0.00986,NA
