#
# 3-day product summary time series for hubbardbrook
#
# Site: hubbardbrook
# Veg Type: DB
# ROI ID Number: 0002
# Lat: 43.943943
# Lon: -71.701859
# Elev: 253
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:38:11
# Update Date: 2016-06-13
# Update Time: 05:22:27
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:53:15
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-04-02,2011,92,8,hubbardbrook_2011_04_03_130856.jpg,96.20569,110.6035,104.33254,0.35548,0.3092,86.1857,10.15255,99.6254,10.2256,95.26023,7.82419,0.35425,0.0032,0.35561,0.35584,0.35611,0.30607,0.01076,0.31039,0.31106,0.31251,47.74149,NA,0,0,0,0,0.35491,0.35571,0.3564,0.35706,0.29829,0.30248,0.30449,0.30786,0.00281,0.00317,0.00362,0.00336,0.00688,0.00824,0.00811,0.00769,NA
2011-04-05,2011,95,61,hubbardbrook_2011_04_05_120136.jpg,87.47735,103.22966,104.05731,0.35021,0.29677,82.67644,7.92938,99.90801,8.57545,101.94366,8.22543,0.35104,0.00272,0.35118,0.3531,0.3545,0.29043,0.01046,0.28982,0.29696,0.30721,52.47661,NA,0,0,0,0,0.35346,0.35428,0.35534,0.35613,0.30219,0.30584,0.3087,0.31247,0.00203,0.00228,0.00261,0.00242,0.00585,0.0071,0.00689,0.00642,NA
2011-04-08,2011,98,63,hubbardbrook_2011_04_08_120134.jpg,94.95231,109.49972,103.09879,0.35604,0.30874,90.33677,9.73897,104.76682,10.08029,100.40484,8.993,0.35444,0.00277,0.35529,0.35635,0.35702,0.30537,0.01033,0.30872,0.31059,0.31228,53.58435,NA,0,0,0,0,0.3523,0.35314,0.35453,0.35543,0.30571,0.30888,0.3125,0.31664,0.00158,0.00178,0.00203,0.00188,0.00498,0.00613,0.00586,0.00538,NA
2011-04-11,2011,101,70,hubbardbrook_2011_04_11_120133.jpg,87.0284,98.48604,93.27998,0.35326,0.31216,84.97258,9.16698,96.87397,9.90638,91.72467,9.39234,0.35405,0.00272,0.35478,0.35613,0.35689,0.31052,0.00963,0.31198,0.31638,0.32325,54.67125,NA,0,0,0,0,0.35143,0.35229,0.35395,0.35492,0.30886,0.31156,0.31588,0.32036,0.00143,0.00161,0.00184,0.00171,0.00429,0.00533,0.00505,0.0046,NA
2011-04-14,2011,104,65,hubbardbrook_2011_04_14_113132.jpg,95.55944,103.69745,92.93564,0.35489,0.32704,87.4117,8.70685,97.65018,8.76528,92.00646,7.24139,0.35228,0.00404,0.35297,0.35556,0.35691,0.31519,0.01064,0.31856,0.32418,0.32622,55.73587,NA,0,0,0,0,0.35101,0.35188,0.35377,0.3548,0.31163,0.31386,0.31881,0.32363,0.00147,0.00165,0.00189,0.00175,0.00379,0.00471,0.00446,0.00407,NA
2011-04-17,2011,107,60,hubbardbrook_2011_04_17_113136.jpg,78.2757,86.62018,81.15666,0.35204,0.31813,82.93784,8.20779,92.43349,8.33272,87.28592,7.96573,0.35187,0.00467,0.35308,0.35447,0.35613,0.31562,0.01067,0.31544,0.32178,0.32981,56.78382,NA,0,0,0,0,0.35086,0.35175,0.35381,0.35486,0.31399,0.31579,0.3213,0.32643,0.00153,0.00172,0.00197,0.00183,0.00346,0.00428,0.00408,0.00377,NA
2011-04-20,2011,110,52,hubbardbrook_2011_04_20_100131.jpg,83.94037,89.09073,82.58452,0.34853,0.32839,84.09346,9.3092,93.97248,9.233,88.88443,9.03852,0.35203,0.00436,0.35284,0.35507,0.35606,0.31484,0.012,0.31718,0.32391,0.32742,57.82559,NA,0,0,0,0,0.35099,0.35189,0.35406,0.35511,0.31598,0.31738,0.32337,0.32878,0.00159,0.00179,0.00204,0.00189,0.00329,0.00401,0.00388,0.00366,NA
2011-04-23,2011,113,70,hubbardbrook_2011_04_23_120134.jpg,78.71596,96.82406,100.43324,0.35085,0.28523,81.93303,9.83618,93.99496,10.18211,90.74762,11.59829,0.35245,0.00463,0.35303,0.35633,0.35733,0.30738,0.01828,0.31391,0.32274,0.32635,58.83416,NA,0,0,0,0,0.35187,0.35275,0.35503,0.35609,0.3176,0.31866,0.32504,0.33067,0.00163,0.00183,0.00209,0.00194,0.00325,0.00389,0.00382,0.00368,NA
2011-04-26,2011,116,68,hubbardbrook_2011_04_26_120134.jpg,81.51943,90.16936,81.85931,0.35563,0.32151,85.97193,7.59708,94.54593,7.57243,88.00627,7.5573,0.3521,0.00556,0.3532,0.35596,0.35698,0.32004,0.00944,0.3214,0.3253,0.33193,59.7233,NA,0,0,0,0,0.35308,0.35379,0.35617,0.35723,0.3189,0.31965,0.32635,0.33214,0.00157,0.00177,0.00202,0.00188,0.00328,0.00387,0.00387,0.00376,NA
2011-04-29,2011,119,71,hubbardbrook_2011_04_29_120135.jpg,67.42822,75.24284,67.01916,0.35883,0.32156,85.01076,10.09388,93.72298,9.62932,85.68169,9.04202,0.35448,0.0047,0.35506,0.35763,0.35832,0.32115,0.01301,0.32335,0.33034,0.33183,60.75248,NA,0,0,0,0,0.35527,0.35581,0.35831,0.35939,0.31988,0.3204,0.32733,0.3332,0.00163,0.00183,0.00209,0.00194,0.00336,0.00393,0.00396,0.00388,NA
