#
# 3-day product summary time series for hubbardbrooknfws
#
# Site: hubbardbrooknfws
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 43.943943
# Lon: -71.701859
# Elev: 253
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-05-06
# Creation Time: 13:39:11
# Update Date: 2016-06-13
# Update Time: 05:22:31
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:54:13
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-09-28,2012,272,6,hubbardbrooknfws_2012_09_27_141002.jpg,66.09995,49.82592,20.1942,0.36604,0.4856,49.60593,7.85403,42.41417,3.74707,25.52921,7.55299,0.36131,0.01908,0.36438,0.37197,0.37931,0.4216,0.04841,0.41393,0.46672,0.47973,42.93794,NA,0,0,0,0,0.34721,0.34363,0.36292,0.37044,0.46655,0.44421,0.49917,0.49303,0.00603,0.00655,0.00654,0.00568,0.01759,0.01482,0.01542,0.01599,NA
2012-10-01,2012,275,6,hubbardbrooknfws_2012_10_01_111002.jpg,43.60547,34.90717,27.00765,0.33081,0.41324,59.37773,9.10066,42.59394,4.90139,20.76896,3.2248,0.3468,0.0082,0.34987,0.3506,0.35372,0.48155,0.03104,0.4954,0.49884,0.50045,42.18626,NA,0,0,0,0,0.34305,0.34232,0.34955,0.35539,0.45603,0.44005,0.48585,0.49897,0.00451,0.00533,0.00431,0.00375,0.0148,0.01382,0.01298,0.00999,NA
2012-10-04,2012,278,8,hubbardbrooknfws_2012_10_05_071002.jpg,64.7992,40.90418,23.47136,0.31666,0.50164,73.7281,13.43691,46.41763,5.30673,25.32322,5.09232,0.3196,0.00951,0.31663,0.31869,0.32906,0.50464,0.04775,0.5209,0.52818,0.53736,40.68664,NA,0,0,0,0,0.33988,0.3412,0.34053,0.34486,0.44623,0.436,0.47345,0.49492,0.00353,0.00436,0.00354,0.00307,0.01249,0.01287,0.01095,0.009,NA
2012-10-07,2012,281,11,hubbardbrooknfws_2012_10_07_121002.jpg,55.82598,38.22219,22.75571,0.32723,0.47795,54.37624,5.40227,37.69103,3.78591,23.1851,2.62357,0.32707,0.0024,0.32652,0.3285,0.32998,0.47192,0.00596,0.47072,0.4749,0.47799,40.3131,NA,0,0,0,0,0.33775,0.34032,0.33539,0.33843,0.43721,0.43205,0.46205,0.4809,0.00309,0.00369,0.00363,0.00315,0.0107,0.01199,0.00938,0.00963,NA
2012-10-10,2012,284,5,hubbardbrooknfws_2012_10_10_121002.jpg,52.80566,53.30417,48.87357,0.34393,0.34072,50.227,5.28487,44.16404,5.68491,36.38861,9.08536,0.33735,0.00641,0.33973,0.34365,0.34382,0.3875,0.04991,0.3557,0.44662,0.44865,38.4301,NA,0,0,0,0,0.33635,0.33967,0.33338,0.33538,0.42904,0.42821,0.4517,0.46081,0.00305,0.00332,0.00385,0.00334,0.00945,0.01117,0.00829,0.01006,NA
2012-10-13,2012,287,8,hubbardbrooknfws_2012_10_13_121002.jpg,45.08844,36.57436,26.55669,0.33796,0.41664,46.91436,6.53418,36.76037,4.00562,27.84143,2.37603,0.32933,0.0062,0.33045,0.3338,0.33509,0.41927,0.0236,0.4208,0.43455,0.44029,37.72547,NA,0,0,0,0,0.33603,0.33933,0.33655,0.33765,0.42174,0.42449,0.44245,0.43785,0.00316,0.00318,0.00379,0.00329,0.00871,0.01042,0.00764,0.0093,NA
2012-10-16,2012,290,9,hubbardbrooknfws_2012_10_17_081002.jpg,44.83647,37.18216,28.86496,0.33533,0.40436,65.44868,17.94551,56.00245,13.65103,43.37944,9.72442,0.33993,0.00334,0.33876,0.34281,0.34404,0.39455,0.0234,0.4051,0.40798,0.41222,36.5438,NA,0,0,0,0,0.33674,0.33928,0.34135,0.34184,0.41524,0.42089,0.43422,0.41898,0.00327,0.00319,0.00397,0.00345,0.0084,0.00974,0.00736,0.01006,NA
2012-10-19,2012,293,24,hubbardbrooknfws_2012_10_19_121502.jpg,55.77074,56.63725,52.02605,0.34444,0.33917,64.01331,22.62599,58.70074,18.16173,48.92287,15.25211,0.34243,0.00316,0.34296,0.34388,0.34437,0.3702,0.03262,0.36546,0.39691,0.41243,36.01241,NA,0,0,0,0,0.33765,0.33943,0.34318,0.34407,0.40945,0.41741,0.4269,0.41478,0.00335,0.00327,0.00397,0.00345,0.00838,0.00915,0.00735,0.01006,NA
2012-10-22,2012,296,23,hubbardbrooknfws_2012_10_22_111504.jpg,94.42526,79.24106,57.16725,0.34328,0.40906,80.09617,20.20637,68.0296,17.5626,51.11502,14.74581,0.3417,0.00374,0.34217,0.34464,0.34543,0.4024,0.01224,0.40226,0.41223,0.41586,34.95037,NA,0,0,0,0,0.33989,0.33969,0.3442,0.34536,0.40428,0.41406,0.42041,0.4127,0.00333,0.00337,0.00375,0.00326,0.00855,0.00863,0.0075,0.0093,NA
2012-10-25,2012,299,18,hubbardbrooknfws_2012_10_25_121504.jpg,78.24025,65.64655,45.77609,0.34612,0.41252,86.68892,32.57557,73.44703,29.88277,55.94444,26.89241,0.34026,0.00379,0.34097,0.34285,0.34532,0.40527,0.01417,0.40953,0.41419,0.41742,33.9112,NA,0,0,0,0,0.34221,0.33998,0.34481,0.34624,0.39963,0.41085,0.41463,0.41217,0.00345,0.00346,0.00397,0.00345,0.0088,0.0082,0.00771,0.01006,NA
