#
# 3-day product summary time series for hubbardbrooksfws
#
# Site: hubbardbrooksfws
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 43.943943
# Lon: -71.701859
# Elev: 400
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-05-03
# Creation Time: 14:28:13
# Update Date: 2016-06-13
# Update Time: 05:22:33
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-04-13,2012,104,26,hubbardbrooksfws_2012_04_13_121002.jpg,97.09981,83.88822,68.72613,0.33594,0.38884,100.11031,13.74488,89.8289,15.23065,77.59466,17.12677,0.33578,0.001,0.33569,0.33642,0.33729,0.37597,0.01532,0.37898,0.38858,0.38968,55.43117,-9999,0,0,0,0,0.33578,0.33569,NA,NA,0.37597,NA,0.38858,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-14,2012,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33569,0.33558,NA,NA,0.37502,NA,0.3856,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-15,2012,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33558,0.33543,NA,NA,0.37375,NA,0.38162,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-16,2012,107,30,hubbardbrooksfws_2012_04_16_121000.jpg,86.89357,78.85699,70.10598,0.33434,0.36842,88.32056,7.44575,79.35202,5.59975,68.8292,4.08393,0.33552,0.00126,0.33536,0.33662,0.33711,0.37311,0.00874,0.37449,0.37963,0.38119,56.45976,-9999,0,0,0,0,0.33552,0.33536,NA,NA,0.37311,NA,0.37963,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-17,2012,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33548,0.33539,NA,NA,0.37486,NA,0.38325,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-18,2012,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33542,0.33546,NA,NA,0.37812,NA,0.38997,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-19,2012,110,30,hubbardbrooksfws_2012_04_19_111002.jpg,100.79978,85.76144,69.28497,0.33521,0.39399,90.69117,9.66858,80.07295,8.46427,67.99456,8.44469,0.33538,0.00154,0.33549,0.33667,0.33735,0.37987,0.01419,0.38088,0.39359,0.39589,57.46295,-9999,0,0,0,0,0.33538,0.33549,NA,NA,0.37987,NA,0.39359,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-20,2012,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33542,0.33544,NA,NA,0.3711,NA,0.38397,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-21,2012,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33549,0.33534,NA,NA,0.35481,NA,0.36611,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-22,2012,113,31,hubbardbrooksfws_2012_04_22_121000.jpg,81.82433,80.74191,78.01223,0.33562,0.34011,87.86102,14.82474,85.37261,15.19282,81.26868,16.11192,0.33553,0.00086,0.33529,0.336,0.33674,0.34604,0.01152,0.34011,0.35649,0.36291,58.43633,-9999,0,0,0,0,0.33553,0.33529,NA,NA,0.34604,NA,0.35649,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-23,2012,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33605,0.33597,NA,NA,0.35009,NA,0.36028,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-24,2012,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33701,0.33722,NA,NA,0.3576,NA,0.36733,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-25,2012,116,34,hubbardbrooksfws_2012_04_25_121000.jpg,71.46841,66.17145,57.28938,0.33946,0.36664,86.75204,15.76698,80.98055,14.93712,72.18266,14.16877,0.33753,0.00187,0.3379,0.33884,0.33931,0.36165,0.0116,0.3625,0.37112,0.37597,59.37765,-9999,0,0,0,0,0.33753,0.3379,NA,NA,0.36165,NA,0.37112,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-26,2012,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33703,0.3374,NA,NA,0.36428,NA,0.37617,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-27,2012,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33612,0.33648,NA,NA,0.36917,NA,0.38554,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-28,2012,119,33,hubbardbrooksfws_2012_04_28_111002.jpg,97.30598,84.56118,69.48753,0.33642,0.38713,87.49339,12.90121,78.86886,10.44402,68.58027,9.7092,0.33562,0.00185,0.33598,0.33649,0.33713,0.3718,0.02124,0.3841,0.39059,0.39368,60.28732,-9999,0,0,0,0,0.33562,0.33598,NA,NA,0.3718,NA,0.39059,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-29,2012,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33549,0.33568,NA,NA,0.36676,NA,0.38675,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-04-30,2012,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33524,0.33511,NA,NA,0.35741,NA,0.37962,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-05-01,2012,122,35,hubbardbrooksfws_2012_05_01_121000.jpg,95.84316,95.68681,94.57427,0.33445,0.33499,94.67261,15.79414,90.54217,17.28008,85.02954,20.19555,0.33511,0.00134,0.33481,0.33574,0.33726,0.35237,0.02195,0.33667,0.37578,0.38604,61.16354,-9999,0,0,0,0,0.33511,0.33481,NA,NA,0.35237,NA,0.37578,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-05-02,2012,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33509,0.33487,NA,NA,0.35175,NA,0.36957,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-05-03,2012,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33504,0.33499,NA,NA,0.35058,NA,0.35804,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-05-04,2012,125,35,hubbardbrooksfws_2012_05_04_121000.jpg,92.19002,91.37126,89.18996,0.335,0.338,90.24762,11.10503,86.67474,11.60231,81.84877,14.7117,0.33502,0.00118,0.33505,0.33548,0.33697,0.34996,0.02349,0.3369,0.35183,0.39475,61.72658,-9999,0,0,0,0,0.33502,0.33505,NA,NA,0.34996,NA,0.35183,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-05-05,2012,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33542,0.33545,NA,NA,0.35329,NA,0.36172,NA,0,0,NA,NA,0,NA,0,NA,NA
2012-05-06,2012,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33615,0.33618,NA,NA,0.35949,NA,0.3801,NA,0,0,NA,NA,0,NA,0,NA,NA
