#
# 3-day product summary time series for hubbardbrooksfws
#
# Site: hubbardbrooksfws
# Veg Type: DB
# ROI ID Number: 0002
# Lat: 43.943943
# Lon: -71.701859
# Elev: 400
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-05-03
# Creation Time: 14:30:15
# Update Date: 2016-06-13
# Update Time: 05:22:36
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:54:30
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-02-16,2013,47,17,hubbardbrooksfws_2013_02_16_121502.jpg,68.81286,62.29304,53.77101,0.33694,0.37221,58.39435,14.40834,53.24345,12.68267,46.29539,10.60721,0.33712,0.00127,0.33694,0.33829,0.33871,0.36885,0.00823,0.36655,0.37221,0.37683,34.23636,NA,0,0,0,0,0.33605,0.33624,0.33728,0.33859,0.35453,0.35434,0.36463,0.37402,0.00311,0.00327,0.0025,0.00217,0.01076,0.01226,0.01291,0.01296,NA
2013-02-19,2013,50,30,hubbardbrooksfws_2013_02_19_121502.jpg,77.16945,67.21977,54.90468,0.33729,0.38721,66.75874,13.7781,59.87751,11.09704,52.07654,10.31811,0.33494,0.0029,0.33597,0.33701,0.33746,0.3726,0.03032,0.373,0.39645,0.41228,35.29908,NA,0,0,0,0,0.33597,0.33614,0.33723,0.33801,0.35694,0.35683,0.36771,0.37704,0.00252,0.00265,0.00203,0.00139,0.00986,0.01123,0.01173,0.01176,NA
2013-02-22,2013,53,30,hubbardbrooksfws_2013_02_22_121502.jpg,76.80155,65.6676,53.75383,0.33466,0.3914,68.74783,15.25903,63.75545,13.42462,57.42357,12.85433,0.33584,0.00236,0.33577,0.33709,0.33898,0.3613,0.0216,0.35564,0.377,0.39202,36.38563,NA,0,0,0,0,0.3359,0.33606,0.3372,0.33768,0.35926,0.35921,0.37065,0.37992,0.00207,0.00217,0.00166,0.00119,0.00902,0.01028,0.01064,0.01065,NA
2013-02-25,2013,56,28,hubbardbrooksfws_2013_02_25_121500.jpg,98.04085,98.23276,96.31792,0.33573,0.33508,85.38351,18.00029,85.25357,17.67202,83.54598,17.30462,0.33547,9e-04,0.33539,0.33576,0.33623,0.33588,0.00461,0.33484,0.33886,0.3409,37.49111,NA,0,0,0,0,0.33585,0.33599,0.33717,0.3376,0.36146,0.36149,0.37345,0.38265,0.00175,0.00184,0.00141,0.00125,0.00826,0.00941,0.00966,0.00965,NA
2013-02-28,2013,59,25,hubbardbrooksfws_2013_02_28_121502.jpg,72.18491,66.70744,59.1819,0.33678,0.36443,69.07724,16.11597,64.98456,14.97121,59.41979,13.79158,0.33579,0.00166,0.33563,0.33672,0.33745,0.35698,0.01458,0.36377,0.3678,0.36903,38.61402,NA,0,0,0,0,0.3358,0.33593,0.33715,0.33771,0.36357,0.36366,0.37611,0.38524,0.00157,0.00165,0.00126,0.00131,0.00757,0.00862,0.00879,0.00877,NA
2013-03-03,2013,62,27,hubbardbrooksfws_2013_03_03_121502.jpg,85.23087,77.10605,66.97232,0.33625,0.37169,69.23514,17.12995,66.36679,16.84012,61.99795,17.01592,0.33592,0.00202,0.33604,0.33704,0.33891,0.3513,0.01582,0.35115,0.36412,0.36967,39.75155,NA,0,0,0,0,0.33577,0.33588,0.33714,0.33808,0.36556,0.36573,0.37862,0.38769,0.00151,0.00159,0.00121,0.00141,0.00696,0.00792,0.00804,0.00802,NA
2013-03-06,2013,65,25,hubbardbrooksfws_2013_03_06_121502.jpg,62.24712,56.97754,50.80673,0.3351,0.36609,65.69421,16.73142,60.34516,15.88892,53.91029,15.90894,0.33538,0.00176,0.33566,0.33639,0.33744,0.36552,0.01804,0.36531,0.3716,0.39098,40.89901,NA,0,0,0,0,0.33574,0.33586,0.33715,0.3387,0.36745,0.36769,0.381,0.39,0.00152,0.0016,0.00122,0.0013,0.00643,0.00732,0.00741,0.00739,NA
2013-03-09,2013,68,30,hubbardbrooksfws_2013_03_09_121502.jpg,77.9071,63.15545,47.70597,0.33457,0.41271,83.41388,16.6173,72.59268,17.68291,59.58304,17.51427,0.33624,0.00352,0.3361,0.33968,0.34085,0.39004,0.02288,0.39373,0.41212,0.41585,42.05492,NA,0,0,0,0,0.33573,0.33585,0.33717,0.33921,0.36924,0.36954,0.38323,0.39217,0.00155,0.00163,0.00125,0.00141,0.00598,0.00682,0.0069,0.00688,NA
2013-03-12,2013,71,33,hubbardbrooksfws_2013_03_12_121500.jpg,57.81455,57.40252,56.60661,0.33408,0.33648,65.739,13.72085,60.63068,12.4883,54.10471,11.96305,0.33585,0.00226,0.33605,0.33755,0.33838,0.36424,0.02055,0.37369,0.37936,0.38598,43.21561,NA,0,0,0,0,0.33573,0.33585,0.3372,0.33905,0.37091,0.37129,0.38531,0.39419,0.0016,0.00168,0.00129,0.00141,0.00563,0.00641,0.00651,0.0065,NA
2013-03-15,2013,74,32,hubbardbrooksfws_2013_03_15_121502.jpg,76.45826,64.32617,50.28821,0.33666,0.40015,62.6719,15.75457,56.69642,12.42952,49.45351,9.50617,0.33586,0.00258,0.33647,0.33729,0.33906,0.36874,0.02041,0.36886,0.37985,0.40015,44.37805,NA,0,0,0,0,0.33574,0.33587,0.33724,0.33865,0.37248,0.37292,0.38726,0.39607,0.00164,0.00172,0.00132,0.0013,0.00536,0.0061,0.00623,0.00623,NA
