#
# 3-day product summary time series for ibp
#
# Site: ibp
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 32.589
# Lon: -106.847
# Elev: 1325
# UTC Offset: -7
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:38:48
# Update Date: 2016-01-25
# Update Time: 14:38:49
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-05-11,2013,131,35,ibp_2013_05_11_120107.jpg,137.0859,107.12574,69.67706,0.34129,0.43673,123.0783,6.09765,98.95847,4.48777,68.09338,7.30504,0.34109,0.00349,0.34152,0.343,0.34394,0.4246,0.01962,0.42912,0.43745,0.44054,75.46929,-9999,0,0,0,0,NA,0.34152,NA,NA,0.4246,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
2013-05-12,2013,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.34192,NA,NA,0.42515,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
2013-05-13,2013,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.34245,NA,NA,0.42588,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
2013-05-14,2013,134,28,ibp_2013_05_13_180110.jpg,125.1703,100.93862,66.87284,0.34452,0.42723,121.7796,4.30927,97.89147,3.23482,66.09369,3.96969,0.34256,0.00103,0.34271,0.34305,0.3436,0.42624,0.00997,0.42721,0.4311,0.43352,76.43872,-9999,0,0,0,0,NA,0.34271,NA,NA,0.42624,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
2013-05-15,2013,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.34286,NA,NA,0.42598,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
2013-05-16,2013,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.34315,NA,NA,0.4255,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
2013-05-17,2013,137,22,ibp_2013_05_17_120106.jpg,114.3436,90.43446,58.75662,0.34316,0.43388,120.1336,4.78308,97.16867,3.43904,65.46895,7.05411,0.34361,0.00173,0.3433,0.34382,0.34436,0.42524,0.02,0.43063,0.43389,0.43807,76.89122,-9999,0,0,0,0,NA,0.3433,NA,NA,0.42524,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
2013-05-18,2013,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.34328,NA,NA,0.42535,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
2013-05-19,2013,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.34324,NA,NA,0.42556,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
2013-05-20,2013,140,46,ibp_2013_05_19_183113.jpg,124.2453,99.06664,65.90935,0.34253,0.42959,120.5704,2.55572,97.28442,2.95318,65.47134,3.03241,0.34335,0.00085,0.34322,0.34379,0.34435,0.42567,0.00545,0.42643,0.42989,0.43232,77.321,-9999,0,0,0,0,NA,0.34322,NA,NA,0.42567,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
