#
# 3-day product summary time series for ibp
#
# Site: ibp
# Veg Type: GR
# ROI ID Number: 0002
# Lat: 32.589
# Lon: -106.847
# Elev: 1325
# UTC Offset: -7
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:38:53
# Update Date: 2016-06-13
# Update Time: 05:22:51
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:54:54
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2014-02-13,2014,44,3,ibp_2014_02_14_143120.jpg,105.74381,79.70234,48.06505,0.34132,0.45284,109.79736,3.00432,82.86637,2.37179,50.48577,1.92512,0.34082,5e-04,0.341,0.34116,0.34126,0.4516,0.00136,0.45225,0.45255,0.45272,35.0382,NA,0,0,0,0,0.34085,0.34108,0.34149,0.34171,0.45276,0.45407,0.45681,0.46008,0.00192,0.00193,0.00189,0.002,0.00708,0.00662,0.00639,0.00682,NA
2014-02-16,2014,47,31,ibp_2014_02_16_120124.jpg,108.28862,81.98479,48.96427,0.34269,0.45264,110.24519,7.8313,83.27246,7.01709,50.49425,5.70648,0.34125,0.00164,0.34167,0.34257,0.34312,0.45226,0.00686,0.45333,0.45667,0.45961,45.56198,NA,0,0,0,0,0.34118,0.34143,0.34204,0.34235,0.45212,0.45327,0.45636,0.45971,0.00123,0.00124,0.00121,0.00128,0.00646,0.00602,0.00581,0.00618,NA
2014-02-19,2014,50,32,ibp_2014_02_19_120115.jpg,116.17471,87.83344,53.27294,0.34139,0.45155,108.49428,7.3752,81.88842,6.50875,49.71402,5.16897,0.34105,0.00141,0.34125,0.3423,0.34253,0.45228,0.00637,0.45191,0.45596,0.46069,46.60982,NA,0,0,0,0,0.34131,0.34158,0.34233,0.3427,0.45151,0.45251,0.45593,0.45937,0.00105,0.00106,0.00103,0.00109,0.00589,0.00548,0.00528,0.0056,NA
2014-02-22,2014,53,33,ibp_2014_02_22_120110.jpg,108.09578,81.86746,49.25653,0.34223,0.45187,111.51278,9.01727,84.73565,8.2205,51.82851,6.61696,0.34153,0.00086,0.34154,0.34223,0.34272,0.45014,0.00768,0.45071,0.45459,0.46043,47.71073,NA,0,0,0,0,0.34123,0.34152,0.34237,0.34277,0.45093,0.45179,0.45552,0.45904,0.00111,0.00111,0.00109,0.00115,0.00538,0.00498,0.00481,0.00508,NA
2014-02-25,2014,56,34,ibp_2014_02_25_120105.jpg,117.54733,87.6431,53.16958,0.33923,0.45497,109.55868,6.21693,82.72612,5.99693,50.01282,5.77315,0.34142,0.00162,0.34192,0.34254,0.34301,0.45274,0.01039,0.45423,0.46009,0.46478,48.64868,NA,0,0,0,0,0.34099,0.34129,0.34219,0.34261,0.45038,0.45112,0.45513,0.45873,0.00116,0.00117,0.00114,0.00121,0.00492,0.00454,0.00438,0.00461,NA
2014-02-28,2014,59,34,ibp_2014_02_28_120108.jpg,107.04389,81.55803,49.66712,0.34229,0.44926,107.54543,6.93166,81.55883,5.68275,49.9674,4.57397,0.34119,0.00177,0.34172,0.34243,0.34266,0.4501,0.00566,0.44984,0.45383,0.45839,49.93875,NA,0,0,0,0,0.34049,0.34082,0.34174,0.34214,0.44987,0.45048,0.45477,0.45844,0.00113,0.00114,0.00112,0.00118,0.00451,0.00416,0.00401,0.00421,NA
2014-03-03,2014,62,33,ibp_2014_03_03_113504.jpg,116.92661,85.48787,52.40969,0.33548,0.45885,109.90123,8.42334,82.01816,7.02785,50.31212,5.89284,0.33863,0.00195,0.3387,0.34028,0.34082,0.45411,0.00888,0.45508,0.45919,0.46117,51.10997,NA,0,0,0,0,0.33993,0.34028,0.34121,0.34158,0.44939,0.44989,0.45443,0.45816,0.00124,0.00125,0.00122,0.00129,0.00417,0.00384,0.0037,0.00388,NA
2014-03-06,2014,65,36,ibp_2014_03_06_120004.jpg,115.47003,87.71363,54.56354,0.34031,0.448,117.01684,9.26407,90.13645,9.31949,58.05994,11.66413,0.33987,0.00141,0.34013,0.34074,0.3411,0.44268,0.01964,0.44557,0.44878,0.45259,52.24351,NA,0,0,0,0,0.33953,0.33983,0.34075,0.34116,0.44894,0.44934,0.45412,0.4579,0.00115,0.00116,0.00113,0.0012,0.00389,0.00358,0.00345,0.00362,NA
2014-03-09,2014,68,35,ibp_2014_03_09_120003.jpg,101.48072,76.47792,47.0733,0.33985,0.45096,109.62081,9.94038,83.39173,9.14404,52.76025,7.7254,0.33928,0.00179,0.33985,0.34063,0.34099,0.44687,0.00885,0.44914,0.4533,0.45615,53.39899,NA,0,0,0,0,0.33927,0.33952,0.34038,0.34086,0.44853,0.44883,0.45382,0.45765,0.00124,0.00125,0.00122,0.00129,0.00367,0.00338,0.00326,0.00343,NA
2014-03-12,2014,71,35,ibp_2014_03_12_120003.jpg,104.10421,78.06367,47.5942,0.33976,0.4531,106.24669,7.07345,79.88793,6.67967,48.80547,5.57389,0.33999,0.00068,0.33981,0.34043,0.3408,0.45277,0.00705,0.45405,0.4578,0.46064,54.55814,NA,0,0,0,0,0.33934,0.33957,0.34032,0.34089,0.44815,0.44837,0.45354,0.45742,0.00115,0.00116,0.00113,0.0012,0.00351,0.00324,0.00313,0.0033,NA
