#
# 3-day product summary time series for ibp
#
# Site: ibp
# Veg Type: SH
# ROI ID Number: 0001
# Lat: 32.589
# Lon: -106.847
# Elev: 1325
# UTC Offset: -7
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:39:06
# Update Date: 2016-01-25
# Update Time: 14:39:07
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-05-23,2013,143,43,ibp_2013_05_23_120105.jpg,98.743,79.60869,37.93379,0.36807,0.45654,114.50749,14.01241,95.99295,13.89577,50.03692,9.68633,0.36836,0.0013,0.36851,0.36888,0.36924,0.44085,0.01203,0.44228,0.45139,0.45523,78.25863,-9999,0,0,0,0,0.36836,0.36851,NA,NA,0.44085,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-05-24,2013,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36827,0.36831,NA,NA,0.4399,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-05-25,2013,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36816,0.36805,NA,NA,0.43864,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-05-26,2013,146,47,ibp_2013_05_26_120923.jpg,98.64921,80.04755,38.57227,0.36843,0.45404,117.40292,13.62433,98.97339,13.64007,52.44887,9.74249,0.3681,0.00112,0.36792,0.36858,0.36963,0.43801,0.01187,0.44005,0.44729,0.45115,78.80207,-9999,0,0,0,0,0.3681,0.36792,NA,NA,0.43801,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-05-27,2013,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36794,0.3678,NA,NA,0.43777,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-05-28,2013,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36764,0.36757,NA,NA,0.43731,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-05-29,2013,149,48,ibp_2013_05_29_120105.jpg,103.22549,84.4466,43.08713,0.36595,0.44733,113.4573,12.60016,95.75525,13.29283,51.28563,9.92791,0.36748,0.00116,0.36745,0.36801,0.36832,0.43707,0.01296,0.44139,0.4477,0.44979,79.25366,-9999,0,0,0,0,0.36748,0.36745,NA,NA,0.43707,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-05-30,2013,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.368,0.36794,NA,NA,0.4373,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-05-31,2013,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36896,0.36886,NA,NA,0.43773,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-01,2013,152,51,ibp_2013_06_01_120104.jpg,105.33774,86.77942,42.96296,0.36915,0.44809,115.76567,14.50553,98.03809,14.57057,51.47668,10.69799,0.36948,0.00135,0.36935,0.37015,0.37077,0.43796,0.01566,0.44229,0.44984,0.45264,79.64768,-9999,0,0,0,0,0.36948,0.36935,NA,NA,0.43796,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-02,2013,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36911,0.36894,NA,NA,0.43778,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-03,2013,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36843,0.36818,NA,NA,0.43743,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-04,2013,155,49,ibp_2013_06_04_113105.jpg,105.20523,86.20351,43.69193,0.36667,0.44749,118.80142,14.21112,100.38603,14.71084,53.4696,10.4561,0.36806,0.00136,0.36777,0.3685,0.37006,0.43725,0.01128,0.43969,0.44735,0.45009,79.97708,-9999,0,0,0,0,0.36806,0.36777,NA,NA,0.43725,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-05,2013,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36796,0.36773,NA,NA,0.43849,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-06,2013,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36776,0.36766,NA,NA,0.44079,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-07,2013,158,55,ibp_2013_06_07_120105.jpg,100.43399,81.49525,39.90788,0.36737,0.45274,114.56023,9.49557,95.57458,10.32668,49.81336,9.16028,0.36766,0.00189,0.36762,0.36873,0.36961,0.44203,0.01618,0.44719,0.45296,0.45738,80.24655,-9999,0,0,0,0,0.36766,0.36762,NA,NA,0.44203,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-08,2013,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36801,0.36802,NA,NA,0.44346,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-09,2013,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36867,0.36875,NA,NA,0.44613,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-10,2013,161,59,ibp_2013_06_10_120106.jpg,107.03835,87.21509,41.42949,0.37005,0.45416,119.51792,13.42466,98.62411,11.70172,49.1647,7.08647,0.36902,0.00197,0.36915,0.37016,0.37107,0.44756,0.00621,0.44895,0.45262,0.45458,80.45123,-9999,0,0,0,0,0.36902,0.36915,NA,NA,0.44756,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-11,2013,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36929,0.3693,NA,NA,0.4454,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-12,2013,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36981,0.36956,NA,NA,0.4414,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-13,2013,164,58,ibp_2013_06_13_120106.jpg,108.28384,88.38652,43.15976,0.36854,0.4515,115.52543,10.40193,97.70001,10.81313,50.73971,10.81569,0.37008,0.00208,0.36971,0.37146,0.37243,0.43924,0.02442,0.44776,0.45191,0.45562,80.55242,-9999,0,0,0,0,0.37008,0.36971,NA,NA,0.43924,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-14,2013,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36955,0.36925,NA,NA,0.43867,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-15,2013,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36856,0.36838,NA,NA,0.43761,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-16,2013,167,65,ibp_2013_06_16_120104.jpg,113.06703,92.47598,46.20818,0.36733,0.44912,117.61541,9.90109,99.26331,9.71197,52.83109,8.70195,0.36803,0.00168,0.36792,0.36915,0.37042,0.43704,0.018,0.44252,0.45193,0.45461,80.66933,-9999,0,0,0,0,0.36803,0.36792,NA,NA,0.43704,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-17,2013,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36761,0.36755,NA,NA,0.44004,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-18,2013,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36682,0.36685,NA,NA,0.44561,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-19,2013,170,68,ibp_2013_06_19_120107.jpg,111.35096,89.29186,44.27574,0.36458,0.45464,118.90874,12.16513,97.2377,10.96643,49.24478,7.07569,0.3664,0.00273,0.36648,0.36772,0.36975,0.44861,0.00849,0.45062,0.45488,0.45869,80.68591,-9999,0,0,0,0,0.3664,0.36648,NA,NA,0.44861,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-20,2013,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36562,0.36563,NA,NA,0.44694,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
2013-06-21,2013,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36419,0.36404,NA,NA,0.44382,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA
