#
# 3-day product summary time series for imcrkfen
#
# Site: imcrkfen
# Veg Type: TN
# ROI ID Number: 0001
# Lat: 68.60583
# Lon: -149.31101
# Elev: 900
# UTC Offset: -9
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:39:16
# Update Date: 2016-06-13
# Update Time: 05:23:03
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-03-15,2013,74,26,imcrkfen_2013_03_15_120608.jpg,98.36996,99.52721,95.51555,0.33921,0.33526,105.26402,14.02657,107.36533,14.462,104.33106,14.87894,0.3388,0.00076,0.3392,0.33937,0.33952,0.33227,0.00393,0.33396,0.33527,0.33553,20.03662,-9999,0,0,0,0,0.33935,0.33995,0.34062,0.34013,0.33131,0.3305,0.33576,0.33396,9e-04,0.00074,0.00161,0.00165,0.00401,0.00247,0.00615,0.00859,NA
2013-03-16,2013,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33938,0.33995,0.34059,0.34016,0.33139,0.33059,0.33552,0.33402,0.00085,0.00071,0.00155,0.00153,0.00353,0.00243,0.00594,0.00774,NA
2013-03-17,2013,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33941,0.33995,0.34056,0.34019,0.33147,0.33069,0.33529,0.33408,8e-04,0.00069,0.00149,0.00143,0.00312,0.00239,0.00573,0.00698,NA
2013-03-18,2013,77,28,imcrkfen_2013_03_18_120608.jpg,98.20262,100.10404,96.17218,0.33994,0.33348,99.56961,15.30457,102.1975,15.48782,99.12741,15.35431,0.33972,7e-04,0.33984,0.34022,0.34039,0.33084,0.0022,0.33155,0.33258,0.3332,21.21971,-9999,0,0,0,0,0.33944,0.33995,0.34053,0.34022,0.33156,0.33079,0.33506,0.33413,0.00076,0.00066,0.00143,0.00134,0.00278,0.00235,0.00554,0.00631,NA
2013-03-19,2013,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33946,0.33995,0.3405,0.34025,0.33165,0.33088,0.33484,0.33419,0.00072,0.00064,0.00137,0.00125,0.00251,0.00232,0.00534,0.00575,NA
2013-03-20,2013,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33949,0.33996,0.34048,0.34028,0.33175,0.33098,0.33464,0.33425,0.00068,0.00061,0.00132,0.00117,0.00231,0.00228,0.00516,0.00528,NA
2013-03-21,2013,80,31,imcrkfen_2013_03_21_120612.jpg,99.16164,100.3952,95.90252,0.33979,0.33562,100.01837,15.39459,102.57598,15.38359,99.09924,15.03648,0.34008,0.00077,0.34036,0.3405,0.34089,0.33141,0.00191,0.33168,0.33252,0.33316,22.40102,-9999,0,0,0,0,0.33952,0.33996,0.34045,0.34031,0.33184,0.33107,0.33444,0.33431,0.00064,0.00059,0.00127,0.00109,0.00219,0.00224,0.00498,0.00492,NA
2013-03-22,2013,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33954,0.33996,0.34043,0.34034,0.33193,0.33116,0.33425,0.33437,0.00061,0.00057,0.00122,0.00103,0.00212,0.0022,0.00481,0.00466,NA
2013-03-23,2013,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33957,0.33996,0.3404,0.34037,0.33202,0.33125,0.33407,0.33443,0.00058,0.00055,0.00117,0.00097,0.00209,0.00217,0.00465,0.00448,NA
2013-03-24,2013,83,30,imcrkfen_2013_03_24_120608.jpg,97.66833,99.65478,95.62801,0.34018,0.33339,99.48199,14.17226,101.98672,14.12755,98.77857,13.37545,0.33964,0.00161,0.34003,0.34027,0.34044,0.33112,0.00372,0.33195,0.33275,0.3334,23.57778,-9999,0,0,0,0,0.33959,0.33996,0.34038,0.34039,0.33212,0.33134,0.33389,0.33449,0.00055,0.00053,0.00113,0.00092,0.0021,0.00213,0.00449,0.00438,NA
2013-03-25,2013,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33962,0.33996,0.34036,0.34042,0.33221,0.33143,0.33373,0.33455,0.00053,0.00051,0.00109,0.00088,0.00213,0.0021,0.00434,0.00434,NA
2013-03-26,2013,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33964,0.33996,0.34033,0.34045,0.3323,0.33152,0.33358,0.3346,0.00051,0.00049,0.00105,0.00085,0.00217,0.00206,0.0042,0.00435,NA
2013-03-27,2013,86,30,imcrkfen_2013_03_27_120607.jpg,96.83569,98.92597,95.12563,0.34008,0.3329,105.59237,16.80032,107.74102,17.04745,104.07615,17.12156,0.33954,0.00082,0.33973,0.3402,0.34036,0.33274,0.00177,0.33245,0.33438,0.33488,24.74746,-9999,0,0,0,0,0.33966,0.33996,0.34031,0.34047,0.33238,0.33161,0.33344,0.33465,0.00049,0.00047,0.00101,0.00083,0.00222,0.00203,0.00406,0.0044,NA
2013-03-28,2013,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33969,0.33996,0.34028,0.3405,0.33247,0.3317,0.33331,0.3347,0.00047,0.00046,0.00098,0.00081,0.00225,0.002,0.00393,0.00447,NA
2013-03-29,2013,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33971,0.33996,0.34026,0.34052,0.33258,0.33178,0.33318,0.33477,0.00046,0.00044,0.00094,8e-04,0.00228,0.00197,0.00381,0.00453,NA
2013-03-30,2013,89,32,imcrkfen_2013_03_30_120609.jpg,98.77593,99.96926,95.44233,0.33981,0.33576,102.89593,13.31592,105.12816,13.40927,101.42927,13.56371,0.33981,0.00099,0.33999,0.34059,0.34091,0.33254,0.00217,0.33172,0.33481,0.3356,25.90752,-9999,0,0,0,0,0.33973,0.33996,0.34023,0.34055,0.3327,0.33187,0.33307,0.33483,0.00045,0.00043,0.00092,8e-04,0.0023,0.00193,0.0037,0.00459,NA
2013-03-31,2013,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33975,0.33996,0.34021,0.34057,0.33281,0.33195,0.33296,0.3349,0.00044,0.00042,0.00089,0.00079,0.00233,0.0019,0.0036,0.00464,NA
2013-04-01,2013,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33978,0.33996,0.34019,0.34059,0.33291,0.33204,0.33286,0.33497,0.00043,0.00041,0.00086,0.00079,0.00236,0.00187,0.0035,0.00469,NA
2013-04-02,2013,92,35,imcrkfen_2013_04_02_120612.jpg,95.81921,97.72957,93.20534,0.34081,0.33415,99.17213,12.51778,100.77303,12.5235,96.81292,12.41698,0.33965,0.00081,0.33976,0.34017,0.34057,0.33416,0.00159,0.33422,0.33523,0.33557,27.05559,-9999,0,0,0,0,0.3398,0.33996,0.34017,0.34061,0.33299,0.33212,0.33277,0.33503,0.00043,4e-04,0.00084,8e-04,0.00238,0.00184,0.00341,0.00474,NA
2013-04-03,2013,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33982,0.33996,0.34015,0.34063,0.33305,0.3322,0.33268,0.33509,0.00043,0.00039,0.00082,8e-04,0.00235,0.00181,0.00332,0.00479,NA
2013-04-04,2013,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33984,0.33996,0.34013,0.34065,0.33312,0.33228,0.33261,0.33513,0.00043,0.00038,0.00081,0.00081,0.00235,0.00179,0.00325,0.00482,NA
2013-04-05,2013,95,37,imcrkfen_2013_04_05_120608.jpg,97.502,99.31569,94.87237,0.34048,0.33427,101.20138,15.16154,103.21829,15.26865,99.47012,15.24992,0.33974,0.00088,0.33999,0.34034,0.34049,0.33302,0.00215,0.33373,0.33446,0.33515,28.18876,-9999,0,0,0,0,0.33986,0.33996,0.34011,0.34067,0.33317,0.33236,0.33254,0.33516,0.00043,0.00037,0.00079,0.00082,0.00238,0.00176,0.00318,0.00484,NA
2013-04-06,2013,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33988,0.33996,0.3401,0.34069,0.3332,0.33244,0.33248,0.33518,0.00043,0.00036,0.00078,0.00083,0.00235,0.00173,0.00312,0.00482,NA
2013-04-07,2013,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3399,0.33997,0.34008,0.34071,0.33322,0.33252,0.33243,0.33521,0.00043,0.00036,0.00077,0.00084,0.0023,0.0017,0.00306,0.00479,NA
2013-04-08,2013,98,33,imcrkfen_2013_04_08_120607.jpg,96.43557,98.41534,93.86422,0.34087,0.33402,102.65511,14.04952,104.89127,14.14978,101.09631,14.28363,0.33994,0.00092,0.3403,0.34054,0.34078,0.33263,0.00159,0.33297,0.33363,0.33456,29.30465,-9999,0,0,0,0,0.33992,0.33997,0.34007,0.34073,0.33323,0.33259,0.33239,0.33523,0.00043,0.00035,0.00076,0.00084,0.00227,0.00168,0.00301,0.00482,NA
2013-04-09,2013,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33994,0.33997,0.34006,0.34075,0.33322,0.33267,0.33236,0.33523,0.00044,0.00035,0.00076,0.00085,0.0023,0.00165,0.00297,0.00492,NA
