#
# 3-day product summary time series for imcrkridge0
#
# Site: imcrkridge0
# Veg Type: TN
# ROI ID Number: 0001
# Lat: 68.60681
# Lon: -149.2958
# Elev: 951
# UTC Offset: -9
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:39:21
# Update Date: 2016-06-13
# Update Time: 05:23:05
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:56:28
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-08-29,2012,242,30,imcrkridge0_2012_08_29_120609.jpg,67.48256,72.3723,67.02491,0.34983,0.32619,74.34874,26.77927,77.29527,28.82099,71.26963,28.49462,0.34692,0.00361,0.34715,0.34891,0.3513,0.33773,0.02323,0.32694,0.34658,0.37797,30.71718,NA,0,0,0,0,0.34694,0.34766,0.34805,0.351,0.34359,0.33607,0.35491,0.36935,0.00399,0.00425,0.00344,0.00407,0.01094,0.01141,0.0153,0.0125,NA
2012-09-01,2012,245,18,imcrkridge0_2012_09_01_070609.jpg,41.50044,38.60088,31.06552,0.34723,0.37332,82.56396,28.66856,87.15724,33.16388,81.006,34.07366,0.3478,0.002,0.34765,0.3493,0.35036,0.33767,0.0243,0.32372,0.36223,0.37758,29.08427,NA,0,0,0,0,0.34653,0.34736,0.34858,0.35105,0.34216,0.33494,0.35371,0.36767,0.00321,0.00334,0.0029,0.00327,0.01,0.01048,0.01374,0.01205,NA
2012-09-04,2012,248,21,imcrkridge0_2012_09_04_110606.jpg,39.19987,34.86433,30.16352,0.3345,0.3761,63.80041,25.34115,64.22854,30.39331,58.76372,30.2267,0.34151,0.00958,0.34553,0.34758,0.3503,0.35065,0.02773,0.35157,0.37366,0.3928,28.53705,NA,0,0,0,0,0.3462,0.34713,0.34907,0.35111,0.34076,0.33384,0.3525,0.36603,0.00261,0.00269,0.00244,0.00267,0.00914,0.00961,0.01236,0.01163,NA
2012-09-07,2012,251,28,imcrkridge0_2012_09_07_120608.jpg,112.57769,120.54174,114.82524,0.34644,0.32355,94.28225,23.19831,100.92455,26.85429,94.75913,27.83674,0.34803,0.00263,0.34795,0.34978,0.3504,0.3291,0.02199,0.32229,0.32396,0.35946,27.04266,NA,0,0,0,0,0.34597,0.34696,0.34954,0.35116,0.33939,0.33277,0.35127,0.36443,0.00221,0.00228,0.00209,0.00226,0.00834,0.0088,0.01116,0.01122,NA
2012-09-10,2012,254,36,imcrkridge0_2012_09_10_120609.jpg,71.53984,77.64685,75.28564,0.34591,0.3187,84.68866,21.7738,92.31402,20.93931,88.16003,18.5976,0.34823,0.00349,0.34869,0.35067,0.35198,0.31789,0.01456,0.32054,0.32577,0.32847,26.28511,NA,0,0,0,0,0.34583,0.34686,0.34997,0.35124,0.33803,0.33172,0.35003,0.36286,0.002,0.0021,0.00185,0.00204,0.00762,0.00805,0.01015,0.01084,NA
2012-09-13,2012,257,33,imcrkridge0_2012_09_13_120606.jpg,78.79182,81.16967,75.14287,0.34525,0.33514,63.09426,13.77258,67.784,15.05657,63.34184,14.9337,0.3493,0.00351,0.34927,0.35235,0.3531,0.32538,0.00596,0.32556,0.32847,0.33459,25.13827,NA,0,0,0,0,0.34576,0.34682,0.35036,0.35134,0.3367,0.33071,0.34876,0.36132,0.00194,0.00209,0.00171,0.00198,0.00698,0.00738,0.0093,0.01048,NA
2012-09-16,2012,260,19,imcrkridge0_2012_09_16_110609.jpg,36.56316,38.28201,35.09944,0.34819,0.33256,49.05576,8.88035,51.05768,9.026,47.09209,8.86448,0.34711,0.00854,0.35026,0.35235,0.3532,0.33334,0.01306,0.3303,0.33583,0.35197,23.98099,NA,0,0,0,0,0.34579,0.34684,0.35072,0.35147,0.33539,0.32972,0.34746,0.35982,0.00197,0.00215,0.00167,0.00201,0.00643,0.00679,0.00862,0.01014,NA
2012-09-19,2012,263,10,imcrkridge0_2012_09_18_160607.jpg,37.45472,35.94077,28.57031,0.35248,0.36733,48.91174,5.06316,43.00599,3.48273,36.13782,5.58765,0.33672,0.01065,0.33597,0.34601,0.35081,0.38213,0.01595,0.37326,0.39851,0.40361,22.44965,NA,0,0,0,0,0.3459,0.34692,0.35104,0.3516,0.33411,0.32877,0.34616,0.35836,0.00202,0.00222,0.00169,0.00207,0.00598,0.00631,0.00808,0.00983,NA
2012-09-22,2012,266,22,imcrkridge0_2012_09_22_120606.jpg,108.73729,111.97157,103.79055,0.34506,0.33509,83.1634,24.50629,86.69648,28.78949,80.19871,29.37237,0.34591,0.00488,0.34779,0.34939,0.34971,0.33949,0.03244,0.32554,0.3456,0.39112,21.64603,NA,0,0,0,0,0.34608,0.34706,0.35133,0.35179,0.33285,0.32784,0.34485,0.35693,0.00209,0.00228,0.00174,0.00213,0.00563,0.00593,0.00769,0.00954,NA
2012-09-25,2012,269,22,imcrkridge0_2012_09_25_120606.jpg,52.53071,45.07236,36.0208,0.33731,0.39312,51.67557,11.26116,50.24809,14.19761,43.23245,15.26526,0.34563,0.00835,0.3483,0.35368,0.35492,0.36086,0.03412,0.35063,0.39654,0.40696,20.47367,NA,0,0,0,0,0.34632,0.3472,0.35157,0.35198,0.33162,0.32694,0.34354,0.35554,0.00212,0.00231,0.00179,0.00217,0.00539,0.00567,0.00743,0.00928,NA
2012-09-28,2012,272,28,imcrkridge0_2012_09_28_120609.jpg,100.58181,109.37451,105.06983,0.34719,0.31928,89.00862,13.79099,97.88172,14.03446,93.17414,13.82554,0.34976,0.0028,0.34936,0.35207,0.35364,0.31754,0.00458,0.31843,0.32014,0.32134,19.30196,NA,0,0,0,0,0.34664,0.34741,0.35177,0.3522,0.33043,0.32607,0.34226,0.35419,0.00215,0.00238,0.00184,0.0022,0.00527,0.00553,0.00731,0.00905,NA
2012-10-01,2012,275,27,imcrkridge0_2012_10_01_120606.jpg,109.8685,107.36774,93.17086,0.34589,0.35395,91.34243,18.009,96.6917,16.60597,90.01112,14.90189,0.34783,0.00415,0.34813,0.35013,0.35225,0.32746,0.01866,0.319,0.35051,0.35406,18.13268,NA,0,0,0,0,0.34723,0.34789,0.35193,0.3527,0.32926,0.32523,0.34098,0.35287,0.00211,0.0023,0.00186,0.00216,0.00525,0.00551,0.00731,0.00883,NA
2012-10-04,2012,278,20,imcrkridge0_2012_10_04_120609.jpg,82.8101,89.68007,82.9345,0.3511,0.32421,79.51346,20.15611,85.29202,22.26,80.03251,21.83589,0.34834,0.00411,0.34952,0.3511,0.35229,0.32611,0.01196,0.32373,0.33275,0.33978,16.96912,NA,0,0,0,0,0.34802,0.34856,0.35205,0.35336,0.32813,0.32442,0.3397,0.35159,0.00211,0.0023,0.00186,0.00216,0.00534,0.0056,0.00739,0.00865,NA
2012-10-07,2012,281,19,imcrkridge0_2012_10_07_100615.jpg,51.17458,47.48077,43.89256,0.33309,0.359,66.52031,24.01727,70.13432,27.20758,64.76256,27.01162,0.34796,0.00504,0.34921,0.35142,0.35243,0.33383,0.02205,0.32454,0.34058,0.36633,15.81455,NA,0,0,0,0,0.34864,0.34912,0.35213,0.35386,0.32702,0.32363,0.33843,0.35034,0.00215,0.00238,0.00184,0.0022,0.0055,0.00578,0.00756,0.00849,NA
2012-10-10,2012,284,24,imcrkridge0_2012_10_10_120610.jpg,126.10685,120.53103,104.09333,0.34366,0.35955,93.25423,23.43279,98.02563,19.3494,90.3732,15.81128,0.34837,0.00313,0.34801,0.35019,0.35283,0.32841,0.02218,0.3189,0.35353,0.35758,14.66985,NA,0,0,0,0,0.34918,0.34964,0.35217,0.35433,0.32595,0.32288,0.33717,0.34913,0.00212,0.00233,0.00179,0.00217,0.00574,0.00603,0.0078,0.00835,NA
2012-10-13,2012,287,20,imcrkridge0_2012_10_13_120608.jpg,120.44621,130.41638,125.77747,0.34626,0.31979,94.40731,15.34546,104.41018,15.44156,100.26212,15.02676,0.34938,0.00233,0.34914,0.35116,0.35245,0.31522,0.00439,0.31564,0.31814,0.32008,13.54033,NA,0,0,0,0,0.34976,0.35021,0.35216,0.35486,0.32491,0.32215,0.33593,0.34795,0.00209,0.00227,0.00174,0.00213,0.00603,0.00634,0.00812,0.00824,NA
2012-10-16,2012,290,18,imcrkridge0_2012_10_16_120608.jpg,92.50108,104.21863,101.09321,0.34995,0.3106,89.3656,13.25588,99.32753,13.64843,94.9424,14.08607,0.35051,0.00271,0.35057,0.35242,0.35376,0.31491,0.00602,0.3142,0.31568,0.31848,12.42802,NA,0,0,0,0,0.35011,0.35048,0.35211,0.35509,0.3239,0.32145,0.33472,0.34681,0.00203,0.00223,0.00169,0.00207,0.00635,0.00669,0.00851,0.00815,NA
2012-10-19,2012,293,16,imcrkridge0_2012_10_19_120605.jpg,92.21014,95.66564,85.5391,0.34989,0.33725,88.60897,18.7027,95.29072,17.86252,88.83367,17.33296,0.34985,0.00372,0.34993,0.35198,0.35347,0.32391,0.01711,0.32195,0.33885,0.34178,11.33674,NA,0,0,0,0,0.35023,0.35045,0.35201,0.35502,0.32291,0.32078,0.33353,0.34571,0.00196,0.00215,0.00167,0.002,0.0067,0.00707,0.00894,0.00808,NA
2012-10-22,2012,296,11,imcrkridge0_2012_10_22_120608.jpg,75.08809,79.56073,74.18709,0.34768,0.32813,83.06452,26.327,91.1221,19.3398,85.25779,14.62726,0.35249,0.00707,0.35309,0.35763,0.36143,0.31485,0.02885,0.31086,0.34058,0.35017,10.26867,NA,0,0,0,0,0.35026,0.3503,0.35186,0.35484,0.32194,0.32012,0.33235,0.34464,0.00194,0.00209,0.00171,0.00198,0.00707,0.00746,0.00941,0.00803,NA
2012-10-25,2012,299,11,imcrkridge0_2012_10_25_120605.jpg,69.7672,85.15647,83.97887,0.35645,0.29203,78.59606,14.61287,93.32977,14.99309,90.3801,15.00582,0.35602,0.0075,0.3529,0.35604,0.36872,0.29933,0.02175,0.30926,0.31322,0.3165,9.22878,NA,0,0,0,0,0.35013,0.34996,0.35167,0.35448,0.321,0.31948,0.33118,0.34361,0.002,0.0021,0.00185,0.00204,0.00745,0.00786,0.00992,0.00801,NA
2012-10-28,2012,302,12,imcrkridge0_2012_10_28_120606.jpg,93.43129,105.03803,101.32213,0.35037,0.31165,99.96103,13.60707,111.32898,14.03381,106.97623,14.03076,0.35,0.00159,0.35002,0.3514,0.35167,0.3139,0.00437,0.31401,0.31658,0.31815,8.21956,NA,0,0,0,0,0.34985,0.34944,0.35143,0.35394,0.3201,0.31888,0.33005,0.34261,0.00221,0.00228,0.00209,0.00226,0.00783,0.00826,0.01046,0.008,NA
