#
# 3-day product summary time series for imcrktussock
#
# Site: imcrktussock
# Veg Type: TN
# ROI ID Number: 0001
# Lat: 68.60633
# Lon: -149.30408
# Elev: 918
# UTC Offset: -9
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:39:33
# Update Date: 2016-06-13
# Update Time: 05:23:10
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-07-09,2012,191,9,imcrktussock_2012_07_10_145409.jpg,98.23189,101.43214,96.97433,0.34194,0.33115,100.28342,5.37329,103.36125,5.29247,98.87227,5.18801,0.34169,0.00064,0.3419,0.34206,0.3422,0.33148,0.00132,0.33163,0.33208,0.33294,40.46717,-9999,0,0,0,0,0.34185,0.34256,0.34298,0.34415,0.33044,0.33114,0.32932,0.32839,0.00169,0.00149,0.00124,0.0015,0.00399,0.00415,0.00554,0.00789,NA
2012-07-10,2012,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34195,0.34243,0.34288,0.34407,0.33083,0.3314,0.32984,0.32922,0.00148,0.00145,0.0012,0.00145,0.00386,0.00402,0.0053,0.00763,NA
2012-07-11,2012,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34204,0.3423,0.34278,0.34399,0.33122,0.33166,0.33035,0.33003,0.00131,0.0014,0.00117,0.0014,0.00374,0.0039,0.00507,0.00739,NA
2012-07-12,2012,194,57,imcrktussock_2012_07_12_120609.jpg,95.70713,98.79656,94.37116,0.342,0.33131,99.70483,6.93561,102.6379,6.94428,97.5335,7.15742,0.34231,0.00161,0.34209,0.3428,0.34351,0.3325,0.00347,0.33292,0.33372,0.33483,43.35539,-9999,0,0,0,0,0.34212,0.34217,0.34269,0.34391,0.33159,0.33191,0.33086,0.33083,0.00116,0.00136,0.00113,0.00136,0.00362,0.00378,0.00485,0.00715,NA
2012-07-13,2012,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34219,0.34204,0.34259,0.34383,0.33196,0.33215,0.33135,0.33162,0.00105,0.00131,0.00109,0.00131,0.0035,0.00366,0.00464,0.00692,NA
2012-07-14,2012,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34225,0.34191,0.3425,0.34375,0.33233,0.33239,0.33184,0.33239,0.00098,0.00127,0.00106,0.00127,0.00339,0.00355,0.00444,0.0067,NA
2012-07-15,2012,197,53,imcrktussock_2012_07_15_120611.jpg,110.52488,112.10862,102.65774,0.34464,0.33977,100.12124,5.0255,102.78311,4.78457,97.5308,4.07263,0.3421,0.00137,0.3421,0.34275,0.34353,0.33319,0.00288,0.33333,0.33405,0.33469,42.90896,-9999,0,0,0,0,0.3423,0.34179,0.34241,0.34368,0.33268,0.33263,0.33231,0.33315,0.00093,0.00123,0.00102,0.00123,0.00328,0.00344,0.00425,0.00649,NA
2012-07-16,2012,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34235,0.34166,0.34232,0.3436,0.33303,0.33286,0.33278,0.33389,9e-04,0.00119,0.00099,0.00119,0.00318,0.00334,0.00407,0.00628,NA
2012-07-17,2012,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34239,0.34154,0.34223,0.34353,0.33337,0.33309,0.33325,0.33462,0.00089,0.00115,0.00096,0.00115,0.00308,0.00324,0.0039,0.00608,NA
2012-07-18,2012,200,53,imcrktussock_2012_07_18_120609.jpg,103.42815,105.86072,100.39494,0.34183,0.33398,100.15099,4.99506,102.56756,4.82667,96.50604,6.30819,0.34286,0.0033,0.34227,0.34319,0.34423,0.33479,0.00636,0.33332,0.33434,0.33559,42.2281,-9999,0,0,0,0,0.34242,0.34142,0.34214,0.34345,0.3337,0.33331,0.3337,0.33533,0.00089,0.00112,0.00093,0.00112,0.00298,0.00314,0.00375,0.00589,NA
