#
# 3-day product summary time series for jasperridge
#
# Site: jasperridge
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 37.402028
# Lon: -122.22104
# Elev: 197
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:40:39
# Update Date: 2016-06-13
# Update Time: 05:23:47
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:58:15
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-04-01,2012,92,43,jasperridge_2012_04_01_113104.jpg,116.8863,96.61225,64.61668,0.34738,0.42028,114.8034,4.14428,93.57675,4.88523,61.77633,3.49857,0.34623,0.00407,0.34744,0.34842,0.34916,0.42518,0.00786,0.42432,0.42804,0.4317,57.92136,NA,0,0,0,0,0.34315,0.34542,0.34584,0.34652,0.42763,0.42726,0.43295,0.43757,0.00497,0.00209,0.00226,0.0025,0.00666,0.0055,0.01036,0.01263,NA
2012-04-04,2012,95,68,jasperridge_2012_04_04_120105.jpg,117.87805,96.21119,64.2847,0.34562,0.42345,115.6253,6.11392,92.82975,5.60277,62.22605,3.62733,0.34291,0.01512,0.34612,0.34749,0.34826,0.42727,0.01747,0.42635,0.42867,0.434,58.97785,NA,0,0,0,0,0.34473,0.34644,0.34804,0.34909,0.42781,0.42741,0.43288,0.43807,0.00395,0.00142,0.00159,0.00177,0.00569,0.0045,0.00933,0.0117,NA
2012-04-07,2012,98,68,jasperridge_2012_04_07_120106.jpg,119.23525,95.07921,62.28829,0.34374,0.43107,117.4176,5.81427,92.28855,5.00726,61.01523,3.27918,0.34088,0.0152,0.34431,0.34501,0.34525,0.43376,0.01831,0.4321,0.4372,0.44289,60.19146,NA,0,0,0,0,0.34596,0.3476,0.34995,0.35128,0.428,0.42758,0.43286,0.43859,0.0032,0.00113,0.00124,0.00138,0.00486,0.00371,0.0084,0.01084,NA
2012-04-10,2012,101,70,jasperridge_2012_04_10_120107.jpg,117.81874,94.20239,52.22119,0.3565,0.44587,113.5469,8.67929,91.42596,6.97183,57.65517,7.32279,0.34795,0.00854,0.3483,0.35422,0.35708,0.43256,0.01981,0.4347,0.44222,0.45437,61.29752,NA,0,0,0,0,0.34685,0.34883,0.35156,0.35307,0.42821,0.42776,0.43288,0.43912,0.00271,0.00112,0.00116,0.00129,0.0042,0.00314,0.00757,0.01003,NA
2012-04-13,2012,104,69,jasperridge_2012_04_13_120105.jpg,107.71681,95.82742,70.7437,0.34937,0.39271,116.7026,10.84581,93.65496,6.14772,62.32674,6.13372,0.34398,0.02565,0.34908,0.35072,0.35411,0.42761,0.03066,0.4263,0.43258,0.4488,62.32177,NA,0,0,0,0,0.34746,0.34993,0.35275,0.35437,0.42843,0.42796,0.43295,0.43966,0.00247,0.00119,0.00121,0.00134,0.00371,0.0028,0.00684,0.0093,NA
2012-04-16,2012,107,70,jasperridge_2012_04_16_120105.jpg,118.63138,97.34889,63.49426,0.34833,0.42448,115.7823,3.69385,94.54095,3.67032,60.44755,3.67296,0.3491,0.00354,0.35001,0.35109,0.35219,0.42775,0.01009,0.42759,0.43104,0.4342,63.38955,NA,0,0,0,0,0.34776,0.35141,0.35365,0.35531,0.42868,0.42818,0.43305,0.44022,0.00243,0.00123,0.00126,0.0014,0.00338,0.00266,0.00622,0.00863,NA
2012-04-19,2012,110,71,jasperridge_2012_04_19_120104.jpg,117.38446,97.83783,63.87068,0.35056,0.42059,115.1816,3.77186,94.99851,4.27129,59.98905,3.38563,0.35152,0.00436,0.35226,0.35435,0.35566,0.4265,0.00928,0.42479,0.43047,0.4375,64.42919,NA,0,0,0,0,0.34776,0.35262,0.35405,0.3557,0.42894,0.42841,0.4332,0.4408,0.00247,0.00131,0.00129,0.00143,0.0032,0.00265,0.00573,0.00803,NA
2012-04-22,2012,113,70,jasperridge_2012_04_22_120105.jpg,116.01372,97.55264,63.65134,0.3519,0.41849,113.5362,5.73715,95.44632,4.74913,61.16948,5.81227,0.35317,0.00465,0.35383,0.35592,0.35654,0.42058,0.01992,0.42253,0.42854,0.43379,65.43842,NA,0,0,0,0,0.3475,0.35252,0.35376,0.35524,0.42923,0.42863,0.43338,0.4414,0.00255,0.00123,0.00128,0.00142,0.00314,0.00271,0.00534,0.00751,NA
2012-04-25,2012,116,69,jasperridge_2012_04_25_120105.jpg,113.41796,96.09751,59.81051,0.35681,0.42112,114.0578,3.79716,95.3453,2.43203,60.47903,4.42547,0.35329,0.00516,0.35472,0.35655,0.35801,0.42274,0.0145,0.42566,0.4293,0.43231,66.41497,NA,0,0,0,0,0.34706,0.35154,0.35285,0.35414,0.42952,0.42886,0.43361,0.44202,0.00263,0.00131,0.00136,0.00151,0.00316,0.0028,0.00507,0.00706,NA
2012-04-28,2012,119,68,jasperridge_2012_04_28_120105.jpg,118.0683,96.91567,64.81877,0.34637,0.42197,117.4788,1.90511,94.01044,3.88283,59.9339,3.49913,0.34625,0.00455,0.34745,0.34923,0.35051,0.4331,0.01059,0.43033,0.43807,0.44865,67.04621,NA,0,0,0,0,0.34614,0.34883,0.35057,0.35193,0.42983,0.42908,0.43388,0.44266,0.00264,0.00123,0.0013,0.00145,0.00323,0.00286,0.00489,0.00668,NA
2012-05-01,2012,122,70,jasperridge_2012_05_01_120106.jpg,118.67537,95.23789,64.06943,0.3426,0.42692,117.3419,3.11793,93.46513,3.89952,60.64367,3.64412,0.34426,0.00472,0.34529,0.34687,0.34911,0.4325,0.00952,0.42971,0.43514,0.44027,68.25898,NA,0,0,0,0,0.34466,0.34569,0.34794,0.34941,0.43014,0.42932,0.43419,0.44332,0.00265,0.00131,0.00136,0.00151,0.00329,0.00291,0.0048,0.00637,NA
2012-05-04,2012,125,73,jasperridge_2012_05_04_120104.jpg,119.88526,96.23558,67.18611,0.33969,0.42316,118.634,3.17294,93.3386,3.69406,62.08436,4.69939,0.34048,0.0056,0.34138,0.34453,0.34602,0.43319,0.0158,0.43142,0.43847,0.45093,69.12222,NA,0,0,0,0,0.34298,0.34296,0.3453,0.34677,0.43047,0.42957,0.43454,0.44399,0.00275,0.00123,0.0013,0.00145,0.00336,0.00298,0.00477,0.00613,NA
2012-05-07,2012,128,76,jasperridge_2012_05_07_120105.jpg,120.66274,96.14806,66.57124,0.33929,0.4258,119.7059,2.68945,92.776,4.96621,61.38769,4.07503,0.33857,0.00532,0.34051,0.34167,0.34284,0.43751,0.01102,0.43481,0.442,0.45111,69.94707,NA,0,0,0,0,0.34145,0.34053,0.34275,0.34422,0.43084,0.42983,0.43494,0.44468,0.00283,0.00131,0.00136,0.00151,0.00342,0.00302,0.00478,0.00595,NA
