#
# 3-day product summary time series for jernort
#
# Site: jernort
# Veg Type: SH
# ROI ID Number: 0001
# Lat: 32.619
# Lon: -106.788
# Elev: 1328
# UTC Offset: -7
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:40:56
# Update Date: 2016-06-13
# Update Time: 05:23:54
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:59:29
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2014-03-03,2014,62,4,jernort_2014_03_04_140019.jpg,119.28635,79.93211,51.12608,0.31929,0.47649,118.11643,1.17727,79.76676,0.36818,51.37308,0.3057,0.32002,0.00112,0.31986,0.32073,0.32128,0.47387,0.00281,0.47424,0.47655,0.47666,44.29156,NA,0,0,0,0,0.32329,0.32305,0.32422,0.32542,0.46304,0.46516,0.4694,0.47225,0.00174,0.00173,0.00192,0.00214,0.0051,0.00482,0.0044,0.0044,NA
2014-03-06,2014,65,36,jernort_2014_03_06_120003.jpg,120.9036,82.58342,52.14216,0.32306,0.47296,116.39631,7.12271,82.54242,5.57289,55.91344,10.79388,0.32376,0.0027,0.32301,0.32423,0.32581,0.45796,0.03168,0.46678,0.47126,0.47527,52.20945,NA,0,0,0,0,0.32277,0.32257,0.3237,0.32488,0.46354,0.46568,0.46997,0.47282,0.00147,0.00147,0.00163,0.00181,0.00481,0.00455,0.00412,0.0041,NA
2014-03-09,2014,68,36,jernort_2014_03_09_120003.jpg,107.9242,73.75989,47.19495,0.32227,0.47153,111.94032,5.34678,78.10641,3.84525,51.96822,3.75261,0.32274,0.00204,0.32254,0.32387,0.32538,0.46266,0.00952,0.46438,0.46927,0.47285,53.36456,NA,0,0,0,0,0.32234,0.32217,0.32327,0.32443,0.46401,0.46617,0.47051,0.47336,0.00124,0.00124,0.00138,0.00154,0.00454,0.0043,0.00387,0.00381,NA
2014-03-12,2014,71,35,jernort_2014_03_12_120004.jpg,107.0319,71.82462,45.19041,0.32058,0.47772,110.60851,4.45749,76.58988,3.70383,49.9715,3.53719,0.32289,0.00186,0.32276,0.32368,0.32551,0.46657,0.00933,0.46878,0.47387,0.47631,54.52364,NA,0,0,0,0,0.32201,0.32186,0.32293,0.32408,0.46445,0.46665,0.47103,0.47389,0.00107,0.00106,0.00118,0.00132,0.00429,0.00405,0.00363,0.00355,NA
2014-03-15,2014,74,36,jernort_2014_03_15_120002.jpg,114.05206,76.46589,49.42153,0.31869,0.47534,116.73356,5.8409,80.52922,4.16301,53.03294,3.18354,0.32171,0.00226,0.32225,0.32358,0.32422,0.46644,0.00753,0.46687,0.47161,0.47517,55.68374,NA,0,0,0,0,0.32176,0.32163,0.32267,0.32381,0.46488,0.4671,0.47153,0.47439,0.00094,0.00094,0.00104,0.00116,0.00405,0.00383,0.0034,0.00331,NA
2014-03-18,2014,77,36,jernort_2014_03_18_120003.jpg,121.18241,82.96945,52.83006,0.32286,0.47156,115.95221,4.68114,79.96835,3.41429,52.00219,3.12545,0.32253,0.00147,0.32251,0.3232,0.3245,0.46778,0.00894,0.46952,0.47287,0.47897,56.84531,NA,0,0,0,0,0.32159,0.32147,0.3225,0.32364,0.46528,0.46752,0.47201,0.47489,0.00086,0.00086,0.00096,0.00107,0.00382,0.00362,0.0032,0.0031,NA
2014-03-21,2014,80,36,jernort_2014_03_21_120003.jpg,105.95168,71.06417,44.1155,0.32137,0.47913,117.33553,6.13773,81.04904,5.14022,52.58057,4.3775,0.32289,0.00134,0.32267,0.32389,0.32457,0.46781,0.0082,0.46974,0.4739,0.47783,58.04541,NA,0,0,0,0,0.32152,0.32141,0.32242,0.32356,0.46566,0.46793,0.47247,0.47538,0.00083,0.00083,0.00092,0.00103,0.00362,0.00342,0.00301,0.0029,NA
2014-03-24,2014,83,36,jernort_2014_03_24_120003.jpg,121.85233,84.38891,54.1921,0.32403,0.46788,115.8983,5.46708,80.14899,4.42799,52.18614,3.40483,0.32282,0.00154,0.32284,0.32381,0.32459,0.46704,0.00608,0.46734,0.47153,0.47396,59.2426,NA,0,0,0,0,0.32154,0.32143,0.32244,0.32359,0.46602,0.46832,0.47292,0.47586,0.00084,0.00084,0.00093,0.00104,0.00343,0.00324,0.00285,0.00274,NA
2014-03-27,2014,86,36,jernort_2014_03_27_120003.jpg,113.63647,77.30486,49.73198,0.3212,0.47216,112.82575,5.60922,78.31996,4.16023,51.85612,3.72421,0.32227,0.00184,0.32214,0.32336,0.32521,0.46443,0.01002,0.46695,0.4723,0.47516,60.43228,NA,0,0,0,0,0.32167,0.32156,0.32256,0.32373,0.46637,0.46869,0.47336,0.47633,0.00087,0.00087,0.00096,0.00107,0.00326,0.00308,0.0027,0.00259,NA
2014-03-30,2014,89,37,jernort_2014_03_30_120004.jpg,128.85366,89.5741,57.89108,0.32417,0.46632,114.57936,7.01506,79.86887,5.52053,52.92421,8.13305,0.32276,0.00235,0.32252,0.32368,0.32445,0.46392,0.02333,0.46767,0.47328,0.47642,61.61264,NA,0,0,0,0,0.32187,0.32176,0.32276,0.32395,0.4667,0.46904,0.47378,0.47681,9e-04,9e-04,0.001,0.00112,0.00311,0.00294,0.00257,0.00247,NA
