#
# 3-day product summary time series for jersand
#
# Site: jersand
# Veg Type: SH
# ROI ID Number: 0001
# Lat: 32.515
# Lon: -106.798
# Elev: None
# UTC Offset: -7
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:41:05
# Update Date: 2016-06-13
# Update Time: 05:23:57
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:59:55
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2014-02-28,2014,59,12,jersand_2014_02_28_153008.jpg,114.62493,77.26332,50.12105,0.31926,0.47364,130.6681,5.61955,86.04458,3.686,55.95745,2.97147,0.31557,0.00192,0.31573,0.31657,0.31759,0.47925,0.00653,0.48089,0.48333,0.48623,50.02662,NA,0,0,0,0,0.31543,0.31571,0.31644,0.31745,0.47498,0.47495,0.47867,0.48272,0.0016,0.00165,0.00171,0.00197,0.00671,0.00655,0.00599,0.00576,NA
2014-03-03,2014,62,23,jersand_2014_03_03_120007.jpg,135.3852,87.18947,56.20034,0.31276,0.48564,130.4354,4.51299,85.96857,4.34952,56.26942,4.69165,0.31522,0.00213,0.31575,0.31609,0.31682,0.4787,0.01066,0.47949,0.48462,0.49199,50.784,NA,0,0,0,0,0.31549,0.31569,0.31644,0.3173,0.4753,0.47534,0.47901,0.48299,0.00111,0.00114,0.00119,0.00155,0.00634,0.0062,0.00566,0.00543,NA
2014-03-06,2014,65,36,jersand_2014_03_06_120003.jpg,128.09949,83.29532,53.46423,0.31449,0.48365,127.7308,8.10022,84.11183,5.56483,54.65298,4.16738,0.31561,0.00126,0.31547,0.31652,0.31744,0.47939,0.00682,0.47811,0.48421,0.48737,52.31392,NA,0,0,0,0,0.31554,0.31568,0.31643,0.31716,0.47559,0.47572,0.47933,0.48324,0.00087,9e-04,0.00094,0.00124,0.00599,0.00585,0.00535,0.00513,NA
2014-03-09,2014,68,36,jersand_2014_03_09_120003.jpg,120.59885,79.95561,52.86522,0.31551,0.47589,124.6667,7.47353,82.8516,4.81111,54.98495,3.68712,0.31563,0.00135,0.3158,0.31662,0.31701,0.47492,0.00699,0.47669,0.47816,0.48273,53.46906,NA,0,0,0,0,0.31557,0.31565,0.3164,0.31704,0.47587,0.47607,0.47963,0.48348,0.00084,0.00086,9e-04,0.00106,0.00566,0.00553,0.00505,0.00484,NA
2014-03-12,2014,71,36,jersand_2014_03_12_120003.jpg,132.84292,87.32985,57.47379,0.31454,0.47846,126.8602,8.43274,83.96287,5.57921,55.07249,3.80017,0.31576,0.00098,0.3157,0.31645,0.31684,0.47711,0.00512,0.47848,0.47983,0.48221,54.62782,NA,0,0,0,0,0.31559,0.31563,0.31635,0.31693,0.47613,0.4764,0.47992,0.48369,0.00089,0.00091,0.00095,0.00098,0.00535,0.00522,0.00477,0.00456,NA
2014-03-15,2014,74,36,jersand_2014_03_15_120003.jpg,130.7957,83.4513,52.50697,0.31284,0.49032,131.8934,7.43762,87.59466,5.40569,58.2297,4.34716,0.31536,0.00171,0.31542,0.3163,0.3171,0.47504,0.00897,0.47464,0.47909,0.48542,55.78827,NA,0,0,0,0,0.31558,0.31559,0.31628,0.31684,0.47636,0.47671,0.48017,0.48388,0.00092,0.00095,0.00098,0.00098,0.00505,0.00494,0.00451,0.00431,NA
2014-03-18,2014,77,36,jersand_2014_03_18_120003.jpg,135.57321,89.92209,59.45516,0.31557,0.47578,126.1801,8.38613,83.26379,5.85198,54.58495,4.4474,0.31534,0.00094,0.31541,0.31585,0.31668,0.47803,0.00592,0.47862,0.48255,0.48594,56.9466,NA,0,0,0,0,0.31556,0.31555,0.31619,0.31676,0.47657,0.477,0.48041,0.48406,0.00095,0.00098,0.00102,0.001,0.00478,0.00467,0.00427,0.00407,NA
2014-03-21,2014,80,36,jersand_2014_03_21_120003.jpg,140.5835,94.75297,63.56467,0.317,0.47033,131.4773,7.25516,87.36395,5.38677,57.61663,4.4034,0.31596,0.00133,0.31587,0.31649,0.31725,0.47574,0.00805,0.47675,0.48067,0.48315,58.14802,NA,0,0,0,0,0.31548,0.31548,0.31607,0.3167,0.47676,0.47725,0.48062,0.48421,0.00091,0.00093,0.00097,0.00104,0.00453,0.00443,0.00405,0.00386,NA
2014-03-24,2014,83,36,jersand_2014_03_24_120004.jpg,123.19193,80.82031,52.27903,0.31535,0.48067,126.1829,6.86543,83.6582,4.61507,55.34364,3.44081,0.31545,0.00102,0.31542,0.31585,0.31659,0.47586,0.007,0.47649,0.48023,0.48176,59.34448,NA,0,0,0,0,0.3154,0.31541,0.31596,0.31666,0.47691,0.47748,0.48081,0.48434,0.00095,0.00098,0.00102,0.00107,0.00431,0.00421,0.00385,0.00366,NA
2014-03-27,2014,86,36,jersand_2014_03_27_120004.jpg,118.87298,78.2904,51.45811,0.3149,0.47813,122.8534,7.52163,81.19085,5.1653,53.46168,3.83558,0.31529,0.00112,0.31532,0.31591,0.31659,0.47716,0.00518,0.47794,0.47922,0.48098,60.53464,NA,0,0,0,0,0.31537,0.31539,0.31593,0.31665,0.47704,0.47768,0.48097,0.48445,0.00091,0.00093,0.00097,0.00106,0.0041,0.00401,0.00366,0.00348,NA
2014-03-30,2014,89,36,jersand_2014_03_30_120003.jpg,117.29567,73.85778,45.41687,0.3122,0.49582,123.2535,7.0392,80.80542,4.85016,52.58175,3.74279,0.31483,0.00121,0.31499,0.31548,0.31592,0.48035,0.00731,0.47922,0.48302,0.49126,61.71545,NA,0,0,0,0,0.31537,0.31538,0.31592,0.31665,0.47715,0.47786,0.4811,0.48454,0.00095,0.00098,0.00102,0.00108,0.00391,0.00382,0.0035,0.00332,NA
2014-04-02,2014,92,36,jersand_2014_04_02_120003.jpg,121.4572,80.42152,53.04264,0.31548,0.47645,124.306,8.11953,82.92825,5.83981,55.4592,4.53088,0.31566,0.00087,0.31556,0.31633,0.31676,0.47335,0.00579,0.47404,0.47669,0.48075,62.88328,NA,0,0,0,0,0.31536,0.31537,0.31591,0.31667,0.47724,0.47802,0.48122,0.48461,0.00095,0.00098,0.00102,0.00111,0.00375,0.00366,0.00335,0.00319,NA
2014-04-05,2014,95,36,jersand_2014_04_05_120003.jpg,139.19415,94.3015,64.35345,0.31661,0.46733,128.6242,8.88499,86.01095,6.51708,57.8715,5.28445,0.31559,0.00098,0.31562,0.31614,0.31671,0.47222,0.00776,0.47306,0.47819,0.48287,64.03564,NA,0,0,0,0,0.31545,0.31544,0.31598,0.31674,0.4773,0.47815,0.48132,0.48466,0.00092,0.00095,0.00098,0.00108,0.00361,0.00353,0.00322,0.00307,NA
2014-04-08,2014,98,33,jersand_2014_04_08_120004.jpg,120.3543,79.36876,52.00152,0.3153,0.47812,120.8107,5.50301,80.30743,3.52978,53.32448,2.72191,0.31563,0.00082,0.31559,0.31586,0.31667,0.47481,0.00456,0.47571,0.47828,0.47914,65.16975,NA,0,0,0,0,0.31557,0.31553,0.31609,0.3168,0.47735,0.47826,0.48139,0.48469,0.00096,0.00099,0.00103,0.0011,0.00349,0.00341,0.00311,0.00296,NA
2014-04-11,2014,101,36,jersand_2014_04_11_120003.jpg,134.00759,87.66708,56.41553,0.31525,0.48189,129.4934,7.83977,85.12159,5.57448,55.25962,4.14589,0.31538,0.0011,0.31533,0.31605,0.31683,0.47995,0.00595,0.47973,0.48485,0.48676,66.28267,NA,0,0,0,0,0.31575,0.3157,0.31625,0.31684,0.47737,0.47835,0.48145,0.48469,0.00091,0.00094,0.00097,0.00108,0.00338,0.00331,0.00302,0.00288,NA
2014-04-14,2014,104,36,jersand_2014_04_14_120003.jpg,120.27046,80.12535,53.78306,0.31523,0.47317,121.4461,5.25573,81.31212,3.30209,54.65953,2.50918,0.31589,0.00085,0.31577,0.31623,0.3171,0.47177,0.00454,0.4729,0.47418,0.47545,67.37245,NA,0,0,0,0,0.3159,0.31585,0.31639,0.31688,0.47737,0.47842,0.48148,0.48468,0.00095,0.00098,0.00102,0.00108,0.0033,0.00323,0.00295,0.00282,NA
2014-04-17,2014,107,35,jersand_2014_04_17_120004.jpg,121.2779,80.77815,53.46816,0.31613,0.47462,124.8035,7.84173,83.20951,5.54525,55.15588,4.40674,0.31616,0.00124,0.31613,0.31669,0.31742,0.47436,0.00725,0.47401,0.47567,0.48366,68.43633,NA,0,0,0,0,0.31592,0.31589,0.31642,0.31692,0.47735,0.47846,0.48149,0.48465,0.00094,0.00097,0.00101,0.00114,0.00324,0.00317,0.00289,0.00277,NA
2014-04-20,2014,110,36,jersand_2014_04_20_120003.jpg,128.23405,83.97773,54.64173,0.3147,0.48054,127.0507,8.21876,85.01933,5.51219,56.9508,4.44662,0.31601,0.00137,0.31605,0.31699,0.31762,0.47233,0.00939,0.47441,0.47849,0.48099,69.47215,NA,0,0,0,0,0.31589,0.31588,0.31641,0.31691,0.47731,0.47848,0.48148,0.4846,0.00102,0.00105,0.00109,0.00117,0.0032,0.00312,0.00285,0.00273,NA
2014-04-23,2014,113,1,jersand_2014_04_22_100024.jpg,117.22198,80.27597,56.53783,0.316,0.46144,117.222,0,80.27597,0,56.53783,0,0.316,0,0.316,0.316,0.316,0.46144,0,0.46144,0.46144,0.46144,54.95545,NA,0,0,0,0,0.31578,0.31579,0.31633,0.3168,0.47725,0.47847,0.48145,0.48453,0.00104,0.00107,0.00112,0.00114,0.00317,0.00309,0.00283,0.00271,NA
2014-04-26,2014,116,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31563,0.31566,0.3162,0.31663,0.47715,0.47844,0.48138,0.48442,0.00112,0.00115,0.0012,0.00117,0.00315,0.00308,0.00281,0.0027,NA
2014-04-29,2014,119,36,jersand_2014_04_29_120003.jpg,117.88684,78.19487,52.65704,0.31437,0.47394,119.0668,5.40315,78.83589,3.78417,52.52022,3.37001,0.31481,0.00135,0.31488,0.31559,0.31659,0.47557,0.00678,0.47392,0.48155,0.48625,72.38408,NA,0,0,0,0,0.31535,0.31539,0.31596,0.31653,0.47703,0.47837,0.48129,0.4843,0.00107,0.0011,0.00114,0.00124,0.00314,0.00307,0.0028,0.0027,NA
2014-05-02,2014,122,36,jersand_2014_05_02_120003.jpg,117.32817,76.75208,50.06834,0.31437,0.48056,122.1322,8.05567,80.88522,5.83156,53.58112,4.61262,0.3152,0.00092,0.31522,0.31588,0.31631,0.47616,0.00554,0.47747,0.48023,0.48111,73.28191,NA,0,0,0,0,0.31518,0.3152,0.31582,0.31644,0.47688,0.47827,0.48117,0.48415,0.00102,0.00105,0.00109,0.00125,0.00314,0.00307,0.0028,0.0027,NA
2014-05-05,2014,125,36,jersand_2014_05_05_120004.jpg,118.86612,77.8116,50.63319,0.31463,0.48063,119.8631,5.75776,79.33761,3.91687,52.31608,3.16478,0.31544,0.00081,0.31539,0.31615,0.31644,0.47662,0.00521,0.47771,0.48012,0.48072,74.13932,NA,0,0,0,0,0.31505,0.31506,0.31571,0.31637,0.4767,0.47815,0.48103,0.48397,0.0011,0.00113,0.00117,0.00129,0.00315,0.00307,0.00281,0.00271,NA
2014-05-08,2014,128,29,jersand_2014_05_08_120003.jpg,116.71371,76.53507,50.29373,0.31426,0.47923,123.1464,8.37786,81.41525,5.83189,54.01972,4.42042,0.31483,0.00091,0.31485,0.3154,0.31588,0.47636,0.00688,0.47689,0.47904,0.4828,74.954,NA,0,0,0,0,0.31511,0.3151,0.31575,0.31642,0.4765,0.478,0.48087,0.48378,0.0011,0.00113,0.00118,0.00124,0.00316,0.00309,0.00282,0.00273,NA
2014-05-11,2014,131,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31521,0.31519,0.31582,0.31655,0.47628,0.47783,0.48068,0.48356,0.00124,0.00127,0.00132,0.00119,0.00318,0.0031,0.00284,0.00274,NA
2014-05-14,2014,134,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31533,0.31527,0.31592,0.31668,0.47603,0.47764,0.48047,0.48332,0.00115,0.00118,0.00123,0.00121,0.0032,0.00312,0.00285,0.00276,NA
2014-05-17,2014,137,35,jersand_2014_05_17_120004.jpg,117.37026,76.578,49.10464,0.31507,0.4829,123.4299,7.73581,81.27784,5.81862,52.9701,4.65039,0.31538,0.00089,0.31524,0.31591,0.31664,0.47926,0.00621,0.48061,0.4826,0.48426,77.11954,NA,0,0,0,0,0.31544,0.31535,0.31603,0.31676,0.47577,0.47742,0.48024,0.48307,0.00115,0.00118,0.00123,0.00125,0.00322,0.00314,0.00287,0.00278,NA
2014-05-20,2014,140,36,jersand_2014_05_20_120003.jpg,129.50565,84.89669,55.10996,0.315,0.48052,128.0954,8.36869,85.0402,6.21485,56.20338,4.83044,0.31568,0.00112,0.31574,0.31637,0.31677,0.47581,0.00703,0.47609,0.47968,0.48371,77.7413,NA,0,0,0,0,0.31554,0.31541,0.31615,0.31677,0.47549,0.47719,0.47999,0.48279,0.00104,0.00107,0.00111,0.0012,0.00324,0.00317,0.00289,0.0028,NA
2014-05-23,2014,143,36,jersand_2014_05_23_120003.jpg,137.36143,92.14503,61.57133,0.31656,0.47191,126.6898,7.94021,84.08974,5.34785,55.84754,4.53238,0.31535,0.00136,0.31508,0.31583,0.31739,0.47524,0.01079,0.47944,0.48212,0.48435,78.30932,NA,0,0,0,0,0.31559,0.31544,0.31624,0.31676,0.47519,0.47694,0.47973,0.4825,0.00098,0.00101,0.00105,0.00113,0.00326,0.00319,0.00292,0.00282,NA
2014-05-26,2014,146,36,jersand_2014_05_26_120003.jpg,123.28049,84.95908,59.27279,0.31759,0.46084,124.3893,8.41524,82.98362,6.17277,55.5302,5.44637,0.31559,0.00157,0.31534,0.31633,0.3168,0.47339,0.01091,0.47586,0.48034,0.48149,78.8218,NA,0,0,0,0,0.31546,0.31528,0.31612,0.31674,0.47487,0.47666,0.47944,0.4822,0.00091,0.00094,0.00098,0.00111,0.00329,0.00321,0.00294,0.00284,NA
2014-05-29,2014,149,36,jersand_2014_05_29_120003.jpg,133.21048,90.04504,60.19709,0.31767,0.46996,127.4377,8.02203,84.40135,5.56653,55.28512,4.15996,0.31592,0.00136,0.31564,0.31686,0.31785,0.47716,0.00794,0.47903,0.48282,0.48672,79.27579,NA,0,0,0,0,0.31528,0.31508,0.31595,0.31674,0.47454,0.47638,0.47915,0.48188,0.00099,0.00102,0.00106,0.00112,0.00331,0.00324,0.00296,0.00286,NA
2014-06-01,2014,152,36,jersand_2014_06_01_120003.jpg,126.39831,81.9873,52.82946,0.31387,0.48389,124.3479,7.63197,81.30261,4.98549,52.50738,3.32886,0.31492,0.00081,0.31485,0.31534,0.31604,0.48167,0.00502,0.4828,0.4842,0.48634,79.67039,NA,0,0,0,0,0.31513,0.3149,0.31579,0.3167,0.4742,0.47608,0.47884,0.48154,0.00094,0.00097,0.00101,0.00107,0.00333,0.00326,0.00298,0.00288,NA
2014-06-04,2014,155,68,jersand_2014_06_04_120006.jpg,128.2978,83.31469,53.23309,0.31458,0.48442,122.8448,6.86236,79.98149,4.9703,51.20682,3.73686,0.31482,0.00085,0.3146,0.31545,0.31597,0.48372,0.00436,0.48457,0.48641,0.4877,80.00506,NA,0,0,0,0,0.315,0.31474,0.31565,0.31662,0.47385,0.47576,0.47852,0.48119,0.00095,0.00098,0.00102,0.00103,0.00336,0.00328,0.003,0.0029,NA
2014-06-07,2014,158,72,jersand_2014_06_07_120006.jpg,127.84582,82.66716,53.03928,0.31367,0.48509,121.4946,5.80489,79.28169,4.03079,51.29579,3.71207,0.31451,0.00123,0.3142,0.31505,0.31565,0.48211,0.00858,0.48364,0.48522,0.48618,80.27588,NA,0,0,0,0,0.31501,0.31469,0.31564,0.31653,0.47349,0.47544,0.47819,0.48083,0.00091,0.00093,0.00097,0.00107,0.00337,0.0033,0.00301,0.00291,NA
2014-06-10,2014,161,72,jersand_2014_06_10_120006.jpg,115.92864,75.13109,48.22842,0.31398,0.48447,123.8284,8.19608,81.42514,5.65613,53.39603,4.88275,0.31476,0.00159,0.31429,0.31552,0.31667,0.47893,0.01155,0.48235,0.48441,0.48596,80.48314,NA,0,0,0,0,0.31504,0.31467,0.31563,0.31647,0.47312,0.4751,0.47785,0.48046,0.00095,0.00098,0.00102,0.00112,0.00339,0.00331,0.00303,0.00293,NA
2014-06-13,2014,164,72,jersand_2014_06_13_120007.jpg,119.90878,79.1007,51.94728,0.3152,0.47781,127.2409,7.73589,84.6367,5.2538,56.27221,4.66302,0.3156,0.00139,0.31529,0.31616,0.31713,0.47463,0.01119,0.47741,0.48066,0.48259,80.62637,NA,0,0,0,0,0.31511,0.3147,0.31565,0.3163,0.47271,0.47474,0.47748,0.48007,0.00091,0.00093,0.00097,0.00108,0.0034,0.00332,0.00304,0.00293,NA
