#
# 3-day product summary time series for joycekilmerresized
#
# Site: joycekilmerresized
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 35.257
# Lon: -83.795
# Elev: 1373
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:41:32
# Update Date: 2016-01-25
# Update Time: 14:41:35
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:00:40
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2007-04-17,2007,107,3,joycekilmerresized_2007_04_18_090000.jpg,90.25112,94.22381,99.30854,0.33203,0.31803,83.94512,12.97667,90.00778,12.04493,97.77111,11.18735,0.33118,7e-04,0.3312,0.33161,0.33186,0.30794,0.0093,0.31022,0.31412,0.31647,64.38198,NA,0,0,0,0,0.32674,0.32673,0.33537,0.33534,0.3073,0.31015,0.31635,0.31965,0.00668,0.00648,0.00692,0.0073,0.0097,0.0112,0.01056,0.01113,NA
2007-04-20,2007,110,5,joycekilmerresized_2007_04_20_120000.jpg,114.78634,119.60559,126.24743,0.33165,0.31829,105.40754,35.34665,109.33392,32.27349,112.98482,27.52188,0.33296,0.00269,0.33165,0.33517,0.33629,0.31497,0.02384,0.31857,0.32949,0.33503,65.07461,NA,0,0,0,0,0.32882,0.32856,0.33448,0.33476,0.30936,0.31255,0.31991,0.32385,0.00557,0.00541,0.0053,0.00586,0.00778,0.00899,0.00881,0.00929,NA
2007-04-23,2007,113,9,joycekilmerresized_2007_04_23_120000.jpg,111.88269,116.74457,122.84892,0.33215,0.31832,104.79599,31.26124,111.74162,27.17614,120.57169,25.64728,0.33168,0.00316,0.33215,0.33334,0.3348,0.30573,0.02539,0.31832,0.32259,0.32687,66.41501,NA,0,0,0,0,0.33135,0.33093,0.33427,0.33499,0.31136,0.31483,0.32312,0.32765,0.00467,0.00454,0.00419,0.00476,0.00633,0.0073,0.00739,0.00779,NA
2007-04-26,2007,116,7,joycekilmerresized_2007_04_26_120000.jpg,134.12185,146.70268,164.49899,0.32943,0.30118,102.97269,27.78478,111.00837,29.55817,119.84564,34.22267,0.33295,0.00225,0.33338,0.33467,0.3353,0.30829,0.0169,0.30118,0.32539,0.32748,67.061,NA,0,0,0,0,0.3344,0.33388,0.33472,0.33602,0.31334,0.31703,0.32599,0.33106,0.00399,0.00388,0.00359,0.00403,0.00536,0.00618,0.00632,0.00666,NA
2007-04-29,2007,119,2,joycekilmerresized_2007_04_30_120000.jpg,100.91221,99.73117,87.0169,0.3467,0.3508,71.17327,29.73894,71.47705,28.25413,62.89684,24.12006,0.34843,0.00173,0.34843,0.3493,0.34982,0.34324,0.00756,0.34324,0.34702,0.34929,68.30028,NA,0,0,0,0,0.33794,0.33741,0.3358,0.33791,0.31532,0.31917,0.32851,0.33407,0.00353,0.00343,0.0034,0.00364,0.00484,0.00559,0.00559,0.00589,NA
2007-05-02,2007,122,9,joycekilmerresized_2007_05_02_120000.jpg,105.49389,114.11318,119.37042,0.33664,0.31121,95.68967,20.19071,104.82963,16.92964,110.35558,15.88141,0.33709,0.0047,0.33622,0.33664,0.3395,0.30503,0.02709,0.31078,0.31121,0.33034,69.18035,NA,0,0,0,0,0.34184,0.34135,0.33759,0.34063,0.31719,0.32113,0.33063,0.33664,0.00327,0.00318,0.00345,0.00352,0.00468,0.00541,0.00518,0.00546,NA
2007-05-05,2007,125,9,joycekilmerresized_2007_05_05_120000.jpg,129.64357,145.60951,164.02247,0.33148,0.29513,105.239,28.6234,115.21641,27.87521,124.60428,30.94754,0.33483,0.00425,0.33552,0.33825,0.33882,0.30255,0.01582,0.30616,0.31429,0.31666,70.01499,NA,0,0,0,0,0.34599,0.34561,0.34022,0.34412,0.31881,0.32278,0.33235,0.33876,0.00318,0.00309,0.00358,0.00357,0.00475,0.00548,0.00503,0.0053,NA
2007-05-08,2007,128,9,joycekilmerresized_2007_05_08_120000.jpg,103.61098,108.26831,102.83819,0.34402,0.32922,91.29444,28.25462,97.55948,24.46706,94.28639,17.67168,0.34419,0.00373,0.34402,0.34574,0.34894,0.31636,0.0262,0.32922,0.33688,0.33968,70.80141,NA,0,0,0,0,0.35031,0.35006,0.3438,0.34833,0.32004,0.32398,0.33365,0.34041,0.00321,0.00312,0.00371,0.0037,0.00492,0.00568,0.00508,0.00535,NA
2007-05-11,2007,131,9,joycekilmerresized_2007_05_11_120000.jpg,118.05893,128.00768,121.77368,0.348,0.32095,97.95651,26.29871,109.56767,22.2151,108.49832,14.70707,0.34638,0.00237,0.34731,0.34766,0.34811,0.3054,0.02379,0.3049,0.32559,0.33435,71.53681,NA,0,0,0,0,0.35503,0.35499,0.34825,0.35344,0.3212,0.32509,0.33451,0.34157,0.00328,0.00319,0.00368,0.0038,0.00505,0.00583,0.00519,0.00547,NA
2007-05-14,2007,134,9,joycekilmerresized_2007_05_14_120000.jpg,116.12927,127.74911,118.76287,0.35227,0.32023,99.32597,27.89664,110.30327,25.33287,102.76099,18.49454,0.35297,0.00307,0.35267,0.35407,0.35705,0.3135,0.02029,0.32023,0.32914,0.33588,72.21859,NA,0,0,0,0,0.36025,0.3605,0.35352,0.35953,0.32242,0.32623,0.33493,0.34224,0.00336,0.00326,0.00363,0.00387,0.00514,0.00594,0.00531,0.0056,NA
