#
# 3-day product summary time series for kamuela
#
# Site: kamuela
# Veg Type: GR
# ROI ID Number: 0002
# Lat: 20.015008
# Lon: -155.661326
# Elev: 850
# UTC Offset: -10
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:42:10
# Update Date: 2016-06-13
# Update Time: 05:24:26
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:02:49
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-02-22,2010,53,41,kamuela_2010_02_22_120143.jpg,89.79841,69.40126,45.98456,0.33824,0.43765,86.21951,13.96151,69.66421,13.75171,51.85116,8.31664,0.33375,0.01029,0.3368,0.3428,0.34538,0.41572,0.01501,0.4126,0.42262,0.43765,60.37151,NA,0,0,0,0,0.33294,0.33532,0.34093,0.34389,0.40964,0.40606,0.41259,0.42849,0.00367,0.00331,0.00438,0.00539,0.00449,0.00429,0.0051,0.00539,NA
2010-02-25,2010,56,39,kamuela_2010_02_25_120144.jpg,84.72065,70.38877,54.22306,0.33625,0.40472,84.51452,13.53416,70.27939,12.43266,54.04256,7.36963,0.33554,0.00744,0.33678,0.34115,0.34337,0.4046,0.0105,0.40189,0.40737,0.42253,61.11502,NA,0,0,0,0,0.33645,0.33831,0.34357,0.34618,0.41147,0.40881,0.41798,0.4279,0.00242,0.00218,0.00288,0.0039,0.00296,0.00282,0.00336,0.00525,NA
2010-02-28,2010,59,41,kamuela_2010_02_28_120145.jpg,92.55149,79.77172,63.3587,0.33847,0.3927,86.89863,13.71839,72.34091,12.84084,53.9287,8.12738,0.33833,0.00814,0.33923,0.34512,0.3486,0.40798,0.01358,0.4072,0.41393,0.41979,62.62779,NA,0,0,0,0,0.33961,0.34117,0.34613,0.34832,0.41283,0.41106,0.42245,0.42732,0.00198,0.00178,0.00236,0.00304,0.00242,0.00231,0.00275,0.00512,NA
2010-03-03,2010,62,58,kamuela_2010_03_03_120145.jpg,91.30267,75.49764,50.1528,0.34799,0.42084,91.87759,13.69183,76.42329,12.94288,53.42943,8.52698,0.34386,0.00639,0.34527,0.3492,0.35143,0.41488,0.01461,0.40999,0.42618,0.43646,63.7813,NA,0,0,0,0,0.34238,0.3438,0.34848,0.35035,0.41333,0.41226,0.42531,0.42675,0.00204,0.00184,0.00244,0.00277,0.0025,0.00239,0.00284,0.005,NA
2010-03-06,2010,65,63,kamuela_2010_03_06_120146.jpg,86.96434,76.39344,57.34886,0.34613,0.39403,89.68241,14.4445,74.80865,11.44328,52.07232,6.4218,0.34469,0.00657,0.3466,0.35023,0.35187,0.41324,0.01948,0.41103,0.42908,0.43684,64.94776,NA,0,0,0,0,0.34482,0.34637,0.3508,0.35225,0.41346,0.41299,0.42738,0.42618,0.00215,0.00194,0.00256,0.00282,0.00263,0.00251,0.00299,0.00488,NA
2010-03-09,2010,68,65,kamuela_2010_03_09_120143.jpg,101.28842,82.57421,49.44039,0.35394,0.43415,89.99441,15.02822,74.90554,12.80269,50.30007,6.54951,0.34703,0.00775,0.34789,0.35443,0.35514,0.41763,0.01746,0.42368,0.43187,0.4367,66.1238,NA,0,0,0,0,0.34687,0.34866,0.35286,0.35403,0.4126,0.41249,0.42761,0.42562,0.00223,0.00201,0.00266,0.00295,0.00273,0.0026,0.0031,0.00477,NA
2010-03-12,2010,71,65,kamuela_2010_03_12_120144.jpg,85.08421,76.89663,57.26113,0.35074,0.38808,82.93743,13.76541,71.28827,12.52688,50.51732,7.82105,0.34726,0.0071,0.34892,0.35228,0.35532,0.40506,0.01841,0.40108,0.42331,0.4304,67.30571,NA,0,0,0,0,0.34809,0.35014,0.35415,0.35569,0.40879,0.40871,0.42286,0.42508,0.00223,0.00201,0.00266,0.00304,0.00273,0.0026,0.0031,0.00466,NA
2010-03-15,2010,74,65,kamuela_2010_03_15_120144.jpg,98.99979,82.97795,49.32164,0.35875,0.42802,86.01978,12.3311,74.10537,11.61391,50.3616,6.9634,0.35113,0.00804,0.35503,0.35735,0.35835,0.40882,0.01732,0.40983,0.42005,0.42886,68.49026,NA,0,0,0,0,0.34921,0.35136,0.35516,0.35722,0.40404,0.40313,0.41602,0.42454,0.00211,0.0019,0.00251,0.00295,0.00258,0.00246,0.00293,0.00456,NA
2010-03-18,2010,77,66,kamuela_2010_03_18_120144.jpg,69.40479,61.18508,48.0424,0.34252,0.38853,77.83336,11.73144,68.89629,10.53235,50.36548,5.29645,0.34875,0.00722,0.35047,0.35507,0.35764,0.39435,0.01116,0.39264,0.39912,0.40799,69.67397,NA,0,0,0,0,0.35027,0.35247,0.35611,0.35859,0.39934,0.39742,0.40885,0.424,0.00223,0.00201,0.00266,0.00298,0.00273,0.0026,0.0031,0.00446,NA
2010-03-21,2010,80,69,kamuela_2010_03_21_120143.jpg,85.6655,74.685,47.57441,0.35919,0.412,76.89231,10.42033,68.753,10.52531,50.29965,6.72713,0.35012,0.00689,0.35168,0.3555,0.35782,0.39271,0.01251,0.388,0.40136,0.41208,70.85348,NA,0,0,0,0,0.35181,0.35399,0.35763,0.35987,0.39692,0.39412,0.40465,0.42348,0.00223,0.00201,0.00266,0.00314,0.00273,0.0026,0.0031,0.00437,NA
