#
# 3-day product summary time series for kansas
#
# Site: kansas
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 39.0561
# Lon: -95.1907
# Elev: 333
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:42:29
# Update Date: 2016-06-13
# Update Time: 05:24:33
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:04:10
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-12-03,2012,338,17,kansas_2012_12_03_144000.jpg,124.37156,92.61743,72.11152,0.32036,0.4302,127.97239,6.96165,93.59963,3.18548,73.27888,5.94868,0.31746,0.00208,0.31633,0.31922,0.32042,0.43406,0.0185,0.43988,0.44164,0.44287,28.57775,NA,0,0,0,0,0.31951,0.31926,0.32121,0.32229,0.43737,0.44243,0.43965,0.46115,0.00565,0.00547,0.00543,0.00569,0.01736,0.01663,0.01786,0.01686,NA
2012-12-06,2012,341,47,kansas_2012_12_06_120200.jpg,125.3032,93.5205,72.38675,0.32114,0.43028,125.09623,4.41341,93.22623,2.03898,72.92129,3.47652,0.3201,0.00191,0.32087,0.32126,0.32171,0.42951,0.01175,0.42989,0.43812,0.44171,28.45054,NA,0,0,0,0,0.31849,0.31844,0.32041,0.32151,0.43668,0.44072,0.44137,0.4602,0.00485,0.00465,0.00461,0.00484,0.01579,0.01545,0.01601,0.01566,NA
2012-12-09,2012,344,15,kansas_2012_12_08_150200.jpg,122.17834,94.01376,76.11538,0.32163,0.41798,128.68716,4.95755,91.11835,2.12918,68.02087,4.68678,0.31656,0.00367,0.31658,0.31993,0.32155,0.44719,0.0175,0.44684,0.45956,0.47163,28.11157,NA,0,0,0,0,0.31753,0.31766,0.31966,0.32077,0.43598,0.43907,0.44292,0.45927,0.00417,0.00396,0.00393,0.00412,0.01434,0.01433,0.01434,0.01453,NA
2012-12-12,2012,347,43,kansas_2012_12_12_120900.jpg,131.06426,95.67011,73.56556,0.31858,0.43644,127.46738,4.57266,92.79901,3.11251,71.42434,3.00611,0.31814,0.00183,0.3184,0.319,0.32021,0.43701,0.00708,0.435,0.43854,0.44484,27.89162,NA,0,0,0,0,0.31662,0.31693,0.31895,0.32009,0.43522,0.43744,0.44426,0.45835,0.00361,0.00341,0.00339,0.00355,0.01304,0.0133,0.01287,0.01348,NA
2012-12-15,2012,350,44,kansas_2012_12_15_113900.jpg,123.49863,93.20646,74.62421,0.31994,0.42391,111.26744,15.0829,82.40629,15.69183,66.72368,15.42893,0.31523,0.00791,0.31949,0.32175,0.32269,0.43105,0.03071,0.42041,0.45305,0.47503,27.4749,NA,0,0,0,0,0.31576,0.31624,0.31829,0.31945,0.43438,0.43584,0.44537,0.45743,0.00319,0.00301,0.00299,0.00314,0.01189,0.01235,0.0116,0.01252,NA
2012-12-18,2012,353,39,kansas_2012_12_18_110900.jpg,109.96652,77.71045,60.5932,0.31301,0.44293,103.61026,7.65668,72.98781,5.79708,55.9435,4.99042,0.31379,0.00206,0.3136,0.31494,0.31693,0.44575,0.0103,0.4474,0.45357,0.45681,27.56097,NA,0,0,0,0,0.31498,0.3156,0.31767,0.31886,0.43343,0.43425,0.44623,0.4565,0.0029,0.00276,0.00273,0.00287,0.01089,0.01149,0.01054,0.01165,NA
2012-12-21,2012,356,42,kansas_2012_12_21_120900.jpg,113.63676,98.4661,96.87741,0.31868,0.36778,104.33497,9.0011,88.09844,12.12216,85.47439,19.98484,0.31668,0.00314,0.31592,0.31962,0.32084,0.37927,0.03983,0.36575,0.41329,0.43318,27.49744,NA,0,0,0,0,0.31426,0.31501,0.31711,0.31833,0.43234,0.43266,0.44681,0.45556,0.00274,0.00263,0.00261,0.00273,0.01004,0.01072,0.0097,0.01086,NA
2012-12-24,2012,359,42,kansas_2012_12_24_120900.jpg,108.72729,75.84329,56.8142,0.3142,0.45043,99.43127,10.05687,70.10454,5.47827,55.30268,3.76434,0.31169,0.0021,0.31143,0.31321,0.31446,0.44156,0.01843,0.44802,0.45251,0.45441,27.54363,NA,0,0,0,0,0.3136,0.31446,0.31658,0.31784,0.43111,0.43107,0.4471,0.45461,0.00267,0.00259,0.00257,0.0027,0.00935,0.01003,0.00907,0.01017,NA
2012-12-27,2012,362,40,kansas_2012_12_27_113900.jpg,111.46331,75.55177,55.46512,0.31158,0.45968,99.18215,10.0519,71.34467,6.3369,57.46154,3.88852,0.31275,0.00261,0.31215,0.31496,0.31623,0.43452,0.01451,0.43555,0.4429,0.44728,27.66255,NA,0,0,0,0,0.313,0.31396,0.31611,0.31741,0.4298,0.42953,0.4471,0.45366,0.00267,0.00262,0.0026,0.00272,0.00881,0.00943,0.00863,0.00956,NA
2012-12-30,2012,365,40,kansas_2012_12_30_120900.jpg,97.68818,67.2776,52.00481,0.31008,0.45024,99.64294,8.28906,76.52126,9.70817,67.21714,18.82001,0.31404,0.00361,0.31485,0.31727,0.31817,0.41376,0.04814,0.4365,0.44589,0.45607,27.85343,NA,0,0,0,0,0.31247,0.3135,0.31568,0.31702,0.42844,0.42802,0.44688,0.45273,0.00271,0.00267,0.00265,0.00278,0.00842,0.00892,0.00837,0.00904,NA
2013-01-02,2013,2,45,kansas_2013_01_02_120900.jpg,114.0502,104.13214,107.47697,0.31976,0.35021,100.18619,8.85869,90.4183,10.04011,94.85976,12.97723,0.31643,0.00341,0.31736,0.31945,0.31991,0.35213,0.02172,0.34845,0.36423,0.38807,28.14521,NA,0,0,0,0,0.31202,0.31311,0.31531,0.31669,0.42704,0.42655,0.44646,0.45182,0.00278,0.00274,0.00272,0.00285,0.00815,0.0085,0.00825,0.00862,NA
2013-01-05,2013,5,47,kansas_2013_01_05_120900.jpg,98.25854,66.99504,51.26035,0.30943,0.45382,104.28155,8.71225,76.0966,6.92665,62.05841,7.1443,0.31369,0.00318,0.31455,0.31591,0.31722,0.43057,0.01848,0.43567,0.44032,0.45041,28.50252,NA,0,0,0,0,0.31162,0.31276,0.31498,0.3164,0.42564,0.42512,0.4459,0.45092,0.00284,0.00279,0.00277,0.00291,0.00801,0.00817,0.00824,0.00828,NA
2013-01-08,2013,8,40,kansas_2013_01_08_113900.jpg,114.81549,81.80239,64.91363,0.31278,0.43901,104.31167,8.81652,71.99041,6.51551,55.78344,5.47459,0.30998,0.00331,0.3107,0.31232,0.31353,0.44959,0.01624,0.45327,0.45683,0.46284,28.81138,NA,0,0,0,0,0.31128,0.31243,0.31468,0.31615,0.42426,0.42375,0.44523,0.45005,0.00288,0.00283,0.00281,0.00295,0.00796,0.00792,0.00832,0.00802,NA
2013-01-11,2013,11,43,kansas_2013_01_11_120900.jpg,97.74199,65.17709,49.31459,0.3071,0.46054,98.98697,4.61988,62.70207,6.14238,45.5402,9.68178,0.30196,0.00986,0.3071,0.31054,0.31216,0.48021,0.04354,0.4608,0.52767,0.54551,29.40766,NA,0,0,0,0,0.31103,0.31219,0.31446,0.31597,0.42293,0.42244,0.44449,0.4492,0.00292,0.00286,0.00284,0.00298,0.008,0.00774,0.00846,0.00785,NA
2013-01-14,2013,14,47,kansas_2013_01_14_120900.jpg,108.62662,77.17276,59.4991,0.31461,0.44283,104.97407,8.93731,75.1629,6.65295,58.77046,4.54794,0.31441,0.00335,0.3151,0.31649,0.31862,0.43934,0.01052,0.44079,0.44375,0.4504,29.95175,NA,0,0,0,0,0.31083,0.31197,0.31425,0.31583,0.42155,0.42117,0.4435,0.44838,0.00292,0.00284,0.00282,0.00296,0.00807,0.00764,0.0086,0.00774,NA
2013-01-17,2013,17,44,kansas_2013_01_17_120900.jpg,115.21494,81.30881,62.97477,0.31333,0.44399,106.88176,9.54948,76.6138,7.01936,60.92076,5.09278,0.31327,0.00304,0.31322,0.31524,0.31722,0.43724,0.01167,0.43865,0.44215,0.44922,30.55409,NA,0,0,0,0,0.31064,0.31173,0.31404,0.3157,0.42003,0.41996,0.44212,0.44759,0.00294,0.00284,0.00282,0.00296,0.00816,0.00758,0.00872,0.00768,NA
2013-01-20,2013,20,46,kansas_2013_01_20_120900.jpg,95.10717,63.66328,47.46349,0.30869,0.46116,101.53479,7.49,71.93902,5.8732,56.94346,5.55999,0.31209,0.00255,0.31234,0.31353,0.31427,0.44095,0.01394,0.44049,0.4485,0.45725,30.98691,NA,0,0,0,0,0.31053,0.31156,0.31389,0.31563,0.41843,0.41879,0.44046,0.44683,0.003,0.00291,0.00289,0.00303,0.00827,0.00757,0.00883,0.00767,NA
2013-01-23,2013,23,44,kansas_2013_01_23_120900.jpg,118.3945,82.79755,63.87865,0.31236,0.44665,106.2426,8.73846,73.713,6.81781,55.89548,5.31304,0.31236,0.00323,0.31261,0.3142,0.31604,0.4507,0.01045,0.45035,0.45498,0.46186,31.92436,NA,0,0,0,0,0.31057,0.31157,0.3139,0.3157,0.41682,0.41768,0.43863,0.4461,0.00305,0.00297,0.00295,0.00309,0.00837,0.00759,0.00893,0.00769,NA
2013-01-26,2013,26,50,kansas_2013_01_26_120900.jpg,118.87331,82.77018,62.91631,0.31286,0.44932,106.45548,9.56345,73.69079,6.89838,57.30769,5.54487,0.31011,0.00361,0.31098,0.31256,0.31516,0.44839,0.01581,0.44897,0.45601,0.46365,32.68739,NA,0,0,0,0,0.3109,0.31181,0.3141,0.31594,0.41527,0.41661,0.43674,0.44538,0.00301,0.00292,0.0029,0.00304,0.00847,0.00763,0.00902,0.00773,NA
2013-01-29,2013,29,44,kansas_2013_01_29_120900.jpg,111.09592,58.76561,32.98791,0.2897,0.54768,102.59519,8.4307,75.8804,15.02693,67.36339,29.33969,0.30721,0.00949,0.30932,0.31566,0.31839,0.43017,0.08125,0.45047,0.49352,0.53794,33.49894,NA,0,0,0,0,0.31143,0.31219,0.31442,0.31631,0.41383,0.41559,0.43492,0.4447,0.00301,0.00292,0.0029,0.00304,0.00857,0.00769,0.0091,0.0078,NA
2013-02-01,2013,32,48,kansas_2013_02_01_120900.jpg,110.02931,89.06424,82.1733,0.31665,0.39119,102.33884,9.92605,82.43788,8.02489,77.20191,12.73224,0.31441,0.00351,0.3151,0.31728,0.31816,0.39186,0.03491,0.38776,0.42877,0.441,34.35637,NA,0,0,0,0,0.31189,0.31258,0.31477,0.31668,0.41257,0.41462,0.43326,0.44403,0.00305,0.00297,0.00295,0.00309,0.00866,0.00777,0.00914,0.00787,NA
